TOTAL_TIME,0m7s
TOTAL_FRAMES,449
SELECTED_FRAMES,449
NO_OF_JOINTS,7
FREQUENCY,64.0
DESCRIPTION,east
TIME_STAMP,Jul 17, 2009

Time,Frame,Pelvis_accelX_37,Pelvis_accelY_37,Pelvis_accelZ_37,RFEP_accelX_30,RFEP_accelY_30,RFEP_accelZ_30,RFEO_accelX_55,RFEO_accelY_55,RFEO_accelZ_55,RTIO_accelX_44,RTIO_accelY_44,RTIO_accelZ_44,LFEP_accelX_25,LFEP_accelY_25,LFEP_accelZ_25,LFEO_accelX_28,LFEO_accelY_28,LFEO_accelZ_28,LTIO_accelX_70,LTIO_accelY_70,LTIO_accelZ_70
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.046875,3,-0.9008789,-0.39111328,-0.30877686,-0.5463867,-0.074645996,0.25476074,-0.6598511,0.18115234,-0.14215088,-0.7618408,-0.21502686,-0.289917,-1.072876,0.057434082,-0.52697754,-1.0806885,-0.3583374,-0.121398926,-0.4576416,0.16778564,0.9081421
0.0625,4,-0.88482666,-0.4439087,-0.2808838,-0.59124756,-0.28900146,0.17889404,-0.66986084,0.20031738,-0.16497803,-0.6154785,-0.5335083,-0.22106934,-1.0263062,-0.019714355,-0.40771484,-1.0756226,-0.4342041,-0.14508057,-0.44647217,0.18066406,0.9310913
0.078125,5,-0.89282227,-0.4605713,-0.3805542,-0.6390991,-0.30755615,0.10986328,-0.7277832,0.32250977,-0.23638916,-0.5322876,-0.6932373,-0.09033203,-1.0496216,-0.2322998,-0.23388672,-1.0796509,-0.315979,0.01373291,-0.45458984,0.18664551,0.9111328
0.09375,6,-0.8447876,-0.5153198,-0.41638184,-0.661499,-0.04333496,0.011291504,-0.80462646,0.36291504,-0.2701416,-0.53430176,-0.38568115,0.051452637,-1.0354004,-0.45880127,-0.029785156,-1.1132812,-0.1071167,0.19421387,-0.48205566,0.24414062,0.87323
0.109375,7,-0.8718262,-0.48010254,-0.3685913,-0.6859741,0.2111206,-0.005432129,-0.87750244,0.39923096,-0.25823975,-0.62854004,0.08850098,0.14526367,-0.98480225,-0.37176514,-0.029785156,-0.99816895,0.030822754,0.1774292,-0.49121094,0.32946777,0.82128906
0.125,8,-0.8998413,-0.41357422,-0.33270264,-0.69415283,0.4107666,0.06060791,-0.86950684,0.4537964,-0.21655273,-0.6956787,0.38708496,0.15325928,-1.06073,-0.08300781,-0.038879395,-0.9259033,-0.036193848,0.10644531,-0.5227051,0.3215332,0.8153076
0.140625,9,-0.8447876,-0.31188965,-0.27093506,-0.72265625,0.43426514,0.14733887,-0.88952637,0.36291504,-0.16894531,-0.7407837,0.5835571,0.18322754,-1.0212402,0.17315674,-0.089416504,-0.9737549,-0.27264404,-0.10266113,-0.54711914,0.25506592,0.8253174
0.15625,10,-0.86383057,-0.2962036,-0.12939453,1.9135742,1.2093506,1.996582,-1.3157959,0.55474854,-1.9746094,1.3319092,0.7125244,0.9927368,-1.0212402,0.10687256,-0.12579346,-1.0155029,-0.31402588,-0.10266113,-0.5796509,0.1687622,0.86920166
0.171875,11,-1.0,-0.21014404,0.047973633,-1.7984619,1.0057983,0.62939453,-1.8579102,0.49621582,0.83343506,-0.08728027,0.39605713,1.5497437,-1.0252686,0.059448242,-0.24804688,-1.0541992,-0.17901611,-0.0099487305,-0.58673096,0.2421875,0.8792114
0.1875,12,-1.2312622,-0.006652832,-0.059631348,-1.1953735,0.35986328,0.1305542,-1.4315796,0.30230713,0.24890137,-0.10235596,-0.41741943,1.0506592,-1.1133423,0.11480713,-0.21569824,-1.0959473,-0.09527588,0.03741455,-0.598938,0.17474365,0.913147
0.203125,13,-1.5336914,0.20861816,-0.29779053,-0.9956665,0.016357422,0.107910156,-0.97332764,0.13873291,0.37591553,0.12921143,-0.78845215,0.7112427,-1.2358398,0.22955322,-0.10559082,-1.1967773,-0.21746826,0.04724121,-0.5857544,0.28778076,0.8592529
0.21875,14,-1.6118164,0.4512329,-0.33270264,-0.88360596,-0.05114746,0.1552124,-0.81359863,0.10040283,0.36798096,0.22143555,-0.62677,0.64434814,-1.3249512,0.11480713,0.035888672,-1.2334595,-0.33569336,0.0847168,-0.65789795,0.25805664,0.97802734
0.234375,15,-1.3304443,0.26727295,-0.053649902,-0.91619873,-0.1685791,0.096069336,-0.84155273,-0.16217041,0.30743408,0.17327881,-0.3876953,0.6873169,-1.25,-0.011779785,0.09954834,-1.2385254,-0.3829956,0.18334961,-0.6609497,0.26501465,0.86120605
0.25,16,-1.0930786,-0.14361572,0.10083008,-1.0405273,-0.23223877,0.05859375,-1.1031494,-0.24291992,0.27172852,0.026977539,-0.18035889,0.82702637,-1.1690063,-0.08300781,0.3501587,-1.1937256,-0.30908203,0.2711792,-0.7229614,0.26000977,0.8831787
0.265625,17,-1.0560303,-0.4605713,0.15161133,-1.0812378,-0.14117432,0.038879395,-1.0332642,-0.14196777,0.2756958,0.039978027,-0.27557373,0.7531738,-1.1558838,-0.1541748,0.5027466,-1.333252,-0.26867676,0.32147217,-0.8286743,0.46533203,1.159668
0.28125,18,-1.085083,-0.65618896,0.06793213,-1.0445557,-0.082458496,-0.008422852,-0.9783325,0.047851562,0.27764893,0.12420654,-0.4640503,0.74017334,-1.2338257,-0.18585205,0.62402344,-1.5064087,-0.18591309,0.14587402,-0.8927002,0.5090332,1.0688477
0.296875,19,-1.0961304,-0.5857544,0.08782959,-1.0507202,-0.14312744,-0.06561279,-1.0532227,-0.008666992,0.20422363,0.059020996,-0.56921387,0.7501831,-1.2277222,0.07330322,0.1359253,-1.5237427,-0.059814453,0.29382324,-1.091919,0.48620605,1.1247559
0.3125,20,-1.0861206,-0.36273193,0.13269043,-0.9814453,-0.082458496,-0.057678223,-0.98931885,-0.020812988,0.21710205,0.08911133,-0.4015503,0.71624756,-1.2965698,0.24041748,-0.018676758,-1.333252,0.24365234,-0.11450195,-1.0004272,0.31958008,1.0768433
0.328125,21,-1.0370483,-0.18273926,0.10876465,-0.99975586,0.046691895,0.052734375,-0.91345215,-0.004638672,0.33721924,0.10614014,-0.230896,0.6843262,-1.3856812,0.3106079,-0.16723633,-1.3251343,0.3657837,-0.4262085,-1.0756226,0.40289307,1.2145996
0.34375,22,-0.93292236,-0.037963867,0.08984375,-0.9793701,0.031066895,0.101989746,-0.88848877,0.080200195,0.38684082,0.15026855,-0.23388672,0.6673584,-1.3563232,0.33636475,-0.6765137,-1.2578735,-0.11895752,-0.53271484,-1.2341919,0.5298462,1.2705078
0.359375,23,-0.77368164,0.020751953,0.09185791,-0.9671631,-0.049194336,-0.0025024414,-0.9423828,-6.1035156E-4,0.24194336,0.099121094,-0.38867188,0.6623535,-1.4464111,0.06732178,-0.6522827,-0.90753174,-0.50512695,-0.87597656,-0.69244385,0.2937622,0.3501587
0.375,24,-0.647522,-0.022277832,0.08984375,-0.942688,0.012451172,0.011291504,-0.92144775,0.043823242,0.27764893,0.09814453,-0.32714844,0.6623535,-1.2945557,-0.2886963,-0.5663452,-0.47265625,-0.41156006,-1.7962646,1.918396,1.9938965,-1.9729004
0.390625,25,-0.6535034,-0.061401367,0.1227417,-0.99157715,0.042785645,0.10595703,-0.94940186,0.025634766,0.35705566,0.10412598,-0.2944336,0.6832886,-1.3046875,-0.5794678,-0.49865723,-1.069458,-0.43023682,-1.171875,-1.1295166,1.8242798,1.0638428
0.40625,26,-0.77770996,-0.06530762,0.032043457,-1.036438,-0.078552246,0.06451416,-1.0012817,-0.0692749,0.2578125,-0.0040893555,-0.56225586,0.93182373,-1.3654175,-0.3045044,-0.43701172,-0.71502686,-0.040100098,-0.3828125,0.39508057,0.63098145,0.22540283
0.421875,27,-1.0310059,-0.053588867,-0.14935303,-0.989563,-0.0022583008,-0.014343262,-1.0012817,0.039794922,0.25585938,0.044006348,-0.33605957,0.6553345,-1.2591553,-0.07507324,-0.5128174,-0.69262695,-0.016479492,-0.38476562,-0.1517334,-0.059387207,0.7614136
0.4375,28,-1.2563477,-0.026184082,-0.32073975,-0.99157715,0.08288574,0.026062012,-0.9473877,0.084228516,0.2121582,0.032958984,-0.24578857,0.68029785,-1.2267456,-0.06317139,-0.2682495,-0.5969238,-0.22338867,-0.868103,-0.5227051,-0.3083496,1.2415161
0.453125,29,-1.2332764,0.005126953,-0.27288818,-0.9875488,0.028076172,-0.045837402,-0.97332764,0.05596924,0.19232178,0.041015625,-0.307312,0.6912842,-1.2075195,-0.14031982,-0.17425537,-0.46453857,-0.5918579,-0.8779297,-0.807312,-0.078186035,1.3723145
0.46875,30,-1.013977,0.012939453,-0.057617188,-1.0038452,0.034973145,-0.030090332,-0.9753418,0.043823242,0.2230835,0.05303955,-0.26367188,0.6693115,-1.085022,-0.28668213,-0.19952393,-0.3789673,-0.62731934,-0.7852173,-0.60302734,0.13702393,1.1207886
0.484375,31,-0.80474854,-0.010559082,0.029052734,-0.99261475,0.054504395,-0.034057617,-0.97332764,0.0034179688,0.19628906,0.039001465,-0.25079346,0.6843262,-0.98883057,-0.40734863,-0.22680664,-0.46148682,-0.4736328,-0.66290283,-0.45458984,0.18463135,0.90911865
0.5,32,-0.72961426,-0.055541992,-0.00982666,-0.9793701,0.03692627,-0.06561279,-0.94641113,0.020629883,0.1774292,0.041992188,-0.2874756,0.6743164,-0.93621826,-0.45483398,-0.33190918,-0.40441895,-0.5405884,-0.6639404,-0.36010742,0.03289795,0.84924316
0.515625,33,-0.8618164,-0.061401367,-0.10748291,-0.9834595,0.051574707,-0.045837402,-0.99334717,0.05999756,0.16455078,0.019958496,-0.27062988,0.6703491,-0.86535645,-0.38360596,-0.31781006,-0.31481934,-0.57214355,-0.63531494,-0.39160156,-0.01171875,0.81030273
0.53125,34,-1.0050049,-0.06530762,-0.20214844,-0.9834595,0.08581543,-0.059692383,-0.9673462,0.06402588,0.18041992,0.031982422,-0.23291016,0.6613159,-0.7297363,-0.24121094,-0.32891846,-0.40338135,-0.5405884,-0.7260742,-0.47088623,-0.06732178,0.91015625
