type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
1,5,9,0,11964587,14376112,-6557767796799904515,1361426809.795978,14824,-6180,2288,nan,0.000000
1,5,9,0,11964587,14376112,-6557767796799901894,1361426809.795978,14720,-5636,2884,nan,0.000000
2,5,10,0,11964587,14376143,-6557767796799899273,1361426809.796171,14512,-5760,3224,nan,0.000000
2,5,10,0,11964587,14376143,-6557767796799896652,1361426809.796171,13880,-5816,3216,nan,0.000000
2,5,10,0,11964587,14376143,-6557767796799894031,1361426809.796171,14100,-5840,3628,nan,0.000000
2,5,10,0,11964587,14376143,-6557767796799891410,1361426809.796171,14272,-5972,3484,nan,0.000000
2,5,10,0,11964587,14376143,-6557767796799888789,1361426809.796171,14652,-5652,3472,nan,0.000000
2,5,11,0,11964587,14376175,-6557767796799886168,1361426809.796397,14280,-5604,3104,nan,0.000000
2,5,11,0,11964587,14376175,-6557767796799883547,1361426809.796397,14884,-5780,3224,nan,0.000000
2,5,11,0,11964587,14376175,-6557767796799880926,1361426809.796397,14860,-5096,3300,nan,0.000000
2,5,11,0,11964587,14376175,-6557767796799878305,1361426809.796397,15068,-3720,2884,nan,0.000000
2,5,11,0,11964587,14376175,-6557767796799875684,1361426809.796397,14980,-4300,2476,nan,0.000000
2,5,12,0,11964587,14376207,-6557767796799873063,1361426809.796607,15400,-3500,2616,nan,0.000000
2,5,12,0,11964587,14376207,-6557767796799870442,1361426809.796607,15820,-3268,2448,nan,0.000000
2,5,12,0,11964587,14376207,-6557767796799867821,1361426809.796607,15840,-2924,2076,nan,0.000000
2,5,12,0,11964587,14376207,-6557767796799865200,1361426809.796607,16092,-2908,1808,nan,0.000000
2,5,12,0,11964587,14376207,-6557767796799862579,1361426809.796607,16680,-2672,1520,nan,0.000000
2,5,13,0,11964587,14376239,-6557767796799859958,1361426809.796856,16424,-1900,1288,nan,0.000000
2,5,13,0,11964587,14376239,-6557767796799857337,1361426809.796856,15720,-1288,1452,nan,0.000000
2,5,13,0,11964587,14376239,-6557767796799854716,1361426809.796856,15800,-1908,916,nan,0.000000
2,5,13,0,11964587,14376239,-6557767796799852095,1361426809.796856,15548,-736,1068,nan,0.000000
2,5,13,0,11964587,14376239,-6557767796799849474,1361426809.796856,16616,472,900,nan,0.000000
2,5,14,0,11964587,14376270,-6557767796799846853,1361426809.797094,16340,604,876,nan,0.000000
2,5,14,0,11964587,14376270,-6557767796799844232,1361426809.797094,15928,696,804,nan,0.000000
2,5,14,0,11964587,14376270,-6557767796799841611,1361426809.797094,16040,1256,1156,nan,0.000000
2,5,14,0,11964587,14376270,-6557767796799838990,1361426809.797094,15960,1520,1060,nan,0.000000
2,5,14,0,11964587,14376270,-6557767796799836369,1361426809.797094,16340,112,792,nan,0.000000
