name,timestamp,accelX0,accelX1,accelY0,accelY1,accelZ0,accelZ1,breathing,activity,breathingRate
RESpeckPlum,20131129135425.170,254,212,7,252,64,104,0.015207,0.084149,nan
RESpeckPlum,20131129135425.195,254,208,7,232,64,104,0.001731,0.084149,nan
RESpeckPlum,20131129135425.256,254,224,8,0,64,96,-0.010544,0.036540,nan
RESpeckPlum,20131129135425.345,254,216,8,0,64,92,0.006227,0.036540,nan
RESpeckPlum,20131129135425.405,254,212,8,20,64,72,-0.036133,0.036540,nan
RESpeckPlum,20131129135425.496,254,216,7,248,64,96,-0.028932,0.036540,nan
RESpeckPlum,20131129135425.555,254,216,7,248,64,108,0.010717,0.036540,nan
RESpeckPlum,20131129135425.645,254,220,8,0,64,100,0.026298,0.036540,nan
RESpeckPlum,20131129135425.736,254,192,8,4,64,76,0.043272,0.036540,nan
RESpeckPlum,20131129135425.796,254,232,8,8,64,108,0.080937,0.036540,nan
RESpeckPlum,20131129135425.886,254,224,7,252,64,104,0.102676,0.036540,nan
RESpeckPlum,20131129135425.945,254,204,8,8,64,84,0.070666,0.036540,nan
RESpeckPlum,20131129135426.040,254,196,7,232,64,80,0.068779,0.036540,nan
RESpeckPlum,20131129135426.096,254,196,7,252,64,104,0.049909,0.036540,nan
RESpeckPlum,20131129135426.185,254,216,8,8,64,104,0.049831,0.036540,nan
RESpeckPlum,20131129135426.245,254,208,8,8,64,80,0.044567,0.036540,nan
RESpeckPlum,20131129135426.336,254,216,8,16,64,100,0.062997,0.036540,nan
RESpeckPlum,20131129135426.396,254,236,8,8,64,108,0.040626,0.036540,nan
RESpeckPlum,20131129135426.486,254,228,7,252,64,100,0.018585,0.036540,nan
RESpeckPlum,20131129135426.545,254,212,8,32,64,92,-0.007255,0.036540,nan
RESpeckPlum,20131129135426.636,254,228,8,0,64,76,-0.024473,0.036540,nan
RESpeckPlum,20131129135426.696,254,188,7,252,64,80,-0.024141,0.036540,nan
RESpeckPlum,20131129135426.786,254,216,8,32,64,96,-0.061994,0.036540,nan
RESpeckPlum,20131129135426.876,254,216,8,8,64,120,-0.044852,0.036540,nan
RESpeckPlum,20131129135426.936,254,208,7,252,64,96,-0.065325,0.036540,nan
RESpeckPlum,20131129135427.025,254,184,8,16,64,96,-0.064792,0.036540,nan
RESpeckPlum,20131129135427.086,254,196,7,244,64,84,-0.050146,0.036540,nan
RESpeckPlum,20131129135427.176,254,204,8,4,64,96,-0.041994,0.036540,nan
RESpeckPlum,20131129135427.236,254,208,8,4,64,84,-0.039454,0.036540,nan
RESpeckPlum,20131129135427.325,254,216,8,12,64,92,-0.031313,0.036540,nan
RESpeckPlum,20131129135427.385,254,208,7,240,64,104,-0.018854,0.036540,nan
RESpeckPlum,20131129135427.476,254,216,8,56,64,68,-0.016922,0.036540,nan
RESpeckPlum,20131129135427.536,254,168,8,12,64,140,-0.009741,0.036540,nan
RESpeckPlum,20131129135427.625,254,240,7,252,64,96,-0.025874,0.036540,nan
RESpeckPlum,20131129135427.686,254,200,8,12,64,72,0.003520,0.060199,nan
RESpeckPlum,20131129135427.776,254,220,8,28,64,104,-0.009351,0.060199,nan
RESpeckPlum,20131129135427.925,254,192,8,4,64,92,-0.000915,0.060199,nan
RESpeckPlum,20131129135428.016,254,208,8,8,64,92,0.010327,0.060199,nan
RESpeckPlum,20131129135428.076,254,228,8,8,64,92,-0.014328,0.060199,nan
RESpeckPlum,20131129135428.166,254,220,7,248,64,88,-0.013559,0.060199,nan
RESpeckPlum,20131129135428.226,254,248,8,16,64,96,-0.029794,0.060199,nan
RESpeckPlum,20131129135428.316,254,228,7,252,64,104,-0.020563,0.060199,nan
RESpeckPlum,20131129135428.376,254,192,8,24,64,100,-0.048568,0.060199,nan
RESpeckPlum,20131129135428.466,254,212,8,20,64,96,-0.012686,0.060199,nan
RESpeckPlum,20131129135428.526,254,228,8,16,64,92,-0.030676,0.060199,nan
RESpeckPlum,20131129135428.616,254,220,7,252,64,80,-0.023143,0.060199,nan
RESpeckPlum,20131129135428.676,254,204,8,0,64,92,-0.027137,0.060199,nan
RESpeckPlum,20131129135428.766,254,212,8,0,64,108,0.000846,0.060199,nan
RESpeckPlum,20131129135428.826,254,220,8,16,64,96,-0.006649,0.060199,nan
RESpeckPlum,20131129135428.916,254,216,7,244,64,104,0.001925,0.060199,nan
RESpeckPlum,20131129135429.066,254,240,8,12,64,88,0.011266,0.060199,nan
