(1, 32316, 31477, 29038, array([ 7536.,   176., -2688.]), array([-20354.,  17047.,  14824.]), array([-363.,   -8.,  436.]))
(1, 33266, 33478, 29038, array([ 7232.,    48., -2816.]), array([  4228., -13999.,    180.]), array([-363.,   -8.,  436.]))
(1, 34215, 34479, 29038, array([ 7248.,   -32., -2928.]), array([ 4517.,  1864.,   195.]), array([-363.,   -8.,  436.]))
(1, 35639, 35479, 34700, array([ 7280.,   -32., -2960.]), array([ 4493.,  2011.,   198.]), array([-342.,   -2.,  449.]))
(1, 36588, 36480, 34700, array([ 7296.,   -16., -3008.]), array([ 4531.,  1966.,   215.]), array([-342.,   -2.,  449.]))
(1, 38012, 37481, 37247, array([ 7296.,     0., -3088.]), array([ 4517.,  1965.,   204.]), array([-342.,   -1.,  449.]))
(1, 38962, 38482, 37247, array([ 7296.,   -16., -3120.]), array([ 4546.,  1981.,   208.]), array([-342.,   -1.,  449.]))
(1, 39911, 39482, 39794, array([ 7328.,    48., -3120.]), array([ 4521.,  1971.,   235.]), array([-345.,   -1.,  450.]))
(1, 41335, 40483, 39794, array([ 7344.,   128., -3104.]), array([ 4513.,  2012.,   215.]), array([-345.,   -1.,  450.]))
(1, 42285, 42485, 42341, array([ 7296.,   160., -3088.]), array([ 4554.,  1992.,   214.]), array([-345.,   -2.,  450.]))
(1, 43234, 43489, 42341, array([ 7296.,   144., -3072.]), array([ 4491.,  2011.,   202.]), array([-345.,   -2.,  450.]))
(1, 44658, 44497, 42341, array([ 7248.,   160., -2992.]), array([ 4486.,  2032.,   204.]), array([-345.,   -2.,  450.]))
(1, 45607, 45505, 44888, array([ 7248.,   160., -2944.]), array([ 4325.,  2024.,   168.]), array([-347.,   -1.,  450.]))
(1, 47032, 46513, 44888, array([ 7216.,   176., -2976.]), array([ 4349.,  1968.,   151.]), array([-347.,   -1.,  450.]))
(1, 47981, 47521, 47435, array([ 7232.,   160., -3008.]), array([ 4398.,  1931.,   122.]), array([-344.,   -2.,  449.]))
(1, 48930, 48529, 47435, array([ 7264.,   144., -2976.]), array([ 4447.,  1921.,    80.]), array([-344.,   -2.,  449.]))
(1, 50354, 49537, 49982, array([ 7216.,   256., -3008.]), array([ 4505.,  1862.,    55.]), array([-352.,   -2.,  450.]))
(1, 51304, 50545, 49982, array([ 7232.,   288., -2992.]), array([ 4583.,  1782.,   -29.]), array([-352.,   -2.,  450.]))
(1, 52254, 52560, 52528, array([ 7232.,   240., -2896.]), array([ 4695.,  1557.,  -203.]), array([-345.,    0.,  447.]))
(1, 53678, 53568, 52528, array([ 7168.,   192., -2896.]), array([ 4439.,  1362.,  -233.]), array([-345.,    0.,  447.]))
(1, 54628, 54576, 52528, array([ 7168.,   192., -2912.]), array([ 4061.,  1112.,  -234.]), array([-345.,    0.,  447.]))
(1, 55578, 55584, 55074, array([ 7104.,   224., -2928.]), array([ 3593.,   875.,  -235.]), array([-344.,    1.,  450.]))
(1, 57002, 56592, 55074, array([ 7088.,   288., -2944.]), array([ 3172.,   665.,  -216.]), array([-344.,    1.,  450.]))
(1, 57951, 57601, 57622, array([ 7104.,   368., -2992.]), array([ 2776.,   471.,  -187.]), array([-344.,   -1.,  450.]))
(1, 59375, 58609, 57622, array([ 7136.,   384., -3072.]), array([ 2391.,   289.,  -153.]), array([-344.,   -1.,  450.]))
(1, 60324, 59617, 60168, array([ 7104.,   336., -3136.]), array([ 1851.,   122.,   -77.]), array([-342.,    0.,  446.]))
(1, 61273, 61633, 60168, array([ 7088.,   400., -3104.]), array([ 209.,  -10.,   99.]), array([-342.,    0.,  446.]))
(1, 62698, 62641, 62716, array([ 7104.,   480., -3008.]), array([ 344.,   19.,   83.]), array([-344.,    0.,  451.]))
(1, 63646, 63650, 62716, array([ 7104.,   560., -3056.]), array([ 320.,   25.,   74.]), array([-344.,    0.,  451.]))
(1, 64596, 64658, 62716, array([ 7104.,   544., -3008.]), array([ 310.,   20.,   97.]), array([-344.,    0.,  451.]))
(1, 484, 130, 65261, array([ 7152.,   576., -3008.]), array([ 292.,   42.,  114.]), array([-344.,    2.,  451.]))
(1, 1434, 1138, 65261, array([ 7104.,   528., -3008.]), array([ 290.,   39.,   70.]), array([-344.,    2.,  451.]))
(1, 2858, 2146, 2271, array([ 7136.,   560., -3008.]), array([ 292.,  -27.,   37.]), array([-350.,    2.,  449.]))
(1, 3808, 3154, 2271, array([ 7104.,   576., -3008.]), array([ 279.,  -56.,    0.]), array([-350.,    2.,  449.]))
(1, 4758, 4163, 4818, array([ 7200.,   592., -3008.]), array([ 314.,  -54.,    8.]), array([-344.,    0.,  453.]))
(1, 6183, 6179, 4818, array([ 7168.,   640., -2944.]), array([ 347.,  -33.,  -42.]), array([-344.,    0.,  453.]))
(1, 7132, 7187, 7365, array([ 7216.,   624., -2880.]), array([ 395.,    2.,  -59.]), array([-341.,    3.,  453.]))
(1, 8081, 8195, 7365, array([ 7184.,   608., -2832.]), array([ 398.,  -32., -105.]), array([-341.,    3.,  453.]))
(1, 9505, 9204, 7365, array([ 7200.,   688., -2896.]), array([ 411.,    4., -129.]), array([-341.,    3.,  453.]))
(1, 10454, 10212, 9911, array([ 7168.,   720., -2864.]), array([ 413.,    4., -174.]), array([-341.,    0.,  450.]))
(1, 11403, 11220, 9911, array([ 7216.,   848., -2848.]), array([ 464.,   27., -198.]), array([-341.,    0.,  450.]))
(1, 12827, 12228, 12457, array([ 7184.,   816., -2800.]), array([ 552.,   21., -236.]), array([-343.,    2.,  454.]))
(1, 13777, 13236, 12457, array([ 7264.,   864., -2800.]), array([ 576.,   36., -253.]), array([-343.,    2.,  454.]))
(1, 15201, 14244, 15003, array([ 7264.,   864., -2736.]), array([ 651.,   78., -278.]), array([-342.,    2.,  452.]))
(1, 16150, 16261, 15003, array([ 7312.,   896., -2736.]), array([ 757.,  130., -315.]), array([-342.,    2.,  452.]))
(1, 17099, 17269, 15003, array([ 7360.,   880., -2688.]), array([ 821.,  159., -340.]), array([-342.,    2.,  452.]))
(1, 18523, 18277, 17550, array([ 7360.,   944., -2656.]), array([ 885.,  201., -353.]), array([-345.,    4.,  454.]))
(1, 19472, 19285, 17550, array([ 7344.,  1024., -2608.]), array([ 954.,  193., -348.]), array([-345.,    4.,  454.]))
(1, 20421, 20293, 20097, array([ 7296.,  1040., -2560.]), array([ 982.,  207., -400.]), array([-342.,    7.,  454.]))
(1, 21846, 21302, 20097, array([ 7232.,  1072., -2400.]), array([ 1031.,   226.,  -435.]), array([-342.,    7.,  454.]))
(1, 22795, 22310, 22644, array([ 7088.,  1168., -2240.]), array([ 1129.,   215.,  -467.]), array([-341.,    6.,  452.]))
(1, 24219, 23318, 22644, array([ 7088.,  1216., -2096.]), array([ 1210.,   281.,  -466.]), array([-341.,    6.,  452.]))
(1, 25169, 25334, 25191, array([ 7056.,  1376., -1872.]), array([ 1268.,   363.,  -562.]), array([-342.,    7.,  453.]))
(1, 26118, 26342, 25191, array([ 6992.,  1568., -1888.]), array([ 1339.,   415.,  -623.]), array([-342.,    7.,  453.]))
(1, 27541, 27351, 25191, array([ 6944.,  1856., -1824.]), array([ 1439.,   489.,  -702.]), array([-342.,    7.,  453.]))
(1, 28490, 28359, 27737, array([ 6848.,  2048., -1840.]), array([ 1466.,   586.,  -803.]), array([-342.,    5.,  453.]))
(1, 29439, 29367, 27737, array([ 6816.,  2176., -1936.]), array([ 1585.,   668.,  -891.]), array([-342.,    5.,  453.]))
(1, 30863, 30375, 30282, array([ 6784.,  2336., -2128.]), array([ 1642.,   795., -1027.]), array([-343.,    8.,  456.]))
(1, 31812, 31383, 30282, array([ 6848.,  2368., -2208.]), array([ 1687.,   941., -1195.]), array([-343.,    8.,  456.]))
(1, 33236, 32391, 32828, array([ 6912.,  2384., -2480.]), array([ 1737.,  1085., -1325.]), array([-348.,   11.,  451.]))
(1, 34185, 33400, 32828, array([ 6976.,  2384., -2640.]), array([ 1716.,  1200., -1476.]), array([-348.,   11.,  451.]))
(1, 35134, 35416, 35376, array([ 7152.,  2416., -2784.]), array([ 1662.,  1384., -1834.]), array([-346.,    9.,  453.]))
(1, 36559, 36424, 35376, array([ 7248.,  2320., -2768.]), array([ 1599.,  1445., -1991.]), array([-346.,    9.,  453.]))
(1, 37508, 37432, 35376, array([ 7312.,  2224., -2784.]), array([ 1528.,  1454., -2175.]), array([-346.,    9.,  453.]))
(1, 38457, 38441, 37922, array([ 7360.,  2256., -2688.]), array([ 1406.,  1517., -2308.]), array([-346.,    9.,  449.]))
(1, 39881, 39449, 37922, array([ 7488.,  2192., -2656.]), array([ 1328.,  1481., -2472.]), array([-346.,    9.,  449.]))
(1, 40831, 40457, 40469, array([ 7504.,  2272., -2688.]), array([ 1156.,  1470., -2639.]), array([-352.,    2.,  449.]))
(1, 41780, 41465, 40469, array([ 7568.,  2320., -2752.]), array([ 1059.,  1500., -2724.]), array([-352.,    2.,  449.]))
(1, 43203, 42473, 43017, array([ 7712.,  2512., -2704.]), array([ 1007.,  1457., -2813.]), array([-348.,    5.,  446.]))
