(1, 20637, 19798, 18061, array([ 5840.,  1232., -2384.]), array([ 20535., -13397.,  21060.]), array([ 267., -122.,  487.]))
(1, 21586, 21800, 18061, array([ 7408.,   320., -1568.]), array([  4180.,  15669.,    177.]), array([ 267., -122.,  487.]))
(1, 22536, 22801, 18061, array([ 7824.,   112., -1392.]), array([ 4495.,  1860.,   224.]), array([ 267., -122.,  487.]))
(1, 23960, 23803, 23019, array([ 7872.,    80., -1312.]), array([ 4520.,  2011.,   221.]), array([-420.,   63.,  403.]))
(1, 24909, 24804, 23019, array([ 7936.,    96., -1376.]), array([ 4540.,  1987.,   190.]), array([-420.,   63.,  403.]))
(1, 26334, 25805, 25565, array([ 7920.,   112., -1360.]), array([ 4508.,  1998.,   195.]), array([-420.,   64.,  403.]))
(1, 27283, 26806, 25565, array([ 7904.,    48., -1360.]), array([ 4497.,  1992.,   205.]), array([-420.,   64.,  403.]))
(1, 28233, 27808, 28111, array([ 7920.,    64., -1328.]), array([ 4494.,  1956.,   206.]), array([-417.,   66.,  404.]))
(1, 29657, 28809, 28111, array([ 7936.,    16., -1280.]), array([ 4526.,  1984.,   234.]), array([-417.,   66.,  404.]))
(1, 30606, 30811, 30655, array([ 7872.,    32., -1280.]), array([ 4467.,  2013.,   209.]), array([-418.,   67.,  406.]))
(1, 31555, 31817, 30655, array([ 7840.,   112., -1296.]), array([ 4513.,  1994.,   213.]), array([-418.,   67.,  406.]))
(1, 32979, 32825, 30655, array([ 7840.,    64., -1280.]), array([ 4303.,  1936.,   197.]), array([-418.,   67.,  406.]))
(1, 33928, 33833, 33202, array([ 7856.,   112., -1328.]), array([ 4339.,  1962.,   175.]), array([-418.,   67.,  406.]))
(1, 35353, 34840, 33202, array([ 7824.,   112., -1280.]), array([ 4350.,  1945.,   132.]), array([-418.,   67.,  406.]))
(1, 36302, 35848, 35748, array([ 7840.,    80., -1264.]), array([ 4354.,  1916.,   108.]), array([-414.,   69.,  407.]))
(1, 37251, 36856, 35748, array([ 7728.,   128., -1248.]), array([ 4424.,  1889.,    99.]), array([-414.,   69.,  407.]))
(1, 38674, 37864, 38295, array([ 7792.,   128., -1296.]), array([ 4489.,  1820.,    56.]), array([-419.,   67.,  405.]))
(1, 39623, 38872, 38295, array([ 7776.,   144., -1264.]), array([ 4584.,  1725.,     6.]), array([-419.,   67.,  405.]))
(1, 40573, 40888, 40842, array([ 7840.,   128., -1280.]), array([ 4500.,  1534.,  -164.]), array([-415.,   68.,  405.]))
(1, 41997, 41896, 40842, array([ 7792.,   160., -1296.]), array([ 4171.,  1309.,  -142.]), array([-415.,   68.,  405.]))
(1, 42947, 42904, 40842, array([ 7776.,   224., -1312.]), array([ 3706.,  1125.,  -113.]), array([-415.,   68.,  405.]))
(1, 43896, 43912, 43388, array([ 7792.,   208., -1296.]), array([ 3221.,   909.,  -127.]), array([-415.,   69.,  405.]))
(1, 45320, 44920, 43388, array([ 7744.,   256., -1248.]), array([ 2752.,   721.,   -93.]), array([-415.,   69.,  405.]))
(1, 46269, 45928, 45933, array([ 7760.,   240., -1344.]), array([ 2359.,   561.,   -86.]), array([-414.,   69.,  405.]))
(1, 47692, 46936, 45933, array([ 7744.,   272., -1376.]), array([ 2044.,   430.,   -69.]), array([-414.,   69.,  405.]))
(1, 48641, 47944, 48478, array([ 7808.,   272., -1376.]), array([ 1321.,   283.,    -6.]), array([-415.,   71.,  406.]))
(1, 49590, 49960, 48478, array([ 7840.,   272., -1344.]), array([ 111.,  242.,  115.]), array([-415.,   71.,  406.]))
(1, 51015, 50968, 51024, array([ 7824.,   272., -1344.]), array([ 270.,  310.,  104.]), array([-417.,   67.,  404.]))
(1, 51964, 51976, 51024, array([ 7856.,   288., -1424.]), array([ 235.,  282.,  105.]), array([-417.,   67.,  404.]))
(1, 52913, 52985, 51024, array([ 7872.,   240., -1504.]), array([ 258.,  325.,   94.]), array([-417.,   67.,  404.]))
(1, 54338, 53993, 53570, array([ 7888.,   224., -1472.]), array([ 345.,  334.,   77.]), array([-417.,   66.,  404.]))
(1, 55287, 55001, 53570, array([ 7856.,   272., -1488.]), array([ 334.,  310.,  103.]), array([-417.,   66.,  404.]))
(1, 56711, 56009, 56115, array([ 7840.,   240., -1568.]), array([ 358.,  315.,   72.]), array([-421.,   68.,  406.]))
(1, 57660, 57017, 56115, array([ 7824.,   224., -1536.]), array([ 450.,  357.,   83.]), array([-421.,   68.,  406.]))
(1, 58609, 58025, 58662, array([ 7824.,   192., -1504.]), array([ 422.,  413.,   73.]), array([-416.,   67.,  403.]))
(1, 60033, 60041, 58662, array([ 7872.,   192., -1552.]), array([ 474.,  370.,   47.]), array([-416.,   67.,  403.]))
(1, 60982, 61050, 61207, array([ 7856.,   176., -1520.]), array([ 471.,  373.,   54.]), array([-416.,   66.,  403.]))
(1, 61931, 62058, 61207, array([ 7872.,   160., -1504.]), array([ 465.,  363.,   79.]), array([-416.,   66.,  403.]))
(1, 63355, 63066, 61207, array([ 7856.,   176., -1536.]), array([ 470.,  352.,   80.]), array([-416.,   66.,  403.]))
(1, 64304, 64074, 63753, array([ 7904.,   208., -1536.]), array([ 497.,  378.,   71.]), array([-415.,   71.,  403.]))
(1, 65254, 65082, 63753, array([ 7872.,   192., -1536.]), array([ 492.,  351.,   54.]), array([-415.,   71.,  403.]))
(1, 1142, 554, 765, array([ 7840.,   208., -1520.]), array([ 485.,  362.,   49.]), array([-418.,   70.,  405.]))
(1, 2091, 1562, 765, array([ 7840.,   224., -1472.]), array([ 522.,  350.,   61.]), array([-418.,   70.,  405.]))
(1, 3516, 2570, 3312, array([ 7888.,   256., -1504.]), array([ 504.,  331.,   62.]), array([-417.,   69.,  403.]))
(1, 4465, 4587, 3312, array([ 7904.,   224., -1504.]), array([ 558.,  350.,   64.]), array([-417.,   69.,  403.]))
(1, 5415, 5595, 3312, array([ 7904.,   256., -1520.]), array([ 534.,  345.,   53.]), array([-417.,   69.,  403.]))
(1, 6839, 6603, 5858, array([ 7936.,   144., -1520.]), array([ 581.,  363.,   38.]), array([-415.,   72.,  403.]))
(1, 7788, 7611, 5858, array([ 7888.,   128., -1520.]), array([ 592.,  353.,    6.]), array([-415.,   72.,  403.]))
(1, 8738, 8619, 8405, array([ 7904.,    96., -1520.]), array([ 576.,  336.,   22.]), array([-420.,   75.,  400.]))
(1, 10162, 9627, 8405, array([ 7920.,   112., -1552.]), array([ 562.,  348.,   14.]), array([-420.,   75.,  400.]))
(1, 11112, 10635, 10952, array([ 7952.,    96., -1536.]), array([ 539.,  358.,   10.]), array([-415.,   71.,  405.]))
