(1, 60066, 59227, 57502, array([ 7936.,   144., -1200.]), array([ 30019.,  15009., -30478.]), array([-531.,  205.,  133.]))
(1, 61015, 61229, 57502, array([ 7936.,   272., -1248.]), array([  4192., -12809.,    164.]), array([-531.,  205.,  133.]))
(1, 61965, 62231, 57502, array([ 7984.,   272., -1312.]), array([ 4506.,  1850.,   210.]), array([-531.,  205.,  133.]))
(1, 63389, 63232, 62447, array([ 7936.,   208., -1296.]), array([ 4501.,  1997.,   217.]), array([-431.,   57.,  387.]))
(1, 64339, 64233, 62447, array([ 7968.,   224., -1232.]), array([ 4532.,  1973.,   214.]), array([-431.,   57.,  387.]))
(1, 226, 65235, 64992, array([ 7952.,   288., -1184.]), array([ 4531.,  1983.,   233.]), array([-431.,   55.,  387.]))
(1, 1176, 700, 64992, array([ 8016.,   352., -1168.]), array([ 4497.,  1977.,   232.]), array([-431.,   55.,  387.]))
(1, 2125, 1701, 2000, array([ 8000.,   352., -1216.]), array([ 4536.,  1961.,   202.]), array([-434.,   54.,  393.]))
(1, 3550, 2702, 2000, array([ 8032.,   288., -1344.]), array([ 4534.,  1970.,   194.]), array([-434.,   54.,  393.]))
(1, 4499, 4705, 4544, array([ 8000.,   240., -1280.]), array([ 4466.,  1996.,   216.]), array([-433.,   57.,  390.]))
(1, 5448, 5710, 4544, array([ 8080.,   272., -1264.]), array([ 4605.,  2007.,   198.]), array([-433.,   57.,  390.]))
(1, 6872, 6718, 4544, array([ 8048.,   288., -1296.]), array([ 4373.,  1969.,   159.]), array([-433.,   57.,  390.]))
(1, 7821, 7726, 7089, array([ 7968.,   320., -1328.]), array([ 4322.,  1974.,   163.]), array([-433.,   57.,  390.]))
(1, 9245, 8734, 7089, array([ 8000.,   224., -1296.]), array([ 4373.,  1973.,   136.]), array([-433.,   57.,  390.]))
(1, 10195, 9742, 9633, array([ 7968.,   224., -1280.]), array([ 4385.,  1961.,   103.]), array([-433.,   57.,  391.]))
(1, 11144, 10750, 9633, array([ 7968.,   256., -1264.]), array([ 4401.,  1924.,    74.]), array([-433.,   57.,  391.]))
(1, 12568, 11758, 12178, array([ 7968.,   304., -1296.]), array([  4.49200000e+03,   1.83400000e+03,   4.00000000e+00]), array([-435.,   55.,  390.]))
(1, 13517, 12766, 12178, array([ 7952.,   304., -1280.]), array([ 4589.,  1710.,   -61.]), array([-435.,   55.,  390.]))
(1, 14466, 14781, 14723, array([ 7920.,   240., -1440.]), array([ 4516.,  1516.,  -190.]), array([-432.,   56.,  391.]))
(1, 15891, 15789, 14723, array([ 7920.,   272., -1280.]), array([ 4145.,  1281.,  -214.]), array([-432.,   56.,  391.]))
(1, 16839, 16797, 14723, array([ 8000.,   256., -1232.]), array([ 3642.,  1047.,  -212.]), array([-432.,   56.,  391.]))
(1, 17789, 17805, 17267, array([ 7984.,   256., -1312.]), array([ 3151.,   870.,  -196.]), array([-433.,   56.,  392.]))
(1, 19212, 18813, 17267, array([ 8000.,   288., -1296.]), array([ 2696.,   671.,  -165.]), array([-433.,   56.,  392.]))
(1, 20161, 19821, 19812, array([ 7936.,   288., -1280.]), array([ 2222.,   524.,  -184.]), array([-435.,   55.,  390.]))
(1, 21584, 20829, 19812, array([ 7968.,   208., -1296.]), array([ 1811.,   332.,  -171.]), array([-435.,   55.,  390.]))
(1, 22533, 21837, 22356, array([ 7936.,   256., -1312.]), array([ 874.,  155.,  -84.]), array([-432.,   55.,  391.]))
(1, 23483, 23854, 22356, array([ 7968.,   272., -1312.]), array([-264.,   68.,   33.]), array([-432.,   55.,  391.]))
(1, 24906, 24862, 24902, array([ 7920.,   320., -1344.]), array([-153.,   86.,   37.]), array([-434.,   55.,  390.]))
(1, 25856, 25870, 24902, array([ 7968.,   288., -1328.]), array([-134.,   67.,   53.]), array([-434.,   55.,  390.]))
(1, 26805, 26878, 24902, array([ 7936.,   336., -1296.]), array([-117.,   86.,   62.]), array([-434.,   55.,  390.]))
(1, 28229, 27886, 27448, array([ 7952.,   336., -1248.]), array([-112.,   92.,   73.]), array([-432.,   54.,  391.]))
(1, 29178, 28894, 27448, array([ 7952.,   368., -1312.]), array([-71.,  72.,  80.]), array([-432.,   54.,  391.]))
(1, 30601, 29902, 29992, array([ 7968.,   416., -1344.]), array([ 18.,  95.,  50.]), array([-434.,   55.,  391.]))
(1, 31550, 30910, 29992, array([ 7952.,   368., -1328.]), array([ 93.,  86.,  37.]), array([-434.,   55.,  391.]))
(1, 32500, 31918, 32537, array([ 8000.,   416., -1312.]), array([ 126.,   68.,   44.]), array([-434.,   56.,  390.]))
(1, 33924, 33934, 32537, array([ 7952.,   432., -1280.]), array([ 267.,  126.,   72.]), array([-434.,   56.,  390.]))
(1, 34873, 34943, 35081, array([ 7936.,   368., -1296.]), array([ 287.,  117.,   68.]), array([-434.,   55.,  390.]))
(1, 35822, 35951, 35081, array([ 7968.,   352., -1360.]), array([ 314.,  106.,   72.]), array([-434.,   55.,  390.]))
(1, 37247, 36959, 35081, array([ 7968.,   304., -1360.]), array([ 318.,  122.,   62.]), array([-434.,   55.,  390.]))
(1, 38196, 37967, 37626, array([ 7936.,   256., -1328.]), array([ 312.,  126.,   48.]), array([-433.,   53.,  391.]))
(1, 39146, 38975, 37626, array([ 7936.,   224., -1328.]), array([ 346.,  116.,   60.]), array([-433.,   53.,  391.]))
(1, 40569, 39983, 40170, array([ 7968.,   208., -1280.]), array([ 290.,  140.,   63.]), array([-433.,   55.,  389.]))
(1, 41518, 40991, 40170, array([ 7952.,   224., -1296.]), array([ 214.,  136.,   74.]), array([-433.,   55.,  389.]))
(1, 42942, 41999, 42715, array([ 7904.,   176., -1296.]), array([ 179.,  131.,   86.]), array([-433.,   58.,  390.]))
(1, 43892, 44015, 42715, array([ 7872.,   224., -1264.]), array([ 125.,  124.,   64.]), array([-433.,   58.,  390.]))
(1, 44841, 45023, 42715, array([ 7888.,   176., -1376.]), array([ 93.,  98.,  46.]), array([-433.,   58.,  390.]))
(1, 46264, 46032, 45260, array([ 7904.,   208., -1312.]), array([ 70.,  71.,  56.]), array([-431.,   54.,  389.]))
(1, 47213, 47040, 45260, array([ 7936.,   240., -1360.]), array([  59.,  100.,   71.]), array([-431.,   54.,  389.]))
(1, 48163, 48048, 47805, array([ 7920.,   272., -1312.]), array([  54.,  136.,   68.]), array([-436.,   57.,  392.]))
(1, 49587, 49056, 47805, array([ 7952.,   288., -1296.]), array([ 109.,  142.,   86.]), array([-436.,   57.,  392.]))
(1, 50536, 50064, 50351, array([ 7952.,   240., -1296.]), array([ 102.,  150.,   78.]), array([-433.,   55.,  395.]))
(1, 51959, 51072, 50351, array([ 8016.,   224., -1296.]), array([ 125.,  152.,   94.]), array([-433.,   55.,  395.]))
(1, 52908, 53088, 52895, array([ 7952.,   256., -1312.]), array([ 111.,  151.,   36.]), array([-431.,   58.,  389.]))
(1, 53857, 54096, 52895, array([ 7936.,   256., -1296.]), array([  77.,  111.,   47.]), array([-431.,   58.,  389.]))
(1, 55281, 55104, 52895, array([ 7984.,   192., -1328.]), array([  47.,  145.,   18.]), array([-431.,   58.,  389.]))
(1, 56230, 56112, 55441, array([ 7984.,   208., -1264.]), array([  75.,  132.,   30.]), array([-432.,   53.,  389.]))
(1, 57180, 57120, 55441, array([ 7936.,   272., -1248.]), array([  58.,  130.,   30.]), array([-432.,   53.,  389.]))
(1, 58603, 58129, 57985, array([ 7904.,   288., -1328.]), array([  29.,  140.,   -6.]), array([-435.,   56.,  388.]))
(1, 59553, 59137, 57985, array([ 7968.,   288., -1296.]), array([  33.,  157.,   14.]), array([-435.,   56.,  388.]))
(1, 60977, 60145, 60530, array([ 8000.,   336., -1392.]), array([  41.,  131.,   25.]), array([-433.,   57.,  394.]))
(1, 61926, 61153, 60530, array([ 7904.,   336., -1360.]), array([ 107.,  131.,   59.]), array([-433.,   57.,  394.]))
(1, 62875, 63169, 63075, array([ 7936.,   368., -1376.]), array([ 128.,  139.,   10.]), array([-433.,   55.,  394.]))
(1, 64298, 64177, 63075, array([ 7888.,   288., -1376.]), array([ 169.,  114.,   44.]), array([-433.,   55.,  394.]))
(1, 65248, 65185, 63075, array([ 7824.,   288., -1376.]), array([ 136.,  140.,   56.]), array([-433.,   55.,  394.]))
(1, 661, 657, 83, array([ 7728.,   256., -1472.]), array([ 171.,  162.,   51.]), array([-432.,   55.,  394.]))
(1, 2085, 1665, 83, array([ 7600.,   240., -1584.]), array([ 114.,  145.,   78.]), array([-432.,   55.,  394.]))
(1, 3034, 2673, 2629, array([ 7536.,   192., -1680.]), array([  52.,  121.,   66.]), array([-431.,   56.,  394.]))
(1, 3983, 3682, 2629, array([ 7456.,   160., -1808.]), array([ -28.,  131.,   63.]), array([-431.,   56.,  394.]))
(1, 5407, 4690, 5174, array([ 7504.,    80., -1840.]), array([-213.,  125.,   99.]), array([-434.,   58.,  389.]))
(1, 6357, 6706, 5174, array([ 7552.,   128., -1840.]), array([-673.,  117.,  144.]), array([-434.,   58.,  389.]))
(1, 7782, 7714, 7719, array([ 7600.,   160., -1920.]), array([-880.,   91.,  122.]), array([-432.,   53.,  391.]))
(1, 8731, 8722, 7719, array([ 7648.,   272., -1888.]), array([-1060.,    39.,   103.]), array([-432.,   53.,  391.]))
(1, 9681, 9730, 7719, array([ 7744.,   304., -1920.]), array([-1279.,    17.,    97.]), array([-432.,   53.,  391.]))
(1, 11104, 10738, 10262, array([ 7888.,   592., -1872.]), array([-1460.,   -18.,    61.]), array([-434.,   51.,  389.]))
(1, 12053, 11746, 10262, array([ 7936.,   672., -1840.]), array([-1597.,   -75.,    -4.]), array([-434.,   51.,  389.]))
(1, 13003, 12754, 12808, array([ 7936.,   720., -1856.]), array([-1648.,  -152.,   -39.]), array([-431.,   51.,  389.]))
(1, 14427, 13762, 12808, array([ 8096.,   688., -1904.]), array([-1626.,  -205.,   -67.]), array([-431.,   51.,  389.]))
(1, 15376, 14771, 15352, array([ 8144.,   672., -1936.]), array([-1480.,  -160.,   -93.]), array([-436.,   48.,  390.]))
(1, 16800, 16787, 15352, array([ 8176.,   704., -2000.]), array([-1269.,  -145.,  -119.]), array([-436.,   48.,  390.]))
(1, 17749, 17795, 17897, array([ 8176.,   656., -1984.]), array([-1149.,  -145.,  -157.]), array([-433.,   43.,  388.]))
(1, 18698, 18803, 17897, array([ 8128.,   704., -1984.]), array([-1004.,  -182.,  -181.]), array([-433.,   43.,  388.]))
(1, 20122, 19811, 17897, array([ 8000.,   704., -2096.]), array([-914., -189., -196.]), array([-433.,   43.,  388.]))
(1, 21071, 20819, 20442, array([ 7936.,   704., -2240.]), array([-784., -176., -194.]), array([-433.,   42.,  392.]))
(1, 22020, 21827, 20442, array([ 8016.,   608., -2368.]), array([-715., -204., -175.]), array([-433.,   42.,  392.]))
(1, 23444, 22835, 22987, array([ 8016.,   384., -2480.]), array([-737., -190., -125.]), array([-429.,   40.,  390.]))
(1, 24392, 23843, 22987, array([ 8016.,   368., -2672.]), array([-729., -212.,  -98.]), array([-429.,   40.,  390.]))
(1, 25816, 24851, 25531, array([ 8096.,   224., -2928.]), array([-826., -224.,  -78.]), array([-429.,   36.,  390.]))
(1, 26765, 26868, 25531, array([ 8096.,   160., -3104.]), array([-1066.,  -294.,   -23.]), array([-429.,   36.,  390.]))
(1, 27714, 27876, 28077, array([ 8096.,   224., -3360.]), array([-1350.,  -370.,     5.]), array([-432.,   36.,  392.]))
(1, 29138, 28884, 28077, array([ 8016.,   352., -3616.]), array([-1591.,  -505.,    21.]), array([-432.,   36.,  392.]))
(1, 30088, 29892, 28077, array([ 8000.,   352., -3792.]), array([-1843.,  -561.,    33.]), array([-432.,   36.,  392.]))
(1, 31037, 30900, 30622, array([ 8064.,   256., -3872.]), array([-2025.,  -624.,   101.]), array([-431.,   32.,  395.]))
(1, 32460, 31908, 30622, array([ 8016.,   432., -4032.]), array([-2297.,  -651.,   129.]), array([-431.,   32.,  395.]))
(1, 33409, 32916, 33167, array([ 8000.,   560., -4160.]), array([-2611.,  -751.,   147.]), array([-426.,   28.,  395.]))
(1, 34358, 33924, 33167, array([ 8032.,   720., -4272.]), array([-2828.,  -868.,   129.]), array([-426.,   28.,  395.]))
(1, 35782, 35940, 35712, array([ 8080.,   976., -4320.]), array([-3259., -1049.,   144.]), array([-428.,   24.,  397.]))
(1, 36731, 36949, 35712, array([ 8112.,  1120., -4416.]), array([-3330., -1170.,   110.]), array([-428.,   24.,  397.]))
(1, 38155, 37957, 35712, array([ 8176.,  1328., -4512.]), array([-3281., -1293.,    70.]), array([-428.,   24.,  397.]))
(1, 39104, 38965, 38257, array([ 8192.,  1408., -4544.]), array([-3176., -1403.,    26.]), array([-424.,   21.,  400.]))
(1, 40054, 39973, 38257, array([ 8176.,  1520., -4608.]), array([-3115., -1517.,   -46.]), array([-424.,   21.,  400.]))
(1, 41478, 40981, 40802, array([ 8224.,  1696., -4624.]), array([-2929., -1606.,  -132.]), array([-420.,   13.,  400.]))
(1, 42427, 41989, 40802, array([ 8240.,  1744., -4672.]), array([-2738., -1699.,  -210.]), array([-420.,   13.,  400.]))
(1, 43375, 42997, 43347, array([ 8416.,  1856., -4736.]), array([-2443., -1789.,  -311.]), array([-421.,    9.,  401.]))
(1, 44799, 44005, 43347, array([ 8480.,  1824., -4912.]), array([-2096., -1858.,  -421.]), array([-421.,    9.,  401.]))
(1, 45748, 46021, 45892, array([ 8592.,  1744., -5040.]), array([-1524., -2043.,  -691.]), array([-418.,    6.,  402.]))
(1, 47172, 47029, 45892, array([ 8720.,  1536., -5168.]), array([-1238., -2154.,  -808.]), array([-418.,    6.,  402.]))
(1, 48121, 48038, 45892, array([ 8752.,  1392., -5248.]), array([-1048., -2278.,  -933.]), array([-418.,    6.,  402.]))
(1, 49070, 49046, 48437, array([ 8704.,  1344., -5296.]), array([ -865., -2431., -1063.]), array([-413.,    0.,  405.]))
(1, 50493, 50054, 48437, array([ 8704.,  1136., -5312.]), array([ -727., -2606., -1125.]), array([-413.,    0.,  405.]))
(1, 51442, 51062, 50980, array([ 8704.,  1024., -5152.]), array([ -489., -2736., -1185.]), array([-410.,   -4.,  416.]))
(1, 52392, 52070, 50980, array([ 8624.,   912., -5072.]), array([ -334., -2856., -1230.]), array([-410.,   -4.,  416.]))
(1, 53815, 53078, 53525, array([ 8544.,   816., -4960.]), array([ -270., -3014., -1238.]), array([-410.,   -7.,  416.]))
(1, 54764, 54086, 53525, array([ 8432.,   752., -4880.]), array([ -132., -3189., -1249.]), array([-410.,   -7.,  416.]))
(1, 56188, 56102, 56070, array([ 8400.,   672., -4928.]), array([  130., -3534., -1197.]), array([-400.,  -10.,  418.]))
(1, 57137, 57110, 56070, array([ 8336.,   576., -4960.]), array([  255., -3656., -1110.]), array([-400.,  -10.,  418.]))
(1, 58086, 58118, 56070, array([ 8240.,   544., -5056.]), array([  341., -3778.,  -965.]), array([-400.,  -10.,  418.]))
(1, 59510, 59127, 58615, array([ 8272.,   656., -5216.]), array([  440., -3965.,  -849.]), array([-394.,   -7.,  432.]))
(1, 60459, 60135, 58615, array([ 8320.,   784., -5280.]), array([  431., -4070.,  -713.]), array([-394.,   -7.,  432.]))
(1, 61408, 61143, 61161, array([ 8240.,   976., -5456.]), array([  514., -4212.,  -603.]), array([-385.,  -10.,  432.]))
(1, 62831, 62151, 61161, array([ 8192.,  1008., -5744.]), array([  564., -4363.,  -496.]), array([-385.,  -10.,  432.]))
(1, 63780, 63159, 63704, array([ 8320.,  1072., -5968.]), array([  643., -4525.,  -398.]), array([-379.,  -11.,  438.]))
(1, 64729, 65175, 63704, array([ 8560.,  1216., -6144.]), array([  820., -4716.,  -257.]), array([-379.,  -11.,  438.]))
(1, 617, 647, 712, array([ 9104.,  1328., -6336.]), array([  909., -4778.,  -242.]), array([-372.,  -15.,  444.]))
(1, 1566, 1655, 712, array([ 9248.,  1376., -6464.]), array([ 1021., -4897.,  -290.]), array([-372.,  -15.,  444.]))
(1, 2989, 2663, 712, array([ 9408.,  1280., -6400.]), array([ 1068., -5081.,  -343.]), array([-372.,  -15.,  444.]))
(1, 3939, 3672, 3257, array([ 9360.,  1200., -6320.]), array([ 1126., -5271.,  -433.]), array([-366.,  -13.,  455.]))
(1, 4888, 4680, 3257, array([ 9376.,  1200., -6192.]), array([ 1209., -5455.,  -501.]), array([-366.,  -13.,  455.]))
(1, 6312, 5688, 5801, array([ 9280.,  1040., -5856.]), array([ 1325., -5616.,  -534.]), array([-360.,  -13.,  458.]))
(1, 7260, 6696, 5801, array([ 9136.,   672., -5776.]), array([ 1460., -5780.,  -508.]), array([-360.,  -13.,  458.]))
(1, 8210, 7704, 8345, array([ 9184.,   464., -5824.]), array([ 1417., -5895.,  -586.]), array([-345.,  -12.,  468.]))
(1, 9634, 9720, 8345, array([ 9376.,   352., -6016.]), array([ 1071., -6196.,  -772.]), array([-345.,  -12.,  468.]))
(1, 10584, 10728, 10889, array([ 9264.,   368., -6352.]), array([  871., -6300.,  -755.]), array([-333.,  -12.,  476.]))
(1, 12007, 11736, 10889, array([ 9488.,   240., -6448.]), array([  687., -6423.,  -735.]), array([-333.,  -12.,  476.]))
(1, 12957, 12744, 10889, array([ 9520.,   160., -6496.]), array([  484., -6538.,  -658.]), array([-333.,  -12.,  476.]))
(1, 13906, 13752, 13433, array([ 9472.,    96., -6496.]), array([  296., -6635.,  -576.]), array([-306.,  -14.,  493.]))
(1, 15330, 14761, 13433, array([ 9472.,   112., -6464.]), array([   76., -6771.,  -508.]), array([-306.,  -14.,  493.]))
(1, 16279, 15769, 15977, array([ 9504.,   192., -6448.]), array([ -144., -6949.,  -425.]), array([-306.,  -17.,  493.]))
(1, 17228, 16777, 15977, array([ 9536.,   288., -6384.]), array([ -400., -7108.,  -348.]), array([-306.,  -17.,  493.]))
(1, 18652, 17785, 18521, array([ 9584.,   304., -6368.]), array([ -519., -7209.,  -258.]), array([-297.,  -20.,  500.]))
(1, 19601, 19801, 18521, array([ 9696.,   432., -6416.]), array([ -550., -7373.,  -142.]), array([-297.,  -20.,  500.]))
(1, 21025, 20809, 18521, array([ 9808.,   496., -6496.]), array([ -499., -7450.,  -108.]), array([-297.,  -20.,  500.]))
(1, 21974, 21817, 21065, array([ 9856.,   528., -6416.]), array([ -380., -7552.,  -104.]), array([-264.,  -22.,  514.]))
(1, 22923, 22825, 21065, array([ 9888.,   448., -6320.]), array([ -287., -7597.,  -139.]), array([-264.,  -22.,  514.]))
(1, 24347, 23833, 23609, array([ 9696.,   352., -6000.]), array([ -129., -7689.,  -156.]), array([-264.,  -22.,  514.]))
(1, 25296, 24842, 23609, array([ 9392.,   352., -5920.]), array([   39., -7806.,  -189.]), array([-264.,  -22.,  514.]))
(1, 26246, 25850, 26154, array([ 8976.,   448., -5872.]), array([  157., -7906.,  -171.]), array([-250.,  -26.,  528.]))
(1, 27669, 26858, 26154, array([ 8640.,   496., -5856.]), array([  182., -8050.,  -103.]), array([-250.,  -26.,  528.]))
(1, 28618, 28874, 28699, array([ 8528.,   336., -5824.]), array([  394., -8283.,   135.]), array([-233.,  -27.,  528.]))
(1, 29567, 29882, 28699, array([ 8432.,   240., -5776.]), array([  457., -8312.,   252.]), array([-233.,  -27.,  528.]))
(1, 30992, 30890, 28699, array([ 8432.,   160., -6032.]), array([  526., -8348.,   368.]), array([-233.,  -27.,  528.]))
(1, 31940, 31898, 31242, array([ 8304.,   288., -6128.]), array([  490., -8411.,   451.]), array([-217.,  -24.,  537.]))
(1, 33365, 32906, 31242, array([ 8448.,   432., -6176.]), array([  395., -8444.,   501.]), array([-217.,  -24.,  537.]))
(1, 34314, 33914, 33786, array([ 8576.,   480., -6256.]), array([  361., -8461.,   583.]), array([-202.,  -24.,  541.]))
(1, 35263, 34922, 33786, array([ 8720.,   512., -6336.]), array([  321., -8471.,   622.]), array([-202.,  -24.,  541.]))
(1, 36687, 35931, 36329, array([ 8672.,   592., -6064.]), array([  268., -8527.,   591.]), array([-187.,  -24.,  550.]))
(1, 37636, 36939, 36329, array([ 8640.,   608., -5824.]), array([  242., -8584.,   578.]), array([-187.,  -24.,  550.]))
(1, 38585, 38955, 38873, array([ 8448.,   704., -5568.]), array([  369., -8664.,   500.]), array([-166.,  -25.,  557.]))
(1, 40009, 39963, 38873, array([ 8240.,   896., -5136.]), array([  491., -8694.,   452.]), array([-166.,  -25.,  557.]))
(1, 40959, 40971, 38873, array([ 8096.,   992., -4912.]), array([  762., -8750.,   421.]), array([-166.,  -25.,  557.]))
(1, 42382, 41979, 41418, array([ 7792.,   912., -4576.]), array([ 1160., -8748.,   422.]), array([-147.,  -24.,  560.]))
(1, 43332, 42987, 41418, array([ 7472.,   816., -4352.]), array([ 1625., -8740.,   445.]), array([-147.,  -24.,  560.]))
(1, 44281, 43995, 43963, array([ 7472.,   736., -3984.]), array([ 2222., -8746.,   482.]), array([-130.,  -19.,  569.]))
(1, 45704, 45003, 43963, array([ 7616.,   992., -3088.]), array([ 2820., -8694.,   495.]), array([-130.,  -19.,  569.]))
(1, 46653, 46012, 46507, array([ 7632.,  1488., -2576.]), array([ 3455., -8592.,   554.]), array([-114.,  -12.,  570.]))
(1, 47602, 48028, 46507, array([ 7376.,  1840., -2176.]), array([ 5106., -8276.,   462.]), array([-114.,  -12.,  570.]))
(1, 49025, 49036, 49052, array([ 6512.,  1920., -1168.]), array([ 6008., -8237.,   333.]), array([ -74.,    0.,  577.]))
(1, 49974, 50044, 49052, array([ 6160.,  1664.,  -688.]), array([ 6823., -8107.,   298.]), array([ -74.,    0.,  577.]))
(1, 51398, 51052, 49052, array([ 5744.,  1248.,  -416.]), array([ 7330., -7886.,   323.]), array([ -74.,    0.,  577.]))
(1, 52347, 52060, 51597, array([ 5568.,   944.,  -432.]), array([ 7632., -7557.,   346.]), array([ -74.,   19.,  581.]))
(1, 53296, 53068, 51597, array([ 5568.,   464.,  -464.]), array([ 7725., -7221.,   361.]), array([ -74.,   19.,  581.]))
(1, 54720, 54076, 54141, array([ 5376.,  -288.,  -512.]), array([ 7632., -6928.,   350.]), array([ -57.,   35.,  581.]))
(1, 55669, 55084, 54141, array([ 5184.,  -944.,  -512.]), array([ 7323., -6645.,   303.]), array([ -57.,   35.,  581.]))
(1, 56618, 56093, 56685, array([ 4912., -1120.,  -384.]), array([ 6694., -6397.,   228.]), array([ -43.,   49.,  581.]))
(1, 58041, 58109, 56685, array([ 4608., -1472.,  -192.]), array([ 4873., -6029.,   174.]), array([ -43.,   49.,  581.]))
(1, 58990, 59117, 59229, array([ 4320., -1440.,    16.]), array([ 3746., -5857.,   144.]), array([ -28.,   55.,  585.]))
(1, 59939, 60125, 59229, array([ 4160., -1104.,   144.]), array([ 2606., -5613.,   172.]), array([ -28.,   55.,  585.]))
(1, 61362, 61133, 59229, array([ 3984., -1136.,   528.]), array([ 1610., -5330.,   258.]), array([ -28.,   55.,  585.]))
(1, 62311, 62141, 61774, array([ 3920., -1152.,   912.]), array([  674., -5071.,   354.]), array([ -16.,   62.,  584.]))
