(1, 54830, 53992, 52071, array([ 7744.,   304., -2048.]), array([-28786., -27738.,   -723.]), array([-529.,  -25.,   58.]))
(1, 55780, 55993, 52071, array([ 7552.,   160., -2208.]), array([  4181.,  28260.,    196.]), array([-529.,  -25.,   58.]))
(1, 56729, 56994, 52071, array([ 7552.,   176., -2288.]), array([ 4496.,  1877.,   207.]), array([-529.,  -25.,   58.]))
(1, 58153, 57994, 57213, array([ 7552.,   176., -2288.]), array([ 4511.,  2006.,   216.]), array([-385.,   56.,  410.]))
(1, 59102, 58995, 57213, array([ 7584.,   176., -2352.]), array([ 4526.,  1982.,   222.]), array([-385.,   56.,  410.]))
(1, 60526, 59996, 59758, array([ 7584.,   176., -2384.]), array([ 4504.,  1986.,   197.]), array([-385.,   59.,  410.]))
(1, 61476, 60996, 59758, array([ 7584.,   144., -2416.]), array([ 4527.,  1996.,   197.]), array([-385.,   59.,  410.]))
(1, 62425, 61997, 62303, array([ 7616.,   160., -2384.]), array([ 4500.,  2009.,   215.]), array([-386.,   56.,  412.]))
(1, 63849, 62998, 62303, array([ 7584.,   208., -2464.]), array([ 4504.,  2019.,   193.]), array([-386.,   56.,  412.]))
(1, 64798, 64999, 64850, array([ 7552.,   192., -2544.]), array([ 4544.,  1990.,   193.]), array([-385.,   59.,  409.]))
(1, 211, 466, 64850, array([ 7488.,   112., -2480.]), array([ 4529.,  1988.,   217.]), array([-385.,   59.,  409.]))
(1, 1634, 1474, 64850, array([ 7488.,   112., -2416.]), array([ 4463.,  1971.,   195.]), array([-385.,   59.,  409.]))
(1, 2583, 2482, 1859, array([ 7456.,   160., -2416.]), array([ 4340.,  1970.,   172.]), array([-388.,   61.,  409.]))
(1, 4008, 3490, 1859, array([ 7376.,   208., -2512.]), array([ 4376.,  1961.,   154.]), array([-388.,   61.,  409.]))
(1, 4957, 4498, 4404, array([ 7424.,   240., -2512.]), array([ 4422.,  1943.,   116.]), array([-386.,   63.,  413.]))
(1, 5907, 5506, 4404, array([ 7424.,   288., -2560.]), array([ 4529.,  1905.,    77.]), array([-386.,   63.,  413.]))
(1, 7331, 6514, 6950, array([ 7456.,   304., -2608.]), array([ 4632.,  1866.,     7.]), array([-390.,   65.,  411.]))
(1, 8280, 7522, 6950, array([ 7504.,   256., -2608.]), array([ 4806.,  1796.,   -42.]), array([-390.,   65.,  411.]))
(1, 9229, 9538, 9496, array([ 7520.,   240., -2608.]), array([ 5280.,  1592.,  -212.]), array([-388.,   67.,  409.]))
(1, 10653, 10546, 9496, array([ 7488.,   224., -2672.]), array([ 5281.,  1409.,  -279.]), array([-388.,   67.,  409.]))
(1, 11603, 11554, 9496, array([ 7472.,   192., -2656.]), array([ 5195.,  1159.,  -295.]), array([-388.,   67.,  409.]))
