(1, 30419, 29580, 27872, array([ 5200., -1040., -5200.]), array([ 15477., -21971., -21635.]), array([-172.,  152.,  538.]))
(1, 31368, 31581, 27872, array([ 4992., -1072., -5456.]), array([  4181.,  17526.,    183.]), array([-172.,  152.,  538.]))
(1, 32318, 32581, 27872, array([ 4976., -1024., -5504.]), array([ 4491.,  1859.,   213.]), array([-172.,  152.,  538.]))
(1, 33742, 33582, 32799, array([ 5024.,  -976., -5504.]), array([ 4513.,  2015.,   202.]), array([-144.,  182.,  542.]))
(1, 34691, 34582, 32799, array([ 4976., -1056., -5568.]), array([ 4536.,  1991.,   205.]), array([-144.,  182.,  542.]))
(1, 36115, 35583, 35344, array([ 4976., -1184., -5712.]), array([ 4520.,  1987.,   195.]), array([-144.,  183.,  542.]))
(1, 37064, 36584, 35344, array([ 4944., -1184., -5696.]), array([ 4531.,  1988.,   203.]), array([-144.,  183.,  542.]))
(1, 38013, 37585, 37890, array([ 4912., -1200., -5664.]), array([ 4534.,  1975.,   215.]), array([-145.,  186.,  545.]))
(1, 39438, 38586, 37890, array([ 4928., -1152., -5536.]), array([ 4493.,  2002.,   233.]), array([-145.,  186.,  545.]))
(1, 40387, 40587, 40433, array([ 4800., -1216., -5440.]), array([ 4553.,  1988.,   224.]), array([-144.,  187.,  543.]))
(1, 41336, 41591, 40433, array([ 4752., -1200., -5392.]), array([ 4523.,  1993.,   230.]), array([-144.,  187.,  543.]))
(1, 42761, 42600, 40433, array([ 4704., -1328., -5248.]), array([ 4511.,  1990.,   219.]), array([-144.,  187.,  543.]))
(1, 43710, 43608, 42979, array([ 4720., -1344., -5120.]), array([ 4344.,  2012.,   176.]), array([-144.,  186.,  543.]))
(1, 45133, 44616, 42979, array([ 4624., -1392., -5040.]), array([ 4358.,  1971.,   153.]), array([-144.,  186.,  543.]))
(1, 46082, 45623, 45524, array([ 4560., -1440., -5040.]), array([ 4392.,  1949.,   150.]), array([-141.,  186.,  539.]))
(1, 47031, 46631, 45524, array([ 4496., -1456., -5008.]), array([ 4423.,  1916.,    77.]), array([-141.,  186.,  539.]))
(1, 48456, 47639, 48069, array([ 4560., -1360., -4848.]), array([ 4470.,  1871.,    53.]), array([-147.,  186.,  541.]))
(1, 49405, 48647, 48069, array([ 4576., -1344., -4880.]), array([ 4480.,  1761.,    -9.]), array([-147.,  186.,  541.]))
(1, 50354, 50663, 50614, array([ 4704., -1376., -4960.]), array([ 4530.,  1543.,  -139.]), array([-143.,  183.,  542.]))
(1, 51778, 51671, 50614, array([ 4848., -1440., -5120.]), array([ 4250.,  1358.,  -156.]), array([-143.,  183.,  542.]))
(1, 52728, 52679, 50614, array([ 4896., -1472., -5136.]), array([ 3855.,  1174.,   -88.]), array([-143.,  183.,  542.]))
(1, 53677, 53687, 53159, array([ 4912., -1504., -5200.]), array([ 3306.,   957.,   -26.]), array([-141.,  184.,  541.]))
