(1, 50748, 49909, 49326, array([ 7552.,  -176., -3104.]), array([-29953.,  10111., -15486.]), array([-452.,   57.,  339.]))
(1, 51697, 51910, 49326, array([ 7408.,   -48., -2816.]), array([  4185., -12258.,    192.]), array([-452.,   57.,  339.]))
(1, 52646, 52911, 49326, array([ 7376.,   -32., -2784.]), array([ 4509.,  1867.,   212.]), array([-452.,   57.,  339.]))
(1, 54070, 53912, 53129, array([ 7344.,    16., -2768.]), array([ 4541.,  2013.,   227.]), array([-350.,   38.,  450.]))
(1, 55019, 54912, 53129, array([ 7312.,   -16., -2784.]), array([ 4552.,  1993.,   225.]), array([-350.,   38.,  450.]))
(1, 56443, 55913, 55676, array([ 7360.,     0., -2800.]), array([ 4533.,  1985.,   212.]), array([-350.,   39.,  450.]))
(1, 57392, 56914, 55676, array([ 7328.,     0., -2720.]), array([ 4567.,  1994.,   212.]), array([-350.,   39.,  450.]))
(1, 58341, 57915, 58223, array([ 7344.,   -16., -2752.]), array([ 4519.,  1996.,   231.]), array([-353.,   41.,  451.]))
(1, 59765, 58916, 58223, array([ 7344.,   -48., -2784.]), array([ 4508.,  2001.,   216.]), array([-353.,   41.,  451.]))
(1, 60714, 60917, 60768, array([ 7376.,     0., -2864.]), array([ 4519.,  1988.,   204.]), array([-351.,   44.,  448.]))
(1, 61663, 61922, 60768, array([ 7392.,    16., -2864.]), array([ 4500.,  1988.,   222.]), array([-351.,   44.,  448.]))
(1, 63087, 62930, 60768, array([ 7280.,    16., -2848.]), array([ 4456.,  1978.,   175.]), array([-351.,   44.,  448.]))
(1, 64036, 63938, 63314, array([ 7328.,    80., -2816.]), array([ 4358.,  1970.,   138.]), array([-353.,   44.,  448.]))
(1, 65460, 64946, 63314, array([ 7344.,    64., -2800.]), array([ 4355.,  1965.,   147.]), array([-353.,   44.,  448.]))
(1, 873, 418, 324, array([ 7360.,    64., -2720.]), array([ 4416.,  1933.,   135.]), array([-352.,   45.,  449.]))
(1, 1822, 1426, 324, array([ 7392.,    64., -2736.]), array([ 4419.,  1911.,    81.]), array([-352.,   45.,  449.]))
(1, 3245, 2434, 2871, array([ 7376.,    48., -2704.]), array([ 4523.,  1827.,    26.]), array([-359.,   41.,  450.]))
(1, 4195, 3442, 2871, array([ 7424.,    64., -2736.]), array([ 4606.,  1760.,    -6.]), array([-359.,   41.,  450.]))
(1, 5143, 5458, 5417, array([ 7424.,   112., -2640.]), array([ 4722.,  1567.,  -196.]), array([-354.,   44.,  451.]))
(1, 6568, 6466, 5417, array([ 7424.,    48., -2800.]), array([ 4483.,  1376.,  -237.]), array([-354.,   44.,  451.]))
(1, 8465, 8482, 7963, array([ 7344.,    96., -2720.]), array([ 3644.,   985.,  -242.]), array([-354.,   46.,  451.]))
(1, 9889, 9490, 7963, array([ 7344.,   128., -2752.]), array([ 3260.,   794.,  -257.]), array([-354.,   46.,  451.]))
(1, 10839, 10498, 10509, array([ 7312.,   160., -2768.]), array([ 2942.,   654.,  -223.]), array([-350.,   44.,  452.]))
(1, 12262, 11506, 10509, array([ 7280.,   160., -2784.]), array([ 2601.,   511.,  -201.]), array([-350.,   44.,  452.]))
(1, 13211, 12514, 13054, array([ 7248.,   176., -2896.]), array([ 2190.,   345.,  -134.]), array([-352.,   46.,  451.]))
(1, 14160, 14531, 13054, array([ 7200.,   240., -2864.]), array([ 706.,  307.,  -17.]), array([-352.,   46.,  451.]))
(1, 15584, 15539, 15600, array([ 7152.,   224., -2992.]), array([ 922.,  345.,  -24.]), array([-353.,   45.,  451.]))
(1, 16533, 16547, 15600, array([ 7024.,   192., -2976.]), array([ 1003.,   373.,   -77.]), array([-353.,   45.,  451.]))
(1, 17482, 17555, 15600, array([ 7120.,   160., -3040.]), array([ 1098.,   476.,  -113.]), array([-353.,   45.,  451.]))
(1, 18905, 18563, 18146, array([ 7120.,   128., -3280.]), array([ 1181.,   545.,  -106.]), array([-353.,   49.,  451.]))
(1, 19855, 19571, 18146, array([ 7168.,    48., -3456.]), array([ 1310.,   597.,  -143.]), array([-353.,   49.,  451.]))
