(1, 50455, 50093, 48366, array([ 7680.,   640.,  3776.]), array([  7484.,  20631.,  20536.]), array([-493.,  242.,  -96.]))
(1, 51881, 51094, 48366, array([ 7616.,   816.,  3696.]), array([ -6057.,  20631., -20737.]), array([-493.,  242.,  -96.]))
(1, 54255, 54098, 53312, array([ 7664.,   896.,  3600.]), array([ 4507.,  1982.,   234.]), array([-483.,  207., -135.]))
(1, 55205, 55099, 53312, array([ 7664.,   848.,  3664.]), array([ 4510.,  1973.,   236.]), array([-483.,  207., -135.]))
(1, 56154, 56100, 55859, array([ 7648.,   880.,  3616.]), array([ 4488.,  2009.,   231.]), array([-483.,  211., -135.]))
(1, 57578, 57101, 55859, array([ 7616.,   912.,  3584.]), array([ 4521.,  1989.,   220.]), array([-483.,  211., -135.]))
(1, 59477, 59104, 58405, array([ 7648.,   848.,  3536.]), array([ 4534.,  1998.,   206.]), array([-490.,  207., -142.]))
(1, 60902, 60105, 60949, array([ 7616.,   880.,  3488.]), array([ 4540.,  1974.,   201.]), array([-482.,  207., -141.]))
(1, 61852, 62112, 60949, array([ 7648.,   864.,  3520.]), array([ 4582.,  1986.,   197.]), array([-482.,  207., -141.]))
(1, 63276, 63120, 60949, array([ 7632.,   912.,  3584.]), array([ 4320.,  1976.,   155.]), array([-482.,  207., -141.]))
(1, 64225, 64128, 63494, array([ 7648.,   944.,  3472.]), array([ 4300.,  1953.,   161.]), array([-482.,  210., -141.]))
(1, 65174, 65136, 63494, array([ 7664.,  1008.,  3536.]), array([ 4377.,  1920.,   144.]), array([-482.,  210., -141.]))
(1, 1063, 608, 503, array([ 7648.,   928.,  3472.]), array([ 4399.,  1920.,    93.]), array([-483.,  211., -145.]))
(1, 2961, 2624, 3048, array([ 7600.,   896.,  3456.]), array([ 4458.,  1802.,     7.]), array([-484.,  209., -143.]))
(1, 4384, 3632, 3048, array([ 7616.,   880.,  3392.]), array([ 4531.,  1721.,   -57.]), array([-484.,  209., -143.]))
(1, 5333, 4639, 5593, array([ 7616.,   880.,  3344.]), array([ 4613.,  1571.,  -187.]), array([-484.,  211., -140.]))
(1, 6757, 6655, 5593, array([ 7616.,   800.,  3376.]), array([ 4032.,  1261.,  -246.]), array([-484.,  211., -140.]))
(1, 8655, 8671, 8138, array([ 7632.,   832.,  3440.]), array([ 3046.,   828.,  -260.]), array([-484.,  208., -144.]))
(1, 10079, 9679, 8138, array([ 7584.,   800.,  3376.]), array([ 2607.,   620.,  -258.]), array([-484.,  208., -144.]))
(1, 11028, 10687, 10684, array([ 7552.,   832.,  3360.]), array([ 2228.,   439.,  -244.]), array([-483.,  209., -140.]))
(1, 11978, 11695, 10684, array([ 7520.,   880.,  3344.]), array([ 1931.,   295.,  -218.]), array([-483.,  209., -140.]))
(1, 13402, 12703, 13230, array([ 7600.,   928.,  3344.]), array([ 1014.,   131.,  -132.]), array([-485.,  210., -143.]))
(1, 14352, 13712, 13230, array([ 7600.,   928.,  3376.]), array([-30.,   4., -22.]), array([-485.,  210., -143.]))
(1, 15301, 15728, 13230, array([ 7648.,   880.,  3360.]), array([ 59.,  45., -50.]), array([-485.,  210., -143.]))
(1, 16725, 16736, 15775, array([ 7632.,   848.,  3376.]), array([ 103.,   43.,  -48.]), array([-485.,  205., -141.]))
(1, 17674, 17744, 15775, array([ 7680.,   800.,  3360.]), array([ 132.,   60.,  -43.]), array([-485.,  205., -141.]))
(1, 19098, 18752, 18320, array([ 7728.,   752.,  3360.]), array([ 144.,   46.,  -30.]), array([-484.,  208., -141.]))
(1, 20047, 19760, 18320, array([ 7696.,   720.,  3360.]), array([ 201.,    9.,   -3.]), array([-484.,  208., -141.]))
(1, 20996, 20768, 20865, array([ 7728.,   688.,  3312.]), array([ 226.,   12.,   -6.]), array([-483.,  209., -142.]))
(1, 22420, 21776, 20865, array([ 7680.,   624.,  3360.]), array([ 303.,   18.,   11.]), array([-483.,  209., -142.]))
(1, 23371, 22784, 23411, array([ 7632.,   608.,  3360.]), array([ 357.,   11.,   22.]), array([-486.,  208., -144.]))
(1, 24320, 23793, 23411, array([ 7632.,   624.,  3376.]), array([ 390.,   37.,   50.]), array([-486.,  208., -144.]))
(1, 25744, 25809, 23411, array([ 7584.,   720.,  3456.]), array([ 497.,   11.,   45.]), array([-486.,  208., -144.]))
(1, 26693, 26817, 25957, array([ 7584.,   816.,  3456.]), array([ 567.,   26.,   66.]), array([-486.,  211., -140.]))
(1, 28118, 27825, 25957, array([ 7536.,   880.,  3488.]), array([ 559.,   23.,   61.]), array([-486.,  211., -140.]))
(1, 29067, 28833, 28502, array([ 7568.,   960.,  3472.]), array([ 559.,   29.,   67.]), array([-484.,  207., -140.]))
(1, 30017, 29841, 28502, array([ 7616.,  1040.,  3488.]), array([ 536.,   22.,   70.]), array([-484.,  207., -140.]))
(1, 31441, 30849, 31048, array([ 7568.,  1104.,  3600.]), array([ 427.,   11.,   73.]), array([-486.,  205., -142.]))
(1, 32391, 31857, 31048, array([ 7616.,  1120.,  3568.]), array([ 324.,    9.,   63.]), array([-486.,  205., -142.]))
(1, 33340, 32865, 33593, array([ 7600.,  1072.,  3536.]), array([ 245.,   12.,   69.]), array([-481.,  204., -142.]))
(1, 34764, 34882, 33593, array([ 7584.,  1008.,  3552.]), array([ 82.,   8.,  15.]), array([-481.,  204., -142.]))
(1, 35714, 35890, 33593, array([ 7536.,  1008.,  3472.]), array([-43.,  36.,  50.]), array([-481.,  204., -142.]))
(1, 37137, 36898, 36139, array([ 7568.,   912.,  3472.]), array([-67.,  28.,  47.]), array([-482.,  205., -142.]))
(1, 38087, 37906, 36139, array([ 7552.,   864.,  3456.]), array([-139.,   17.,   52.]), array([-482.,  205., -142.]))
(1, 39037, 38914, 38684, array([ 7616.,   752.,  3440.]), array([-179.,   40.,   65.]), array([-482.,  209., -141.]))
(1, 40460, 39922, 38684, array([ 7648.,   656.,  3392.]), array([-147.,   24.,   70.]), array([-482.,  209., -141.]))
(1, 42358, 41938, 41229, array([ 7712.,   640.,  3456.]), array([-56.,  54.,  91.]), array([-491.,  208., -142.]))
(1, 43782, 42947, 43776, array([ 7616.,   672.,  3376.]), array([  7.,  38.,  90.]), array([-483.,  208., -142.]))
(1, 47104, 46979, 46319, array([ 7680.,   848.,  3424.]), array([ 259.,   35.,   86.]), array([-483.,  209., -141.]))
(1, 50427, 50003, 48864, array([ 7600.,  1056.,  3456.]), array([ 266.,   57.,   98.]), array([-485.,  207., -142.]))
(1, 52801, 52019, 51410, array([ 7584.,  1104.,  3312.]), array([ 155.,   42.,   53.]), array([-484.,  209., -142.]))
(1, 53750, 53028, 53955, array([ 7600.,  1056.,  3312.]), array([ 127.,   56.,   42.]), array([-484.,  211., -142.]))
(1, 54699, 55044, 53955, array([ 7616.,  1024.,  3376.]), array([ 108.,   26.,   32.]), array([-484.,  211., -142.]))
(1, 56123, 56052, 53955, array([ 7600.,  1072.,  3472.]), array([ 94.,  44., -30.]), array([-484.,  211., -142.]))
(1, 57072, 57060, 56501, array([ 7632.,  1056.,  3472.]), array([ 56.,  50., -47.]), array([-482.,  207., -143.]))
(1, 58496, 58068, 56501, array([ 7600.,  1040.,  3488.]), array([ 35.,  27., -47.]), array([-482.,  207., -143.]))
(1, 59445, 59076, 59047, array([ 7632.,   976.,  3488.]), array([ -9.,  40., -32.]), array([-485.,  208., -145.]))
(1, 60395, 60084, 59047, array([ 7584.,   928.,  3472.]), array([-23.,  33., -37.]), array([-485.,  208., -145.]))
(1, 62768, 62100, 61594, array([ 7584.,   912.,  3488.]), array([-32.,  43., -66.]), array([-485.,  210., -139.]))
(1, 63718, 64117, 64138, array([ 7536.,   928.,  3504.]), array([ -37.,   53., -114.]), array([-483.,  208., -144.]))
(1, 65142, 65125, 64138, array([ 7632.,   864.,  3472.]), array([-32.,  74., -97.]), array([-483.,  208., -144.]))
(1, 555, 597, 64138, array([ 7600.,   864.,  3488.]), array([ -69.,   53., -103.]), array([-483.,  208., -144.]))
(1, 2929, 2613, 1148, array([ 7600.,   768.,  3584.]), array([-47.,  64., -41.]), array([-483.,  209., -144.]))
(1, 3877, 3621, 3692, array([ 7616.,   816.,  3632.]), array([-55.,  28., -14.]), array([-487.,  209., -142.]))
(1, 5301, 4629, 3692, array([ 7648.,   912.,  3616.]), array([ 15.,  22., -23.]), array([-487.,  209., -142.]))
(1, 7199, 6646, 6238, array([ 7616.,  1008.,  3568.]), array([ 47.,  21., -18.]), array([-481.,  206., -143.]))
(1, 8623, 8662, 6238, array([ 7632.,  1040.,  3568.]), array([-56.,  21.,  26.]), array([-481.,  206., -143.]))
(1, 9572, 9670, 8783, array([ 7552.,  1008.,  3536.]), array([-37.,  31.,  24.]), array([-483.,  209., -143.]))
(1, 10522, 10678, 8783, array([ 7552.,  1024.,  3584.]), array([-126.,   35.,   34.]), array([-483.,  209., -143.]))
(1, 11945, 11686, 11329, array([ 7456.,   960.,  3472.]), array([-146.,   19.,   40.]), array([-481.,  209., -143.]))
(1, 12895, 12694, 11329, array([ 7520.,   896.,  3504.]), array([-210.,    0.,   38.]), array([-481.,  209., -143.]))
(1, 14319, 13702, 13875, array([ 7504.,   848.,  3440.]), array([-237.,   15.,    9.]), array([-480.,  209., -141.]))
(1, 17643, 16727, 16420, array([ 7520.,   816.,  3552.]), array([-179.,   15.,  -11.]), array([-480.,  209., -141.]))
(1, 18593, 18743, 16420, array([ 7472.,   784.,  3568.]), array([-190.,   66.,  -20.]), array([-480.,  209., -141.]))
(1, 19543, 19751, 18964, array([ 7440.,   736.,  3712.]), array([-143.,   67.,  -24.]), array([-484.,  209., -142.]))
(1, 20968, 20759, 18964, array([ 7216.,   720.,  3856.]), array([-163.,   52.,  -54.]), array([-484.,  209., -142.]))
(1, 21917, 21767, 21509, array([ 7072.,   720.,  3984.]), array([-169.,   66.,  -74.]), array([-485.,  207., -145.]))
(1, 23342, 22775, 21509, array([ 7008.,   688.,  4176.]), array([-182.,   50.,  -78.]), array([-485.,  207., -145.]))
(1, 24291, 23783, 24053, array([ 6976.,   640.,  4304.]), array([-257.,   75.,  -82.]), array([-486.,  210., -141.]))
(1, 26665, 25800, 26598, array([ 7184.,   464.,  4592.]), array([-332.,   67.,  -65.]), array([-480.,  209., -141.]))
(1, 27614, 27816, 26598, array([ 7328.,   528.,  4624.]), array([-393.,  127.,    1.]), array([-480.,  209., -141.]))
(1, 28564, 28824, 26598, array([ 7408.,   416.,  4720.]), array([-426.,  153.,   51.]), array([-480.,  209., -141.]))
(1, 29988, 29832, 29143, array([ 7536.,   352.,  4688.]), array([-373.,  172.,   80.]), array([-485.,  207., -142.]))
(1, 30937, 30840, 29143, array([ 7616.,   208.,  4640.]), array([-401.,  228.,  130.]), array([-485.,  207., -142.]))
