(1, 51623, 51261, 50983, array([ 8080.,  1008.,  -976.]), array([-14052.,   -234., -14669.]), array([-441., -183.,  218.]))
(1, 53049, 52262, 50983, array([ 7968.,   752.,  -640.]), array([ 14767.,   -234.,  15476.]), array([-441., -183.,  218.]))
(1, 55422, 55265, 54484, array([ 8048.,   736.,  -624.]), array([ 4513.,  1995.,   217.]), array([-476., -137.,  202.]))
(1, 56371, 56266, 54484, array([ 7968.,   752.,  -624.]), array([ 4525.,  1988.,   215.]), array([-476., -137.,  202.]))
(1, 57320, 57266, 57030, array([ 7952.,   784.,  -608.]), array([ 4531.,  2002.,   207.]), array([-476., -136.,  202.]))
(1, 58745, 58267, 57030, array([ 8048.,   720.,  -560.]), array([ 4524.,  1990.,   216.]), array([-476., -136.,  202.]))
(1, 59694, 59268, 59575, array([ 8000.,   736.,  -608.]), array([ 4503.,  1977.,   210.]), array([-481., -136.,  192.]))
(1, 60643, 60269, 59575, array([ 8064.,   752.,  -640.]), array([ 4515.,  2012.,   212.]), array([-481., -136.,  192.]))
(1, 63016, 63276, 62121, array([ 8064.,   672.,  -592.]), array([ 4477.,  1979.,   225.]), array([-477., -135.,  195.]))
(1, 64440, 64284, 62121, array([ 7920.,   656.,  -544.]), array([ 4404.,  2022.,   215.]), array([-477., -135.,  195.]))
(1, 65389, 65292, 64668, array([ 7984.,   672.,  -592.]), array([ 4313.,  2065.,   186.]), array([-477., -136.,  198.]))
(1, 802, 764, 64668, array([ 7952.,   704.,  -608.]), array([ 4306.,  1974.,   172.]), array([-477., -136.,  198.]))
(1, 2226, 1772, 1679, array([ 7984.,   736.,  -608.]), array([ 4353.,  1941.,   125.]), array([-475., -139.,  198.]))
(1, 4123, 3787, 4226, array([ 8000.,   656.,  -560.]), array([ 4423.,  1811.,    30.]), array([-476., -136.,  195.]))
(1, 5547, 4795, 4226, array([ 8032.,   672.,  -592.]), array([ 4492.,  1719.,   -18.]), array([-476., -136.,  195.]))
(1, 6497, 5803, 6773, array([ 8048.,   704.,  -528.]), array([ 4559.,  1639.,  -101.]), array([-475., -135.,  195.]))
(1, 7920, 7819, 6773, array([ 8016.,   720.,  -576.]), array([ 4240.,  1323.,  -226.]), array([-475., -135.,  195.]))
