(1, 58168, 57806, 56921, array([ 7632.,  1216., -1712.]), array([ 24565.,  24473.,   1942.]), array([-453., -160.,  208.]))
(1, 59595, 58807, 56921, array([ 7216.,  1056., -1712.]), array([-25595.,  24473.,   -905.]), array([-453., -160.,  208.]))
(1, 60544, 60809, 56921, array([ 7136.,  1088., -1760.]), array([ 4523.,  1859.,   223.]), array([-453., -160.,  208.]))
(1, 61968, 61810, 61027, array([ 7152.,  1088., -1824.]), array([ 4487.,  2008.,   227.]), array([-406., -178.,  321.]))
(1, 62917, 62811, 61027, array([ 7200.,  1104., -1904.]), array([ 4515.,  1975.,   226.]), array([-406., -178.,  321.]))
(1, 63867, 63812, 63573, array([ 7168.,  1136., -1968.]), array([ 4513.,  1995.,   205.]), array([-406., -178.,  321.]))
(1, 65291, 64813, 63573, array([ 7136.,  1136., -2128.]), array([ 4538.,  2001.,   214.]), array([-406., -178.,  321.]))
(1, 705, 278, 583, array([ 7168.,  1088., -2272.]), array([ 4524.,  1991.,   219.]), array([-409., -176.,  319.]))
(1, 1654, 1279, 583, array([ 7216.,  1088., -2288.]), array([ 4526.,  2025.,   203.]), array([-409., -176.,  319.]))
(1, 3077, 2280, 3130, array([ 7200.,  1184., -2464.]), array([ 4578.,  2005.,   212.]), array([-407., -172.,  320.]))
(1, 4026, 4285, 3130, array([ 7184.,  1184., -2576.]), array([ 4483.,  1994.,   223.]), array([-407., -172.,  320.]))
(1, 5450, 5293, 3130, array([ 7280.,  1168., -2592.]), array([ 4434.,  2014.,   262.]), array([-407., -172.,  320.]))
(1, 6400, 6301, 5676, array([ 7312.,  1152., -2672.]), array([ 4376.,  2059.,   174.]), array([-404., -172.,  323.]))
(1, 7349, 7309, 5676, array([ 7296.,  1120., -2704.]), array([ 4364.,  1985.,   126.]), array([-404., -172.,  323.]))
(1, 8772, 8317, 8222, array([ 7392.,  1056., -2736.]), array([ 4464.,  1918.,   106.]), array([-408., -171.,  323.]))
(1, 9722, 9325, 8222, array([ 7456.,  1008., -2784.]), array([ 4532.,  1888.,    60.]), array([-408., -171.,  323.]))
(1, 10671, 10333, 10769, array([ 7488.,   928., -2720.]), array([ 4633.,  1812.,    15.]), array([-405., -168.,  324.]))
(1, 12095, 11341, 10769, array([ 7392.,   912., -2688.]), array([ 4770.,  1761.,   -68.]), array([-405., -168.,  324.]))
(1, 13044, 12349, 13315, array([ 7392.,   832., -2640.]), array([ 4949.,  1655.,  -173.]), array([-402., -170.,  319.]))
(1, 14467, 14365, 13315, array([ 7344.,   736., -2336.]), array([ 4710.,  1342.,  -308.]), array([-402., -170.,  319.]))
