(1, 15921, 16052, 14012, array([ 7856.,   576.,  3216.]), array([ 1162.,  1427.,  -632.]), array([-490.,  232., -104.]))
(1, 16871, 17060, 16558, array([ 7952.,   480.,  3152.]), array([ 1103.,  1475.,  -610.]), array([-488.,  228., -108.]))
(1, 45603, 45240, 42666, array([ 7824.,  1296.,  3776.]), array([-14183.,  21388.,  22906.]), array([-398.,  204., -256.]))
(1, 47029, 46241, 42666, array([ 7968.,   880.,  2416.]), array([ 13182.,  21388., -24430.]), array([-398.,  204., -256.]))
(1, 47979, 48244, 42666, array([ 8000.,   800.,  2224.]), array([ 4513.,  1836.,   216.]), array([-398.,  204., -256.]))
(1, 49404, 49246, 48460, array([ 7968.,   752.,  2192.]), array([ 4508.,  1989.,   231.]), array([-482.,  229., -115.]))
(1, 50354, 50247, 48460, array([ 8032.,   720.,  2176.]), array([ 4522.,  1983.,   246.]), array([-482.,  229., -115.]))
(1, 51303, 51249, 51005, array([ 7984.,   736.,  2112.]), array([ 4531.,  2002.,   213.]), array([-482.,  230., -115.]))
(1, 52727, 52250, 51005, array([ 8048.,   800.,  2144.]), array([ 4517.,  1992.,   200.]), array([-482.,  230., -115.]))
(1, 53677, 53252, 53551, array([ 8000.,   768.,  2160.]), array([ 4523.,  1980.,   218.]), array([-484.,  230., -120.]))
(1, 54627, 54254, 53551, array([ 8048.,   784.,  2160.]), array([ 4522.,  1987.,   220.]), array([-484.,  230., -120.]))
(1, 56051, 55255, 56095, array([ 8032.,   832.,  2176.]), array([ 4496.,  1987.,   229.]), array([-483.,  226., -123.]))
(1, 57001, 57262, 56095, array([ 8032.,   784.,  2192.]), array([ 4521.,  1983.,   209.]), array([-483.,  226., -123.]))
(1, 58426, 58270, 56095, array([ 7936.,   864.,  2224.]), array([ 4461.,  1990.,   209.]), array([-483.,  226., -123.]))
(1, 59376, 59278, 58641, array([ 7872.,   816.,  2208.]), array([ 4357.,  1997.,   172.]), array([-483.,  229., -123.]))
(1, 60325, 60286, 58641, array([ 7904.,   832.,  2192.]), array([ 4382.,  1956.,   125.]), array([-483.,  229., -123.]))
(1, 61750, 61293, 61187, array([ 7952.,   816.,  2192.]), array([ 4412.,  1930.,    84.]), array([-482.,  228., -122.]))
(1, 62699, 62301, 61187, array([ 7936.,   832.,  2192.]), array([ 4435.,  1876.,    28.]), array([-482.,  228., -122.]))
(1, 63649, 63309, 63732, array([ 7888.,   800.,  2176.]), array([ 4570.,  1784.,   -37.]), array([-482.,  224., -124.]))
(1, 65073, 64317, 63732, array([ 7904.,   848.,  2176.]), array([ 4698.,  1731.,  -115.]), array([-482.,  224., -124.]))
(1, 487, 65325, 742, array([ 7936.,   832.,  2096.]), array([ 4844.,  1653.,  -212.]), array([-481.,  222., -126.]))
(1, 1911, 1805, 742, array([ 7984.,   768.,  2160.]), array([ 4407.,  1332.,  -299.]), array([-481.,  222., -126.]))
(1, 2860, 2812, 742, array([ 8016.,   768.,  2112.]), array([ 3991.,  1132.,  -329.]), array([-481.,  222., -126.]))
(1, 3811, 3820, 3288, array([ 8048.,   800.,  2064.]), array([ 3520.,   951.,  -345.]), array([-481.,  225., -126.]))
(1, 5235, 4828, 3288, array([ 8048.,   816.,  2112.]), array([ 3124.,   744.,  -325.]), array([-481.,  225., -126.]))
(1, 6185, 5836, 5833, array([ 7952.,   800.,  2112.]), array([ 2753.,   601.,  -310.]), array([-486.,  223., -126.]))
(1, 7134, 6844, 5833, array([ 8000.,   752.,  2016.]), array([ 2374.,   453.,  -271.]), array([-486.,  223., -126.]))
(1, 8559, 7853, 8379, array([ 8000.,   752.,  2096.]), array([ 1481.,   245.,  -194.]), array([-480.,  220., -127.]))
(1, 9508, 8861, 8379, array([ 8032.,   720.,  2048.]), array([ 407.,  172.,  -71.]), array([-480.,  220., -127.]))
(1, 10458, 10877, 8379, array([ 8000.,   704.,  2032.]), array([ 526.,  123.,  -51.]), array([-480.,  220., -127.]))
(1, 11882, 11885, 10924, array([ 7984.,   720.,  2048.]), array([ 496.,   85.,  -28.]), array([-479.,  224., -126.]))
(1, 12832, 12893, 10924, array([ 8016.,   688.,  2032.]), array([ 483.,  100.,   -4.]), array([-479.,  224., -126.]))
(1, 14256, 13901, 13471, array([ 8016.,   720.,  2064.]), array([ 489.,   77.,    0.]), array([-480.,  222., -129.]))
(1, 15206, 14909, 13471, array([ 7952.,   720.,  2112.]), array([ 505.,   27.,    7.]), array([-480.,  222., -129.]))
