(1, 34848, 34485, 32743, array([ 6912.,  1664., -3456.]), array([ 31875.,  17500.,  14140.]), array([-467., -164.,  159.]))
(1, 36274, 35486, 32743, array([ 6064.,  1424., -4656.]), array([-31274.,  17500., -14163.]), array([-467., -164.,  159.]))
(1, 38647, 38490, 37704, array([ 5920.,  1440., -4784.]), array([ 4487.,  2003.,   217.]), array([-308., -197.,  430.]))
(1, 39596, 39492, 37704, array([ 5968.,  1440., -4832.]), array([ 4526.,  1998.,   208.]), array([-308., -197.,  430.]))
(1, 40545, 40493, 40249, array([ 5920.,  1456., -4800.]), array([ 4520.,  2004.,   205.]), array([-308., -196.,  430.]))
(1, 41969, 41495, 40249, array([ 5840.,  1168., -4384.]), array([ 4548.,  1995.,   210.]), array([-308., -196.,  430.]))
(1, 42919, 42496, 42795, array([ 5792.,  1008., -4000.]), array([ 4511.,  1998.,   204.]), array([-314., -200.,  426.]))
(1, 43868, 43497, 42795, array([ 5920.,   944., -3920.]), array([ 4541.,  1987.,   204.]), array([-314., -200.,  426.]))
(1, 45292, 44498, 45339, array([ 6080.,   960., -4112.]), array([ 4545.,  1969.,   220.]), array([-310., -198.,  425.]))
(1, 46242, 46505, 45339, array([ 5904.,   928., -4288.]), array([ 4520.,  2008.,   211.]), array([-310., -198.,  425.]))
(1, 47666, 47513, 45339, array([ 5776.,   864., -4432.]), array([ 4283.,  1975.,   175.]), array([-310., -198.,  425.]))
(1, 48616, 48521, 47884, array([ 5696.,   992., -4528.]), array([ 4302.,  1957.,   179.]), array([-310., -195.,  425.]))
(1, 49565, 49529, 47884, array([ 5664.,  1024., -4624.]), array([ 4361.,  1964.,   132.]), array([-310., -195.,  425.]))
(1, 50988, 50536, 50430, array([ 5664.,   928., -4624.]), array([ 4359.,  1928.,   120.]), array([-310., -196.,  429.]))
(1, 51938, 51544, 50430, array([ 5664.,   736., -4576.]), array([ 4437.,  1878.,   105.]), array([-310., -196.,  429.]))
(1, 52887, 52552, 52975, array([ 5680.,   688., -4544.]), array([ 4514.,  1803.,    56.]), array([-307., -194.,  427.]))
(1, 54310, 53560, 52975, array([ 5808.,   768., -4464.]), array([ 4612.,  1717.,    31.]), array([-307., -194.,  427.]))
(1, 55260, 54568, 55520, array([ 5888.,   864., -4448.]), array([ 4741.,  1650.,   -64.]), array([-310., -191.,  431.]))
(1, 56683, 56584, 55520, array([ 5904.,  1008., -4496.]), array([ 4411.,  1374.,  -128.]), array([-310., -191.,  431.]))
(1, 57632, 57592, 55520, array([ 5840.,  1088., -4560.]), array([ 3943.,  1165.,   -95.]), array([-310., -191.,  431.]))
(1, 58580, 58600, 58065, array([ 5856.,  1120., -4624.]), array([ 3519.,   935.,   -53.]), array([-311., -194.,  431.]))
(1, 60004, 59608, 58065, array([ 5824.,  1232., -4784.]), array([ 3159.,   720.,   -35.]), array([-311., -194.,  431.]))
(1, 60953, 60616, 60611, array([ 5872.,  1232., -4912.]), array([ 2800.,   534.,    -6.]), array([-318., -192.,  428.]))
(1, 61902, 61624, 60611, array([ 5920.,  1184., -4976.]), array([ 2566.,   358.,    19.]), array([-318., -192.,  428.]))
(1, 63325, 62632, 63157, array([ 5968.,  1136., -5024.]), array([ 1999.,   204.,    64.]), array([-313., -191.,  429.]))
(1, 64275, 63641, 63157, array([ 5952.,  1248., -5072.]), array([ 803.,   73.,  208.]), array([-313., -191.,  429.]))
(1, 65223, 121, 63157, array([ 5888.,  1232., -5104.]), array([ 735.,  232.,  193.]), array([-313., -191.,  429.]))
(1, 1111, 1129, 165, array([ 5920.,  1200., -5056.]), array([ 838.,  218.,  161.]), array([-311., -189.,  431.]))
(1, 2060, 2137, 165, array([ 5920.,  1120., -5088.]), array([ 781.,  182.,  171.]), array([-311., -189.,  431.]))
(1, 3483, 3145, 2711, array([ 5968.,  1136., -4944.]), array([ 785.,  206.,  153.]), array([-311., -190.,  431.]))
(1, 4432, 4154, 2711, array([ 5952.,  1088., -4928.]), array([ 785.,  203.,  122.]), array([-311., -190.,  431.]))
(1, 5381, 5162, 5255, array([ 5888.,   976., -4976.]), array([ 717.,  177.,  102.]), array([-311., -186.,  431.]))
(1, 6804, 6170, 5255, array([ 5952.,   960., -4816.]), array([ 685.,  159.,   71.]), array([-311., -186.,  431.]))
(1, 7753, 7178, 7800, array([ 5936.,   944., -4816.]), array([ 568.,  173.,   59.]), array([-311., -186.,  432.]))
(1, 8702, 8186, 7800, array([ 6000.,  1040., -4864.]), array([ 535.,  156.,   59.]), array([-311., -186.,  432.]))
(1, 10125, 10202, 7800, array([ 6016.,  1024., -4864.]), array([ 411.,  131.,   34.]), array([-311., -186.,  432.]))
(1, 11074, 11211, 10343, array([ 6016.,  1024., -4832.]), array([ 411.,  125.,   67.]), array([-311., -186.,  433.]))
(1, 12498, 12219, 10343, array([ 5936.,  1104., -4832.]), array([ 370.,  122.,   48.]), array([-311., -186.,  433.]))
(1, 13447, 13227, 12887, array([ 5920.,  1088., -4832.]), array([ 336.,  103.,   42.]), array([-314., -184.,  433.]))
(1, 14396, 14235, 12887, array([ 5936.,  1152., -4800.]), array([ 334.,  113.,   82.]), array([-314., -184.,  433.]))
(1, 15819, 15243, 15432, array([ 5856.,  1120., -4800.]), array([ 379.,  118.,   93.]), array([-312., -185.,  433.]))
(1, 16769, 16251, 15432, array([ 5920.,  1232., -4800.]), array([ 423.,   93.,   93.]), array([-312., -185.,  433.]))
(1, 17718, 17260, 17976, array([ 5936.,  1184., -4800.]), array([ 481.,   93.,   78.]), array([-314., -185.,  434.]))
(1, 19141, 19276, 17976, array([ 6000.,  1136., -4784.]), array([ 622.,   59.,   79.]), array([-314., -185.,  434.]))
(1, 20090, 20284, 17976, array([ 6016.,  1216., -4752.]), array([ 653.,   87.,   87.]), array([-314., -185.,  434.]))
(1, 21513, 21292, 20521, array([ 6064.,  1136., -4688.]), array([ 702.,   87.,  107.]), array([-313., -182.,  435.]))
(1, 22462, 22300, 20521, array([ 6000.,  1120., -4736.]), array([ 714.,   66.,   75.]), array([-313., -182.,  435.]))
(1, 23411, 23309, 23065, array([ 5952.,  1104., -4672.]), array([ 719.,   39.,   58.]), array([-313., -185.,  433.]))
(1, 24835, 24317, 23065, array([ 5968.,  1104., -4640.]), array([ 702.,   44.,   39.]), array([-313., -185.,  433.]))
(1, 25784, 25325, 25610, array([ 5984.,  1056., -4592.]), array([ 667.,   14.,   31.]), array([-319., -180.,  433.]))
(1, 26733, 26333, 25610, array([ 6000.,  1056., -4640.]), array([ 597.,  -37.,  -16.]), array([-319., -180.,  433.]))
(1, 28157, 27341, 28156, array([ 5968.,  1040., -4544.]), array([ 516.,  -50.,  -19.]), array([-311., -180.,  434.]))
(1, 29105, 29357, 28156, array([ 5904.,  1040., -4592.]), array([ 357.,  -86.,  -85.]), array([-311., -180.,  434.]))
(1, 30529, 30366, 28156, array([ 5824.,  1008., -4672.]), array([ 291.,  -82., -112.]), array([-311., -180.,  434.]))
(1, 31478, 31374, 30701, array([ 5856.,  1024., -4640.]), array([ 310.,  -89., -149.]), array([-312., -179.,  434.]))
(1, 32427, 32382, 30701, array([ 5808.,  1072., -4624.]), array([ 248., -101., -192.]), array([-312., -179.,  434.]))
(1, 33851, 33390, 33244, array([ 5888.,  1040., -4592.]), array([ 271., -102., -196.]), array([-312., -183.,  437.]))
(1, 34800, 34398, 33244, array([ 5888.,  1056., -4560.]), array([ 265.,  -90., -191.]), array([-312., -183.,  437.]))
(1, 35749, 35406, 35789, array([ 5872.,  1040., -4640.]), array([ 230.,  -69., -226.]), array([-313., -180.,  436.]))
(1, 37172, 36415, 35789, array([ 5888.,   960., -4688.]), array([ 250., -134., -236.]), array([-313., -180.,  436.]))
(1, 38120, 37423, 38334, array([ 5904.,   912., -4608.]), array([ 264., -169., -227.]), array([-313., -181.,  436.]))
(1, 39069, 39439, 38334, array([ 5872.,   896., -4608.]), array([ 272., -167., -219.]), array([-313., -181.,  436.]))
(1, 40492, 40447, 38334, array([ 5904.,   864., -4576.]), array([ 212., -162., -246.]), array([-313., -181.,  436.]))
(1, 41441, 41455, 40878, array([ 5952.,   896., -4528.]), array([ 175., -177., -251.]), array([-311., -182.,  435.]))
(1, 42865, 42463, 40878, array([ 5920.,   912., -4496.]), array([ 123., -187., -291.]), array([-311., -182.,  435.]))
(1, 43814, 43472, 43423, array([ 5984.,   880., -4432.]), array([  55., -229., -307.]), array([-313., -180.,  436.]))
(1, 44764, 44480, 43423, array([ 6000.,   912., -4304.]), array([ -13., -270., -286.]), array([-313., -180.,  436.]))
(1, 46188, 45488, 45967, array([ 6048.,   864., -4224.]), array([-144., -247., -295.]), array([-311., -180.,  438.]))
(1, 47137, 46496, 45967, array([ 6064.,   896., -4240.]), array([-245., -288., -277.]), array([-311., -180.,  438.]))
(1, 48086, 48512, 48512, array([ 6096.,   784., -4192.]), array([-561., -329., -324.]), array([-309., -187.,  441.]))
(1, 49510, 49521, 48512, array([ 6096.,   864., -4064.]), array([-749., -321., -345.]), array([-309., -187.,  441.]))
