(1, 11478, 11116, 9667, array([ 5344.,   128., -3552.]), array([-19342.,  29531.,     39.]), array([ -68., -109.,  543.]))
(1, 12904, 12117, 9667, array([ 7824.,   512.,  -752.]), array([ 20920.,  29531.,    141.]), array([ -68., -109.,  543.]))
(1, 15277, 15120, 14337, array([ 8032.,   336.,  -352.]), array([ 4530.,  1992.,   218.]), array([-453., -205.,  146.]))
(1, 16226, 16121, 14337, array([ 8096.,   400.,  -288.]), array([ 4557.,  1978.,   222.]), array([-453., -205.,  146.]))
(1, 17176, 17122, 16882, array([ 8096.,   272.,  -224.]), array([ 4527.,  1982.,   215.]), array([-453., -202.,  146.]))
(1, 18600, 18123, 16882, array([ 8064.,   288.,  -208.]), array([ 4531.,  1968.,   204.]), array([-453., -202.,  146.]))
(1, 19549, 19124, 19427, array([ 8048.,   400.,  -224.]), array([ 4551.,  1975.,   222.]), array([-457., -201.,  142.]))
(1, 20498, 20125, 19427, array([ 7936.,   272.,  -208.]), array([ 4532.,  1992.,   231.]), array([-457., -201.,  142.]))
(1, 21922, 21126, 21971, array([ 8000.,   592.,  -304.]), array([ 4541.,  1975.,   231.]), array([-454., -204.,  145.]))
(1, 22871, 22459, 21971, array([ 8048.,   784.,  -240.]), array([-15832.,   2006.,  -3963.]), array([-454., -204.,  145.]))
(1, 24295, 23460, 21971, array([ 7968.,   848.,  -304.]), array([ 20545.,  -6382.,   4193.]), array([-454., -204.,  145.]))
(1, 25245, 24460, 24516, array([ 7888.,   912.,  -256.]), array([ 4213.,  8425.,   215.]), array([-454., -200.,  152.]))
(1, 26194, 26471, 24516, array([ 7984.,  1088.,  -256.]), array([ 4654.,  1994.,   189.]), array([-454., -200.,  152.]))
(1, 27618, 27478, 27060, array([ 7920.,  1040.,  -320.]), array([ 4438.,  1914.,   130.]), array([-450., -203.,  152.]))
(1, 28567, 28486, 27060, array([ 7952.,  1136.,  -224.]), array([ 4448.,  1873.,    95.]), array([-450., -203.,  152.]))
(1, 29516, 29494, 29605, array([ 7968.,  1376.,  -352.]), array([ 4510.,  1786.,    35.]), array([-450., -202.,  150.]))
(1, 30940, 30502, 29605, array([ 7936.,  1264.,  -336.]), array([ 4606.,  1712.,   -47.]), array([-450., -202.,  150.]))
(1, 31890, 31510, 32150, array([ 7968.,  1264.,  -320.]), array([ 4665.,  1633.,  -156.]), array([-454., -200.,  149.]))
(1, 33313, 32518, 32150, array([ 7872.,  1584.,  -304.]), array([ 4557.,  1492.,  -218.]), array([-454., -200.,  149.]))
(1, 34262, 33526, 32150, array([ 7904.,  1616.,  -288.]), array([ 4258.,  1289.,  -251.]), array([-454., -200.,  149.]))
(1, 35211, 35542, 34695, array([ 7920.,  1600.,  -288.]), array([ 3432.,   848.,  -304.]), array([-451., -203.,  151.]))
(1, 36635, 36550, 34695, array([ 7904.,  1376.,  -336.]), array([ 3044.,   669.,  -284.]), array([-451., -203.,  151.]))
(1, 37584, 37558, 37240, array([ 7904.,  1472.,  -400.]), array([ 2667.,   481.,  -305.]), array([-456., -202.,  150.]))
(1, 38533, 38566, 37240, array([ 7904.,  1600.,  -416.]), array([ 2244.,   305.,  -279.]), array([-456., -202.,  150.]))
(1, 39957, 39574, 39785, array([ 7888.,  1632.,  -384.]), array([ 1607.,    92.,  -218.]), array([-450., -200.,  151.]))
(1, 40906, 40583, 39785, array([ 7888.,  1536.,  -448.]), array([ 510.,  -39., -165.]), array([-450., -200.,  151.]))
(1, 41855, 41591, 39785, array([ 7904.,  1488.,  -432.]), array([ 453.,   45., -130.]), array([-450., -200.,  151.]))
(1, 43278, 42599, 42329, array([ 7920.,  1472.,  -416.]), array([ 659.,   86., -147.]), array([-451., -204.,  151.]))
(1, 44227, 43607, 42329, array([ 7936.,  1392.,  -400.]), array([ 703.,  129., -160.]), array([-451., -204.,  151.]))
(1, 45651, 45623, 44874, array([ 7936.,  1216.,  -480.]), array([ 805.,  118., -150.]), array([-451., -200.,  151.]))
(1, 46600, 46631, 44874, array([ 7936.,  1232.,  -512.]), array([ 778.,  134., -142.]), array([-451., -200.,  151.]))
(1, 47549, 47640, 47419, array([ 7920.,  1248.,  -512.]), array([ 832.,  140., -142.]), array([-451., -202.,  151.]))
(1, 48972, 48648, 47419, array([ 7904.,  1184.,  -528.]), array([ 888.,  157., -137.]), array([-451., -202.,  151.]))
(1, 50871, 50664, 49964, array([ 7936.,  1024.,  -608.]), array([ 1009.,   177.,  -136.]), array([-450., -200.,  154.]))
(1, 52295, 51672, 49964, array([ 7936.,  1056.,  -640.]), array([ 978.,  181., -141.]), array([-450., -200.,  154.]))
(1, 53244, 52680, 52508, array([ 7952.,  1040.,  -560.]), array([ 1007.,   202.,  -138.]), array([-450., -200.,  154.]))
(1, 54667, 54697, 52508, array([ 7984.,  1056.,  -608.]), array([ 939.,  246., -112.]), array([-450., -200.,  154.]))
(1, 55616, 55705, 55054, array([ 7984.,  1120.,  -624.]), array([ 945.,  243., -110.]), array([-453., -201.,  154.]))
(1, 56566, 56713, 55054, array([ 7904.,  1136.,  -576.]), array([ 891.,  196.,  -99.]), array([-453., -201.,  154.]))
(1, 57989, 57721, 57599, array([ 8000.,  1168.,  -608.]), array([ 956.,  205.,  -90.]), array([-450., -203.,  155.]))
(1, 58938, 58729, 57599, array([ 7920.,  1120.,  -672.]), array([ 903.,  175.,  -85.]), array([-450., -203.,  155.]))
(1, 59887, 59737, 60144, array([ 7952.,  1152.,  -704.]), array([ 797.,  158.,  -83.]), array([-451., -200.,  154.]))
(1, 61311, 60745, 60144, array([ 7952.,  1232.,  -672.]), array([ 770.,  169.,  -59.]), array([-451., -200.,  154.]))
(1, 62260, 61754, 60144, array([ 7824.,  1280.,  -656.]), array([ 713.,  162.,  -82.]), array([-451., -200.,  154.]))
(1, 63684, 62762, 62689, array([ 7936.,  1408.,  -656.]), array([ 653.,  171.,  -77.]), array([-449., -205.,  158.]))
(1, 64633, 64778, 62689, array([ 7888.,  1392.,  -608.]), array([ 564.,   99., -129.]), array([-449., -205.,  158.]))
(1, 47, 250, 65235, array([ 7920.,  1392.,  -656.]), array([ 527.,  102., -112.]), array([-449., -202.,  159.]))
(1, 1471, 1258, 65235, array([ 8080.,  1440.,  -656.]), array([ 458.,  119., -107.]), array([-449., -202.,  159.]))
(1, 2421, 2267, 2244, array([ 8080.,  1456.,  -704.]), array([ 431.,  124., -144.]), array([-455., -201.,  157.]))
(1, 3370, 3275, 2244, array([ 8112.,  1728.,  -720.]), array([ 405.,  175., -148.]), array([-455., -201.,  157.]))
(1, 4794, 4283, 4789, array([ 8096.,  1680.,  -704.]), array([ 429.,  179., -163.]), array([-448., -201.,  159.]))
(1, 5743, 5291, 4789, array([ 8048.,  1664.,  -720.]), array([ 541.,  118., -178.]), array([-448., -201.,  159.]))
(1, 6693, 6299, 4789, array([ 8048.,  1744.,  -672.]), array([ 612.,  103., -204.]), array([-448., -201.,  159.]))
(1, 8117, 7307, 7334, array([ 8064.,  1712.,  -816.]), array([ 733.,  124., -207.]), array([-454., -204.,  158.]))
(1, 9067, 9324, 7334, array([ 7952.,  1584.,  -704.]), array([ 912.,   98., -173.]), array([-454., -204.,  158.]))
(1, 10490, 10332, 9877, array([ 7920.,  1600.,  -752.]), array([ 1026.,   106.,  -221.]), array([-449., -203.,  157.]))
