(1, 39388, 38622, 37159, array([ 9040.,  2224.,  6688.]), array([-4489.,  2710.,    92.]), array([-481.,  264., -108.]))
(1, 40338, 40638, 39704, array([ 8992.,  2112.,  6880.]), array([-5000.,  3086.,   -20.]), array([-479.,  268., -113.]))
(1, 3265, 2902, 270, array([ 1440.,  -400.,  6512.]), array([-16461.,   3944., -15488.]), array([ -24.,  279., -413.]))
(1, 4690, 3903, 270, array([  800., -1024.,  8160.]), array([ 18086.,   3944.,  14341.]), array([ -24.,  279., -413.]))
(1, 7065, 6908, 6123, array([  528.,  -688.,  8640.]), array([ 4515.,  1992.,   212.]), array([ -19.,  318., -390.]))
(1, 8014, 7910, 6123, array([  592.,  -368.,  8768.]), array([ 4542.,  1977.,   216.]), array([ -19.,  318., -390.]))
(1, 8964, 8911, 8669, array([  688.,  -176.,  8928.]), array([ 4505.,  1996.,   220.]), array([ -19.,  315., -390.]))
(1, 10388, 9913, 8669, array([  736.,   -32.,  8960.]), array([ 4527.,  1989.,   215.]), array([ -19.,  315., -390.]))
(1, 11338, 10915, 11214, array([  640.,   -64.,  8848.]), array([ 4550.,  1986.,   220.]), array([ -19.,  317., -396.]))
(1, 12287, 11917, 11214, array([  576.,   -96.,  8800.]), array([ 4555.,  1969.,   214.]), array([ -19.,  317., -396.]))
(1, 13712, 12918, 13760, array([  512.,  -112.,  8688.]), array([ 4521.,  1988.,   209.]), array([ -18.,  322., -396.]))
(1, 14661, 14928, 13760, array([  560.,  -128.,  8576.]), array([ 4423.,  1988.,   226.]), array([ -18.,  322., -396.]))
(1, 16086, 15936, 13760, array([  544.,  -208.,  8576.]), array([ 4336.,  2065.,   221.]), array([ -18.,  322., -396.]))
(1, 17035, 16943, 16307, array([  544.,  -192.,  8528.]), array([ 4327.,  2036.,   158.]), array([ -18.,  320., -396.]))
(1, 19410, 18959, 18854, array([  656.,  -112.,  8448.]), array([ 4362.,  1918.,   109.]), array([ -17.,  316., -396.]))
(1, 20360, 19967, 18854, array([  656.,   -80.,  8352.]), array([ 4422.,  1843.,    56.]), array([ -17.,  316., -396.]))
(1, 21309, 20975, 21399, array([  656.,   -96.,  8304.]), array([ 4444.,  1814.,    18.]), array([ -18.,  322., -395.]))
(1, 22734, 21982, 21399, array([  528.,   -96.,  8288.]), array([ 4552.,  1688.,   -77.]), array([ -18.,  322., -395.]))
(1, 23683, 22990, 23945, array([  480.,    16.,  8352.]), array([ 4506.,  1569.,  -182.]), array([ -16.,  323., -394.]))
(1, 25107, 25006, 23945, array([  480.,    16.,  8432.]), array([ 3778.,  1167.,  -265.]), array([ -16.,  323., -394.]))
(1, 26057, 26014, 23945, array([  512.,    32.,  8512.]), array([ 3173.,   961.,  -250.]), array([ -16.,  323., -394.]))
(1, 27006, 27022, 26491, array([  544.,    96.,  8512.]), array([ 2617.,   743.,  -261.]), array([ -17.,  322., -394.]))
