(1, 49705, 48866, 47892, array([ 7744.,  -160., -1760.]), array([-25233.,   1559., -32366.]), array([-501.,   30.,  159.]))
(1, 50654, 50867, 47892, array([ 7840.,  -304., -1552.]), array([ 4160.,   375.,   209.]), array([-501.,   30.,  159.]))
(1, 51603, 51867, 47892, array([ 7872.,  -272., -1424.]), array([ 4471.,  1849.,   200.]), array([-501.,   30.,  159.]))
(1, 53027, 52868, 52086, array([ 7872.,  -272., -1472.]), array([ 4509.,  2001.,   216.]), array([-495.,   63.,   42.]))
(1, 53977, 53868, 52086, array([ 7888.,  -288., -1504.]), array([ 4519.,  1978.,   225.]), array([-495.,   63.,   42.]))
(1, 55401, 54868, 54631, array([ 7952.,  -256., -1552.]), array([ 4500.,  1985.,   207.]), array([-495.,   66.,   42.]))
(1, 56350, 55869, 54631, array([ 7936.,  -256., -1488.]), array([ 4504.,  1989.,   218.]), array([-495.,   66.,   42.]))
(1, 57300, 56869, 57177, array([ 7968.,  -272., -1488.]), array([ 4496.,  1989.,   229.]), array([-493.,   66.,   42.]))
(1, 58724, 57870, 57177, array([ 7952.,  -272., -1552.]), array([ 4487.,  2001.,   232.]), array([-493.,   66.,   42.]))
(1, 59673, 59871, 59723, array([ 7968.,  -240., -1600.]), array([ 4519.,  1966.,   199.]), array([-495.,   64.,   35.]))
(1, 60622, 60875, 59723, array([ 7952.,  -272., -1472.]), array([ 4556.,  1995.,   204.]), array([-495.,   64.,   35.]))
(1, 62046, 61883, 59723, array([ 7984.,  -352., -1488.]), array([ 4398.,  1971.,   200.]), array([-495.,   64.,   35.]))
(1, 62995, 62891, 62270, array([ 7936.,  -368., -1520.]), array([ 4312.,  1993.,   175.]), array([-495.,   67.,   35.]))
(1, 64419, 63899, 62270, array([ 7952.,  -368., -1504.]), array([ 4352.,  1990.,   168.]), array([-495.,   67.,   35.]))
(1, 65369, 64907, 64816, array([ 7920.,  -368., -1504.]), array([ 4346.,  1990.,   123.]), array([-491.,   67.,   34.]))
(1, 782, 379, 64816, array([ 7936.,  -336., -1520.]), array([ 4389.,  1963.,    93.]), array([-491.,   67.,   34.]))
(1, 2206, 1387, 1825, array([ 7920.,  -352., -1472.]), array([ 4407.,  1933.,    42.]), array([-501.,   66.,   32.]))
(1, 3155, 2395, 1825, array([ 7904.,  -336., -1536.]), array([ 4440.,  1852.,   -39.]), array([-501.,   66.,   32.]))
(1, 4104, 4411, 4371, array([ 7936.,  -336., -1584.]), array([ 4509.,  1701.,  -162.]), array([-494.,   69.,   31.]))
