(1, 52769, 51930, 50827, array([ 6304.,  -320., -3680.]), array([ 19493.,  14465.,  10157.]), array([-481.,  -68.,   84.]))
(1, 54668, 54931, 50827, array([ 5856.,  -176., -3696.]), array([ 4524.,  1846.,   211.]), array([-481.,  -68.,   84.]))
(1, 57041, 56932, 55149, array([ 5776.,  -176., -3776.]), array([ 4526.,  1987.,   218.]), array([-432.,    8.,  309.]))
(1, 58465, 57932, 57694, array([ 5760.,  -160., -3920.]), array([ 4497.,  1995.,   205.]), array([-432.,    8.,  309.]))
(1, 59415, 58933, 57694, array([ 5728.,  -192., -3888.]), array([ 4528.,  1989.,   214.]), array([-432.,    8.,  309.]))
(1, 60364, 59934, 60239, array([ 5728.,  -112., -3904.]), array([ 4514.,  1986.,   200.]), array([-430.,   11.,  312.]))
(1, 61788, 60934, 60239, array([ 5744.,  -128., -3968.]), array([ 4480.,  2008.,   219.]), array([-430.,   11.,  312.]))
(1, 62737, 62935, 62784, array([ 5776.,  -176., -4048.]), array([ 4531.,  1979.,   203.]), array([-428.,   13.,  311.]))
(1, 63686, 63939, 62784, array([ 5744.,  -224., -4064.]), array([ 4540.,  1994.,   202.]), array([-428.,   13.,  311.]))
(1, 65111, 64947, 62784, array([ 5808.,  -256., -4096.]), array([ 4409.,  1962.,   192.]), array([-428.,   13.,  311.]))
(1, 525, 419, 65329, array([ 5840.,  -240., -4176.]), array([ 4358.,  1933.,   180.]), array([-428.,   15.,  311.]))
(1, 1949, 1427, 65329, array([ 5792.,  -304., -4144.]), array([ 4395.,  1951.,   147.]), array([-428.,   15.,  311.]))
(1, 2898, 2435, 2338, array([ 5808.,  -352., -4240.]), array([ 4345.,  1948.,   119.]), array([-427.,   11.,  313.]))
(1, 3848, 3443, 2338, array([ 5792.,  -416., -4272.]), array([ 4413.,  1914.,    96.]), array([-427.,   11.,  313.]))
(1, 5271, 4451, 4883, array([ 5712.,  -416., -4384.]), array([ 4477.,  1862.,    61.]), array([-428.,   14.,  314.]))
(1, 6220, 5459, 4883, array([ 5760.,  -432., -4368.]), array([ 4514.,  1771.,    -6.]), array([-428.,   14.,  314.]))
(1, 7170, 7475, 7429, array([ 5728.,  -432., -4432.]), array([ 4585.,  1553.,  -199.]), array([-426.,   13.,  315.]))
(1, 8594, 8483, 7429, array([ 5712.,  -384., -4432.]), array([ 4312.,  1391.,  -232.]), array([-426.,   13.,  315.]))
(1, 9543, 9491, 7429, array([ 5744.,  -368., -4496.]), array([ 3888.,  1226.,  -248.]), array([-426.,   13.,  315.]))
(1, 10492, 10499, 9973, array([ 5792.,  -320., -4592.]), array([ 3352.,  1013.,  -262.]), array([-426.,   13.,  313.]))
(1, 11915, 11507, 9973, array([ 5840.,  -320., -4576.]), array([ 2853.,   813.,  -285.]), array([-426.,   13.,  313.]))
(1, 12864, 12515, 12518, array([ 5840.,  -336., -4544.]), array([ 2386.,   632.,  -296.]), array([-427.,   13.,  313.]))
(1, 14288, 13523, 12518, array([ 5872.,  -464., -4560.]), array([ 1980.,   496.,  -259.]), array([-427.,   13.,  313.]))
(1, 15237, 14532, 15063, array([ 5840.,  -400., -4608.]), array([ 1459.,   361.,  -249.]), array([-429.,   11.,  313.]))
(1, 16187, 16548, 15063, array([ 5792.,  -416., -4736.]), array([-436.,  212.,  -67.]), array([-429.,   11.,  313.]))
(1, 17611, 17556, 17607, array([ 5808.,  -336., -4752.]), array([-314.,  273., -108.]), array([-426.,   14.,  312.]))
(1, 18560, 18564, 17607, array([ 5776.,  -336., -4848.]), array([-221.,  293., -128.]), array([-426.,   14.,  312.]))
(1, 19509, 19573, 17607, array([ 5808.,  -320., -4880.]), array([-232.,  288., -113.]), array([-426.,   14.,  312.]))
(1, 20933, 20581, 20152, array([ 5856.,  -400., -4800.]), array([-207.,  296., -135.]), array([-429.,    9.,  310.]))
(1, 21883, 21589, 20152, array([ 5840.,  -432., -4864.]), array([-160.,  271., -131.]), array([-429.,    9.,  310.]))
(1, 23307, 22597, 22697, array([ 5776.,  -368., -4944.]), array([-182.,  264., -133.]), array([-433.,   10.,  311.]))
(1, 24256, 23606, 22697, array([ 5776.,  -368., -4944.]), array([-100.,  284., -113.]), array([-433.,   10.,  311.]))
(1, 25205, 24614, 25243, array([ 5760.,  -320., -4976.]), array([ -37.,  267., -129.]), array([-428.,    9.,  311.]))
(1, 26629, 26630, 25243, array([ 5792.,  -384., -4960.]), array([ 117.,  233., -190.]), array([-428.,    9.,  311.]))
(1, 28528, 28647, 27786, array([ 5792.,  -416., -5008.]), array([ 166.,  219., -104.]), array([-428.,   11.,  311.]))
(1, 29952, 29655, 27786, array([ 5760.,  -416., -5040.]), array([ 241.,  202., -133.]), array([-428.,   11.,  311.]))
(1, 30901, 30663, 30332, array([ 5776.,  -464., -5008.]), array([ 256.,  224., -140.]), array([-428.,    7.,  312.]))
(1, 31851, 31671, 30332, array([ 5808.,  -544., -5024.]), array([ 291.,  219., -124.]), array([-428.,    7.,  312.]))
(1, 33275, 32680, 32876, array([ 5776.,  -512., -5008.]), array([ 271.,  228., -110.]), array([-426.,    7.,  310.]))
(1, 34224, 33688, 32876, array([ 5824.,  -512., -4992.]), array([ 253.,  203.,  -91.]), array([-426.,    7.,  310.]))
(1, 35648, 34696, 35422, array([ 5792.,  -592., -5056.]), array([ 259.,  140.,  -83.]), array([-425.,    5.,  313.]))
(1, 36597, 36712, 35422, array([ 5776.,  -560., -5008.]), array([ 280.,   96.,  -56.]), array([-425.,    5.,  313.]))
(1, 37546, 37721, 35422, array([ 5840.,  -512., -5056.]), array([ 267.,   91.,  -30.]), array([-425.,    5.,  313.]))
(1, 38970, 38729, 37967, array([ 5824.,  -576., -4976.]), array([ 254.,   95.,  -40.]), array([-427.,    7.,  312.]))
(1, 39919, 39737, 37967, array([ 5808.,  -592., -4928.]), array([ 251.,   65.,  -34.]), array([-427.,    7.,  312.]))
(1, 40868, 40745, 40511, array([ 5792.,  -544., -4928.]), array([ 263.,    7.,  -23.]), array([-430.,    8.,  313.]))
(1, 42292, 41753, 40511, array([ 5728.,  -512., -4880.]), array([ 293.,    9.,    5.]), array([-430.,    8.,  313.]))
(1, 43242, 42762, 43056, array([ 5712.,  -544., -4880.]), array([ 280.,   16.,   28.]), array([-426.,   10.,  316.]))
(1, 44666, 43770, 43056, array([ 5696.,  -496., -4880.]), array([ 305.,    1.,   27.]), array([-426.,   10.,  316.]))
(1, 45615, 45786, 45601, array([ 5680.,  -512., -4832.]), array([ 320.,  -19.,   33.]), array([-428.,    9.,  310.]))
(1, 46564, 46795, 45601, array([ 5712.,  -544., -4800.]), array([ 314.,   -3.,   55.]), array([-428.,    9.,  310.]))
(1, 47988, 47803, 45601, array([ 5680.,  -544., -4720.]), array([ 270.,   -3.,   46.]), array([-428.,    9.,  310.]))
(1, 48937, 48811, 48147, array([ 5712.,  -496., -4752.]), array([ 294.,  -17.,   36.]), array([-426.,   11.,  312.]))
(1, 49887, 49819, 48147, array([ 5760.,  -432., -4656.]), array([ 327.,   12.,   30.]), array([-426.,   11.,  312.]))
(1, 51311, 50827, 50691, array([ 5776.,  -400., -4608.]), array([ 304.,   34.,   42.]), array([-425.,    7.,  312.]))
(1, 52260, 51836, 50691, array([ 5728.,  -448., -4592.]), array([ 348.,   22.,   54.]), array([-425.,    7.,  312.]))
(1, 53683, 52844, 53237, array([ 5728.,  -448., -4592.]), array([ 313.,   26.,   42.]), array([-425.,   11.,  311.]))
(1, 54632, 53852, 53237, array([ 5712.,  -432., -4576.]), array([ 369.,   22.,   48.]), array([-425.,   11.,  311.]))
(1, 55582, 55869, 55781, array([ 5808.,  -432., -4512.]), array([ 380.,   65.,   50.]), array([-425.,    9.,  311.]))
(1, 57006, 56877, 55781, array([ 5728.,  -384., -4480.]), array([ 353.,   70.,   72.]), array([-425.,    9.,  311.]))
(1, 57955, 57885, 55781, array([ 5712.,  -400., -4496.]), array([ 363.,   91.,   72.]), array([-425.,    9.,  311.]))
(1, 58905, 58893, 58326, array([ 5760.,  -384., -4448.]), array([ 358.,   94.,   64.]), array([-425.,    7.,  314.]))
