(1, 36918, 36079, 35038, array([ 7792.,   176., -2208.]), array([ 11845., -32478.,  -2960.]), array([-511.,  110.,   47.]))
(1, 37867, 38080, 35038, array([ 7760.,   208., -2144.]), array([  4178., -32139.,    184.]), array([-511.,  110.,   47.]))
(1, 38816, 39081, 35038, array([ 7728.,   176., -2080.]), array([ 4492.,  1850.,   214.]), array([-511.,  110.,   47.]))
(1, 40240, 40082, 39297, array([ 7728.,   160., -1984.]), array([ 4485.,  1990.,   227.]), array([-500.,   71.,  117.]))
(1, 41190, 41083, 39297, array([ 7760.,   208., -1968.]), array([ 4537.,  1972.,   219.]), array([-500.,   71.,  117.]))
(1, 42614, 42085, 41842, array([ 7712.,   256., -2096.]), array([ 4534.,  1972.,   204.]), array([-500.,   71.,  117.]))
(1, 45936, 45087, 44387, array([ 7696.,   288., -2096.]), array([ 4537.,  2008.,   208.]), array([-502.,   68.,  119.]))
(1, 46886, 47089, 46932, array([ 7648.,   288., -2080.]), array([ 4527.,  1987.,   217.]), array([-501.,   69.,  116.]))
(1, 52582, 52708, 52023, array([ 7568.,   208., -2048.]), array([ 4439.,  1940.,   109.]), array([-502.,   67.,  116.]))
(1, 53532, 53716, 52023, array([ 7552.,   240., -2112.]), array([ 4461.,  1894.,    49.]), array([-502.,   67.,  116.]))
(1, 54956, 54723, 54568, array([ 7600.,   256., -2176.]), array([ 4506.,  1830.,     9.]), array([-505.,   69.,  116.]))
(1, 55905, 55731, 54568, array([ 7552.,   176., -2064.]), array([ 4580.,  1700.,   -55.]), array([-505.,   69.,  116.]))
(1, 56855, 56739, 57113, array([ 7536.,   112., -2112.]), array([ 4650.,  1622.,  -166.]), array([-503.,   71.,  116.]))
(1, 58279, 57747, 57113, array([ 7552.,   176., -2128.]), array([ 4459.,  1495.,  -184.]), array([-503.,   71.,  116.]))
(1, 59228, 58755, 57113, array([ 7536.,   224., -2144.]), array([ 4095.,  1292.,  -200.]), array([-503.,   71.,  116.]))
(1, 60177, 59763, 59658, array([ 7600.,   256., -2160.]), array([ 3617.,  1123.,  -199.]), array([-503.,   72.,  116.]))
(1, 61601, 60771, 59658, array([ 7632.,   304., -2224.]), array([ 3156.,   932.,  -170.]), array([-503.,   72.,  116.]))
(1, 62550, 62787, 62202, array([ 7616.,   336., -2208.]), array([ 2332.,   603.,  -132.]), array([-503.,   70.,  116.]))
(1, 63973, 63795, 62202, array([ 7584.,   320., -2192.]), array([ 1972.,   462.,   -79.]), array([-503.,   70.,  116.]))
(1, 64922, 64804, 64747, array([ 7632.,   304., -2240.]), array([ 896.,  347.,   27.]), array([-505.,   72.,  115.]))
(1, 335, 276, 64747, array([ 7632.,   272., -2208.]), array([  39.,  251.,   89.]), array([-505.,   72.,  115.]))
(1, 1759, 1284, 1756, array([ 7616.,   368., -2304.]), array([ 167.,  301.,   42.]), array([-505.,   71.,  116.]))
(1, 2708, 2292, 1756, array([ 7584.,   368., -2320.]), array([ 238.,  305.,   48.]), array([-505.,   71.,  116.]))
(1, 3657, 3300, 1756, array([ 7616.,   368., -2352.]), array([ 239.,  276.,   57.]), array([-505.,   71.,  116.]))
(1, 5081, 4308, 4302, array([ 7648.,   416., -2384.]), array([ 226.,  285.,   77.]), array([-503.,   72.,  117.]))
(1, 6030, 6324, 4302, array([ 7632.,   384., -2368.]), array([ 246.,  267.,   26.]), array([-503.,   72.,  117.]))
(1, 7454, 7333, 6847, array([ 7632.,   432., -2400.]), array([ 266.,  238.,   43.]), array([-507.,   72.,  115.]))
(1, 8403, 8341, 6847, array([ 7600.,   416., -2448.]), array([ 270.,  241.,   44.]), array([-507.,   72.,  115.]))
(1, 9353, 9349, 9392, array([ 7568.,   464., -2496.]), array([ 301.,  228.,   35.]), array([-503.,   69.,  113.]))
(1, 10776, 10357, 9392, array([ 7584.,   464., -2560.]), array([ 370.,  254.,   22.]), array([-503.,   69.,  113.]))
(1, 11725, 11365, 11937, array([ 7536.,   464., -2544.]), array([ 386.,  265.,   11.]), array([-503.,   71.,  113.]))
(1, 12674, 12373, 11937, array([ 7504.,   448., -2528.]), array([ 416.,  258.,   12.]), array([-503.,   71.,  113.]))
(1, 14098, 13381, 11937, array([ 7488.,   368., -2560.]), array([ 437.,  276.,   24.]), array([-503.,   71.,  113.]))
(1, 16470, 16406, 14481, array([ 7360.,   432., -2864.]), array([ 546.,  315.,   -7.]), array([-501.,   70.,  115.]))
(1, 17419, 17414, 17026, array([ 7312.,   384., -2976.]), array([ 551.,  313.,   -2.]), array([-504.,   68.,  111.]))
(1, 18368, 18422, 17026, array([ 7296.,   400., -3056.]), array([ 606.,  297.,    5.]), array([-504.,   68.,  111.]))
(1, 19792, 19430, 19572, array([ 7296.,   512., -3248.]), array([ 676.,  301.,   -5.]), array([-502.,   70.,  111.]))
(1, 20741, 20438, 19572, array([ 7296.,   496., -3360.]), array([ 757.,  349.,    8.]), array([-502.,   70.,  111.]))
(1, 21690, 21446, 19572, array([ 7344.,   624., -3456.]), array([ 868.,  336.,   49.]), array([-502.,   70.,  111.]))
(1, 23113, 22454, 22116, array([ 7360.,   624., -3584.]), array([ 1059.,   349.,    60.]), array([-503.,   72.,  110.]))
(1, 24063, 23463, 22116, array([ 7344.,   608., -3648.]), array([ 1250.,   375.,    72.]), array([-503.,   72.,  110.]))
(1, 25012, 24471, 24662, array([ 7280.,   448., -3712.]), array([ 1396.,   345.,   115.]), array([-504.,   69.,  113.]))
(1, 26435, 26487, 24662, array([ 7216.,   480., -3888.]), array([ 1638.,   282.,   128.]), array([-504.,   69.,  113.]))
(1, 27385, 27495, 27208, array([ 7152.,   560., -4064.]), array([ 1742.,   233.,   109.]), array([-504.,   72.,  117.]))
(1, 28808, 28503, 27208, array([ 7216.,   640., -4400.]), array([ 1856.,   240.,   122.]), array([-504.,   72.,  117.]))
(1, 29758, 29511, 29752, array([ 7184.,   752., -4608.]), array([ 2093.,   178.,   137.]), array([-500.,   73.,  112.]))
(1, 30707, 30519, 29752, array([ 7168.,   784., -4784.]), array([ 2404.,   148.,   154.]), array([-500.,   73.,  112.]))
(1, 32131, 31528, 29752, array([ 7248.,   688., -5104.]), array([ 2708.,   143.,   125.]), array([-500.,   73.,  112.]))
(1, 33080, 32536, 32297, array([ 7424.,   656., -5280.]), array([ 2955.,    78.,   179.]), array([-505.,   74.,  111.]))
(1, 34029, 33544, 32297, array([ 7488.,   656., -5520.]), array([ 3280.,    23.,   274.]), array([-505.,   74.,  111.]))
(1, 35452, 35560, 34843, array([ 7536.,   624., -5776.]), array([ 3767.,  -129.,   348.]), array([-503.,   76.,  111.]))
