(1, 25176, 24337, 23597, array([ 7584.,  1920., -2176.]), array([  2353.,   6656.,  15913.]), array([-393.,  -88.,  386.]))
(1, 26125, 26339, 23597, array([ 7440.,  1952., -2144.]), array([ 4191., -4928.,   185.]), array([-393.,  -88.,  386.]))
(1, 27074, 27340, 23597, array([ 7408.,  1984., -2144.]), array([ 4498.,  1849.,   199.]), array([-393.,  -88.,  386.]))
(1, 28499, 28341, 27560, array([ 7328.,  2016., -2128.]), array([ 4479.,  2009.,   208.]), array([-375., -121.,  393.]))
(1, 29448, 29342, 27560, array([ 7312.,  2000., -2128.]), array([ 4510.,  1973.,   220.]), array([-375., -121.,  393.]))
(1, 30872, 30343, 30106, array([ 7360.,  2000., -2144.]), array([ 4503.,  1962.,   208.]), array([-375., -118.,  393.]))
(1, 31821, 31343, 30106, array([ 7408.,  2016., -2160.]), array([ 4524.,  1985.,   218.]), array([-375., -118.,  393.]))
(1, 32770, 32344, 32652, array([ 7408.,  2080., -2256.]), array([ 4504.,  1978.,   218.]), array([-373., -117.,  394.]))
(1, 34194, 33345, 32652, array([ 7392.,  2096., -2208.]), array([ 4510.,  1993.,   206.]), array([-373., -117.,  394.]))
(1, 35143, 35348, 35198, array([ 7424.,  2048., -2208.]), array([ 4484.,  1988.,   207.]), array([-374., -119.,  394.]))
(1, 36093, 35928, 35198, array([ 7456.,  2064., -2208.]), array([  7078.,   2009., -25361.]), array([-374., -119.,  394.]))
(1, 37517, 36929, 35198, array([ 7392.,  2048., -2240.]), array([ -1284.,  -5093.,  25641.]), array([-374., -119.,  394.]))
(1, 38466, 37930, 37744, array([ 7456.,  2064., -2256.]), array([ 4188.,  7606.,   202.]), array([-369., -120.,  394.]))
(1, 39891, 38932, 37744, array([ 7488.,  2032., -2240.]), array([ 4445.,  1848.,   206.]), array([-369., -120.,  394.]))
(1, 40840, 40948, 40289, array([ 7456.,  1984., -2176.]), array([ 4413.,  1926.,    99.]), array([-372., -120.,  396.]))
(1, 41789, 41956, 40289, array([ 7376.,  2048., -2240.]), array([ 4434.,  1822.,    55.]), array([-372., -120.,  396.]))
(1, 43212, 42964, 42835, array([ 7344.,  2032., -2208.]), array([  4.49800000e+03,   1.74600000e+03,   2.00000000e+00]), array([-375., -120.,  395.]))
(1, 44161, 43972, 42835, array([ 7408.,  2064., -2192.]), array([ 4578.,  1590.,   -77.]), array([-375., -120.,  395.]))
(1, 45110, 44980, 45381, array([ 7328.,  2032., -2224.]), array([ 4615.,  1504.,  -192.]), array([-368., -122.,  395.]))
(1, 46534, 45988, 45381, array([ 7392.,  2048., -2256.]), array([ 4434.,  1285.,  -225.]), array([-368., -122.,  395.]))
(1, 47483, 46996, 45381, array([ 7360.,  2064., -2288.]), array([ 4054.,  1052.,  -258.]), array([-368., -122.,  395.]))
(1, 48431, 48004, 47926, array([ 7328.,  2080., -2240.]), array([ 3577.,   832.,  -246.]), array([-367., -117.,  395.]))
(1, 49855, 49012, 47926, array([ 7360.,  2000., -2272.]), array([ 3156.,   550.,  -233.]), array([-367., -117.,  395.]))
(1, 50804, 51028, 50473, array([ 7408.,  1936., -2352.]), array([ 2412.,   147.,  -162.]), array([-368., -119.,  399.]))
(1, 52228, 52036, 50473, array([ 7264.,  2304., -1824.]), array([ 2198.,   -48.,   -93.]), array([-368., -119.,  399.]))
(1, 53177, 53044, 53019, array([ 7184.,  2656., -1552.]), array([ 1514.,  -185.,     2.]), array([-366., -120.,  397.]))
(1, 54126, 54052, 53019, array([ 7152.,  2656., -1408.]), array([ 1140.,   -74.,    47.]), array([-366., -120.,  397.]))
(1, 55550, 55061, 55564, array([ 7280.,  2208., -1600.]), array([ 1776.,   251.,    64.]), array([-367., -117.,  400.]))
(1, 56499, 56069, 55564, array([ 7312.,  1696., -1648.]), array([ 2427.,   451.,   177.]), array([-367., -117.,  400.]))
(1, 57449, 57077, 55564, array([ 7328.,  1232., -1680.]), array([ 2742.,   515.,   304.]), array([-367., -117.,  400.]))
(1, 58872, 58085, 58111, array([ 7392.,   816., -1568.]), array([ 2638.,   552.,   386.]), array([-367., -108.,  400.]))
(1, 59821, 60101, 58111, array([ 7376.,   880., -1648.]), array([ 1635.,   561.,   356.]), array([-367., -108.,  400.]))
(1, 61245, 61110, 60658, array([ 7424.,  1216., -1728.]), array([ 1114.,   557.,   350.]), array([-373., -110.,  403.]))
(1, 62194, 62118, 60658, array([ 7408.,  1456., -1776.]), array([ 709.,  440.,  346.]), array([-373., -110.,  403.]))
(1, 63143, 63126, 63204, array([ 7344.,  1584., -1840.]), array([ 424.,  348.,  321.]), array([-370., -109.,  400.]))
(1, 64567, 64134, 63204, array([ 7360.,  1648., -2064.]), array([ 285.,  308.,  339.]), array([-370., -109.,  400.]))
(1, 65516, 65142, 213, array([ 7344.,  1744., -2048.]), array([ 220.,  323.,  382.]), array([-369., -107.,  400.]))
(1, 930, 614, 213, array([ 7344.,  1712., -2064.]), array([ 192.,  335.,  409.]), array([-369., -107.,  400.]))
(1, 2354, 1622, 213, array([ 7360.,  1728., -2160.]), array([ 166.,  370.,  416.]), array([-369., -107.,  400.]))
(1, 3303, 2631, 2759, array([ 7440.,  1776., -2240.]), array([ 131.,  379.,  379.]), array([-368., -108.,  400.]))
(1, 4726, 4647, 2759, array([ 7536.,  1888., -2288.]), array([ 122.,  392.,  358.]), array([-368., -108.,  400.]))
(1, 5675, 5655, 5305, array([ 7504.,  2000., -2384.]), array([ 121.,  388.,  351.]), array([-369., -106.,  398.]))
(1, 6624, 6663, 5305, array([ 7536.,  2032., -2432.]), array([ 157.,  360.,  343.]), array([-369., -106.,  398.]))
(1, 8049, 7671, 7850, array([ 7456.,  2032., -2592.]), array([ 164.,  348.,  378.]), array([-371., -107.,  400.]))
(1, 8999, 8680, 7850, array([ 7504.,  2032., -2576.]), array([ 172.,  296.,  351.]), array([-371., -107.,  400.]))
(1, 9948, 9688, 7850, array([ 7472.,  2016., -2608.]), array([ 207.,  279.,  283.]), array([-371., -107.,  400.]))
(1, 11372, 10696, 10395, array([ 7440.,  1920., -2688.]), array([ 235.,  282.,  268.]), array([-373., -107.,  399.]))
(1, 12321, 11704, 10395, array([ 7456.,  1872., -2720.]), array([ 253.,  273.,  257.]), array([-373., -107.,  399.]))
(1, 13270, 13720, 12941, array([ 7392.,  1920., -2736.]), array([ 244.,  237.,  175.]), array([-370., -104.,  401.]))
(1, 14694, 14728, 12941, array([ 7408.,  1888., -2704.]), array([ 242.,  218.,  138.]), array([-370., -104.,  401.]))
(1, 15644, 15737, 15487, array([ 7408.,  1904., -2736.]), array([ 208.,  184.,  144.]), array([-373., -105.,  402.]))
(1, 17067, 16745, 15487, array([ 7328.,  1984., -2720.]), array([ 226.,  175.,  139.]), array([-373., -105.,  402.]))
(1, 18016, 17753, 18032, array([ 7392.,  1952., -2768.]), array([ 227.,  163.,  110.]), array([-373., -104.,  401.]))
(1, 18966, 18761, 18032, array([ 7408.,  1936., -2720.]), array([ 270.,  143.,  113.]), array([-373., -104.,  401.]))
(1, 20390, 19769, 18032, array([ 7312.,  1952., -2736.]), array([ 202.,  158.,   75.]), array([-373., -104.,  401.]))
(1, 21339, 20777, 20578, array([ 7328.,  1904., -2720.]), array([ 204.,  113.,   73.]), array([-373., -106.,  401.]))
(1, 22289, 21786, 20578, array([ 7232.,  1888., -2576.]), array([ 203.,   71.,   79.]), array([-373., -106.,  401.]))
(1, 23712, 23802, 23123, array([ 7184.,  1872., -2576.]), array([ 163.,   59.,   47.]), array([-373., -105.,  401.]))
(1, 24661, 24810, 23123, array([ 7280.,  1840., -2464.]), array([ 168.,   59.,   50.]), array([-373., -105.,  401.]))
(1, 26084, 25818, 25668, array([ 7376.,  1856., -2448.]), array([ 193.,   82.,  126.]), array([-376., -100.,  398.]))
(1, 27034, 26826, 25668, array([ 7424.,  1872., -2400.]), array([ 219.,   81.,  126.]), array([-376., -100.,  398.]))
(1, 27983, 27834, 28214, array([ 7424.,  1888., -2464.]), array([ 208.,  121.,  132.]), array([-372., -105.,  398.]))
(1, 29406, 28843, 28214, array([ 7472.,  1792., -2432.]), array([ 232.,  138.,  151.]), array([-372., -105.,  398.]))
(1, 30355, 29851, 28214, array([ 7424.,  1760., -2464.]), array([ 236.,  130.,  152.]), array([-372., -105.,  398.]))
(1, 31305, 30859, 30759, array([ 7408.,  1760., -2496.]), array([ 251.,  117.,  183.]), array([-372., -103.,  401.]))
(1, 32729, 31867, 30759, array([ 7360.,  1872., -2448.]), array([ 259.,  151.,  230.]), array([-372., -103.,  401.]))
(1, 33678, 33883, 33306, array([ 7312.,  1904., -2384.]), array([ 266.,  154.,  230.]), array([-375., -102.,  400.]))
(1, 35101, 34892, 33306, array([ 7312.,  1872., -2448.]), array([ 315.,  129.,  225.]), array([-375., -102.,  400.]))
(1, 36051, 35900, 35851, array([ 7280.,  1856., -2464.]), array([ 322.,  114.,  249.]), array([-374.,  -99.,  401.]))
(1, 37000, 36908, 35851, array([ 7296.,  1824., -2400.]), array([ 311.,  147.,  253.]), array([-374.,  -99.,  401.]))
