(1, 41170, 40331, 39477, array([ 7328., -1136., -2544.]), array([ 11056., -30338., -22978.]), array([-483.,  207.,  265.]))
(1, 42119, 42332, 39477, array([ 7168., -1248., -2928.]), array([  4200.,  30613.,    201.]), array([-483.,  207.,  265.]))
(1, 43068, 43333, 39477, array([ 7024., -1296., -3056.]), array([ 4501.,  1860.,   221.]), array([-483.,  207.,  265.]))
(1, 44491, 44334, 43556, array([ 7104., -1232., -3120.]), array([ 4494.,  2009.,   217.]), array([-349.,  143.,  449.]))
(1, 45441, 45334, 43556, array([ 7088., -1168., -3120.]), array([ 4509.,  1991.,   213.]), array([-349.,  143.,  449.]))
(1, 46865, 46335, 46103, array([ 7136., -1184., -3152.]), array([ 4500.,  1993.,   207.]), array([-349.,  144.,  449.]))
(1, 47814, 47336, 46103, array([ 7120., -1136., -3200.]), array([ 4478.,  2008.,   210.]), array([-349.,  144.,  449.]))
(1, 48763, 48337, 48651, array([ 7136., -1136., -3200.]), array([ 4485.,  1950.,   214.]), array([-347.,  144.,  449.]))
(1, 50187, 49338, 48651, array([ 7104., -1168., -3184.]), array([ 4488.,  1985.,   225.]), array([-347.,  144.,  449.]))
(1, 51137, 51339, 51198, array([ 7120., -1152., -3200.]), array([ 4526.,  1987.,   206.]), array([-351.,  146.,  449.]))
(1, 52086, 52344, 51198, array([ 7120., -1184., -3216.]), array([ 4492.,  2004.,   213.]), array([-351.,  146.,  449.]))
(1, 53510, 53352, 51198, array([ 7104., -1280., -3216.]), array([ 4453.,  2015.,   219.]), array([-351.,  146.,  449.]))
(1, 54459, 54360, 53745, array([ 7088., -1312., -3168.]), array([ 4336.,  1997.,   178.]), array([-350.,  146.,  449.]))
(1, 55883, 55368, 53745, array([ 7088., -1280., -3184.]), array([ 4342.,  1947.,   152.]), array([-350.,  146.,  449.]))
(1, 56832, 56376, 56293, array([ 7104., -1344., -3184.]), array([ 4400.,  1923.,   149.]), array([-350.,  145.,  448.]))
(1, 57782, 57384, 56293, array([ 7120., -1408., -3152.]), array([ 4428.,  1896.,   114.]), array([-350.,  145.,  448.]))
(1, 59205, 58392, 58840, array([ 7136., -1344., -3248.]), array([ 4505.,  1812.,    63.]), array([-353.,  146.,  449.]))
(1, 60155, 59400, 58840, array([ 7072., -1344., -3136.]), array([  4.58400000e+03,   1.73900000e+03,   4.00000000e+00]), array([-353.,  146.,  449.]))
(1, 61104, 61415, 61387, array([ 7120., -1360., -3184.]), array([ 4646.,  1515.,  -142.]), array([-353.,  150.,  447.]))
(1, 62527, 62423, 61387, array([ 7120., -1312., -3168.]), array([ 4358.,  1338.,  -178.]), array([-353.,  150.,  447.]))
(1, 63477, 63431, 61387, array([ 7152., -1360., -3136.]), array([ 3937.,  1104.,  -167.]), array([-353.,  150.,  447.]))
(1, 64426, 64439, 63935, array([ 7104., -1360., -3104.]), array([ 3521.,   886.,  -166.]), array([-348.,  151.,  451.]))
(1, 314, 65448, 63935, array([ 7120., -1360., -3008.]), array([ 3106.,   697.,  -170.]), array([-348.,  151.,  451.]))
(1, 1263, 920, 946, array([ 7072., -1376., -3040.]), array([ 2789.,   500.,  -138.]), array([-350.,  151.,  451.]))
(1, 2687, 1928, 946, array([ 7104., -1328., -2944.]), array([ 2460.,   306.,  -138.]), array([-350.,  151.,  451.]))
(1, 3636, 2936, 3494, array([ 7120., -1344., -2928.]), array([ 1937.,   158.,  -124.]), array([-349.,  154.,  444.]))
(1, 4586, 4952, 3494, array([ 7120., -1296., -2928.]), array([ 493.,   14.,   46.]), array([-349.,  154.,  444.]))
(1, 6010, 5961, 6041, array([ 7056., -1296., -2912.]), array([ 695.,   57.,   28.]), array([-346.,  150.,  449.]))
(1, 6959, 6969, 6041, array([ 7072., -1344., -2928.]), array([ 706.,   39.,   -2.]), array([-346.,  150.,  449.]))
(1, 7908, 7977, 6041, array([ 7104., -1312., -2912.]), array([ 744.,   19.,    1.]), array([-346.,  150.,  449.]))
(1, 9332, 8985, 8588, array([ 7184., -1376., -2816.]), array([ 778.,   13.,   24.]), array([-346.,  152.,  449.]))
(1, 10282, 9993, 8588, array([ 7184., -1280., -2848.]), array([ 831.,   28.,   39.]), array([-346.,  152.,  449.]))
(1, 11705, 11001, 11133, array([ 7184., -1344., -2848.]), array([ 974.,   23.,   35.]), array([-350.,  156.,  450.]))
(1, 12654, 12010, 11133, array([ 7184., -1312., -2720.]), array([ 1100.,    37.,    52.]), array([-350.,  156.,  450.]))
(1, 13604, 13018, 13680, array([ 7232., -1280., -2720.]), array([ 1208.,    31.,    57.]), array([-347.,  156.,  449.]))
(1, 15027, 15034, 13680, array([ 7232., -1200., -2624.]), array([ 1421.,    45.,    66.]), array([-347.,  156.,  449.]))
(1, 15977, 16042, 13680, array([ 7216., -1216., -2656.]), array([ 1519.,    51.,    72.]), array([-347.,  156.,  449.]))
(1, 16927, 17050, 16228, array([ 7280., -1168., -2544.]), array([ 1678.,    47.,    50.]), array([-347.,  159.,  449.]))
(1, 18351, 18059, 16228, array([ 7296., -1200., -2496.]), array([ 1872.,    33.,    36.]), array([-347.,  159.,  449.]))
(1, 19300, 19067, 18776, array([ 7264., -1200., -2480.]), array([ 2073.,    42.,   -12.]), array([-348.,  161.,  449.]))
(1, 20249, 20075, 18776, array([ 7280., -1184., -2512.]), array([ 2281.,    65.,   -66.]), array([-348.,  161.,  449.]))
(1, 21674, 21083, 21323, array([ 7248., -1264., -2400.]), array([ 2609.,    76.,  -100.]), array([-348.,  164.,  449.]))
