(1, 58686, 57847, 55448, array([ 7968.,  -480., -2032.]), array([-13363.,  14555., -17248.]), array([-320.,  126.,  469.]))
(1, 59634, 59848, 55448, array([ 8032.,  -704., -1568.]), array([ 4191., -8650.,   194.]), array([-320.,  126.,  469.]))
(1, 60584, 60849, 55448, array([ 7984.,  -720., -1440.]), array([ 4480.,  1866.,   228.]), array([-320.,  126.,  469.]))
(1, 62009, 61849, 61070, array([ 7952.,  -752., -1424.]), array([ 4467.,  2010.,   239.]), array([-434.,  173.,  360.]))
(1, 62958, 62850, 61070, array([ 7968.,  -736., -1424.]), array([ 4483.,  1985.,   209.]), array([-434.,  173.,  360.]))
(1, 64382, 63850, 63616, array([ 7904.,  -704., -1408.]), array([ 4488.,  1973.,   214.]), array([-434.,  175.,  360.]))
(1, 65332, 64851, 63616, array([ 7920.,  -672., -1408.]), array([ 4530.,  1998.,   214.]), array([-434.,  175.,  360.]))
(1, 746, 316, 628, array([ 7904.,  -720., -1360.]), array([ 4500.,  2005.,   222.]), array([-431.,  175.,  361.]))
(1, 2170, 1316, 628, array([ 7888.,  -608., -1408.]), array([ 4486.,  2005.,   218.]), array([-431.,  175.,  361.]))
(1, 3119, 3318, 3175, array([ 7904.,  -592., -1392.]), array([ 4529.,  2019.,   201.]), array([-432.,  174.,  363.]))
(1, 4069, 4323, 3175, array([ 7904.,  -576., -1360.]), array([ 4521.,  1996.,   214.]), array([-432.,  174.,  363.]))
(1, 5493, 5331, 3175, array([ 7856.,  -624., -1344.]), array([ 4454.,  2006.,   202.]), array([-432.,  174.,  363.]))
(1, 6442, 6339, 5722, array([ 7808.,  -608., -1328.]), array([ 4291.,  1982.,   180.]), array([-430.,  176.,  363.]))
(1, 7392, 7347, 5722, array([ 7808.,  -640., -1328.]), array([ 4320.,  1959.,   171.]), array([-430.,  176.,  363.]))
(1, 8816, 8355, 8268, array([ 7840.,  -608., -1360.]), array([ 4350.,  1932.,   149.]), array([-431.,  177.,  362.]))
(1, 9766, 9363, 8268, array([ 7808.,  -608., -1312.]), array([ 4379.,  1895.,   100.]), array([-431.,  177.,  362.]))
(1, 11190, 10371, 10814, array([ 7888.,  -576., -1312.]), array([ 4461.,  1843.,    52.]), array([-438.,  176.,  361.]))
(1, 12139, 11378, 10814, array([ 7856.,  -608., -1344.]), array([ 4504.,  1739.,     5.]), array([-438.,  176.,  361.]))
(1, 13088, 13394, 13361, array([ 7888.,  -544., -1264.]), array([ 4559.,  1529.,  -167.]), array([-431.,  177.,  362.]))
(1, 14512, 14402, 13361, array([ 7936.,  -576., -1344.]), array([ 4243.,  1340.,  -208.]), array([-431.,  177.,  362.]))
(1, 15462, 15410, 13361, array([ 7952.,  -592., -1360.]), array([ 3811.,  1072.,  -202.]), array([-431.,  177.,  362.]))
