(1, 59098, 58259, 56793, array([ 7744.,  1984., -1072.]), array([-26951., -18349., -13717.]), array([-398., -141.,  361.]))
(1, 60047, 60261, 56793, array([ 7728.,  1888.,  -896.]), array([  4196.,  18440.,    199.]), array([-398., -141.,  361.]))
(1, 60997, 61263, 56793, array([ 7776.,  1792.,  -928.]), array([ 4505.,  1873.,   232.]), array([-398., -141.,  361.]))
(1, 62420, 62264, 61483, array([ 7760.,  1856.,  -912.]), array([ 4503.,  1999.,   224.]), array([-417., -142.,  327.]))
(1, 63370, 63266, 61483, array([ 7776.,  1808.,  -928.]), array([ 4498.,  1955.,   221.]), array([-417., -142.,  327.]))
(1, 64794, 64267, 64031, array([ 7840.,  1776.,  -928.]), array([ 4478.,  1980.,   216.]), array([-417., -142.,  327.]))
(1, 208, 65269, 64031, array([ 7840.,  1792.,  -976.]), array([ 4507.,  1982.,   221.]), array([-417., -142.,  327.]))
(1, 1158, 734, 1042, array([ 7840.,  1744.,  -944.]), array([ 4540.,  1982.,   224.]), array([-415., -143.,  329.]))
(1, 2582, 1735, 1042, array([ 7808.,  1760.,  -928.]), array([ 4515.,  1990.,   221.]), array([-415., -143.,  329.]))
(1, 3531, 3738, 3589, array([ 7856.,  1760.,  -928.]), array([ 4509.,  1986.,   207.]), array([-416., -142.,  330.]))
(1, 4481, 4743, 3589, array([ 7824.,  1776.,  -960.]), array([ 4582.,  1999.,   201.]), array([-416., -142.,  330.]))
(1, 5904, 5751, 3589, array([ 7856.,  1808.,  -928.]), array([ 4341.,  1971.,   163.]), array([-416., -142.,  330.]))
(1, 6853, 6759, 6137, array([ 7872.,  1760.,  -976.]), array([ 4276.,  1972.,   157.]), array([-412., -143.,  330.]))
(1, 8277, 7767, 6137, array([ 7872.,  1824.,  -944.]), array([ 4322.,  1943.,   147.]), array([-412., -143.,  330.]))
(1, 9225, 8775, 8684, array([ 7888.,  1840.,  -960.]), array([ 4318.,  1944.,   125.]), array([-415., -147.,  330.]))
(1, 10175, 9783, 8684, array([ 7840.,  1840., -1008.]), array([ 4351.,  1873.,    94.]), array([-415., -147.,  330.]))
(1, 11599, 10791, 11230, array([ 7840.,  1808.,  -992.]), array([ 4405.,  1802.,    45.]), array([-418., -143.,  328.]))
(1, 12548, 11799, 11230, array([ 7856.,  1792., -1008.]), array([ 4438.,  1688.,   -36.]), array([-418., -143.,  328.]))
(1, 13498, 13814, 13778, array([ 7824.,  1792., -1008.]), array([ 4358.,  1452.,  -182.]), array([-416., -146.,  331.]))
(1, 14921, 14822, 13778, array([ 7808.,  1824., -1040.]), array([ 3960.,  1229.,  -193.]), array([-416., -146.,  331.]))
(1, 15870, 15830, 13778, array([ 7824.,  1760., -1008.]), array([ 3406.,  1007.,  -195.]), array([-416., -146.,  331.]))
(1, 16819, 16838, 16324, array([ 7840.,  1824.,  -992.]), array([ 2851.,   757.,  -183.]), array([-417., -145.,  327.]))
(1, 18243, 17846, 16324, array([ 7744.,  1808., -1024.]), array([ 2354.,   525.,  -158.]), array([-417., -145.,  327.]))
(1, 19192, 18854, 18872, array([ 7840.,  1872., -1008.]), array([ 1830.,   336.,  -118.]), array([-411., -146.,  330.]))
(1, 20616, 19863, 18872, array([ 7792.,  1936., -1072.]), array([ 1342.,   104.,   -73.]), array([-411., -146.,  330.]))
(1, 21565, 20871, 21419, array([ 7808.,  1984., -1152.]), array([ 579., -107.,  -26.]), array([-416., -147.,  327.]))
(1, 22514, 22887, 21419, array([ 7792.,  1984., -1104.]), array([-756., -209.,  165.]), array([-416., -147.,  327.]))
(1, 23937, 23895, 23966, array([ 7808.,  2016., -1280.]), array([-562., -142.,  162.]), array([-412., -145.,  326.]))
(1, 24886, 24903, 23966, array([ 7776.,  2032., -1328.]), array([-493., -129.,  159.]), array([-412., -145.,  326.]))
(1, 25835, 25911, 23966, array([ 7728.,  2048., -1296.]), array([-380., -141.,  136.]), array([-412., -145.,  326.]))
(1, 27258, 26920, 26513, array([ 7744.,  2080., -1328.]), array([-297., -147.,  137.]), array([-412., -147.,  326.]))
(1, 28207, 27928, 26513, array([ 7728.,  2048., -1392.]), array([-185., -167.,  164.]), array([-412., -147.,  326.]))
(1, 29631, 28936, 29061, array([ 7712.,  2016., -1392.]), array([ -56., -144.,  120.]), array([-416., -145.,  328.]))
(1, 30580, 29944, 29061, array([ 7712.,  2064., -1408.]), array([  72., -161.,  117.]), array([-416., -145.,  328.]))
(1, 31529, 30952, 31608, array([ 7712.,  2016., -1440.]), array([ 208., -169.,  128.]), array([-416., -148.,  328.]))
(1, 32953, 32968, 31608, array([ 7712.,  2096., -1488.]), array([ 437., -181.,  112.]), array([-416., -148.,  328.]))
(1, 33902, 33976, 31608, array([ 7760.,  2112., -1488.]), array([ 617., -174.,  102.]), array([-416., -148.,  328.]))
(1, 34851, 34985, 34155, array([ 7728.,  2128., -1568.]), array([ 746., -188.,   66.]), array([-414., -145.,  330.]))
(1, 36275, 35993, 34155, array([ 7776.,  2112., -1568.]), array([ 859., -191.,   65.]), array([-414., -145.,  330.]))
(1, 37224, 37001, 36702, array([ 7792.,  2112., -1616.]), array([ 1045.,  -215.,    54.]), array([-413., -144.,  331.]))
(1, 38648, 38009, 36702, array([ 7840.,  2224., -1712.]), array([ 1229.,  -235.,    34.]), array([-413., -144.,  331.]))
(1, 39597, 39017, 39249, array([ 7840.,  2224., -1696.]), array([ 1378.,  -274.,    33.]), array([-414., -142.,  334.]))
(1, 40546, 40025, 39249, array([ 7824.,  2304., -1792.]), array([ 1629.,  -326.,    32.]), array([-414., -142.,  334.]))
(1, 41969, 41033, 41796, array([ 7840.,  2432., -1776.]), array([ 1879.,  -349.,    14.]), array([-414., -141.,  333.]))
(1, 42919, 43050, 41796, array([ 7888.,  2608., -1840.]), array([ 2813.,  -400.,    74.]), array([-414., -141.,  333.]))
(1, 43868, 44058, 41796, array([ 7856.,  2800., -1968.]), array([ 3433.,  -319.,   116.]), array([-414., -141.,  333.]))
(1, 45292, 45066, 44342, array([ 7824.,  2736., -2080.]), array([ 4137.,  -273.,   203.]), array([-412., -136.,  337.]))
(1, 46242, 46074, 44342, array([ 7872.,  2608., -2176.]), array([ 4840.,  -196.,   299.]), array([-412., -136.,  337.]))
(1, 47191, 47082, 46888, array([ 7888.,  2336., -2208.]), array([ 5564.,  -118.,   432.]), array([-410., -128.,  337.]))
(1, 48614, 48090, 46888, array([ 7792.,  1856., -2240.]), array([ 6207.,   -43.,   620.]), array([-410., -128.,  337.]))
(1, 49563, 49099, 49436, array([ 7808.,  1504., -2352.]), array([ 6681.,    17.,   798.]), array([-412., -120.,  340.]))
(1, 50987, 50107, 49436, array([ 7696.,  1120., -2352.]), array([ 6866.,    51.,   906.]), array([-412., -120.,  340.]))
(1, 51936, 52123, 51983, array([ 7648.,   848., -2368.]), array([ 6382.,   -11.,   857.]), array([-413., -108.,  353.]))
(1, 52885, 53131, 51983, array([ 7664.,   704., -2352.]), array([ 5800.,  -134.,   813.]), array([-413., -108.,  353.]))
(1, 54309, 54139, 51983, array([ 7696.,   464., -2320.]), array([ 4983.,  -256.,   768.]), array([-413., -108.,  353.]))
(1, 55258, 55147, 54530, array([ 7792.,   464., -2208.]), array([ 4091.,  -435.,   682.]), array([-413., -106.,  353.]))
(1, 56207, 56155, 54530, array([ 7872.,   528., -2160.]), array([ 3072.,  -573.,   605.]), array([-413., -106.,  353.]))
(1, 57631, 57164, 57078, array([ 8016.,   656., -2128.]), array([ 2043.,  -727.,   523.]), array([-415., -100.,  363.]))
(1, 58580, 58172, 57078, array([ 8080.,   816., -2080.]), array([ 984., -892.,  399.]), array([-415., -100.,  363.]))
(1, 60003, 59180, 59625, array([ 8080.,  1184., -2048.]), array([  -16., -1070.,   292.]), array([-413.,  -99.,  362.]))
(1, 60952, 60188, 59625, array([ 8032.,  1344., -2048.]), array([ -790., -1190.,   200.]), array([-413.,  -99.,  362.]))
(1, 61902, 62204, 62171, array([ 7872.,  1504., -2032.]), array([-1855., -1478.,    36.]), array([-409., -101.,  360.]))
(1, 63325, 63212, 62171, array([ 7808.,  1760., -2032.]), array([-2114., -1584.,   -10.]), array([-409., -101.,  360.]))
(1, 64274, 64221, 62171, array([ 7824.,  1840., -2080.]), array([-2224., -1609.,   -13.]), array([-409., -101.,  360.]))
(1, 65224, 65229, 64719, array([ 7840.,  1904., -2160.]), array([-2126., -1604.,    38.]), array([-410., -107.,  361.]))
(1, 1111, 701, 64719, array([ 7888.,  1920., -2208.]), array([-2012., -1679.,    83.]), array([-410., -107.,  361.]))
