(1, 53184, 52345, 52055, array([ 6960., -1456., -1888.]), array([   163.,  32099., -13742.]), array([ -90.,  122.,  568.]))
(1, 54133, 54346, 52055, array([ 7632., -1584.,  -976.]), array([  4184., -31224.,    195.]), array([ -90.,  122.,  568.]))
(1, 55083, 55348, 52055, array([ 7808., -1616.,  -752.]), array([ 4487.,  1865.,   201.]), array([ -90.,  122.,  568.]))
(1, 56507, 56349, 55569, array([ 7888., -1648.,  -672.]), array([ 4481.,  2016.,   212.]), array([-427.,  333.,  274.]))
(1, 57456, 57349, 55569, array([ 7936., -1616.,  -736.]), array([ 4493.,  1972.,   202.]), array([-427.,  333.,  274.]))
(1, 58880, 58350, 58117, array([ 7872., -1632.,  -704.]), array([ 4489.,  1975.,   190.]), array([-427.,  331.,  274.]))
(1, 59830, 59351, 58117, array([ 7840., -1616.,  -720.]), array([ 4513.,  2009.,   212.]), array([-427.,  331.,  274.]))
(1, 60779, 60352, 60663, array([ 7888., -1632.,  -688.]), array([ 4506.,  1963.,   215.]), array([-427.,  329.,  272.]))
(1, 62203, 61353, 60663, array([ 7936., -1616.,  -704.]), array([ 4534.,  1987.,   221.]), array([-427.,  329.,  272.]))
(1, 63152, 63355, 63210, array([ 7840., -1600.,  -704.]), array([ 4525.,  2003.,   195.]), array([-428.,  333.,  276.]))
(1, 64102, 64359, 63210, array([ 7808., -1664.,  -720.]), array([ 4478.,  1998.,   418.]), array([-428.,  333.,  276.]))
(1, 65526, 65368, 63210, array([ 7872., -1712.,  -720.]), array([ 4398.,  2006.,   500.]), array([-428.,  333.,  276.]))
(1, 940, 840, 222, array([ 7840., -1744.,  -704.]), array([ 4272.,  2005.,   178.]), array([-429.,  330.,  276.]))
(1, 2364, 1848, 222, array([ 7856., -1904.,  -736.]), array([ 4254.,  1954.,   169.]), array([-429.,  330.,  276.]))
(1, 3313, 2856, 2769, array([ 7856., -1920.,  -768.]), array([ 4267.,  1925.,   127.]), array([-430.,  329.,  280.]))
(1, 4262, 3863, 2769, array([ 7824., -2048.,  -784.]), array([ 4226.,  1935.,    93.]), array([-430.,  329.,  280.]))
(1, 5686, 4871, 5317, array([ 7936., -2096.,  -880.]), array([ 4198.,  1879.,    49.]), array([-436.,  326.,  278.]))
(1, 6635, 5879, 5317, array([ 7888., -2096.,  -880.]), array([ 4143.,  1774.,    -7.]), array([-436.,  326.,  278.]))
(1, 7585, 7895, 7864, array([ 7888., -2128.,  -896.]), array([ 3700.,  1632.,  -152.]), array([-429.,  324.,  279.]))
(1, 9009, 8903, 7864, array([ 7824., -2128.,  -912.]), array([ 3041.,  1519.,  -168.]), array([-429.,  324.,  279.]))
(1, 9959, 9911, 7864, array([ 7904., -2080.,  -944.]), array([ 2140.,  1373.,  -166.]), array([-429.,  324.,  279.]))
(1, 10908, 10919, 10411, array([ 7904., -2096.,  -896.]), array([ 1185.,  1206.,  -139.]), array([-430.,  322.,  281.]))
