(1, 28491, 27652, 26607, array([ 5056.,  2816., -4928.]), array([-13143.,  18025.,  31715.]), array([-419., -152.,  325.]))
(1, 29440, 29654, 26607, array([ 4368.,  2768., -5776.]), array([  4179., -17687.,    185.]), array([-419., -152.,  325.]))
(1, 30389, 30655, 26607, array([ 4224.,  2736., -5952.]), array([ 4493.,  1858.,   205.]), array([-419., -152.,  325.]))
(1, 31813, 31656, 30874, array([ 4176.,  2672., -5984.]), array([ 4492.,  2009.,   230.]), array([ -96., -130.,  542.]))
(1, 32763, 32657, 30874, array([ 4192.,  2528., -5968.]), array([ 4496.,  1984.,   226.]), array([ -96., -130.,  542.]))
(1, 34187, 33658, 33419, array([ 4224.,  2496., -5872.]), array([ 4492.,  1987.,   210.]), array([ -96., -130.,  542.]))
(1, 35137, 34659, 33419, array([ 4208.,  2416., -5872.]), array([ 4476.,  1991.,   209.]), array([ -96., -130.,  542.]))
(1, 36087, 35661, 35964, array([ 4224.,  2400., -5904.]), array([ 4476.,  1958.,   217.]), array([ -92., -125.,  543.]))
(1, 37510, 36662, 35964, array([ 4176.,  2384., -5888.]), array([ 4559.,  2010.,   211.]), array([ -92., -125.,  543.]))
(1, 38460, 38664, 38508, array([ 4192.,  2512., -5968.]), array([ 4451.,  2018.,   213.]), array([ -95., -122.,  544.]))
(1, 39410, 39670, 38508, array([ 4224.,  2608., -5968.]), array([ 4495.,  1997.,   214.]), array([ -95., -122.,  544.]))
(1, 40833, 40678, 38508, array([ 4176.,  2576., -5920.]), array([ 4274.,  1931.,   181.]), array([ -95., -122.,  544.]))
(1, 41783, 41686, 41053, array([ 4176.,  2528., -5888.]), array([ 4314.,  1949.,   182.]), array([ -95., -122.,  544.]))
(1, 42732, 42694, 41053, array([ 4160.,  2528., -5824.]), array([ 4359.,  1939.,   155.]), array([ -95., -122.,  544.]))
(1, 44157, 43702, 43598, array([ 4176.,  2496., -5792.]), array([ 4373.,  1921.,   103.]), array([ -98., -123.,  544.]))
(1, 45106, 44710, 43598, array([ 4160.,  2464., -5808.]), array([ 4459.,  1887.,    57.]), array([ -98., -123.,  544.]))
(1, 46530, 45718, 46143, array([ 4112.,  2480., -5808.]), array([ 4521.,  1844.,     0.]), array([-100., -120.,  548.]))
(1, 47479, 46726, 46143, array([ 4080.,  2464., -5744.]), array([ 4569.,  1730.,   -67.]), array([-100., -120.,  548.]))
(1, 48429, 48742, 48689, array([ 4064.,  2512., -5776.]), array([ 4574.,  1495.,  -241.]), array([ -93., -122.,  545.]))
(1, 49853, 49749, 48689, array([ 4096.,  2496., -5776.]), array([ 4253.,  1279.,  -306.]), array([ -93., -122.,  545.]))
(1, 50802, 50757, 48689, array([ 4064.,  2464., -5712.]), array([ 3786.,  1084.,  -326.]), array([ -93., -122.,  545.]))
