(1, 56681, 55842, 54137, array([ 8176., -1648.,  -640.]), array([ 27305., -31422.,  12720.]), array([-393.,  270.,  381.]))
(1, 57631, 57844, 54137, array([ 8096., -1648.,  -144.]), array([  4186.,  28838.,    178.]), array([-393.,  270.,  381.]))
(1, 58581, 58844, 54137, array([ 8080., -1536.,  -160.]), array([ 4479.,  1857.,   187.]), array([-393.,  270.,  381.]))
(1, 60005, 59845, 59065, array([ 8032., -1488.,  -208.]), array([ 4474.,  1987.,   212.]), array([-436.,  355.,  241.]))
(1, 60955, 60846, 59065, array([ 7984., -1456.,  -288.]), array([ 4506.,  1966.,   234.]), array([-436.,  355.,  241.]))
(1, 62379, 61847, 61611, array([ 7968., -1488.,  -400.]), array([ 4515.,  1969.,   223.]), array([-436.,  352.,  241.]))
(1, 63329, 62848, 61611, array([ 7984., -1536.,  -480.]), array([ 4558.,  1987.,   194.]), array([-436.,  352.,  241.]))
(1, 64278, 63849, 64157, array([ 8032., -1600.,  -480.]), array([ 4514.,  1986.,   220.]), array([-438.,  355.,  240.]))
(1, 167, 64850, 64157, array([ 7984., -1632.,  -496.]), array([ 4493.,  2012.,   234.]), array([-438.,  355.,  240.]))
(1, 1117, 1316, 1167, array([ 7968., -1680.,  -480.]), array([ 4497.,  1997.,   207.]), array([-437.,  352.,  245.]))
(1, 2067, 2321, 1167, array([ 8032., -1696.,  -496.]), array([ 4458.,  1985.,   221.]), array([-437.,  352.,  245.]))
(1, 3491, 3329, 1167, array([ 8016., -1728.,  -480.]), array([ 4367.,  1996.,   210.]), array([-437.,  352.,  245.]))
(1, 4440, 4337, 3713, array([ 8000., -1696.,  -448.]), array([ 4296.,  2014.,   178.]), array([-437.,  353.,  245.]))
(1, 5390, 5345, 3713, array([ 7968., -1776.,  -448.]), array([ 4234.,  1951.,   150.]), array([-437.,  353.,  245.]))
(1, 6814, 6353, 6258, array([ 7968., -1792.,  -432.]), array([ 4254.,  1939.,   126.]), array([-438.,  350.,  244.]))
(1, 7764, 7361, 6258, array([ 7904., -1824.,  -464.]), array([ 4265.,  1909.,    66.]), array([-438.,  350.,  244.]))
(1, 9189, 8369, 8804, array([ 7856., -1808.,  -416.]), array([ 4251.,  1841.,    14.]), array([-442.,  350.,  247.]))
(1, 10139, 9377, 8804, array([ 7888., -1824.,  -416.]), array([ 4260.,  1743.,   -45.]), array([-442.,  350.,  247.]))
(1, 11088, 11393, 11350, array([ 7856., -1792.,  -352.]), array([ 4054.,  1576.,  -205.]), array([-436.,  347.,  248.]))
(1, 12513, 12401, 11350, array([ 7808., -1776.,  -352.]), array([ 3639.,  1379.,  -241.]), array([-436.,  347.,  248.]))
(1, 13463, 13409, 11350, array([ 7808., -1760.,  -368.]), array([ 3088.,  1204.,  -205.]), array([-436.,  347.,  248.]))
(1, 14413, 14417, 13895, array([ 7760., -1712.,  -368.]), array([ 2602.,   986.,  -182.]), array([-439.,  348.,  248.]))
(1, 15837, 15425, 13895, array([ 7696., -1712.,  -384.]), array([ 2099.,   813.,  -184.]), array([-439.,  348.,  248.]))
(1, 16787, 16433, 16440, array([ 7680., -1744.,  -416.]), array([ 1658.,   674.,  -147.]), array([-435.,  346.,  249.]))
(1, 18211, 17441, 16440, array([ 7728., -1792.,  -448.]), array([ 1266.,   501.,  -108.]), array([-435.,  346.,  249.]))
(1, 19161, 18449, 18985, array([ 7728., -1840.,  -464.]), array([ 676.,  384.,  -62.]), array([-439.,  345.,  249.]))
(1, 20111, 20466, 18985, array([ 7792., -1936.,  -464.]), array([-828.,  330.,   52.]), array([-439.,  345.,  249.]))
(1, 21536, 21474, 21530, array([ 7872., -1952.,  -528.]), array([-630.,  384.,   46.]), array([-437.,  347.,  248.]))
(1, 22486, 22482, 21530, array([ 7872., -2016.,  -480.]), array([-630.,  405.,   31.]), array([-437.,  347.,  248.]))
(1, 23435, 23490, 21530, array([ 7936., -2080.,  -480.]), array([-725.,  411.,   35.]), array([-437.,  347.,  248.]))
(1, 24860, 24498, 24074, array([ 7888., -2112.,  -560.]), array([-801.,  419.,   18.]), array([-437.,  344.,  250.]))
(1, 25810, 25506, 24074, array([ 7840., -2192.,  -528.]), array([-930.,  394.,   -7.]), array([-437.,  344.,  250.]))
(1, 27234, 26515, 26619, array([ 7824., -2192.,  -496.]), array([-1013.,   425.,   -21.]), array([-441.,  344.,  250.]))
(1, 28184, 27523, 26619, array([ 7904., -2144.,  -448.]), array([-1107.,   433.,   -26.]), array([-441.,  344.,  250.]))
(1, 29134, 28531, 29164, array([ 7840., -2096.,  -448.]), array([-1207.,   426.,    -5.]), array([-436.,  343.,  251.]))
(1, 30558, 30547, 29164, array([ 7824., -2000.,  -368.]), array([-1391.,   415.,    31.]), array([-436.,  343.,  251.]))
(1, 31508, 31555, 31710, array([ 7760., -2016.,  -288.]), array([-1485.,   441.,    49.]), array([-436.,  341.,  251.]))
(1, 32458, 32564, 31710, array([ 7776., -1952.,  -336.]), array([-1609.,   426.,    54.]), array([-436.,  341.,  251.]))
(1, 33883, 33572, 31710, array([ 7872., -2112.,  -240.]), array([-1720.,   443.,   100.]), array([-436.,  341.,  251.]))
(1, 34832, 34580, 34254, array([ 7936., -2224.,  -224.]), array([-1769.,   457.,   164.]), array([-438.,  340.,  257.]))
(1, 35782, 35588, 34254, array([ 7952., -2368.,  -224.]), array([-1954.,   499.,   222.]), array([-438.,  340.,  257.]))
(1, 37206, 36596, 36800, array([ 8032., -2448.,  -320.]), array([-2134.,   528.,   262.]), array([-439.,  341.,  251.]))
(1, 38155, 37604, 36800, array([ 7984., -2448.,  -272.]), array([-2331.,   528.,   302.]), array([-439.,  341.,  251.]))
(1, 39579, 38613, 39345, array([ 7984., -2400.,  -272.]), array([-2578.,   541.,   321.]), array([-440.,  337.,  256.]))
(1, 40530, 40629, 39345, array([ 7920., -2288.,  -352.]), array([-3061.,   564.,   346.]), array([-440.,  337.,  256.]))
(1, 41479, 41637, 39345, array([ 7952., -2320.,  -336.]), array([-3241.,   569.,   388.]), array([-440.,  337.,  256.]))
(1, 42904, 42645, 41891, array([ 7984., -2304.,  -384.]), array([-3445.,   631.,   396.]), array([-438.,  336.,  258.]))
(1, 43853, 43653, 41891, array([ 7968., -2432.,  -368.]), array([-3720.,   700.,   393.]), array([-438.,  336.,  258.]))
(1, 44802, 44662, 44437, array([ 7872., -2528.,  -512.]), array([-3944.,   754.,   390.]), array([-438.,  331.,  263.]))
