(1, 59666, 58827, 58506, array([ 7760.,  2304., -1344.]), array([-22353.,   2100.,  25262.]), array([-369., -205.,  364.]))
(1, 60615, 60829, 58506, array([ 7856.,  2016.,  -832.]), array([ 4190., -3406.,   191.]), array([-369., -205.,  364.]))
(1, 61565, 61830, 58506, array([ 7888.,  1888.,  -672.]), array([ 4489.,  1850.,   209.]), array([-369., -205.,  364.]))
(1, 62989, 62831, 62046, array([ 7904.,  1920.,  -704.]), array([ 4494.,  1996.,   211.]), array([-435., -114.,  330.]))
(1, 63939, 63832, 62046, array([ 7840.,  1920.,  -656.]), array([ 4514.,  1981.,   221.]), array([-435., -114.,  330.]))
(1, 65362, 64833, 64591, array([ 7856.,  1840.,  -640.]), array([ 4511.,  2001.,   235.]), array([-435., -116.,  330.]))
(1, 776, 298, 64591, array([ 7904.,  1856.,  -640.]), array([ 4496.,  1981.,   234.]), array([-435., -116.,  330.]))
(1, 1725, 1299, 1600, array([ 7904.,  1856.,  -640.]), array([ 4496.,  1958.,   211.]), array([-435., -115.,  331.]))
(1, 3149, 2300, 1600, array([ 7920.,  1856.,  -672.]), array([ 4523.,  1988.,   200.]), array([-435., -115.,  331.]))
(1, 4099, 4303, 4144, array([ 7904.,  1808.,  -768.]), array([ 4468.,  1988.,   210.]), array([-436., -111.,  327.]))
(1, 5049, 4795, 4144, array([ 7904.,  1824.,  -720.]), array([ 32372.,   1998.,  -9583.]), array([-436., -111.,  327.]))
(1, 6473, 5796, 4144, array([ 7904.,  1888.,  -672.]), array([-26947.,  15065.,   9840.]), array([-436., -111.,  327.]))
(1, 7423, 6797, 6689, array([ 7840.,  1824.,  -704.]), array([  4229., -12748.,    239.]), array([-436., -116.,  327.]))
(1, 8372, 8807, 6689, array([ 7872.,  1840.,  -752.]), array([ 4625.,  2030.,   170.]), array([-436., -116.,  327.]))
(1, 9796, 9815, 9235, array([ 7872.,  1856.,  -672.]), array([ 4393.,  1934.,   110.]), array([-435., -113.,  331.]))
(1, 10746, 10823, 9235, array([ 7872.,  1856.,  -704.]), array([ 4421.,  1896.,    73.]), array([-435., -113.,  331.]))
(1, 12170, 11831, 11779, array([ 7888.,  1824.,  -736.]), array([ 4462.,  1830.,    28.]), array([-437., -113.,  328.]))
(1, 13119, 12839, 11779, array([ 7824.,  1888.,  -736.]), array([ 4580.,  1717.,   -30.]), array([-437., -113.,  328.]))
(1, 14068, 13847, 14325, array([ 7808.,  1856.,  -752.]), array([ 4626.,  1587.,  -123.]), array([-434., -113.,  328.]))
(1, 15491, 14855, 14325, array([ 7856.,  1936.,  -688.]), array([ 4456.,  1415.,  -183.]), array([-434., -113.,  328.]))
(1, 16440, 15863, 14325, array([ 7856.,  1904.,  -688.]), array([ 4078.,  1225.,  -207.]), array([-434., -113.,  328.]))
