(1, 59092, 59037, 58802, array([ 7536., -1536., -1824.]), array([ 4495.,  2006.,   225.]), array([-486.,   43.,  290.]))
(1, 60516, 60037, 58802, array([ 7536., -1536., -1840.]), array([ 4533.,  1995.,   205.]), array([-486.,   43.,  290.]))
(1, 62415, 62039, 61349, array([ 7504., -1488., -1888.]), array([ 4505.,  2009.,   215.]), array([-491.,   46.,  291.]))
(1, 63840, 63040, 63896, array([ 7520., -1472., -1904.]), array([ 4549.,  2000.,   220.]), array([-487.,   40.,  292.]))
(1, 64788, 64602, 63896, array([ 7536., -1456., -1904.]), array([   730.,   1994.,  21789.]), array([-487.,   40.,  292.]))
(1, 1626, 1068, 908, array([ 7472., -1456., -2000.]), array([  4203., -14879.,    219.]), array([-483.,   44.,  292.]))
(1, 2575, 2070, 908, array([ 7456., -1536., -2016.]), array([ 4473.,  1843.,   212.]), array([-483.,   44.,  292.]))
(1, 4948, 5094, 3455, array([ 7552., -1536., -2144.]), array([ 4406.,  1847.,    76.]), array([-487.,   46.,  292.]))
(1, 5897, 6102, 6002, array([ 7504., -1552., -2128.]), array([ 4465.,  1773.,    36.]), array([-486.,   45.,  291.]))
(1, 7321, 7110, 6002, array([ 7488., -1584., -2128.]), array([ 4579.,  1630.,   -13.]), array([-486.,   45.,  291.]))
(1, 9695, 9126, 8550, array([ 7568., -1568., -2128.]), array([ 4438.,  1326.,  -143.]), array([-484.,   48.,  290.]))
(1, 11594, 11142, 11098, array([ 7616., -1616., -2176.]), array([ 3525.,   802.,  -109.]), array([-486.,   45.,  294.]))
(1, 14916, 15174, 13646, array([ 7632., -1648., -2192.]), array([ 1840.,  -163.,    16.]), array([-484.,   51.,  292.]))
(1, 17290, 17190, 16192, array([ 7552., -1568., -2224.]), array([ -92., -491.,  196.]), array([-484.,   47.,  294.]))
(1, 18239, 18198, 16192, array([ 7504., -1552., -2176.]), array([ -32., -445.,  194.]), array([-484.,   47.,  294.]))
(1, 19664, 19206, 18738, array([ 7504., -1504., -2176.]), array([ 123., -442.,  191.]), array([-484.,   50.,  297.]))
(1, 22036, 21223, 21285, array([ 7424., -1488., -2160.]), array([ 160., -433.,  203.]), array([-484.,   49.,  298.]))
(1, 23935, 24247, 23832, array([ 7456., -1568., -2208.]), array([ 255., -414.,  220.]), array([-482.,   49.,  298.]))
(1, 26308, 26264, 26379, array([ 7424., -1568., -2224.]), array([ 265., -395.,  230.]), array([-484.,   54.,  299.]))
(1, 27257, 27272, 26379, array([ 7376., -1616., -2272.]), array([ 268., -381.,  237.]), array([-484.,   54.,  299.]))
(1, 29630, 29288, 28928, array([ 7472., -1648., -2224.]), array([ 261., -370.,  234.]), array([-486.,   56.,  297.]))
(1, 32952, 33321, 31475, array([ 7456., -1520., -2160.]), array([ 113., -372.,  172.]), array([-480.,   56.,  295.]))
(1, 34376, 34329, 34022, array([ 7440., -1552., -2208.]), array([ 135., -383.,  174.]), array([-485.,   54.,  299.]))
(1, 35326, 35337, 34022, array([ 7408., -1568., -2128.]), array([ 106., -400.,  160.]), array([-485.,   54.,  299.]))
(1, 36275, 36345, 36569, array([ 7504., -1568., -2192.]), array([  52., -401.,  152.]), array([-481.,   59.,  299.]))
(1, 37699, 37353, 36569, array([ 7488., -1376., -2208.]), array([ 100., -439.,  146.]), array([-481.,   59.,  299.]))
(1, 38648, 38361, 36569, array([ 7568., -1360., -2032.]), array([  83., -421.,  108.]), array([-481.,   59.,  299.]))
(1, 40072, 39369, 39117, array([ 7536., -1632., -1104.]), array([ -41., -396.,   64.]), array([-483.,   59.,  300.]))
(1, 41021, 40378, 39117, array([ 7296., -1408.,  -848.]), array([-284., -363.,   39.]), array([-483.,   59.,  300.]))
(1, 44343, 44410, 44211, array([ 7808.,  -752., -1696.]), array([-397.,   41., -156.]), array([-482.,   55.,  303.]))
(1, 45292, 45418, 44211, array([ 7648., -1056., -1696.]), array([-113.,  132., -140.]), array([-482.,   55.,  303.]))
(1, 46716, 46427, 46757, array([ 7360., -1424., -1696.]), array([  63.,  117., -163.]), array([-481.,   55.,  301.]))
(1, 47666, 47435, 46757, array([ 7312., -1520., -1712.]), array([ 113.,  135., -159.]), array([-481.,   55.,  301.]))
(1, 50039, 49451, 49303, array([ 7552., -1376., -2000.]), array([ -31.,  127., -127.]), array([-481.,   57.,  301.]))
(1, 54311, 54492, 54398, array([ 7552., -1456., -2096.]), array([ 113.,    3.,  -53.]), array([-480.,   55.,  303.]))
(1, 55735, 55500, 54398, array([ 7568., -1424., -2128.]), array([ 174.,   -8.,  -39.]), array([-480.,   55.,  303.]))
(1, 56684, 56508, 56945, array([ 7536., -1456., -2048.]), array([ 254.,   10.,  -17.]), array([-482.,   55.,  301.]))
(1, 57633, 57516, 56945, array([ 7520., -1568., -2096.]), array([ 291.,  -16.,   -2.]), array([-482.,   55.,  301.]))
(1, 59056, 58524, 56945, array([ 7472., -1584., -2112.]), array([ 251.,  -18.,    2.]), array([-482.,   55.,  301.]))
(1, 61430, 60541, 59493, array([ 7520., -1616., -2112.]), array([ 275.,  -14.,   11.]), array([-480.,   54.,  303.]))
(1, 62379, 62557, 62040, array([ 7440., -1600., -2192.]), array([ 292.,  -45.,   17.]), array([-482.,   54.,  301.]))
(1, 63327, 63565, 62040, array([ 7472., -1696., -2256.]), array([ 295.,  -40.,   30.]), array([-482.,   54.,  301.]))
(1, 64751, 64573, 64587, array([ 7424., -1696., -2304.]), array([ 328.,  -47.,   51.]), array([-482.,   54.,  302.]))
(1, 165, 45, 64587, array([ 7472., -1744., -2336.]), array([ 330.,  -38.,   59.]), array([-482.,   54.,  302.]))
(1, 27463, 27100, 25220, array([ 7392., -1520., -1952.]), array([ 13724.,  23507., -31225.]), array([-482.,   57.,  295.]))
(1, 28888, 28100, 25220, array([ 7408., -1504., -2064.]), array([-12380.,  23507.,  31237.]), array([-482.,   57.,  295.]))
(1, 31261, 31103, 30324, array([ 7456., -1568., -2144.]), array([ 4502.,  2010.,   241.]), array([-481.,   48.,  303.]))
(1, 32209, 32103, 30324, array([ 7456., -1584., -2144.]), array([ 4525.,  1989.,   219.]), array([-481.,   48.,  303.]))
(1, 33159, 33104, 32870, array([ 7520., -1520., -2096.]), array([ 4499.,  2008.,   216.]), array([-481.,   50.,  303.]))
(1, 35531, 35105, 35417, array([ 7488., -1424., -2112.]), array([ 4512.,  1973.,   206.]), array([-486.,   48.,  299.]))
(1, 36481, 36106, 35417, array([ 7504., -1456., -2048.]), array([ 4494.,  1989.,   213.]), array([-486.,   48.,  299.]))
(1, 37905, 37107, 37963, array([ 7472., -1456., -2096.]), array([ 4540.,  1952.,   224.]), array([-483.,   51.,  302.]))
(1, 38855, 39114, 37963, array([ 7472., -1456., -2080.]), array([ 4441.,  1989.,   238.]), array([-483.,   51.,  302.]))
(1, 40278, 40122, 37963, array([ 7456., -1472., -2128.]), array([ 4416.,  2007.,   241.]), array([-483.,   51.,  302.]))
(1, 41227, 41130, 40510, array([ 7472., -1552., -2112.]), array([ 4332.,  2020.,   183.]), array([-485.,   51.,  300.]))
(1, 42176, 42138, 40510, array([ 7392., -1520., -2096.]), array([ 4321.,  1967.,   161.]), array([-485.,   51.,  300.]))
(1, 43599, 43146, 43057, array([ 7456., -1488., -2080.]), array([ 4386.,  1931.,   113.]), array([-480.,   52.,  300.]))
(1, 45499, 45161, 45605, array([ 7488., -1536., -2144.]), array([ 4461.,  1793.,    53.]), array([-483.,   51.,  302.]))
(1, 46922, 46169, 45605, array([ 7424., -1520., -2128.]), array([ 4539.,  1687.,   -28.]), array([-483.,   51.,  302.]))
(1, 47872, 48185, 48151, array([ 7456., -1488., -2112.]), array([ 4552.,  1412.,  -136.]), array([-480.,   53.,  302.]))
(1, 49294, 49193, 48151, array([ 7440., -1456., -2256.]), array([ 4216.,  1215.,  -172.]), array([-480.,   53.,  302.]))
(1, 50243, 50201, 48151, array([ 7424., -1456., -2256.]), array([ 3761.,   998.,  -147.]), array([-480.,   53.,  302.]))
(1, 52616, 52217, 50698, array([ 7488., -1440., -2208.]), array([ 2973.,   561.,   -88.]), array([-482.,   52.,  302.]))
(1, 53565, 53225, 53245, array([ 7440., -1424., -2224.]), array([ 2653.,   278.,   -69.]), array([-482.,   50.,  300.]))
(1, 54514, 54234, 53245, array([ 7408., -1424., -2144.]), array([ 2323.,    77.,    -9.]), array([-482.,   50.,  300.]))
(1, 55937, 55242, 55792, array([ 7520., -1488., -2160.]), array([ 1517.,  -110.,    79.]), array([-481.,   54.,  303.]))
(1, 56886, 56250, 55792, array([ 7456., -1536., -2224.]), array([ 686., -251.,  147.]), array([-481.,   54.,  303.]))
(1, 58309, 58266, 55792, array([ 7520., -1600., -2288.]), array([ 551., -159.,  129.]), array([-481.,   54.,  303.]))
(1, 59258, 59274, 58339, array([ 7456., -1600., -2208.]), array([ 563., -158.,  131.]), array([-482.,   55.,  301.]))
(1, 60207, 60282, 58339, array([ 7504., -1616., -2192.]), array([ 530., -172.,  116.]), array([-482.,   55.,  301.]))
(1, 61631, 61291, 60885, array([ 7472., -1616., -2112.]), array([ 506., -186.,  106.]), array([-482.,   57.,  301.]))
