(1, 45612, 45249, 44993, array([ 6560., -2032., -3568.]), array([ 22454., -20899.,   4173.]), array([-415.,   41.,  409.]))
(1, 47037, 46249, 44993, array([ 6400., -2048., -3728.]), array([-21168., -20899.,  -2983.]), array([-415.,   41.,  409.]))
(1, 49410, 49252, 48472, array([ 6320., -2112., -3776.]), array([ 4525.,  2016.,   219.]), array([-419.,   71.,  433.]))
(1, 50360, 50253, 48472, array([ 6320., -2048., -3744.]), array([ 4535.,  1995.,   231.]), array([-419.,   71.,  433.]))
(1, 51309, 51254, 51018, array([ 6368., -2016., -3728.]), array([ 4507.,  2007.,   217.]), array([-419.,   69.,  433.]))
(1, 52732, 52255, 51018, array([ 6384., -2064., -3632.]), array([ 4540.,  2011.,   211.]), array([-419.,   69.,  433.]))
(1, 53682, 53255, 53565, array([ 6416., -2016., -3616.]), array([ 4534.,  1992.,   211.]), array([-422.,   70.,  425.]))
(1, 54631, 54256, 53565, array([ 6320., -2032., -3584.]), array([ 4533.,  2016.,   218.]), array([-422.,   70.,  425.]))
(1, 56055, 55257, 56111, array([ 6368., -2000., -3504.]), array([ 4541.,  2004.,   197.]), array([-419.,   69.,  429.]))
(1, 57005, 57263, 56111, array([ 6384., -2048., -3536.]), array([ 4462.,  1995.,   219.]), array([-419.,   69.,  429.]))
(1, 58428, 58271, 56111, array([ 6448., -2112., -3440.]), array([ 4450.,  2012.,   245.]), array([-419.,   69.,  429.]))
(1, 59378, 59279, 58658, array([ 6432., -2048., -3472.]), array([ 4337.,  2038.,   172.]), array([-420.,   72.,  426.]))
(1, 60327, 60287, 58658, array([ 6432., -2064., -3392.]), array([ 4336.,  1975.,   143.]), array([-420.,   72.,  426.]))
(1, 61750, 61294, 61205, array([ 6480., -2048., -3328.]), array([ 4380.,  1930.,   123.]), array([-421.,   67.,  426.]))
(1, 62699, 62302, 61205, array([ 6464., -2016., -3360.]), array([ 4386.,  1898.,    83.]), array([-421.,   67.,  426.]))
(1, 63649, 63310, 63750, array([ 6480., -1968., -3104.]), array([ 4437.,  1804.,    34.]), array([-419.,   69.,  427.]))
(1, 65073, 64318, 63750, array([ 6384., -1920., -3344.]), array([ 4493.,  1755.,   -27.]), array([-419.,   69.,  427.]))
(1, 486, 798, 761, array([ 6400., -1888., -3360.]), array([ 4505.,  1597.,  -195.]), array([-419.,   68.,  425.]))
(1, 1909, 1806, 761, array([ 6448., -1856., -3344.]), array([ 4166.,  1464.,  -284.]), array([-419.,   68.,  425.]))
(1, 2858, 2814, 761, array([ 6416., -1840., -3328.]), array([ 3716.,  1287.,  -299.]), array([-419.,   68.,  425.]))
(1, 3807, 3822, 3309, array([ 6368., -1872., -3344.]), array([ 3227.,  1147.,  -304.]), array([-417.,   66.,  425.]))
(1, 5231, 4830, 3309, array([ 6448., -1840., -3248.]), array([ 2764.,  1006.,  -326.]), array([-417.,   66.,  425.]))
(1, 6181, 5838, 5857, array([ 6448., -1840., -3200.]), array([ 2351.,   877.,  -354.]), array([-422.,   70.,  422.]))
(1, 7130, 6846, 5857, array([ 6432., -1792., -3232.]), array([ 1972.,   774.,  -361.]), array([-422.,   70.,  422.]))
(1, 8554, 7854, 8405, array([ 6432., -1808., -3264.]), array([ 1378.,   684.,  -323.]), array([-421.,   67.,  419.]))
(1, 9504, 8863, 8405, array([ 6512., -1744., -3216.]), array([ 149.,  591., -205.]), array([-421.,   67.,  419.]))
(1, 10454, 10879, 8405, array([ 6496., -1744., -3232.]), array([  69.,  767., -234.]), array([-421.,   67.,  419.]))
(1, 11877, 11887, 10951, array([ 6560., -1728., -3152.]), array([ 126.,  787., -261.]), array([-421.,   68.,  420.]))
(1, 12826, 12895, 10951, array([ 6496., -1744., -3120.]), array([ 182.,  806., -262.]), array([-421.,   68.,  420.]))
(1, 14250, 13903, 13498, array([ 6576., -1824., -3104.]), array([ 219.,  814., -245.]), array([-421.,   65.,  420.]))
(1, 15199, 14911, 13498, array([ 6560., -1856., -3168.]), array([ 229.,  866., -275.]), array([-421.,   65.,  420.]))
(1, 16148, 15920, 16045, array([ 6608., -1840., -3168.]), array([ 270.,  885., -294.]), array([-423.,   65.,  422.]))
(1, 17572, 16928, 16045, array([ 6640., -1824., -3120.]), array([ 247.,  927., -332.]), array([-423.,   65.,  422.]))
(1, 18521, 17936, 18594, array([ 6640., -1856., -3152.]), array([ 239.,  953., -369.]), array([-426.,   65.,  414.]))
(1, 19470, 18944, 18594, array([ 6592., -1888., -3136.]), array([ 269.,  976., -399.]), array([-426.,   65.,  414.]))
