(1, 2949, 2586, 1184, array([ 7232.,   608., -2784.]), array([ 32540., -25590.,  13221.]), array([-502., -156.,  100.]))
(1, 6747, 6590, 5810, array([ 6464.,   928., -4384.]), array([ 4492.,  1985.,   209.]), array([-390., -171.,  355.]))
(1, 7696, 7591, 5810, array([ 6432.,   960., -4384.]), array([ 4538.,  1993.,   234.]), array([-390., -171.,  355.]))
(1, 8646, 8593, 8357, array([ 6400.,   912., -4288.]), array([ 4518.,  2011.,   227.]), array([-390., -172.,  355.]))
(1, 10070, 9594, 8357, array([ 6352.,   864., -4320.]), array([ 4543.,  1994.,   236.]), array([-390., -172.,  355.]))
(1, 11019, 10595, 10905, array([ 6336.,   864., -4336.]), array([ 4544.,  1979.,   243.]), array([-396., -172.,  353.]))
(1, 11969, 11597, 10905, array([ 6416.,   912., -4320.]), array([ 4518.,  1996.,   238.]), array([-396., -172.,  353.]))
(1, 13392, 12598, 13452, array([ 6352.,  1040., -4288.]), array([ 4549.,  1971.,   230.]), array([-390., -175.,  348.]))
(1, 14342, 14177, 13452, array([ 6432.,  1104., -4352.]), array([-13070.,   2004.,    -22.]), array([-390., -175.,  348.]))
(1, 15766, 15178, 13452, array([ 6384.,  1200., -4288.]), array([ 18853., -22153.,    334.]), array([-390., -175.,  348.]))
(1, 16715, 16179, 15999, array([ 6368.,  1216., -4320.]), array([  4204.,  24708.,    237.]), array([-388., -171.,  349.]))
(1, 17664, 17182, 15999, array([ 6384.,  1200., -4288.]), array([ 4454.,  1860.,   253.]), array([-388., -171.,  349.]))
(1, 19088, 18190, 18545, array([ 6368.,  1184., -4224.]), array([ 4708.,  2020.,   213.]), array([-386., -174.,  349.]))
(1, 20038, 20205, 18545, array([ 6400.,  1200., -4240.]), array([ 4424.,  1841.,    71.]), array([-386., -174.,  349.]))
(1, 20987, 21213, 21091, array([ 6368.,  1152., -4224.]), array([ 4437.,  1770.,    19.]), array([-390., -175.,  349.]))
(1, 22411, 22221, 21091, array([ 6352.,  1152., -4224.]), array([ 4563.,  1659.,   -51.]), array([-390., -175.,  349.]))
(1, 23359, 23229, 23638, array([ 6368.,  1088., -4176.]), array([ 4647.,  1584.,  -150.]), array([-388., -172.,  350.]))
(1, 24784, 24237, 23638, array([ 6384.,  1056., -4176.]), array([ 4465.,  1437.,  -188.]), array([-388., -172.,  350.]))
(1, 25732, 25245, 23638, array([ 6320.,  1040., -4256.]), array([ 4092.,  1203.,  -189.]), array([-388., -172.,  350.]))
(1, 26682, 26253, 26186, array([ 6384.,  1056., -4240.]), array([ 3567.,   977.,  -190.]), array([-389., -174.,  350.]))
(1, 28106, 27261, 26186, array([ 6320.,  1024., -4224.]), array([ 3062.,   750.,  -184.]), array([-389., -174.,  350.]))
(1, 29055, 29277, 28734, array([ 6336.,  1104., -4256.]), array([ 2112.,   396.,  -137.]), array([-388., -175.,  349.]))
(1, 30005, 30285, 28734, array([ 6304.,  1184., -4272.]), array([ 1651.,   205.,  -110.]), array([-388., -175.,  349.]))
(1, 31429, 31294, 31282, array([ 6352.,  1168., -4256.]), array([ 527.,    4.,  -28.]), array([-391., -174.,  348.]))
(1, 32378, 32302, 31282, array([ 6400.,  1200., -4256.]), array([-411.,  -93.,   78.]), array([-391., -174.,  348.]))
(1, 33327, 33310, 31282, array([ 6416.,  1232., -4240.]), array([-388.,  -36.,   73.]), array([-391., -174.,  348.]))
(1, 34751, 34318, 33828, array([ 6416.,  1344., -4176.]), array([-295.,  -30.,   43.]), array([-391., -176.,  351.]))
(1, 35700, 35326, 33828, array([ 6400.,  1440., -4160.]), array([-241.,  -28.,   56.]), array([-391., -176.,  351.]))
(1, 37124, 36334, 36376, array([ 6336.,  1440., -4176.]), array([-224.,  -40.,   31.]), array([-391., -177.,  351.]))
(1, 38074, 37342, 36376, array([ 6400.,  1424., -4128.]), array([-118.,  -61.,   24.]), array([-391., -177.,  351.]))
(1, 39023, 39359, 38924, array([ 6384.,  1360., -4128.]), array([ 45., -55., -29.]), array([-389., -173.,  355.]))
(1, 40447, 40367, 38924, array([ 6352.,  1248., -4112.]), array([ 99., -74., -23.]), array([-389., -173.,  355.]))
(1, 41396, 41375, 41471, array([ 6336.,  1216., -4080.]), array([ 110.,  -94.,  -11.]), array([-389., -176.,  346.]))
(1, 42345, 42383, 41471, array([ 6288.,  1200., -4016.]), array([ 186.,  -98.,   -3.]), array([-389., -176.,  346.]))
(1, 44719, 44399, 44018, array([ 6288.,  1104., -3984.]), array([ 206.,  -99.,   54.]), array([-386., -173.,  345.]))
(1, 46143, 45408, 44018, array([ 6384.,  1024., -3952.]), array([ 180.,  -99.,   80.]), array([-386., -173.,  345.]))
(1, 47092, 46416, 46565, array([ 6384.,  1008., -3936.]), array([ 166., -115.,   69.]), array([-388., -173.,  347.]))
(1, 48041, 47424, 46565, array([ 6400.,   992., -3888.]), array([ 135.,  -90.,   94.]), array([-388., -173.,  347.]))
(1, 49465, 49440, 49113, array([ 6384.,  1056., -3888.]), array([  25., -107.,  136.]), array([-390., -175.,  347.]))
(1, 50414, 50448, 49113, array([ 6416.,  1024., -3824.]), array([  30., -126.,  169.]), array([-390., -175.,  347.]))
(1, 51363, 51456, 51659, array([ 6400.,  1008., -3728.]), array([ -63., -111.,  183.]), array([-388., -176.,  352.]))
(1, 52787, 52465, 51659, array([ 6416.,  1024., -3696.]), array([ -87.,  -99.,  200.]), array([-388., -176.,  352.]))
(1, 55160, 54481, 54206, array([ 6416.,  1088., -3632.]), array([-275.,  -47.,  239.]), array([-388., -173.,  345.]))
(1, 56109, 55489, 54206, array([ 6368.,  1088., -3568.]), array([-309.,  -35.,  257.]), array([-388., -173.,  345.]))
(1, 57058, 56497, 56754, array([ 6336.,  1168., -3584.]), array([-318.,    3.,  241.]), array([-392., -176.,  351.]))
(1, 58481, 58513, 56754, array([ 6320.,  1184., -3536.]), array([-298.,   51.,  217.]), array([-392., -176.,  351.]))
(1, 59431, 59522, 59302, array([ 6304.,  1168., -3472.]), array([-229.,  117.,  182.]), array([-389., -175.,  347.]))
