(1, 56832, 56469, 55198, array([ 5632., -2096., -3984.]), array([  6070.,  15469.,   7445.]), array([-222.,   84.,  557.]))
(1, 58257, 57470, 55198, array([ 7312., -1584., -3072.]), array([ -3932.,  15469.,  -7765.]), array([-222.,   84.,  557.]))
(1, 59206, 59471, 55198, array([ 7488., -1456., -3008.]), array([ 4498.,  1856.,   221.]), array([-222.,   84.,  557.]))
(1, 60629, 60472, 59690, array([ 7504., -1312., -3072.]), array([ 4495.,  1996.,   216.]), array([-465.,  -12.,  332.]))
(1, 62529, 62474, 62235, array([ 7600., -1072., -3104.]), array([ 4519.,  1998.,   206.]), array([-465.,  -13.,  332.]))
(1, 63952, 63475, 62235, array([ 7712.,  -896., -3120.]), array([ 4533.,  1985.,   213.]), array([-465.,  -13.,  332.]))
(1, 64901, 64476, 64781, array([ 7776.,  -848., -3104.]), array([ 4528.,  1962.,   219.]), array([-468.,  -10.,  324.]))
(1, 314, 65478, 64781, array([ 7760.,  -896., -3040.]), array([ 4506.,  1991.,   225.]), array([-468.,  -10.,  324.]))
(1, 1738, 943, 1791, array([ 7632.,  -960., -2912.]), array([ 4550.,  1983.,   229.]), array([-466.,   -7.,  321.]))
(1, 2686, 2552, 1791, array([ 7600., -1088., -2784.]), array([ -2303.,   1992.,  13401.]), array([-466.,   -7.,  321.]))
(1, 4110, 3553, 1791, array([ 7632., -1264., -2832.]), array([  8144.,   6699., -13103.]), array([-466.,   -7.,  321.]))
(1, 5059, 4554, 4336, array([ 7664., -1232., -2928.]), array([ 4158., -4069.,   242.]), array([-470.,   -2.,  321.]))
(1, 6009, 5557, 4336, array([ 7712., -1328., -2944.]), array([ 4433.,  1817.,   215.]), array([-470.,   -2.,  321.]))
(1, 7433, 6565, 6882, array([ 7648., -1488., -2864.]), array([ 4707.,  2006.,   201.]), array([-470.,   -8.,  318.]))
(1, 8382, 8580, 6882, array([ 7664., -1552., -2784.]), array([ 4735.,  1936.,   -30.]), array([-470.,   -8.,  318.]))
(1, 9330, 9588, 9427, array([ 7648., -1584., -2752.]), array([ 4833.,  1926.,  -116.]), array([-469.,   -9.,  315.]))
(1, 10754, 10596, 9427, array([ 7664., -1600., -2720.]), array([ 5039.,  1931.,  -252.]), array([-469.,   -9.,  315.]))
(1, 11704, 11604, 11972, array([ 7728., -1520., -2624.]), array([ 5224.,  1891.,  -410.]), array([-470.,   -7.,  314.]))
(1, 13127, 12612, 11972, array([ 7744., -1520., -2576.]), array([ 5121.,  1829.,  -553.]), array([-470.,   -7.,  314.]))
(1, 14076, 13620, 11972, array([ 7744., -1648., -2416.]), array([ 4803.,  1730.,  -671.]), array([-470.,   -7.,  314.]))
(1, 15025, 14628, 14518, array([ 7728., -1696., -2272.]), array([ 4346.,  1656.,  -770.]), array([-474.,   -5.,  313.]))
(1, 17398, 16644, 17064, array([ 7712., -1664., -2304.]), array([ 3362.,  1495.,  -905.]), array([-475.,   -6.,  310.]))
(1, 18347, 18660, 17064, array([ 7728., -1680., -2176.]), array([ 2288.,  1391.,  -971.]), array([-475.,   -6.,  310.]))
(1, 19771, 19669, 19610, array([ 7696., -1744., -1968.]), array([ 1040.,  1389.,  -935.]), array([-475.,   -7.,  309.]))
(1, 20720, 20677, 19610, array([ 7632., -1664., -1904.]), array([  -86.,  1457.,  -840.]), array([-475.,   -7.,  309.]))
(1, 21669, 21685, 19610, array([ 7616., -1616., -1904.]), array([ -350.,  1595.,  -811.]), array([-475.,   -7.,  309.]))
(1, 23093, 22693, 22156, array([ 7616., -1552., -1888.]), array([ -584.,  1638.,  -799.]), array([-475.,  -11.,  302.]))
(1, 24042, 23701, 22156, array([ 7664., -1488., -1840.]), array([ -816.,  1667.,  -787.]), array([-475.,  -11.,  302.]))
(1, 25465, 24709, 24702, array([ 7648., -1344., -1776.]), array([-1044.,  1700.,  -747.]), array([-475.,  -15.,  302.]))
(1, 26414, 25717, 24702, array([ 7696., -1248., -1856.]), array([-1203.,  1714.,  -709.]), array([-475.,  -15.,  302.]))
(1, 27364, 27734, 27247, array([ 7744., -1216., -1824.]), array([-1415.,  1778.,  -684.]), array([-479.,  -16.,  303.]))
(1, 28788, 28742, 27247, array([ 7728., -1120., -1856.]), array([-1448.,  1764.,  -693.]), array([-479.,  -16.,  303.]))
(1, 29737, 29750, 29793, array([ 7728., -1088., -1792.]), array([-1388.,  1767.,  -689.]), array([-479.,  -20.,  290.]))
(1, 30686, 30758, 29793, array([ 7728., -1120., -1760.]), array([-1295.,  1767.,  -674.]), array([-479.,  -20.,  290.]))
(1, 32110, 31766, 29793, array([ 7760., -1280., -1712.]), array([-1250.,  1783.,  -673.]), array([-479.,  -20.,  290.]))
(1, 33059, 32774, 32339, array([ 7808., -1328., -1696.]), array([-1153.,  1773.,  -703.]), array([-481.,  -25.,  290.]))
(1, 34483, 33783, 32339, array([ 7840., -1344., -1696.]), array([-1150.,  1750.,  -714.]), array([-481.,  -25.,  290.]))
(1, 35432, 34791, 34884, array([ 7904., -1408., -1696.]), array([-1148.,  1747.,  -684.]), array([-481.,  -28.,  289.]))
(1, 38754, 38823, 37429, array([ 7968., -1344., -1824.]), array([-1014.,  1692.,  -603.]), array([-483.,  -29.,  285.]))
(1, 39703, 39831, 39975, array([ 7968., -1408., -1824.]), array([-1050.,  1666.,  -593.]), array([-484.,  -32.,  280.]))
(1, 41126, 40840, 39975, array([ 7920., -1376., -1728.]), array([-1024.,  1609.,  -595.]), array([-484.,  -32.,  280.]))
(1, 42076, 41848, 39975, array([ 8000., -1360., -1760.]), array([-1005.,  1585.,  -578.]), array([-484.,  -32.,  280.]))
(1, 43499, 42856, 42519, array([ 7968., -1328., -1760.]), array([ -963.,  1564.,  -564.]), array([-483.,  -31.,  277.]))
(1, 44448, 43864, 42519, array([ 8000., -1280., -1728.]), array([ -874.,  1525.,  -523.]), array([-483.,  -31.,  277.]))
(1, 46821, 45880, 45066, array([ 7936., -1360., -1744.]), array([ -662.,  1454.,  -471.]), array([-486.,  -32.,  280.]))
(1, 47770, 47897, 47612, array([ 7952., -1376., -1664.]), array([ -452.,  1407.,  -435.]), array([-488.,  -37.,  271.]))
(1, 48719, 48905, 47612, array([ 7904., -1424., -1600.]), array([ -383.,  1366.,  -383.]), array([-488.,  -37.,  271.]))
(1, 50144, 49913, 50158, array([ 7872., -1424., -1616.]), array([ -325.,  1326.,  -373.]), array([-487.,  -37.,  265.]))
(1, 51093, 50921, 50158, array([ 7872., -1392., -1744.]), array([ -204.,  1307.,  -346.]), array([-487.,  -37.,  265.]))
(1, 52042, 51929, 50158, array([ 7856., -1328., -1744.]), array([ -129.,  1279.,  -335.]), array([-487.,  -37.,  265.]))
(1, 53465, 52937, 52704, array([ 7920., -1392., -1760.]), array([   -7.,  1247.,  -336.]), array([-487.,  -37.,  265.]))
(1, 55838, 54954, 55250, array([ 7856., -1376., -1792.]), array([  121.,  1192.,  -268.]), array([-488.,  -36.,  264.]))
(1, 56787, 56970, 55250, array([ 7856., -1360., -1776.]), array([  249.,  1095.,  -236.]), array([-488.,  -36.,  264.]))
(1, 57735, 57978, 57796, array([ 7808., -1392., -1696.]), array([  298.,  1069.,  -225.]), array([-487.,  -40.,  259.]))
(1, 59159, 58986, 57796, array([ 7776., -1376., -1664.]), array([  353.,  1065.,  -223.]), array([-487.,  -40.,  259.]))
