(1, 62660, 62297, 59950, array([ 4608.,  1728., -5424.]), array([ 27769.,  10188., -12344.]), array([-277., -230.,  419.]))
(1, 64085, 63298, 59950, array([ 3824.,  1840., -6144.]), array([-26736.,  10188.,  10849.]), array([-277., -230.,  419.]))
(1, 922, 765, 65519, array([ 3600.,  2160., -6448.]), array([ 4495.,  1992.,   218.]), array([-175., -255.,  481.]))
(1, 1871, 1766, 65519, array([ 3568.,  2176., -6624.]), array([ 4522.,  1981.,   219.]), array([-175., -255.,  481.]))
(1, 2821, 2768, 2530, array([ 3600.,  2160., -6656.]), array([ 4517.,  2010.,   200.]), array([-175., -253.,  481.]))
(1, 4244, 3769, 2530, array([ 3600.,  2080., -6688.]), array([ 4549.,  1988.,   202.]), array([-175., -253.,  481.]))
(1, 5193, 4770, 5076, array([ 3648.,  1984., -6624.]), array([ 4545.,  1977.,   230.]), array([-180., -252.,  475.]))
(1, 6143, 5771, 5076, array([ 3616.,  1904., -6608.]), array([ 4540.,  1991.,   230.]), array([-180., -252.,  475.]))
(1, 7567, 6772, 7622, array([ 3584.,  1712., -6448.]), array([ 4549.,  1958.,   222.]), array([-173., -253.,  477.]))
(1, 8516, 8323, 7622, array([ 3568.,  1664., -6416.]), array([ 13946.,   1988., -23244.]), array([-173., -253.,  477.]))
(1, 9940, 9324, 7622, array([ 3552.,  1584., -6432.]), array([ -8269.,  15231.,  23524.]), array([-173., -253.,  477.]))
(1, 10889, 10325, 10168, array([ 3520.,  1504., -6432.]), array([  4164., -12736.,    205.]), array([-177., -249.,  479.]))
(1, 11838, 11328, 10168, array([ 3568.,  1504., -6416.]), array([ 4405.,  1828.,   210.]), array([-177., -249.,  479.]))
(1, 13262, 13344, 12714, array([ 3680.,  1520., -6480.]), array([ 4365.,  1944.,   137.]), array([-176., -252.,  479.]))
(1, 14212, 14352, 12714, array([ 3664.,  1536., -6496.]), array([ 4404.,  1872.,   108.]), array([-176., -252.,  479.]))
(1, 15161, 15360, 15260, array([ 3712.,  1536., -6496.]), array([ 4441.,  1802.,    61.]), array([-174., -253.,  474.]))
(1, 16585, 16367, 15260, array([ 3744.,  1616., -6480.]), array([ 4494.,  1697.,    -7.]), array([-174., -253.,  474.]))
(1, 17535, 17375, 17807, array([ 3760.,  1664., -6432.]), array([ 4491.,  1623.,   -67.]), array([-178., -253.,  478.]))
(1, 18958, 18383, 17807, array([ 3872.,  1728., -6432.]), array([ 4275.,  1463.,   -53.]), array([-178., -253.,  478.]))
(1, 19908, 19391, 17807, array([ 3808.,  1712., -6400.]), array([ 3878.,  1213.,   -25.]), array([-178., -253.,  478.]))
(1, 20857, 20399, 20353, array([ 3840.,  1744., -6416.]), array([ 3327.,   964.,    35.]), array([-177., -252.,  476.]))
(1, 22281, 21407, 20353, array([ 3696.,  1808., -6496.]), array([ 2851.,   734.,    92.]), array([-177., -252.,  476.]))
(1, 23231, 23423, 22900, array([ 3648.,  1824., -6576.]), array([ 1968.,   283.,   239.]), array([-177., -253.,  474.]))
(1, 24180, 24432, 22900, array([ 3696.,  1888., -6592.]), array([ 1543.,   149.,   283.]), array([-177., -253.,  474.]))
(1, 25604, 25440, 25446, array([ 3664.,  1968., -6624.]), array([ 578.,  -43.,  384.]), array([-180., -253.,  473.]))
(1, 26553, 26448, 25446, array([ 3680.,  2000., -6592.]), array([-415., -131.,  506.]), array([-180., -253.,  473.]))
(1, 27503, 27456, 25446, array([ 3712.,  2032., -6576.]), array([-347.,  -35.,  453.]), array([-180., -253.,  473.]))
(1, 28927, 28464, 27993, array([ 3744.,  1984., -6544.]), array([-206.,  -46.,  410.]), array([-178., -251.,  476.]))
(1, 29877, 29472, 27993, array([ 3728.,  1968., -6528.]), array([-169.,  -54.,  384.]), array([-178., -251.,  476.]))
(1, 31300, 30480, 30538, array([ 3696.,  2000., -6576.]), array([-180.,  -56.,  349.]), array([-178., -256.,  476.]))
(1, 32250, 31488, 30538, array([ 3648.,  1984., -6592.]), array([-122.,  -54.,  326.]), array([-178., -256.,  476.]))
(1, 33199, 33505, 33085, array([ 3680.,  1952., -6624.]), array([ -49.,  -27.,  251.]), array([-182., -256.,  474.]))
(1, 34623, 34513, 33085, array([ 3680.,  1872., -6592.]), array([  16.,  -15.,  228.]), array([-182., -256.,  474.]))
(1, 35572, 35521, 35632, array([ 3648.,  1872., -6544.]), array([  -2.,  -36.,  167.]), array([-181., -251.,  474.]))
(1, 36521, 36529, 35632, array([ 3616.,  1776., -6448.]), array([  -2.,  -34.,  173.]), array([-181., -251.,  474.]))
(1, 37945, 37537, 35632, array([ 3712.,  1792., -6384.]), array([  -2.,  -30.,  136.]), array([-181., -251.,  474.]))
(1, 38893, 38545, 38178, array([ 3728.,  1760., -6384.]), array([ -17.,  -19.,  168.]), array([-181., -252.,  474.]))
(1, 40318, 39554, 38178, array([ 3744.,  1712., -6272.]), array([   1.,  -42.,  190.]), array([-181., -252.,  474.]))
(1, 41267, 40562, 40726, array([ 3776.,  1728., -6256.]), array([ -49.,  -24.,  204.]), array([-183., -252.,  472.]))
(1, 42216, 42578, 40726, array([ 3792.,  1680., -6288.]), array([ -69.,    9.,  232.]), array([-183., -252.,  472.]))
(1, 43640, 43586, 43273, array([ 3600.,  1792., -6416.]), array([-112.,  -19.,  227.]), array([-178., -255.,  472.]))
(1, 44589, 44594, 43273, array([ 3520.,  1776., -6464.]), array([-139.,  -34.,  204.]), array([-178., -255.,  472.]))
(1, 45538, 45602, 45819, array([ 3504.,  1824., -6432.]), array([-196.,  -46.,  195.]), array([-183., -255.,  474.]))
(1, 46961, 46610, 45819, array([ 3552.,  1856., -6512.]), array([-221.,  -29.,  220.]), array([-183., -255.,  474.]))
(1, 47910, 47619, 45819, array([ 3648.,  1856., -6464.]), array([-193.,   10.,  231.]), array([-183., -255.,  474.]))
(1, 49334, 48627, 48365, array([ 3712.,  1888., -6416.]), array([-143.,   17.,  248.]), array([-179., -254.,  481.]))
(1, 50283, 49635, 48365, array([ 3760.,  1888., -6320.]), array([-108.,    1.,  240.]), array([-179., -254.,  481.]))
(1, 51231, 50643, 50912, array([ 3728.,  1888., -6304.]), array([-131.,  -37.,  240.]), array([-182., -253.,  481.]))
(1, 52655, 52659, 50912, array([ 3792.,  1840., -6208.]), array([ -95.,  -58.,  255.]), array([-182., -253.,  481.]))
(1, 53605, 53667, 53458, array([ 3792.,  1824., -6160.]), array([-117.,  -73.,  266.]), array([-182., -256.,  471.]))
(1, 54554, 54676, 53458, array([ 3712.,  1792., -6176.]), array([-117.,  -74.,  269.]), array([-182., -256.,  471.]))
(1, 55977, 55684, 56005, array([ 3520.,  1920., -6176.]), array([-170.,  -72.,  245.]), array([-182., -257.,  473.]))
(1, 56926, 56692, 56005, array([ 3456.,  1936., -6240.]), array([-119.,  -50.,  229.]), array([-182., -257.,  473.]))
(1, 57875, 57700, 56005, array([ 3504.,  1952., -6272.]), array([-122.,  -25.,  199.]), array([-182., -257.,  473.]))
(1, 59298, 58708, 58552, array([ 3584.,  2032., -6240.]), array([ -91.,  -17.,  195.]), array([-182., -258.,  473.]))
