(1, 6656, 6293, 3561, array([ 4512., -1712., -3808.]), array([ -5754.,  26612.,  30172.]), array([  -9.,  -15.,  568.]))
(1, 8081, 7294, 3561, array([ 7392., -1776., -1344.]), array([  8146.,  26612., -31380.]), array([  -9.,  -15.,  568.]))
(1, 10454, 10297, 9515, array([ 7776., -1856., -1072.]), array([ 4513.,  2007.,   221.]), array([-486.,   38.,  312.]))
(1, 11404, 11298, 9515, array([ 7792., -1776.,  -992.]), array([ 4556.,  2001.,   224.]), array([-486.,   38.,  312.]))
(1, 12353, 12299, 12061, array([ 7760., -1792.,  -976.]), array([ 4561.,  1997.,   222.]), array([-486.,   37.,  312.]))
(1, 13777, 13300, 12061, array([ 7776., -1776., -1008.]), array([ 4535.,  1991.,   219.]), array([-486.,   37.,  312.]))
(1, 14726, 14301, 14606, array([ 7776., -1776.,  -960.]), array([ 4508.,  1995.,   213.]), array([-492.,   39.,  309.]))
(1, 15675, 15302, 14606, array([ 7744., -1792., -1024.]), array([ 4514.,  1971.,   230.]), array([-492.,   39.,  309.]))
(1, 17100, 16303, 17153, array([ 7760., -1792.,  -992.]), array([ 4566.,  1972.,   231.]), array([-485.,   41.,  309.]))
(1, 18049, 17989, 17153, array([ 7792., -1808.,  -992.]), array([-26345.,   2015.,  13361.]), array([-485.,   41.,  309.]))
(1, 19473, 18990, 17153, array([ 7760., -1728.,  -960.]), array([ 32575.,  13736., -13032.]), array([-485.,   41.,  309.]))
(1, 20422, 19991, 19699, array([ 7792., -1776.,  -976.]), array([  4187., -10985.,    197.]), array([-487.,   41.,  307.]))
(1, 21371, 20993, 19699, array([ 7792., -1776., -1008.]), array([ 4430.,  1833.,   212.]), array([-487.,   41.,  307.]))
(1, 22795, 22001, 22245, array([ 7744., -1840.,  -960.]), array([ 4615.,  2011.,   211.]), array([-491.,   38.,  307.]))
(1, 23744, 23009, 22245, array([ 7696., -1792.,  -976.]), array([ 4398.,  1973.,   134.]), array([-491.,   38.,  307.]))
(1, 24694, 25025, 24791, array([ 7728., -1792.,  -928.]), array([ 4460.,  1759.,    14.]), array([-488.,   39.,  309.]))
(1, 26117, 26033, 24791, array([ 7728., -1840.,  -912.]), array([ 4564.,  1662.,   -56.]), array([-488.,   39.,  309.]))
(1, 27066, 27041, 27338, array([ 7744., -1840.,  -912.]), array([ 4574.,  1549.,  -149.]), array([-488.,   39.,  305.]))
(1, 28490, 28049, 27338, array([ 7744., -1824.,  -928.]), array([ 4362.,  1397.,  -186.]), array([-488.,   39.,  305.]))
(1, 30388, 30065, 29885, array([ 7744., -1872.,  -944.]), array([ 3420.,   967.,  -192.]), array([-488.,   37.,  308.]))
(1, 31811, 31073, 29885, array([ 7760., -1808.,  -912.]), array([ 2945.,   754.,  -181.]), array([-488.,   37.,  308.]))
(1, 32760, 32081, 32431, array([ 7728., -1808.,  -928.]), array([ 2508.,   550.,  -171.]), array([-488.,   39.,  306.]))
(1, 33709, 34097, 32431, array([ 7760., -1840.,  -944.]), array([ 1658.,   159.,  -116.]), array([-488.,   39.,  306.]))
(1, 35134, 35105, 34977, array([ 7776., -1856.,  -944.]), array([ 500.,  -10.,   16.]), array([-486.,   39.,  307.]))
(1, 36083, 36113, 34977, array([ 7792., -1856.,  -912.]), array([-266.,  -29.,  103.]), array([-486.,   39.,  307.]))
(1, 37031, 37121, 34977, array([ 7776., -1824.,  -912.]), array([-190.,   29.,   88.]), array([-486.,   39.,  307.]))
(1, 38456, 38129, 37524, array([ 7808., -1792.,  -928.]), array([-100.,   -4.,   89.]), array([-487.,   38.,  307.]))
(1, 40828, 40146, 40071, array([ 7760., -1728.,  -864.]), array([-119.,    9.,   95.]), array([-487.,   39.,  307.]))
(1, 41777, 41154, 40071, array([ 7728., -1760.,  -944.]), array([ -81.,    3.,  100.]), array([-487.,   39.,  307.]))
(1, 42726, 42162, 42617, array([ 7744., -1792.,  -896.]), array([-108.,   -3.,   91.]), array([-487.,   39.,  304.]))
(1, 44150, 44178, 42617, array([ 7760., -1792.,  -912.]), array([-24.,  14.,  58.]), array([-487.,   39.,  304.]))
(1, 45099, 45186, 45163, array([ 7792., -1792.,  -864.]), array([-47.,  11.,  54.]), array([-485.,   39.,  305.]))
