(1, 61154, 60791, 59833, array([   48.,  1232., -6768.]), array([ 23364., -14929., -14566.]), array([  96., -226.,  484.]))
(1, 62579, 61792, 59833, array([  112.,  1376., -7440.]), array([-21881., -14929.,  14942.]), array([  96., -226.,  484.]))
(1, 64952, 64795, 64012, array([  144.,  1280., -7536.]), array([ 4502.,  1997.,   193.]), array([  49., -208.,  505.]))
(1, 365, 260, 64012, array([   48.,  1232., -7520.]), array([ 4498.,  1986.,   220.]), array([  49., -208.,  505.]))
(1, 1314, 1261, 1021, array([   64.,  1184., -7520.]), array([ 4510.,  2021.,   216.]), array([  49., -206.,  505.]))
(1, 2738, 2262, 1021, array([   16.,  1136., -7440.]), array([ 4544.,  1998.,   216.]), array([  49., -206.,  505.]))
(1, 3687, 3263, 3568, array([   48.,  1168., -7472.]), array([ 4558.,  1999.,   242.]), array([  45., -200.,  502.]))
(1, 4637, 4264, 3568, array([  112.,  1072., -7424.]), array([ 4580.,  2014.,   218.]), array([  45., -200.,  502.]))
(1, 6061, 5265, 6114, array([   48.,  1040., -7392.]), array([ 4546.,  1973.,   218.]), array([  53., -206.,  503.]))
(1, 7010, 6664, 6114, array([   64.,  1056., -7344.]), array([-22090.,   1988.,  13890.]), array([  53., -206.,  503.]))
(1, 8434, 7665, 6114, array([   16.,  1056., -7296.]), array([ 26997., -21695., -13626.]), array([  53., -206.,  503.]))
(1, 9384, 8666, 8661, array([   32.,  1120., -7328.]), array([  4192.,  23858.,    191.]), array([  48., -205.,  502.]))
(1, 10333, 10676, 8661, array([   96.,  1152., -7376.]), array([ 4666.,  2006.,   153.]), array([  48., -205.,  502.]))
(1, 11756, 11684, 11207, array([  192.,  1168., -7280.]), array([ 4446.,  1927.,   130.]), array([  51., -204.,  502.]))
(1, 12705, 12692, 11207, array([  160.,  1184., -7280.]), array([ 4449.,  1888.,    90.]), array([  51., -204.,  502.]))
(1, 13654, 13700, 13752, array([  192.,  1152., -7376.]), array([ 4514.,  1790.,    41.]), array([  51., -202.,  504.]))
