(1, 15495, 14657, 14239, array([ 7968.,  -208., -1408.]), array([-24110., -18297., -26648.]), array([-479.,  -12.,  202.]))
(1, 16445, 16658, 14239, array([ 8080.,   -16., -1040.]), array([  4227.,  16736.,    187.]), array([-479.,  -12.,  202.]))
(1, 17394, 17659, 14239, array([ 8096.,    48., -1120.]), array([ 4509.,  1842.,   229.]), array([-479.,  -12.,  202.]))
(1, 18818, 18659, 17877, array([ 8112.,   112., -1088.]), array([ 4505.,  2007.,   228.]), array([-493.,  -33.,   70.]))
(1, 19767, 19660, 17877, array([ 8096.,    64., -1040.]), array([ 4493.,  1990.,   214.]), array([-493.,  -33.,   70.]))
(1, 21191, 20660, 20421, array([ 8048.,    16., -1104.]), array([ 4500.,  1977.,   210.]), array([-493.,  -31.,   70.]))
(1, 22141, 21661, 20421, array([ 8080.,    96., -1168.]), array([ 4534.,  1976.,   226.]), array([-493.,  -31.,   70.]))
(1, 23090, 22661, 22966, array([ 8160.,    32., -1216.]), array([ 4528.,  1986.,   213.]), array([-487.,  -32.,   72.]))
(1, 24515, 23662, 22966, array([ 8144.,    16., -1056.]), array([ 4515.,  2011.,   206.]), array([-487.,  -32.,   72.]))
(1, 25464, 25663, 25509, array([ 8064.,   -80., -1120.]), array([ 4544.,  1984.,   213.]), array([-490.,  -28.,   75.]))
(1, 26414, 26666, 25509, array([ 8064.,   -48., -1088.]), array([ 4570.,  1998.,   219.]), array([-490.,  -28.,   75.]))
(1, 27838, 27674, 25509, array([ 8080.,   -80., -1184.]), array([ 4398.,  1997.,   182.]), array([-490.,  -28.,   75.]))
(1, 28787, 28683, 28054, array([ 8048.,   -16., -1136.]), array([ 4318.,  1976.,   180.]), array([-490.,  -31.,   75.]))
(1, 30212, 29691, 28054, array([ 8096.,    16., -1104.]), array([ 4355.,  1953.,   164.]), array([-490.,  -31.,   75.]))
(1, 31161, 30699, 30598, array([ 8048.,   -16., -1088.]), array([ 4336.,  1948.,   144.]), array([-488.,  -29.,   75.]))
(1, 32110, 31707, 30598, array([ 8000.,   -64., -1136.]), array([ 4348.,  1862.,   134.]), array([-488.,  -29.,   75.]))
(1, 33534, 32715, 33142, array([ 8032.,   -16., -1168.]), array([ 4397.,  1769.,    78.]), array([-491.,  -31.,   74.]))
(1, 34484, 33723, 33142, array([ 8000.,     0., -1200.]), array([ 4460.,  1663.,    17.]), array([-491.,  -31.,   74.]))
(1, 35433, 35739, 35687, array([ 8000.,   -16., -1136.]), array([ 4544.,  1315.,   -89.]), array([-491.,  -31.,   75.]))
(1, 36858, 36747, 35687, array([ 7888.,   -64., -1152.]), array([ 4263.,  1080.,  -123.]), array([-491.,  -31.,   75.]))
(1, 37807, 37755, 35687, array([ 7968.,   -80., -1040.]), array([ 3851.,   767.,  -134.]), array([-491.,  -31.,   75.]))
(1, 38757, 38763, 38233, array([ 8000.,   -64., -1056.]), array([ 3370.,   470.,  -103.]), array([-492.,  -31.,   80.]))
(1, 40181, 39771, 38233, array([ 8000.,  -144., -1120.]), array([ 2907.,   177.,   -76.]), array([-492.,  -31.,   80.]))
(1, 41130, 40779, 40777, array([ 7984.,   -64., -1040.]), array([ 2451.,   -94.,   -37.]), array([-491.,  -29.,   81.]))
(1, 42554, 41787, 40777, array([ 7984.,   -32., -1120.]), array([ 2045.,  -398.,     7.]), array([-491.,  -29.,   81.]))
(1, 43503, 42795, 43322, array([ 7968.,   -16., -1024.]), array([ 1557.,  -666.,    56.]), array([-490.,  -31.,   81.]))
(1, 44452, 44812, 43322, array([ 7968.,   -32., -1088.]), array([-155., -918.,  277.]), array([-490.,  -31.,   81.]))
(1, 45877, 45820, 45866, array([ 7840.,   -48.,  -992.]), array([ -60., -857.,  261.]), array([-492.,  -28.,   83.]))
(1, 46826, 46828, 45866, array([ 7872.,   -48., -1040.]), array([ -14., -839.,  252.]), array([-492.,  -28.,   83.]))
(1, 47776, 47837, 45866, array([ 7872.,   -48., -1056.]), array([ -78., -815.,  270.]), array([-492.,  -28.,   83.]))
(1, 49200, 48845, 48412, array([ 7920.,   -96.,  -992.]), array([ -94., -815.,  269.]), array([-492.,  -29.,   84.]))
(1, 50150, 49853, 48412, array([ 7888.,   -64., -1024.]), array([ -57., -816.,  250.]), array([-492.,  -29.,   84.]))
(1, 51573, 50861, 50957, array([ 7856.,   -64., -1056.]), array([-117., -822.,  271.]), array([-497.,  -30.,   85.]))
(1, 52522, 51869, 50957, array([ 7888.,   -32., -1056.]), array([-120., -785.,  288.]), array([-497.,  -30.,   85.]))
(1, 53471, 52878, 53504, array([ 7904.,   -80., -1056.]), array([-175., -744.,  255.]), array([-492.,  -29.,   89.]))
(1, 54895, 54894, 53504, array([ 7888.,    32., -1008.]), array([-191., -745.,  270.]), array([-492.,  -29.,   89.]))
(1, 55845, 55902, 56049, array([ 7904.,    16.,  -960.]), array([-168., -770.,  256.]), array([-492.,  -27.,   89.]))
(1, 56794, 56911, 56049, array([ 7888.,   -16., -1040.]), array([-172., -743.,  263.]), array([-492.,  -27.,   89.]))
(1, 58219, 57919, 56049, array([ 7856.,    16., -1008.]), array([-146., -738.,  267.]), array([-492.,  -27.,   89.]))
(1, 59168, 58927, 58595, array([ 7840.,     0., -1040.]), array([-135., -693.,  241.]), array([-491.,  -29.,   92.]))
(1, 60118, 59935, 58595, array([ 7840.,    32., -1072.]), array([ -91., -682.,  253.]), array([-491.,  -29.,   92.]))
(1, 61542, 60944, 61141, array([ 7904.,    64., -1072.]), array([-104., -689.,  248.]), array([-492.,  -29.,   95.]))
(1, 62492, 61952, 61141, array([ 7936.,    32., -1072.]), array([ -68., -706.,  210.]), array([-492.,  -29.,   95.]))
(1, 63916, 62960, 63686, array([ 7920.,    80., -1088.]), array([  20., -715.,  161.]), array([-493.,  -25.,   94.]))
(1, 64865, 64976, 63686, array([ 7888.,   112., -1104.]), array([ 146., -695.,  171.]), array([-493.,  -25.,   94.]))
(1, 279, 449, 63686, array([ 7872.,    80., -1088.]), array([ 184., -678.,  210.]), array([-493.,  -25.,   94.]))
(1, 1703, 1457, 696, array([ 7856.,    80., -1056.]), array([ 210., -664.,  200.]), array([-492.,  -26.,   94.]))
(1, 2652, 2465, 696, array([ 7824.,    80.,  -976.]), array([ 246., -660.,  199.]), array([-492.,  -26.,   94.]))
(1, 3602, 3473, 3242, array([ 7808.,     0., -1008.]), array([ 315., -649.,  189.]), array([-494.,  -29.,   97.]))
(1, 5026, 4482, 3242, array([ 7856.,   -64., -1040.]), array([ 312., -660.,  181.]), array([-494.,  -29.,   97.]))
(1, 5975, 5490, 5788, array([ 7840.,   -80., -1056.]), array([ 254., -648.,  158.]), array([-493.,  -25.,  101.]))
(1, 7399, 6498, 5788, array([ 7824.,   -80., -1120.]), array([ 204., -589.,  150.]), array([-493.,  -25.,  101.]))
(1, 8348, 8514, 8333, array([ 7872.,   -16., -1056.]), array([  38., -555.,  126.]), array([-491.,  -27.,  100.]))
(1, 9298, 9523, 8333, array([ 7792.,   -32., -1088.]), array([  50., -567.,   97.]), array([-491.,  -27.,  100.]))
(1, 10722, 10531, 8333, array([ 7888.,    16., -1072.]), array([   8., -553.,   86.]), array([-491.,  -27.,  100.]))
(1, 11672, 11539, 10878, array([ 7888.,     0., -1104.]), array([  17., -531.,  100.]), array([-495.,  -28.,  103.]))
(1, 12621, 12547, 10878, array([ 7872.,   -16., -1056.]), array([ -22., -507.,  115.]), array([-495.,  -28.,  103.]))
(1, 14044, 13556, 13423, array([ 7904.,   -48., -1104.]), array([ -35., -500.,  123.]), array([-492.,  -24.,  104.]))
(1, 14994, 14564, 13423, array([ 7856.,   -16.,  -992.]), array([  42., -439.,  113.]), array([-492.,  -24.,  104.]))
(1, 16417, 15572, 15968, array([ 7888.,     0., -1040.]), array([ -13., -420.,  132.]), array([-493.,  -26.,  108.]))
(1, 17367, 16580, 15968, array([ 7872.,    48., -1056.]), array([   0., -414.,  161.]), array([-493.,  -26.,  108.]))
(1, 18317, 18597, 18514, array([ 7808.,    64., -1040.]), array([  37., -363.,  174.]), array([-493.,  -28.,  108.]))
(1, 19741, 19605, 18514, array([ 7776.,    80., -1120.]), array([ 120., -351.,  152.]), array([-493.,  -28.,  108.]))
(1, 20690, 20613, 18514, array([ 7728.,    96., -1216.]), array([  85., -329.,  159.]), array([-493.,  -28.,  108.]))
(1, 21639, 21621, 21058, array([ 7728.,   112., -1168.]), array([ 135., -323.,  167.]), array([-490.,  -27.,  106.]))
(1, 23063, 22630, 21058, array([ 7728.,    48., -1072.]), array([ 159., -306.,  113.]), array([-490.,  -27.,  106.]))
(1, 24013, 23638, 23603, array([ 7712.,    32., -1168.]), array([ 147., -330.,  126.]), array([-494.,  -28.,  111.]))
(1, 24962, 24646, 23603, array([ 7776.,    64., -1104.]), array([ 142., -282.,   73.]), array([-494.,  -28.,  111.]))
