(1, 15700, 14862, 13405, array([ 8016., -1088., -2656.]), array([ -4673.,  -9275., -13083.]), array([-482.,  -67.,  152.]))
(1, 16650, 16863, 13405, array([ 8032.,  -832., -2336.]), array([  4190.,  11890.,    193.]), array([-482.,  -67.,  152.]))
(1, 17600, 17864, 13405, array([ 7936.,  -736., -2672.]), array([ 4499.,  1852.,   201.]), array([-482.,  -67.,  152.]))
(1, 19024, 18865, 18084, array([ 7936.,  -576., -2768.]), array([ 4501.,  1999.,   220.]), array([-490.,  -36.,  119.]))
(1, 19973, 19865, 18084, array([ 7968.,  -608., -2672.]), array([ 4515.,  1980.,   224.]), array([-490.,  -36.,  119.]))
(1, 21396, 20866, 20629, array([ 7968.,  -736., -3104.]), array([ 4530.,  1985.,   215.]), array([-490.,  -37.,  119.]))
(1, 22345, 21866, 20629, array([ 7968.,  -688., -2800.]), array([ 4577.,  2006.,   229.]), array([-490.,  -37.,  119.]))
(1, 23295, 22867, 23175, array([ 7872.,  -864., -2304.]), array([ 4522.,  2006.,   222.]), array([-489.,  -38.,  114.]))
(1, 24718, 23867, 23175, array([ 7728., -1120., -1680.]), array([ 4534.,  1993.,   214.]), array([-489.,  -38.,  114.]))
(1, 25667, 25868, 25721, array([ 7792.,  -768., -2160.]), array([ 4592.,  1974.,   235.]), array([-487.,  -38.,  115.]))
(1, 26617, 26872, 25721, array([ 7840.,  -720., -2464.]), array([ 4555.,  1996.,   230.]), array([-487.,  -38.,  115.]))
(1, 28040, 27880, 25721, array([ 7776., -1584., -1696.]), array([ 4484.,  1963.,   184.]), array([-487.,  -38.,  115.]))
(1, 28989, 28889, 28266, array([ 7712., -1136., -2848.]), array([ 4358.,  1979.,   146.]), array([-487.,  -38.,  115.]))
(1, 30413, 29897, 28266, array([ 7792.,  -832., -2752.]), array([ 4425.,  1966.,   117.]), array([-487.,  -38.,  115.]))
(1, 31362, 30905, 30813, array([ 7744.,  -992., -2800.]), array([ 4453.,  1967.,    59.]), array([-486.,  -42.,  115.]))
(1, 32312, 31912, 30813, array([ 7824.,  -864., -2576.]), array([ 4531.,  1932.,    29.]), array([-486.,  -42.,  115.]))
(1, 33735, 32920, 33358, array([ 7744., -1136., -2896.]), array([ 4660.,  1874.,   -26.]), array([-491.,  -43.,  113.]))
(1, 34684, 33928, 33358, array([ 7792., -1104., -2768.]), array([ 4799.,  1831.,  -119.]), array([-491.,  -43.,  113.]))
(1, 35634, 35944, 35903, array([ 7808., -1248., -2480.]), array([ 5098.,  1680.,  -322.]), array([-487.,  -44.,  115.]))
(1, 37058, 36952, 35903, array([ 7824., -1072., -2128.]), array([ 4877.,  1476.,  -404.]), array([-487.,  -44.,  115.]))
(1, 38007, 37961, 35903, array([ 7824., -1056., -2320.]), array([ 4584.,  1274.,  -450.]), array([-487.,  -44.,  115.]))
(1, 38956, 38969, 38448, array([ 7872., -1024., -2448.]), array([ 4160.,  1053.,  -469.]), array([-487.,  -44.,  114.]))
(1, 40380, 39977, 38448, array([ 7920., -1248., -2352.]), array([ 3763.,   851.,  -455.]), array([-487.,  -44.,  114.]))
(1, 41330, 40985, 40993, array([ 7872., -1232., -2128.]), array([ 3261.,   629.,  -452.]), array([-486.,  -47.,  118.]))
(1, 42754, 41993, 40993, array([ 7792., -1168., -2096.]), array([ 2777.,   404.,  -407.]), array([-486.,  -47.,  118.]))
(1, 43703, 43001, 43538, array([ 7824., -1088., -2064.]), array([ 2108.,   183.,  -329.]), array([-484.,  -46.,  118.]))
(1, 44652, 45018, 43538, array([ 7712., -1072., -2032.]), array([-154.,  -77.,  -77.]), array([-484.,  -46.,  118.]))
(1, 46076, 46026, 46084, array([ 7728.,  -976., -2048.]), array([-172.,  -70.,  -87.]), array([-489.,  -45.,  114.]))
(1, 47025, 47034, 46084, array([ 7728.,  -896., -2016.]), array([-237.,  -79.,  -60.]), array([-489.,  -45.,  114.]))
(1, 47974, 48042, 46084, array([ 7728.,  -896., -1920.]), array([-401., -114.,  -19.]), array([-489.,  -45.,  114.]))
(1, 49398, 49051, 48630, array([ 7744.,  -832., -1856.]), array([-516., -198.,   -8.]), array([-489.,  -45.,  114.]))
(1, 50347, 50059, 48630, array([ 7776.,  -736., -1872.]), array([-578., -242.,   21.]), array([-489.,  -45.,  114.]))
