(1, 38157, 37318, 36958, array([ 7344.,   352., -2272.]), array([ -2191., -15073.,   2346.]), array([-472.,    6.,  253.]))
(1, 39107, 39319, 36958, array([ 7600.,   400., -2048.]), array([  4209.,  15621.,    214.]), array([-472.,    6.,  253.]))
(1, 40056, 40319, 36958, array([ 7648.,   320., -1984.]), array([ 4498.,  1853.,   204.]), array([-472.,    6.,  253.]))
(1, 41480, 41320, 40536, array([ 7680.,   384., -1888.]), array([ 4523.,  2003.,   232.]), array([-511.,   25.,  100.]))
(1, 42430, 42320, 40536, array([ 7648.,   448., -1904.]), array([ 4518.,  1996.,   223.]), array([-511.,   25.,  100.]))
(1, 43853, 43321, 43082, array([ 7664.,   368., -1808.]), array([ 4520.,  1996.,   196.]), array([-511.,   27.,  100.]))
(1, 44803, 44322, 43082, array([ 7712.,   416., -1904.]), array([ 4549.,  2003.,   204.]), array([-511.,   27.,  100.]))
(1, 45752, 45323, 45627, array([ 7664.,   368., -1856.]), array([ 4527.,  1984.,   218.]), array([-511.,   25.,  106.]))
(1, 47175, 46323, 45627, array([ 7664.,   352., -1856.]), array([ 4521.,  1997.,   233.]), array([-511.,   25.,  106.]))
(1, 48124, 48324, 48171, array([ 7664.,   384., -1840.]), array([ 4528.,  1978.,   226.]), array([-508.,   25.,  100.]))
(1, 49073, 49327, 48171, array([ 7648.,   416., -1856.]), array([ 4531.,  1989.,   218.]), array([-508.,   25.,  100.]))
(1, 50497, 50336, 48171, array([ 7680.,   384., -1872.]), array([ 4486.,  1986.,   184.]), array([-508.,   25.,  100.]))
(1, 51446, 51344, 50716, array([ 7616.,   336., -1904.]), array([ 4334.,  1970.,   179.]), array([-508.,   28.,  100.]))
(1, 52869, 52352, 50716, array([ 7616.,   368., -1920.]), array([ 4386.,  1983.,   147.]), array([-508.,   28.,  100.]))
(1, 53819, 53360, 53262, array([ 7632.,   416., -1872.]), array([ 4345.,  1967.,   114.]), array([-509.,   25.,  100.]))
(1, 54768, 54368, 53262, array([ 7648.,   352., -1904.]), array([ 4368.,  1912.,    66.]), array([-509.,   25.,  100.]))
(1, 56193, 55376, 55808, array([ 7680.,   368., -1920.]), array([ 4458.,  1873.,    50.]), array([-511.,   26.,  104.]))
(1, 57142, 56384, 55808, array([ 7696.,   416., -1904.]), array([ 4480.,  1778.,   -17.]), array([-511.,   26.,  104.]))
