(1, 52304, 51465, 48991, array([ 6224.,  -160., -3536.]), array([ 5725., -9655.,   -63.]), array([-499.,   39.,   65.]))
(1, 53253, 53466, 48991, array([ 5872.,  -384., -3344.]), array([  4179.,  10999.,    171.]), array([-499.,   39.,   65.]))
(1, 54202, 54467, 48991, array([ 5712.,  -384., -3296.]), array([ 4501.,  1849.,   207.]), array([-499.,   39.,   65.]))
(1, 55626, 55468, 54684, array([ 5680.,  -432., -3312.]), array([ 4515.,  2010.,   199.]), array([-432.,   31.,  333.]))
(1, 56575, 56469, 54684, array([ 5648.,  -432., -3328.]), array([ 4547.,  1987.,   213.]), array([-432.,   31.,  333.]))
(1, 57999, 57469, 57229, array([ 5584.,  -464., -3424.]), array([ 4530.,  1987.,   217.]), array([-432.,   32.,  333.]))
(1, 58948, 58470, 57229, array([ 5600.,  -448., -3376.]), array([ 4517.,  2003.,   221.]), array([-432.,   32.,  333.]))
(1, 59897, 59471, 59775, array([ 5600.,  -400., -3360.]), array([ 4538.,  1970.,   195.]), array([-430.,   34.,  333.]))
(1, 61321, 60471, 59775, array([ 5504.,  -400., -3408.]), array([ 4517.,  2010.,   200.]), array([-430.,   34.,  333.]))
(1, 62270, 62473, 62319, array([ 5520.,  -416., -3472.]), array([ 4527.,  1981.,   208.]), array([-427.,   35.,  340.]))
(1, 63220, 63477, 62319, array([ 5552.,  -320., -3488.]), array([ 4499.,  1972.,   213.]), array([-427.,   35.,  340.]))
(1, 64644, 64485, 62319, array([ 5600.,  -288., -3552.]), array([ 4531.,  1981.,   201.]), array([-427.,   35.,  340.]))
(1, 57, 65493, 64864, array([ 5504.,  -240., -3600.]), array([ 4339.,  2019.,   177.]), array([-427.,   35.,  340.]))
(1, 1481, 965, 64864, array([ 5456.,  -112., -3664.]), array([ 4343.,  1956.,   142.]), array([-427.,   35.,  340.]))
(1, 2430, 1973, 1873, array([ 5456.,   -96., -3680.]), array([ 4377.,  1927.,   119.]), array([-428.,   37.,  336.]))
(1, 3379, 2981, 1873, array([ 5392.,  -112., -3600.]), array([ 4389.,  1879.,    92.]), array([-428.,   37.,  336.]))
(1, 4803, 3989, 4418, array([ 5392.,  -208., -3584.]), array([ 4506.,  1781.,    58.]), array([-429.,   36.,  339.]))
(1, 5752, 4997, 4418, array([ 5376.,  -272., -3616.]), array([ 4610.,  1720.,     5.]), array([-429.,   36.,  339.]))
(1, 6701, 7013, 6963, array([ 5280.,  -288., -3584.]), array([ 4810.,  1504.,  -150.]), array([-424.,   36.,  341.]))
(1, 8124, 8021, 6963, array([ 5296.,  -336., -3680.]), array([ 4580.,  1327.,  -207.]), array([-424.,   36.,  341.]))
(1, 9074, 9029, 6963, array([ 5280.,  -368., -3744.]), array([ 4227.,  1114.,  -224.]), array([-424.,   36.,  341.]))
(1, 10022, 10037, 9507, array([ 5264.,  -352., -3824.]), array([ 3752.,   958.,  -223.]), array([-425.,   38.,  341.]))
(1, 11446, 11045, 9507, array([ 5360.,  -336., -3936.]), array([ 3312.,   808.,  -231.]), array([-425.,   38.,  341.]))
(1, 12395, 12054, 12052, array([ 5296.,  -336., -4048.]), array([ 2916.,   630.,  -218.]), array([-428.,   39.,  343.]))
(1, 13819, 13062, 12052, array([ 5360.,  -320., -4176.]), array([ 2556.,   523.,  -207.]), array([-428.,   39.,  343.]))
(1, 14768, 14070, 14597, array([ 5376.,  -336., -4256.]), array([ 2070.,   427.,  -192.]), array([-424.,   36.,  343.]))
(1, 15717, 16086, 14597, array([ 5392.,  -352., -4400.]), array([ 390.,  413.,   -9.]), array([-424.,   36.,  343.]))
(1, 17141, 17095, 17141, array([ 5408.,  -368., -4480.]), array([ 610.,  445.,   21.]), array([-425.,   40.,  340.]))
(1, 18090, 18103, 17141, array([ 5408.,  -384., -4560.]), array([ 608.,  495.,   26.]), array([-425.,   40.,  340.]))
(1, 19039, 19111, 17141, array([ 5360.,  -528., -4624.]), array([ 610.,  533.,   16.]), array([-425.,   40.,  340.]))
(1, 20463, 20119, 19688, array([ 5296.,  -528., -4704.]), array([ 650.,  564.,   24.]), array([-425.,   38.,  340.]))
(1, 21412, 21127, 19688, array([ 5360.,  -512., -4800.]), array([ 626.,  601.,   25.]), array([-425.,   38.,  340.]))
(1, 22836, 22136, 22233, array([ 5328.,  -624., -4880.]), array([ 577.,  620.,    4.]), array([-431.,   37.,  342.]))
(1, 23786, 23144, 22233, array([ 5360.,  -640., -4944.]), array([ 489.,  663.,   11.]), array([-431.,   37.,  342.]))
(1, 24735, 24152, 24777, array([ 5360.,  -688., -5040.]), array([ 432.,  685.,   27.]), array([-427.,   39.,  338.]))
(1, 26159, 26168, 24777, array([ 5472.,  -688., -5088.]), array([ 227.,  699.,   60.]), array([-427.,   39.,  338.]))
(1, 27108, 27177, 27322, array([ 5520.,  -672., -5168.]), array([ 101.,  704.,   55.]), array([-427.,   41.,  338.]))
(1, 28058, 28185, 27322, array([ 5520.,  -672., -5248.]), array([ -80.,  693.,   40.]), array([-427.,   41.,  338.]))
(1, 29482, 29193, 27322, array([ 5568.,  -656., -5344.]), array([-118.,  665.,   67.]), array([-427.,   41.,  338.]))
(1, 30431, 30201, 29867, array([ 5552.,  -608., -5360.]), array([-222.,  675.,   69.]), array([-429.,   42.,  341.]))
(1, 31855, 31209, 29867, array([ 5552.,  -528., -5408.]), array([-306.,  661.,   47.]), array([-429.,   42.,  341.]))
(1, 32804, 32218, 32412, array([ 5504.,  -464., -5504.]), array([-388.,  641.,   24.]), array([-431.,   40.,  335.]))
(1, 33754, 33226, 32412, array([ 5472.,  -480., -5600.]), array([-435.,  597.,   -3.]), array([-431.,   40.,  335.]))
(1, 35177, 34234, 34957, array([ 5440.,  -368., -5648.]), array([-388.,  537.,  -15.]), array([-432.,   37.,  336.]))
(1, 36127, 36250, 34957, array([ 5504.,  -336., -5712.]), array([-162.,  541.,  -67.]), array([-432.,   37.,  336.]))
(1, 37076, 37259, 34957, array([ 5488.,  -352., -5680.]), array([-101.,  579.,  -56.]), array([-432.,   37.,  336.]))
(1, 38500, 38267, 37503, array([ 5536.,  -464., -5584.]), array([ -63.,  545.,  -46.]), array([-431.,   39.,  335.]))
(1, 39450, 39275, 37503, array([ 5504.,  -528., -5552.]), array([  46.,  498.,  -74.]), array([-431.,   39.,  335.]))
(1, 40399, 40283, 40048, array([ 5472.,  -608., -5552.]), array([ 100.,  462.,  -80.]), array([-434.,   37.,  335.]))
(1, 41823, 41291, 40048, array([ 5552.,  -560., -5456.]), array([ 155.,  472.,  -82.]), array([-434.,   37.,  335.]))
(1, 42772, 42300, 42594, array([ 5504.,  -640., -5472.]), array([ 114.,  438.,  -65.]), array([-430.,   36.,  335.]))
(1, 44195, 43308, 42594, array([ 5536.,  -688., -5472.]), array([  88.,  385.,  -87.]), array([-430.,   36.,  335.]))
(1, 45144, 45324, 45138, array([ 5584.,  -640., -5504.]), array([ -26.,  361.,  -63.]), array([-432.,   40.,  331.]))
(1, 46093, 46332, 45138, array([ 5584.,  -512., -5456.]), array([ -65.,  313.,  -23.]), array([-432.,   40.,  331.]))
(1, 47516, 47341, 45138, array([ 5600.,  -496., -5296.]), array([ -98.,  247.,   -1.]), array([-432.,   40.,  331.]))
(1, 48465, 48349, 47684, array([ 5568.,  -496., -5232.]), array([-156.,  246.,    3.]), array([-434.,   35.,  330.]))
(1, 49414, 49357, 47684, array([ 5552.,  -496., -5232.]), array([-119.,  227.,   10.]), array([-434.,   35.,  330.]))
(1, 50838, 50365, 50228, array([ 5424.,  -496., -5200.]), array([-182.,  220.,    9.]), array([-434.,   36.,  333.]))
(1, 51787, 51373, 50228, array([ 5376.,  -416., -5232.]), array([-143.,  187.,   18.]), array([-434.,   36.,  333.]))
(1, 53211, 52382, 52773, array([ 5360.,  -416., -5136.]), array([ -77.,  143.,    7.]), array([-433.,   37.,  331.]))
(1, 54160, 53390, 52773, array([ 5440.,  -384., -5136.]), array([ -58.,  157.,  -59.]), array([-433.,   37.,  331.]))
(1, 55109, 55406, 55319, array([ 5504.,  -384., -4992.]), array([  31.,  194.,  -64.]), array([-433.,   38.,  331.]))
(1, 56532, 56414, 55319, array([ 5488.,  -416., -4928.]), array([  47.,  209.,  -30.]), array([-433.,   38.,  331.]))
(1, 57482, 57423, 55319, array([ 5456.,  -448., -4816.]), array([ 109.,  184.,   -5.]), array([-433.,   38.,  331.]))
(1, 58431, 58431, 57864, array([ 5472.,  -464., -4688.]), array([  96.,  184.,  -14.]), array([-432.,   35.,  329.]))
(1, 59854, 59439, 57864, array([ 5520.,  -512., -4512.]), array([ 134.,  219.,  -36.]), array([-432.,   35.,  329.]))
(1, 60803, 60447, 60409, array([ 5536.,  -576., -4400.]), array([ 128.,  221.,   -4.]), array([-432.,   36.,  335.]))
(1, 62226, 61455, 60409, array([ 5472.,  -480., -4400.]), array([  70.,  237.,   21.]), array([-432.,   36.,  335.]))
(1, 63175, 62464, 62953, array([ 5520.,  -464., -4240.]), array([  35.,  246.,   -5.]), array([-431.,   37.,  331.]))
(1, 64124, 63472, 62953, array([ 5632.,  -416., -4272.]), array([ -13.,  302.,   -6.]), array([-431.,   37.,  331.]))
(1, 12, 65488, 65498, array([ 5616.,  -432., -4096.]), array([ -34.,  340.,  -12.]), array([-434.,   36.,  333.]))
(1, 961, 960, 65498, array([ 5632.,  -432., -3904.]), array([ -21.,  392.,  -59.]), array([-434.,   36.,  333.]))
(1, 1910, 1969, 65498, array([ 5664.,  -432., -3696.]), array([ -63.,  438.,  -69.]), array([-434.,   36.,  333.]))
(1, 3333, 2977, 2506, array([ 5584.,  -448., -3552.]), array([-130.,  494., -101.]), array([-436.,   35.,  333.]))
(1, 4282, 3985, 2506, array([ 5648.,  -480., -3376.]), array([-175.,  573., -141.]), array([-436.,   35.,  333.]))
(1, 5231, 4993, 5051, array([ 5712.,  -464., -3264.]), array([-303.,  628., -181.]), array([-433.,   33.,  331.]))
(1, 6655, 6002, 5051, array([ 5808.,  -464., -3024.]), array([-394.,  714., -214.]), array([-433.,   33.,  331.]))
(1, 7604, 7010, 7594, array([ 5840.,  -432., -2896.]), array([-508.,  792., -242.]), array([-435.,   36.,  325.]))
(1, 9028, 9026, 7594, array([ 5840.,  -416., -2768.]), array([-706.,  992., -302.]), array([-435.,   36.,  325.]))
(1, 9977, 10034, 10139, array([ 5840.,  -352., -2656.]), array([ -745.,  1088.,  -318.]), array([-438.,   32.,  325.]))
(1, 10926, 11043, 10139, array([ 5840.,  -336., -2624.]), array([ -771.,  1218.,  -319.]), array([-438.,   32.,  325.]))
(1, 12350, 12051, 10139, array([ 5792.,  -336., -2672.]), array([ -777.,  1343.,  -342.]), array([-438.,   32.,  325.]))
(1, 13299, 13059, 12685, array([ 5760.,  -352., -2640.]), array([ -714.,  1473.,  -366.]), array([-435.,   30.,  324.]))
(1, 14248, 14067, 12685, array([ 5712.,  -384., -2608.]), array([ -585.,  1579.,  -386.]), array([-435.,   30.,  324.]))
(1, 15671, 15075, 15230, array([ 5760.,  -384., -2576.]), array([ -457.,  1701.,  -411.]), array([-439.,   30.,  317.]))
(1, 16620, 16084, 15230, array([ 5808.,  -384., -2608.]), array([ -306.,  1866.,  -442.]), array([-439.,   30.,  317.]))
(1, 18044, 17092, 17774, array([ 5824.,  -464., -2496.]), array([ -174.,  2005.,  -430.]), array([-439.,   26.,  317.]))
(1, 18993, 19108, 17774, array([ 5904.,  -544., -2432.]), array([   -8.,  2270.,  -414.]), array([-439.,   26.,  317.]))
(1, 19942, 20116, 17774, array([ 5984.,  -528., -2400.]), array([   81.,  2396.,  -417.]), array([-439.,   26.,  317.]))
(1, 21366, 21125, 20319, array([ 6192.,  -528., -2320.]), array([  155.,  2550.,  -383.]), array([-444.,   28.,  317.]))
(1, 22315, 22133, 20319, array([ 6240.,  -496., -2304.]), array([  165.,  2709.,  -342.]), array([-444.,   28.,  317.]))
(1, 23264, 23141, 22864, array([ 6336.,  -496., -2272.]), array([  127.,  2819.,  -319.]), array([-445.,   28.,  311.]))
(1, 24688, 24149, 22864, array([ 6496.,  -560., -2192.]), array([  110.,  2932.,  -325.]), array([-445.,   28.,  311.]))
(1, 25637, 25157, 25409, array([ 6624.,  -528., -2208.]), array([   30.,  3036.,  -324.]), array([-451.,   28.,  311.]))
(1, 27060, 26166, 25409, array([ 6672.,  -576., -2064.]), array([  -92.,  3157.,  -264.]), array([-451.,   28.,  311.]))
(1, 28009, 28182, 27955, array([ 6560.,  -560., -2080.]), array([ -432.,  3342.,  -304.]), array([-451.,   28.,  300.]))
(1, 28958, 29190, 27955, array([ 6432.,  -624., -2080.]), array([ -590.,  3422.,  -306.]), array([-451.,   28.,  300.]))
(1, 30382, 30198, 27955, array([ 6464.,  -576., -2224.]), array([ -785.,  3540.,  -329.]), array([-451.,   28.,  300.]))
(1, 31330, 31207, 30500, array([ 6560.,  -512., -2336.]), array([ -911.,  3663.,  -342.]), array([-453.,   26.,  290.]))
(1, 32280, 32215, 30500, array([ 6720.,  -400., -2352.]), array([-1065.,  3774.,  -322.]), array([-453.,   26.,  290.]))
(1, 33703, 33223, 33044, array([ 6864.,  -240., -2464.]), array([-1068.,  3930.,  -303.]), array([-457.,   25.,  290.]))
(1, 34652, 34231, 33044, array([ 7040.,  -224., -2400.]), array([ -992.,  4066.,  -262.]), array([-457.,   25.,  290.]))
(1, 35601, 35240, 35589, array([ 7088.,  -192., -2368.]), array([ -917.,  4234.,  -230.]), array([-461.,   23.,  283.]))
(1, 37025, 36248, 35589, array([ 7264.,  -112., -2416.]), array([ -798.,  4362.,  -172.]), array([-461.,   23.,  283.]))
(1, 37974, 38264, 38133, array([ 7312.,   -96., -2416.]), array([ -449.,  4613.,   -54.]), array([-461.,   24.,  274.]))
(1, 39397, 39272, 38133, array([ 7456.,  -208., -2384.]), array([ -237.,  4747.,   -17.]), array([-461.,   24.,  274.]))
(1, 40346, 40281, 38133, array([ 7440.,  -304., -2432.]), array([ -144.,  4855.,    19.]), array([-461.,   24.,  274.]))
(1, 41295, 41289, 40679, array([ 7504.,  -352., -2464.]), array([  -15.,  4935.,    67.]), array([-469.,   25.,  265.]))
(1, 42719, 42297, 40679, array([ 7536.,  -400., -2496.]), array([   -7.,  5050.,   113.]), array([-469.,   25.,  265.]))
(1, 43668, 43305, 43223, array([ 7664.,  -368., -2480.]), array([  -87.,  5142.,   119.]), array([-479.,   25.,  249.]))
(1, 44617, 44313, 43223, array([ 7680.,  -448., -2496.]), array([ -181.,  5213.,   188.]), array([-479.,   25.,  249.]))
(1, 46041, 45322, 45768, array([ 7712.,  -464., -2576.]), array([ -351.,  5355.,   199.]), array([-479.,   25.,  249.]))
(1, 46990, 46330, 45768, array([ 7824.,  -464., -2640.]), array([ -493.,  5420.,   212.]), array([-479.,   25.,  249.]))
(1, 48414, 48346, 48312, array([ 7888.,  -384., -2656.]), array([ -649.,  5550.,   250.]), array([-479.,   29.,  237.]))
(1, 49364, 49354, 48312, array([ 7952.,  -352., -2704.]), array([ -725.,  5609.,   282.]), array([-479.,   29.,  237.]))
(1, 50313, 50363, 48312, array([ 8032.,  -336., -2800.]), array([ -837.,  5696.,   323.]), array([-479.,   29.,  237.]))
(1, 51737, 51371, 50857, array([ 8176.,  -368., -2832.]), array([ -914.,  5720.,   357.]), array([-482.,   29.,  229.]))
(1, 52686, 52379, 50857, array([ 8176.,  -352., -2928.]), array([ -942.,  5744.,   414.]), array([-482.,   29.,  229.]))
(1, 53635, 53387, 53403, array([ 8176.,  -304., -2992.]), array([ -989.,  5777.,   470.]), array([-488.,   31.,  206.]))
(1, 55059, 54395, 53403, array([ 8256.,  -288., -3024.]), array([-1036.,  5815.,   532.]), array([-488.,   31.,  206.]))
(1, 56008, 55404, 55948, array([ 8272.,  -320., -3072.]), array([-1077.,  5865.,   584.]), array([-490.,   31.,  206.]))
(1, 57431, 57420, 55948, array([ 8336.,  -288., -3200.]), array([-1193.,  5862.,   632.]), array([-490.,   31.,  206.]))
(1, 58380, 58428, 58493, array([ 8432.,  -368., -3280.]), array([-1316.,  5899.,   650.]), array([-492.,   31.,  183.]))
(1, 59329, 59437, 58493, array([ 8512.,  -464., -3408.]), array([-1532.,  5845.,   677.]), array([-492.,   31.,  183.]))
(1, 60752, 60445, 58493, array([ 8528.,  -752., -3360.]), array([-1776.,  5830.,   715.]), array([-492.,   31.,  183.]))
(1, 61701, 61453, 61039, array([ 8640.,  -896., -3360.]), array([-2117.,  5787.,   774.]), array([-495.,   35.,  183.]))
(1, 62650, 62461, 61039, array([ 8624.,  -992., -3312.]), array([-2574.,  5745.,   868.]), array([-495.,   35.,  183.]))
(1, 64074, 63469, 63583, array([ 8672.,  -896., -3280.]), array([-3143.,  5676.,   939.]), array([-501.,   37.,  159.]))
(1, 65023, 64478, 63583, array([ 8608.,  -784., -3296.]), array([-3711.,  5579.,  1047.]), array([-501.,   37.,  159.]))
(1, 437, 65486, 593, array([ 8624.,  -640., -3328.]), array([-4237.,  5440.,  1170.]), array([-498.,   41.,  159.]))
(1, 1860, 1966, 593, array([ 8576.,  -304., -3344.]), array([-4964.,  5244.,  1408.]), array([-498.,   41.,  159.]))
(1, 2809, 2974, 3138, array([ 8512.,   -80., -3328.]), array([-5186.,  5133.,  1535.]), array([-503.,   40.,  147.]))
(1, 4233, 3983, 3138, array([ 8448.,   208., -3456.]), array([-5235.,  4999.,  1660.]), array([-503.,   40.,  147.]))
(1, 5182, 4991, 3138, array([ 8448.,   336., -3488.]), array([-5156.,  4907.,  1701.]), array([-503.,   40.,  147.]))
(1, 6132, 5999, 5683, array([ 8416.,   512., -3456.]), array([-4918.,  4784.,  1707.]), array([-506.,   43.,  127.]))
(1, 7557, 7007, 5683, array([ 8368.,   768., -3552.]), array([-4586.,  4692.,  1716.]), array([-506.,   43.,  127.]))
