(6, 52791, 52429, 49984, array([ 6512.,   432., -4192.]), array([-24449., -16874., -25079.]), array([-204.,   29.,  483.]))
(6, 54217, 53429, 49984, array([ 7920.,   288., -2752.]), array([ 25847., -16874.,  25056.]), array([-204.,   29.,  483.]))
(6, 55167, 55432, 49984, array([ 8048.,   256., -2464.]), array([ 4513.,  1858.,   206.]), array([-204.,   29.,  483.]))
(6, 56590, 56433, 55652, array([ 8096.,   240., -2336.]), array([ 4493.,  2001.,   225.]), array([-494.,   96.,  290.]))
(6, 57539, 57434, 55652, array([ 8080.,   176., -2208.]), array([ 4536.,  1992.,   213.]), array([-494.,   96.,  290.]))
(6, 58489, 58435, 58198, array([ 8144.,   192., -2160.]), array([ 4512.,  1983.,   209.]), array([-494.,   99.,  290.]))
(6, 59913, 59435, 58198, array([ 8176.,   432., -2144.]), array([ 4515.,  1971.,   219.]), array([-494.,   99.,  290.]))
(6, 60862, 60436, 60745, array([ 8160.,   528., -2080.]), array([ 4533.,  1986.,   229.]), array([-495.,   98.,  297.]))
(6, 61812, 61437, 60745, array([ 8096.,   560., -1968.]), array([ 4538.,  2001.,   202.]), array([-495.,   98.,  297.]))
(6, 63235, 62438, 63291, array([ 8048.,   624., -1840.]), array([ 4561.,  1964.,   211.]), array([-496.,   97.,  292.]))
(6, 64184, 63962, 63291, array([ 8016.,   608., -1776.]), array([-21428.,   2000.,  24438.]), array([-496.,   97.,  292.]))
(6, 72, 64963, 63291, array([ 7968.,   496., -1600.]), array([ 27462.,  13258., -24170.]), array([-496.,   97.,  292.]))
(6, 1021, 428, 302, array([ 7888.,   512., -1504.]), array([  4204., -10840.,    218.]), array([-497.,   96.,  292.]))
(6, 1970, 1431, 302, array([ 7840.,   480., -1456.]), array([ 4474.,  1837.,   222.]), array([-497.,   96.,  292.]))
(6, 3393, 3447, 2848, array([ 7792.,   336., -1376.]), array([ 4389.,  1938.,   103.]), array([-496.,   91.,  291.]))
(6, 4343, 4454, 2848, array([ 7840.,   224., -1280.]), array([ 4393.,  1846.,    52.]), array([-496.,   91.,  291.]))
(6, 5292, 5462, 5394, array([ 7888.,   144., -1248.]), array([ 4394.,  1789.,     8.]), array([-496.,   90.,  290.]))
(6, 6716, 6470, 5394, array([ 7920.,    96., -1200.]), array([ 4463.,  1691.,   -99.]), array([-496.,   90.,  290.]))
(6, 7666, 7478, 7940, array([ 7952.,    64., -1008.]), array([ 4469.,  1600.,  -211.]), array([-496.,   87.,  288.]))
(6, 9090, 8486, 7940, array([ 7872.,   -48.,  -960.]), array([ 4254.,  1390.,  -253.]), array([-496.,   87.,  288.]))
(6, 10039, 9494, 7940, array([ 7968.,   -96.,  -992.]), array([ 3819.,  1133.,  -276.]), array([-496.,   87.,  288.]))
(6, 10988, 10502, 10487, array([ 7888.,  -144.,  -960.]), array([ 3263.,   870.,  -310.]), array([-495.,   88.,  291.]))
(6, 12412, 11510, 10487, array([ 7952.,  -336.,  -976.]), array([ 2785.,   608.,  -276.]), array([-495.,   88.,  291.]))
(6, 13361, 13526, 13034, array([ 8000.,  -288.,  -912.]), array([ 1748.,   189.,  -333.]), array([-495.,   87.,  291.]))
(6, 14310, 14534, 13034, array([ 8016.,  -240.,  -992.]), array([ 1243.,    21.,  -312.]), array([-495.,   87.,  291.]))
(6, 15734, 15542, 15581, array([ 7936.,  -224.,  -976.]), array([  68., -123., -240.]), array([-495.,   87.,  292.]))
(6, 16683, 16551, 15581, array([ 7888.,  -240.,  -960.]), array([-798., -208., -153.]), array([-495.,   87.,  292.]))
(6, 17632, 17559, 15581, array([ 7904.,  -224.,  -976.]), array([-691., -206., -172.]), array([-495.,   87.,  292.]))
(6, 19056, 18567, 18127, array([ 7936.,  -176.,  -912.]), array([-532., -178., -151.]), array([-492.,   87.,  295.]))
(6, 20006, 19575, 18127, array([ 7904.,  -176.,  -848.]), array([-525., -203., -139.]), array([-492.,   87.,  295.]))
(6, 21430, 20583, 20672, array([ 7920.,   -80.,  -928.]), array([-503., -168., -142.]), array([-492.,   85.,  295.]))
(6, 22379, 22599, 20672, array([ 7952.,  -112.,  -928.]), array([-247., -128., -115.]), array([-492.,   85.,  295.]))
(6, 23329, 23607, 23218, array([ 7920.,  -128.,  -944.]), array([-124., -113.,  -93.]), array([-493.,   83.,  293.]))
(6, 24753, 24616, 23218, array([ 7968.,  -128.,  -992.]), array([  41., -122.,  -54.]), array([-493.,   83.,  293.]))
(6, 25702, 25624, 25764, array([ 7968.,   -64.,  -944.]), array([ 169., -110.,   -8.]), array([-494.,   80.,  294.]))
(6, 26651, 26632, 25764, array([ 7936.,   -96.,  -896.]), array([ 354., -137.,    3.]), array([-494.,   80.,  294.]))
(6, 28075, 27640, 25764, array([ 7824.,  -112.,  -960.]), array([ 441., -142.,  -14.]), array([-494.,   80.,  294.]))
(6, 29024, 28648, 28310, array([ 7824.,   -80.,  -960.]), array([ 606., -116.,  -18.]), array([-492.,   84.,  294.]))
(6, 30448, 29656, 28310, array([ 7888.,    16.,  -928.]), array([ 763.,  -56.,   -5.]), array([-492.,   84.,  294.]))
(6, 31397, 30664, 30857, array([ 7856.,  -112.,  -960.]), array([ 839.,  -78.,   14.]), array([-490.,   86.,  293.]))
(6, 32346, 32681, 30857, array([ 7808.,   -96.,  -992.]), array([ 1033.,  -114.,    10.]), array([-490.,   86.,  293.]))
(6, 33770, 33689, 33403, array([ 7808.,   -80.,  -992.]), array([ 1045.,  -101.,     7.]), array([-492.,   83.,  295.]))
(6, 34720, 34697, 33403, array([ 7840.,   -64., -1056.]), array([ 1064.,   -82.,    -3.]), array([-492.,   83.,  295.]))
(6, 35669, 35705, 35949, array([ 7952.,   -64., -1088.]), array([ 1011.,   -50.,   -11.]), array([-492.,   87.,  293.]))
(6, 37093, 36713, 35949, array([ 7888.,  -176., -1120.]), array([ 1001.,   -24.,    40.]), array([-492.,   87.,  293.]))
(6, 38042, 37721, 35949, array([ 7904.,   -96., -1216.]), array([ 885.,  -25.,   -8.]), array([-492.,   87.,  293.]))
(6, 39466, 38729, 38496, array([ 7968.,   -96., -1328.]), array([ 782.,  -38.,    1.]), array([-496.,   88.,  295.]))
(6, 40415, 39738, 38496, array([ 7936.,   -16., -1360.]), array([ 665.,  -34.,   36.]), array([-496.,   88.,  295.]))
(6, 41364, 40746, 41044, array([ 7888.,    96., -1376.]), array([ 573.,  -42.,   46.]), array([-493.,   87.,  296.]))
(6, 42788, 42762, 41044, array([ 8000.,    96., -1392.]), array([ 453.,   10.,   67.]), array([-493.,   87.,  296.]))
(6, 43737, 43770, 43589, array([ 7952.,    64., -1424.]), array([ 353.,   21.,   78.]), array([-492.,   87.,  302.]))
(6, 44687, 44778, 43589, array([ 8016.,   112., -1440.]), array([ 271.,  -65.,   83.]), array([-492.,   87.,  302.]))
(6, 46111, 45786, 46136, array([ 8064.,    96., -1536.]), array([ 192., -105.,  125.]), array([-491.,   87.,  296.]))
(6, 47060, 46795, 46136, array([ 8032.,   112., -1680.]), array([ 159.,  -85.,  144.]), array([-491.,   87.,  296.]))
(6, 48009, 47803, 46136, array([ 8032.,   128., -1616.]), array([  81.,  -50.,  124.]), array([-491.,   87.,  296.]))
(6, 49432, 48811, 48682, array([ 7984.,   176., -1712.]), array([ 48., -32.,  93.]), array([-491.,   88.,  296.]))
(6, 50382, 49819, 48682, array([ 8016.,   112., -1664.]), array([   2.,  -71.,  115.]), array([-491.,   88.,  296.]))
(6, 51806, 51835, 51228, array([ 8016.,   176., -1696.]), array([ -87., -117.,  158.]), array([-492.,   92.,  295.]))
(6, 52755, 52843, 51228, array([ 7952.,   176., -1856.]), array([-136., -158.,  107.]), array([-492.,   92.,  295.]))
(6, 53704, 53851, 53776, array([ 7872.,   224., -1952.]), array([-142., -150.,   91.]), array([-496.,   91.,  293.]))
(6, 55128, 54860, 53776, array([ 7808.,   112., -2128.]), array([-144., -111.,  102.]), array([-496.,   91.,  293.]))
(6, 56078, 55868, 56324, array([ 7808.,    80., -2288.]), array([-181., -123.,   99.]), array([-493.,   87.,  299.]))
(6, 57027, 56876, 56324, array([ 7776.,   -48., -2432.]), array([-200., -157.,  111.]), array([-493.,   87.,  299.]))
(6, 58451, 57884, 56324, array([ 7840.,  -176., -2592.]), array([-309., -188.,  118.]), array([-493.,   87.,  299.]))
(6, 59401, 58892, 58871, array([ 7840.,  -176., -2736.]), array([-414., -253.,  113.]), array([-490.,   86.,  297.]))
(6, 60825, 59900, 58871, array([ 7776.,   -64., -2928.]), array([-523., -310.,  150.]), array([-490.,   86.,  297.]))
(6, 61774, 61917, 61417, array([ 7792.,   -80., -3008.]), array([-775., -354.,  225.]), array([-488.,   85.,  298.]))
(6, 62723, 62925, 61417, array([ 7760.,  -128., -3120.]), array([-825., -396.,  274.]), array([-488.,   85.,  298.]))
(6, 64147, 63933, 63964, array([ 7664.,   -48., -3376.]), array([-830., -452.,  338.]), array([-491.,   86.,  299.]))
(6, 65096, 64941, 63964, array([ 7600.,   -48., -3456.]), array([-791., -541.,  383.]), array([-491.,   86.,  299.]))
(6, 510, 413, 63964, array([ 7632.,   -80., -3552.]), array([-777., -615.,  442.]), array([-491.,   86.,  299.]))
(6, 1933, 1421, 974, array([ 7776.,  -112., -3584.]), array([-743., -690.,  494.]), array([-490.,   85.,  298.]))
(6, 2883, 2429, 974, array([ 7792.,  -192., -3568.]), array([-847., -747.,  546.]), array([-490.,   85.,  298.]))
(6, 4306, 3437, 3521, array([ 7776.,  -112., -3568.]), array([-912., -801.,  556.]), array([-489.,   85.,  301.]))
(6, 5255, 4446, 3521, array([ 7760.,   -16., -3648.]), array([-980., -885.,  568.]), array([-489.,   85.,  301.]))
(6, 6204, 6462, 6069, array([ 7824.,    16., -3888.]), array([-1029., -1117.,   599.]), array([-485.,   80.,  303.]))
(6, 7628, 7470, 6069, array([ 8048.,   -80., -4112.]), array([-1004., -1186.,   594.]), array([-485.,   80.,  303.]))
(6, 8578, 8478, 8616, array([ 8352.,  -192., -4288.]), array([ -916., -1261.,   577.]), array([-485.,   83.,  305.]))
(6, 9528, 9486, 8616, array([ 8208.,  -400., -4336.]), array([ -800., -1375.,   570.]), array([-485.,   83.,  305.]))
(6, 10952, 10494, 8616, array([ 8240.,  -416., -4592.]), array([ -785., -1468.,   562.]), array([-485.,   83.,  305.]))
(6, 11902, 11503, 11161, array([ 8128.,  -224., -4784.]), array([ -692., -1598.,   590.]), array([-485.,   84.,  305.]))
(6, 12851, 12511, 11161, array([ 8080.,   -32., -4944.]), array([ -565., -1777.,   564.]), array([-485.,   84.,  305.]))
(6, 14275, 13519, 13708, array([ 8144.,   112., -5024.]), array([ -309., -1934.,   563.]), array([-483.,   86.,  310.]))
(6, 15224, 15535, 13708, array([ 8208.,    80., -4960.]), array([  276., -2201.,   572.]), array([-483.,   86.,  310.]))
(6, 16648, 16543, 16255, array([ 8208.,   -64., -4832.]), array([  609., -2358.,   579.]), array([-477.,   85.,  314.]))
(6, 17597, 17551, 16255, array([ 8192.,  -144., -4768.]), array([  912., -2471.,   616.]), array([-477.,   85.,  314.]))
(6, 18547, 18559, 18802, array([ 8192.,  -176., -4720.]), array([ 1172., -2603.,   663.]), array([-481.,   86.,  317.]))
(6, 19970, 19568, 18802, array([ 8288.,  -416., -4656.]), array([ 1418., -2726.,   683.]), array([-481.,   86.,  317.]))
