name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckLeft1,20130708154832.900,0.674805,0.442383,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154832.926,0.674805,0.441895,0.582764,0.000000,0.000000
RESpeckLeft1,20130708154832.986,0.674561,0.442139,0.581787,0.000000,0.000000
RESpeckLeft1,20130708154833.076,0.675049,0.441650,0.582031,0.000000,0.000000
RESpeckLeft1,20130708154833.226,0.676514,0.442139,0.583008,0.000000,0.000000
RESpeckLeft1,20130708154833.316,0.676270,0.441162,0.582764,0.000000,0.000000
RESpeckLeft1,20130708154833.376,0.675293,0.440674,0.583740,0.000000,0.000000
RESpeckLeft1,20130708154833.466,0.677002,0.442139,0.580322,0.000000,0.000000
RESpeckLeft1,20130708154833.556,0.675781,0.443115,0.583740,0.000000,0.000000
RESpeckLeft1,20130708154833.616,0.675537,0.441162,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154833.706,0.676025,0.441406,0.583252,0.000000,0.000000
RESpeckLeft1,20130708154833.766,0.676270,0.441406,0.580811,0.000000,0.000000
RESpeckLeft1,20130708154833.856,0.674316,0.440674,0.581543,0.000000,0.000000
RESpeckLeft1,20130708154833.946,0.673828,0.440674,0.580811,0.000000,0.000000
RESpeckLeft1,20130708154834.006,0.675537,0.440918,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154834.096,0.674072,0.442139,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154834.186,0.674805,0.441162,0.580566,0.000000,0.000000
RESpeckLeft1,20130708154834.246,0.674316,0.441406,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154834.336,0.676025,0.442139,0.582520,0.000000,0.000000
RESpeckLeft1,20130708154834.396,0.675049,0.442383,0.581787,0.000000,0.000000
RESpeckLeft1,20130708154834.486,0.672852,0.440430,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154834.576,0.675049,0.443115,0.582275,0.000000,0.000000
RESpeckLeft1,20130708154834.636,0.676270,0.443604,0.582031,0.000000,0.000000
RESpeckLeft1,20130708154834.726,0.675781,0.441162,0.580811,0.000000,0.000000
RESpeckLeft1,20130708154834.816,0.673340,0.440430,0.582520,0.000000,0.000000
RESpeckLeft1,20130708154834.876,0.674316,0.443848,0.583984,0.000000,0.000000
RESpeckLeft1,20130708154834.966,0.675537,0.443115,0.580322,0.000000,0.000000
RESpeckLeft1,20130708154835.026,0.674072,0.441895,0.581787,0.000000,0.000000
RESpeckLeft1,20130708154835.122,0.675293,0.442871,0.581055,0.000000,0.000000
RESpeckLeft1,20130708154835.206,0.676025,0.443359,0.581055,0.000000,0.000000
RESpeckLeft1,20130708154835.275,0.675537,0.442627,0.582764,0.000000,0.000000
RESpeckLeft1,20130708154835.356,0.675293,0.443115,0.581787,0.000000,0.000000
RESpeckLeft1,20130708154835.506,0.677979,0.441162,0.582275,0.000000,0.013811
RESpeckLeft1,20130708154835.596,0.676514,0.443359,0.582031,0.000000,0.053041
RESpeckLeft1,20130708154835.656,0.673828,0.438477,0.582031,0.000000,0.053041
RESpeckLeft1,20130708154835.746,0.673828,0.440186,0.582520,0.000000,0.053041
RESpeckLeft1,20130708154835.836,0.674805,0.440918,0.581787,0.000000,0.053041
RESpeckLeft1,20130708154835.896,0.676025,0.441162,0.581543,0.000000,0.053041
RESpeckLeft1,20130708154835.986,0.677734,0.441406,0.583008,0.000000,0.053041
RESpeckLeft1,20130708154836.136,0.675049,0.442139,0.583252,0.000000,0.053041
RESpeckLeft1,20130708154836.226,0.676025,0.439941,0.583008,0.000000,0.053041
RESpeckRight1,20130708154836.281,-0.705811,0.420654,0.574707,nan,1.381995
RESpeckLeft1,20130708154836.287,0.676514,0.442383,0.581543,nan,1.382512
RESpeckRight1,20130708154836.370,-0.703125,0.420166,0.574219,nan,1.382512
RESpeckLeft1,20130708154836.376,0.678711,0.441650,0.581543,nan,1.382512
RESpeckRight1,20130708154836.430,-0.704834,0.419922,0.574707,nan,1.383732
RESpeckLeft1,20130708154836.466,0.671387,0.441895,0.580322,nan,1.383732
RESpeckRight1,20130708154836.520,-0.705566,0.418457,0.574463,nan,1.383732
RESpeckLeft1,20130708154836.526,0.676758,0.442871,0.582275,nan,1.383732
RESpeckRight1,20130708154836.610,-0.705322,0.418457,0.575195,nan,1.383732
RESpeckLeft1,20130708154836.616,0.676025,0.439697,0.581787,nan,1.383732
RESpeckRight1,20130708154836.670,-0.704102,0.417725,0.575195,nan,1.383732
RESpeckLeft1,20130708154836.676,0.676758,0.441406,0.582031,nan,1.383732
RESpeckRight1,20130708154836.760,-0.703613,0.417480,0.571777,nan,1.383732
RESpeckLeft1,20130708154836.766,0.675537,0.442139,0.581055,nan,1.383732
RESpeckRight1,20130708154836.820,-0.704590,0.420410,0.574951,nan,1.383732
RESpeckLeft1,20130708154836.856,0.676270,0.440674,0.581055,nan,1.383732
RESpeckRight1,20130708154836.910,-0.705078,0.418945,0.573242,nan,1.383732
RESpeckLeft1,20130708154836.916,0.675293,0.440430,0.583252,nan,1.383732
RESpeckRight1,20130708154837.000,-0.704590,0.417969,0.572754,nan,1.383732
RESpeckLeft1,20130708154837.006,0.676514,0.440430,0.581055,nan,1.383732
RESpeckRight1,20130708154837.060,-0.704102,0.418213,0.574219,nan,1.383732
RESpeckLeft1,20130708154837.096,0.676514,0.441406,0.581055,nan,1.383732
RESpeckRight1,20130708154837.150,-0.705811,0.420166,0.575195,nan,1.383732
RESpeckLeft1,20130708154837.155,0.673828,0.442871,0.580566,nan,1.383732
RESpeckRight1,20130708154837.211,-0.704102,0.419434,0.574463,nan,27.562849
