name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckLeft1,20130708153938.794,0.691406,0.437744,0.568359,0.000000,0.000000
RESpeckLeft1,20130708153938.796,0.690186,0.437012,0.565674,0.000000,0.000000
RESpeckLeft1,20130708153938.880,0.690674,0.437988,0.567383,0.000000,0.000000
RESpeckLeft1,20130708153939.032,0.691650,0.437500,0.567627,0.000000,0.000000
RESpeckLeft1,20130708153939.119,0.690918,0.439453,0.565430,0.000000,0.000000
RESpeckLeft1,20130708153939.179,0.692139,0.438721,0.568604,0.000000,0.000000
RESpeckLeft1,20130708153939.269,0.689209,0.434814,0.566650,0.000000,0.000000
RESpeckLeft1,20130708153939.359,0.688477,0.436523,0.567627,0.000000,0.000000
RESpeckLeft1,20130708153939.419,0.690918,0.438477,0.566406,0.000000,0.000000
RESpeckLeft1,20130708153939.510,0.691650,0.438232,0.565918,0.000000,0.000000
RESpeckLeft1,20130708153939.569,0.691162,0.435791,0.567139,0.000000,0.000000
RESpeckLeft1,20130708153939.660,0.690674,0.437012,0.566162,0.000000,0.000000
RESpeckLeft1,20130708153939.750,0.690674,0.437988,0.565918,0.000000,0.000000
RESpeckLeft1,20130708153939.809,0.690918,0.436279,0.567383,0.000000,0.000000
RESpeckLeft1,20130708153939.899,0.689941,0.437500,0.569092,0.000000,0.000000
RESpeckLeft1,20130708153939.989,0.689941,0.437988,0.566406,0.000000,0.000000
RESpeckLeft1,20130708153940.049,0.698730,0.437744,0.572021,0.000000,0.000000
RESpeckLeft1,20130708153940.139,0.695312,0.437988,0.570801,0.000000,0.000000
RESpeckLeft1,20130708153940.199,0.689941,0.436523,0.564697,0.000000,0.000000
RESpeckLeft1,20130708153940.290,0.691162,0.437256,0.566162,0.000000,0.000000
RESpeckLeft1,20130708153940.379,0.690430,0.437744,0.569336,0.000000,0.000000
RESpeckLeft1,20130708153940.439,0.692139,0.438477,0.568115,0.000000,0.000000
RESpeckLeft1,20130708153940.529,0.690430,0.434326,0.567139,0.000000,0.000000
RESpeckLeft1,20130708153940.619,0.690918,0.437012,0.565674,0.000000,0.000000
RESpeckLeft1,20130708153940.679,0.690674,0.436768,0.566650,0.000000,0.000000
RESpeckLeft1,20130708153940.769,0.691650,0.437744,0.567871,0.000000,0.000000
