name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight2,20130708154329.827,-0.136230,0.957031,-0.312012,0.000000,0.000000
RESpeckRight2,20130708154329.829,-0.142822,0.951172,-0.313232,0.000000,0.000000
RESpeckRight2,20130708154329.882,-0.140381,0.951904,-0.311768,0.000000,0.000000
RESpeckRight2,20130708154329.942,-0.138184,0.957031,-0.311035,0.000000,0.000000
RESpeckRight2,20130708154330.032,-0.140381,0.952148,-0.313232,0.000000,0.000000
RESpeckRight2,20130708154330.182,-0.137939,0.953613,-0.317139,0.000000,0.000000
RESpeckRight2,20130708154330.272,-0.139893,0.951416,-0.317871,0.000000,0.000000
RESpeckRight2,20130708154330.332,-0.139404,0.951904,-0.318848,0.000000,0.000000
RESpeckRight2,20130708154330.422,-0.138672,0.951660,-0.316406,0.000000,0.000000
RESpeckRight2,20130708154330.482,-0.140381,0.951416,-0.317383,0.000000,0.000000
RESpeckRight2,20130708154330.572,-0.139160,0.953125,-0.314697,0.000000,0.000000
RESpeckRight2,20130708154330.633,-0.139404,0.955078,-0.315430,0.000000,0.000000
RESpeckRight2,20130708154330.725,-0.139893,0.954834,-0.312744,0.000000,0.000000
RESpeckRight2,20130708154330.782,-0.141602,0.952881,-0.312256,0.000000,0.000000
RESpeckRight2,20130708154330.872,-0.139404,0.953613,-0.312744,0.000000,0.000000
RESpeckRight2,20130708154330.932,-0.137451,0.953857,-0.312012,0.000000,0.000000
RESpeckRight2,20130708154331.022,-0.139893,0.954346,-0.317627,0.000000,0.000000
RESpeckRight2,20130708154331.082,-0.137939,0.957275,-0.318848,0.000000,0.000000
RESpeckRight2,20130708154331.172,-0.138428,0.955078,-0.318359,0.000000,0.000000
RESpeckRight2,20130708154331.232,-0.140869,0.953125,-0.318359,0.000000,0.000000
RESpeckRight2,20130708154331.322,-0.140869,0.950684,-0.318359,0.000000,0.000000
RESpeckRight2,20130708154331.472,-0.136963,0.954102,-0.315186,0.000000,0.000000
RESpeckRight2,20130708154331.562,-0.138916,0.956299,-0.316162,0.000000,0.000000
RESpeckRight2,20130708154331.622,-0.142090,0.952637,-0.315430,0.000000,0.000000
RESpeckRight2,20130708154331.712,-0.142334,0.950439,-0.314697,0.000000,0.000000
RESpeckRight2,20130708154331.772,-0.140137,0.955322,-0.314453,0.000000,0.000000
RESpeckRight2,20130708154331.862,-0.138428,0.953857,-0.315674,0.000000,0.000000
RESpeckRight2,20130708154331.922,-0.140869,0.951416,-0.316406,0.000000,0.000000
RESpeckRight2,20130708154332.012,-0.138184,0.954834,-0.318848,0.000000,0.000000
RESpeckRight2,20130708154332.072,-0.138672,0.954346,-0.318604,0.000000,0.000000
RESpeckRight2,20130708154332.162,-0.139648,0.953369,-0.319824,0.000000,0.000000
RESpeckRight2,20130708154332.222,-0.141357,0.952881,-0.317871,0.000000,0.000000
RESpeckRight2,20130708154332.312,-0.138916,0.950684,-0.317627,0.000000,0.178072
RESpeckRight2,20130708154332.372,-0.138672,0.952881,-0.315186,0.000000,0.065873
RESpeckTest2,20130708154332.456,0.927246,0.145508,-0.258301,nan,1.338383
RESpeckRight2,20130708154332.463,-0.138672,0.954102,-0.315674,nan,1.339140
RESpeckTest2,20130708154332.516,0.927734,0.146729,-0.257812,nan,1.339140
RESpeckRight2,20130708154332.522,-0.140869,0.953857,-0.313965,nan,1.340345
RESpeckTest2,20130708154332.576,0.927734,0.145996,-0.260010,nan,1.340696
RESpeckRight2,20130708154332.612,-0.140869,0.952881,-0.312012,nan,1.340696
RESpeckTest2,20130708154332.666,0.928223,0.147949,-0.258301,nan,1.340696
RESpeckRight2,20130708154332.673,-0.140625,0.951660,-0.315674,nan,1.340696
RESpeckTest2,20130708154332.756,0.926025,0.143311,-0.255615,nan,1.340696
RESpeckRight2,20130708154332.762,-0.138184,0.955811,-0.317139,nan,1.340696
RESpeckTest2,20130708154332.816,0.927002,0.145508,-0.257080,nan,1.340696
RESpeckTest2,20130708154332.906,0.927979,0.147217,-0.257568,nan,1.340696
RESpeckRight2,20130708154332.912,-0.140869,0.949951,-0.316162,nan,1.340696
RESpeckRight2,20130708154333.002,-0.139404,0.952881,-0.317627,nan,1.340696
RESpeckTest2,20130708154333.056,0.928223,0.146729,-0.256836,nan,1.340696
RESpeckRight2,20130708154333.062,-0.137939,0.952881,-0.318848,nan,1.340696
RESpeckTest2,20130708154333.146,0.926514,0.146240,-0.256348,nan,1.340696
