name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight1,20130708155603.843,-0.702148,-0.579102,0.384033,0.000000,0.000000
RESpeckRight1,20130708155603.846,-0.710205,-0.587891,0.369873,0.000000,0.000000
RESpeckRight1,20130708155603.870,-0.708984,-0.592285,0.355469,0.000000,0.000000
RESpeckRight1,20130708155603.960,-0.723877,-0.585205,0.369629,0.000000,0.000000
RESpeckRight1,20130708155604.110,-0.680908,-0.608643,0.353516,0.000000,0.000000
RESpeckRight1,20130708155604.200,-0.680176,-0.569092,0.379395,0.000000,0.000000
RESpeckRight1,20130708155604.260,-0.751709,-0.573975,0.360107,0.000000,0.000000
RESpeckRight1,20130708155604.350,-0.734863,-0.578369,0.367920,0.000000,0.000000
RESpeckRight1,20130708155604.410,-0.692871,-0.594238,0.360352,0.000000,0.000000
RESpeckRight1,20130708155604.500,-0.695312,-0.596191,0.366211,0.000000,0.000000
RESpeckRight1,20130708155604.590,-0.710693,-0.582031,0.369385,0.000000,0.000000
RESpeckRight1,20130708155604.650,-0.712402,-0.587891,0.366211,0.000000,0.000000
RESpeckRight1,20130708155604.740,-0.712891,-0.586670,0.370850,0.000000,0.000000
RESpeckRight1,20130708155604.800,-0.706787,-0.586914,0.375488,0.000000,0.000000
RESpeckRight1,20130708155604.890,-0.695801,-0.592529,0.370117,0.000000,0.000000
RESpeckRight1,20130708155604.980,-0.710693,-0.589111,0.369629,0.000000,0.000000
RESpeckRight1,20130708155605.040,-0.708496,-0.590088,0.368408,0.000000,0.000000
RESpeckRight1,20130708155605.130,-0.709717,-0.579834,0.374512,0.000000,0.000000
RESpeckRight1,20130708155605.190,-0.697510,-0.601807,0.360107,0.000000,0.000000
RESpeckRight1,20130708155605.280,-0.697998,-0.584717,0.380615,0.000000,0.000000
RESpeckRight1,20130708155605.430,-0.729736,-0.582520,0.375000,0.000000,0.000000
RESpeckRight1,20130708155605.520,-0.717041,-0.589111,0.364258,0.000000,0.000000
RESpeckRight1,20130708155605.580,-0.706055,-0.576416,0.364990,0.000000,0.000000
RESpeckRight1,20130708155605.670,-0.690674,-0.587158,0.387695,0.000000,0.000000
RESpeckRight1,20130708155605.731,-0.709473,-0.582520,0.389160,0.000000,0.000000
RESpeckRight1,20130708155605.820,-0.718262,-0.576416,0.372070,0.000000,0.000000
RESpeckRight1,20130708155605.910,-0.700195,-0.580322,0.382568,0.000000,0.000000
RESpeckRight1,20130708155605.970,-0.697021,-0.596680,0.379639,0.000000,0.000000
RESpeckRight1,20130708155606.060,-0.694824,-0.593506,0.380371,0.000000,0.000000
RESpeckRight1,20130708155606.120,-0.707520,-0.588135,0.387695,0.000000,0.000000
RESpeckRight1,20130708155606.210,-0.703125,-0.561523,0.384766,0.000000,0.000000
RESpeckRight1,20130708155606.300,-0.708984,-0.602051,0.369141,0.000000,0.000000
RESpeckRight1,20130708155606.361,-0.717773,-0.566406,0.392578,nan,0.370225
RESpeckRight1,20130708155606.450,-0.721924,-0.577393,0.374756,nan,0.426876
RESpeckRight1,20130708155606.510,-0.670898,-0.605225,0.385254,nan,0.426876
RESpeckRight1,20130708155606.600,-0.673340,-0.586914,0.391357,nan,0.426876
RESpeckRight1,20130708155606.690,-0.698242,-0.584717,0.389648,nan,0.426876
