name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight1,20130708151903.415,-0.249756,-0.582275,0.801514,0.000000,0.000000
RESpeckRight1,20130708151903.419,-0.178711,-0.592529,0.749512,0.000000,0.000000
RESpeckRight1,20130708151903.468,-0.254150,-0.588867,0.776123,0.000000,0.000000
RESpeckRight1,20130708151903.528,-0.251953,-0.578125,0.784424,0.000000,0.000000
RESpeckRight1,20130708151903.618,-0.223633,-0.590576,0.790771,0.000000,0.000000
RESpeckRight1,20130708151903.707,-0.199707,-0.593506,0.775635,0.000000,0.000000
RESpeckRight1,20130708151903.768,-0.154297,-0.593262,0.791260,0.000000,0.000000
RESpeckRight1,20130708151903.858,-0.190430,-0.593262,0.777588,0.000000,0.000000
RESpeckRight1,20130708151903.918,-0.178711,-0.592285,0.775391,0.000000,0.000000
RESpeckRight1,20130708151904.008,-0.170898,-0.595215,0.787598,0.000000,0.000000
RESpeckRight1,20130708151904.098,-0.184814,-0.596436,0.780273,0.000000,0.000000
RESpeckRight1,20130708151904.158,-0.179199,-0.593262,0.780518,0.000000,0.000000
RESpeckRight1,20130708151904.247,-0.181885,-0.594238,0.785645,0.000000,0.000000
RESpeckRight1,20130708151904.308,-0.188232,-0.592773,0.788574,0.000000,0.000000
RESpeckRight1,20130708151904.398,-0.182129,-0.595459,0.780029,0.000000,0.000000
RESpeckRight1,20130708151904.548,-0.186523,-0.592773,0.787354,0.000000,0.000000
RESpeckRight1,20130708151904.638,-0.179932,-0.595947,0.785156,0.000000,0.000000
RESpeckRight1,20130708151904.697,-0.193115,-0.593262,0.779541,0.000000,0.000000
RESpeckRight1,20130708151904.788,-0.183350,-0.594727,0.777832,0.000000,0.000000
RESpeckRight1,20130708151904.847,-0.184570,-0.595703,0.781494,0.000000,0.000000
RESpeckRight1,20130708151904.938,-0.189941,-0.590576,0.786621,0.000000,0.000000
RESpeckRight1,20130708151905.028,-0.189697,-0.593750,0.780029,0.000000,0.000000
RESpeckRight1,20130708151905.089,-0.181396,-0.594482,0.777588,0.000000,0.000000
RESpeckRight1,20130708151905.178,-0.193359,-0.596436,0.784424,0.000000,0.000000
RESpeckRight1,20130708151905.238,-0.184326,-0.592285,0.782227,0.000000,0.000000
RESpeckRight1,20130708151905.328,-0.189941,-0.593506,0.775879,0.000000,0.000000
RESpeckRight1,20130708151905.418,-0.184326,-0.593994,0.784424,0.000000,0.000000
RESpeckRight1,20130708151905.478,-0.179932,-0.592041,0.781738,0.000000,0.000000
RESpeckRight1,20130708151905.568,-0.180176,-0.591797,0.790527,0.000000,0.000000
RESpeckRight1,20130708151905.628,-0.180908,-0.591064,0.780029,0.000000,0.000000
RESpeckRight1,20130708151905.718,-0.165283,-0.592773,0.792480,0.000000,0.000000
RESpeckRight1,20130708151905.808,-0.176758,-0.593994,0.776123,0.000000,0.000000
RESpeckRight1,20130708151905.869,-0.174072,-0.596191,0.788818,nan,1.772764
RESpeckRight1,20130708151905.958,-0.169922,-0.595459,0.784912,nan,0.114928
RESpeckRight1,20130708151906.018,-0.174561,-0.594482,0.782715,nan,0.114928
RESpeckRight1,20130708151906.108,-0.168457,-0.594482,0.786377,nan,0.114928
RESpeckRight1,20130708151906.182,-0.173828,-0.593994,0.784912,nan,0.114928
RESpeckLeft1,20130708151906.195,0.748779,-0.573486,-0.180664,nan,1.335651
RESpeckLeft1,20130708151906.252,0.777100,-0.581787,-0.176270,nan,1.335651
RESpeckRight1,20130708151906.258,-0.168945,-0.594238,0.784668,nan,1.348539
RESpeckLeft1,20130708151906.341,0.796875,-0.610352,-0.150146,nan,1.348539
RESpeckRight1,20130708151906.348,-0.170410,-0.596924,0.786377,nan,1.348539
RESpeckRight1,20130708151906.408,-0.167725,-0.595459,0.779297,nan,1.348539
