name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight1,20130708153533.415,-0.825928,0.418945,0.367188,0.000000,0.000000
RESpeckRight1,20130708153533.418,-0.825195,0.421875,0.364746,0.000000,0.000000
RESpeckRight1,20130708153533.501,-0.827637,0.422852,0.367432,0.000000,0.000000
RESpeckRight1,20130708153533.591,-0.827393,0.418945,0.368408,0.000000,0.000000
RESpeckRight1,20130708153533.651,-0.827637,0.421143,0.364258,0.000000,0.000000
RESpeckRight1,20130708153533.741,-0.827148,0.421631,0.367920,0.000000,0.000000
RESpeckRight1,20130708153533.801,-0.826660,0.419434,0.367432,0.000000,0.000000
RESpeckRight1,20130708153533.891,-0.826416,0.421631,0.367188,0.000000,0.000000
RESpeckRight1,20130708153533.981,-0.826904,0.422363,0.365479,0.000000,0.000000
RESpeckRight1,20130708153534.041,-0.826416,0.420898,0.366455,0.000000,0.000000
RESpeckRight1,20130708153534.134,-0.827148,0.420166,0.367920,0.000000,0.000000
RESpeckRight1,20130708153534.191,-0.826904,0.421875,0.366699,0.000000,0.000000
RESpeckRight1,20130708153534.281,-0.827148,0.421875,0.367676,0.000000,0.000000
RESpeckRight1,20130708153534.371,-0.827148,0.421143,0.366455,0.000000,0.000000
RESpeckRight1,20130708153534.431,-0.826904,0.423340,0.365723,0.000000,0.000000
RESpeckRight1,20130708153534.521,-0.827148,0.421631,0.365967,0.000000,0.000000
RESpeckRight1,20130708153534.581,-0.826904,0.418945,0.365234,0.000000,0.000000
RESpeckRight1,20130708153534.671,-0.826416,0.420166,0.366699,0.000000,0.000000
RESpeckRight1,20130708153534.731,-0.826172,0.420654,0.365479,0.000000,0.000000
RESpeckRight1,20130708153534.821,-0.825928,0.421387,0.366943,0.000000,0.000000
RESpeckRight1,20130708153534.911,-0.826416,0.419922,0.366455,0.000000,0.000000
RESpeckRight1,20130708153534.971,-0.827393,0.422852,0.366211,0.000000,0.000000
RESpeckRight1,20130708153535.061,-0.826416,0.420654,0.365723,0.000000,0.000000
RESpeckRight1,20130708153535.121,-0.826660,0.420166,0.367432,0.000000,0.000000
RESpeckRight1,20130708153535.211,-0.827637,0.420166,0.365967,0.000000,0.000000
RESpeckRight1,20130708153535.302,-0.828125,0.419678,0.365479,0.000000,0.000000
RESpeckRight1,20130708153535.361,-0.827393,0.420166,0.365967,0.000000,0.000000
RESpeckRight1,20130708153535.461,-0.826416,0.420410,0.366455,0.000000,0.000000
RESpeckRight1,20130708153535.511,-0.827148,0.420166,0.366455,0.000000,0.000000
RESpeckRight1,20130708153535.601,-0.826416,0.421387,0.365723,0.000000,0.000000
RESpeckRight1,20130708153535.692,-0.826172,0.418701,0.368896,0.000000,0.000000
RESpeckRight1,20130708153535.751,-0.825684,0.423340,0.366455,0.000000,0.000000
RESpeckRight1,20130708153535.842,-0.827148,0.421387,0.368652,0.000000,0.077666
RESpeckRight1,20130708153535.901,-0.826904,0.420166,0.365723,0.000000,0.063664
RESpeckRight1,20130708153535.991,-0.826416,0.420654,0.366455,0.000000,0.063664
RESpeckRight1,20130708153536.141,-0.826904,0.421875,0.365723,0.000000,0.063664
RESpeckRight1,20130708153536.231,-0.826660,0.422363,0.366943,0.000000,0.063664
RESpeckRight1,20130708153536.291,-0.827393,0.419678,0.367188,0.000000,0.063664
