name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight1,20130708160309.225,-0.649170,0.423096,-0.625732,0.000000,0.000000
RESpeckRight1,20130708160309.253,-0.649170,0.424805,-0.625732,0.000000,0.000000
RESpeckRight1,20130708160309.313,-0.648926,0.424316,-0.625732,0.000000,0.000000
RESpeckRight1,20130708160309.403,-0.648926,0.424561,-0.625244,0.000000,0.000000
RESpeckRight1,20130708160309.493,-0.647705,0.423828,-0.625488,0.000000,0.000000
RESpeckRight1,20130708160309.553,-0.648438,0.424072,-0.624756,0.000000,0.000000
RESpeckRight1,20130708160309.643,-0.648926,0.423584,-0.628906,0.000000,0.000000
RESpeckRight1,20130708160309.703,-0.649414,0.424072,-0.626953,0.000000,0.000000
RESpeckRight1,20130708160309.793,-0.649170,0.423096,-0.625732,0.000000,0.000000
RESpeckRight1,20130708160309.943,-0.649414,0.424561,-0.626709,0.000000,0.000000
RESpeckRight1,20130708160310.033,-0.648926,0.423584,-0.626221,0.000000,0.000000
RESpeckRight1,20130708160310.093,-0.649170,0.423340,-0.626709,0.000000,0.000000
RESpeckRight1,20130708160310.183,-0.649658,0.423340,-0.626221,0.000000,0.000000
RESpeckRight1,20130708160310.243,-0.648438,0.423828,-0.626465,0.000000,0.000000
RESpeckRight1,20130708160310.333,-0.649414,0.424316,-0.625732,0.000000,0.000000
RESpeckRight1,20130708160310.423,-0.647705,0.424561,-0.626221,0.000000,0.000000
RESpeckRight1,20130708160310.483,-0.648682,0.424072,-0.625732,0.000000,0.000000
RESpeckRight1,20130708160310.573,-0.648682,0.423584,-0.626709,0.000000,0.000000
RESpeckRight1,20130708160310.633,-0.649414,0.423828,-0.628174,0.000000,0.000000
RESpeckRight1,20130708160310.731,-0.649414,0.423584,-0.626465,0.000000,0.000000
RESpeckRight1,20130708160310.813,-0.649170,0.424072,-0.625488,0.000000,0.000000
RESpeckRight1,20130708160310.873,-0.650146,0.423340,-0.625488,0.000000,0.000000
RESpeckRight1,20130708160310.963,-0.648438,0.422852,-0.626465,0.000000,0.000000
RESpeckRight1,20130708160311.023,-0.649170,0.423828,-0.625977,0.000000,0.000000
RESpeckRight1,20130708160311.115,-0.649170,0.424561,-0.627197,0.000000,0.000000
RESpeckRight1,20130708160311.203,-0.649170,0.422852,-0.627197,0.000000,0.000000
RESpeckRight1,20130708160311.263,-0.649658,0.424316,-0.627197,0.000000,0.000000
RESpeckRight1,20130708160311.353,-0.648682,0.423584,-0.625488,0.000000,0.000000
RESpeckRight1,20130708160311.413,-0.649414,0.425049,-0.624268,0.000000,0.000000
RESpeckRight1,20130708160311.503,-0.649658,0.422852,-0.624756,0.000000,0.000000
RESpeckRight1,20130708160311.653,-0.648438,0.422119,-0.626465,0.000000,0.000000
RESpeckLeft1,20130708160311.736,0.538330,0.452393,-0.686768,0.000000,0.000000
RESpeckRight1,20130708160311.743,-0.649414,0.423096,-0.627441,nan,1.189428
RESpeckRight1,20130708160311.803,-0.650879,0.424072,-0.628418,nan,1.189428
RESpeckLeft1,20130708160311.827,0.538086,0.452637,-0.689697,nan,1.190886
RESpeckLeft1,20130708160311.887,0.538818,0.452637,-0.687744,nan,1.190886
RESpeckRight1,20130708160311.893,-0.649170,0.423828,-0.625977,nan,1.190886
RESpeckRight1,20130708160311.953,-0.648926,0.422852,-0.626465,nan,1.190886
RESpeckLeft1,20130708160311.977,0.539062,0.452637,-0.690430,nan,1.190886
RESpeckRight1,20130708160312.043,-0.649170,0.423096,-0.626709,nan,1.190886
RESpeckLeft1,20130708160312.067,0.539795,0.450195,-0.688965,nan,1.190902
RESpeckLeft1,20130708160312.127,0.538330,0.452393,-0.688232,nan,1.190902
RESpeckRight1,20130708160312.133,-0.649170,0.423828,-0.624756,nan,1.190902
RESpeckRight1,20130708160312.193,-0.649170,0.423096,-0.624756,nan,1.190902
RESpeckLeft1,20130708160312.219,0.538574,0.450928,-0.688721,nan,1.190902
RESpeckLeft1,20130708160312.277,0.538330,0.451660,-0.688965,nan,1.190902
RESpeckRight1,20130708160312.282,-0.649170,0.422607,-0.627441,nan,1.190902
RESpeckRight1,20130708160312.343,-0.648682,0.422363,-0.627930,nan,1.190902
RESpeckLeft1,20130708160312.367,0.538818,0.451660,-0.689209,nan,1.190902
RESpeckRight1,20130708160312.433,-0.649170,0.423096,-0.626221,nan,1.190902
RESpeckLeft1,20130708160312.457,0.538086,0.451416,-0.690430,nan,1.190902
RESpeckLeft1,20130708160312.517,0.538818,0.451416,-0.687256,nan,1.190902
RESpeckRight1,20130708160312.523,-0.649658,0.424316,-0.625732,nan,1.190902
RESpeckRight1,20130708160312.583,-0.648926,0.422852,-0.625488,nan,1.190902
RESpeckLeft1,20130708160312.607,0.538086,0.451416,-0.689453,nan,1.190902
RESpeckRight1,20130708160312.673,-0.650146,0.423340,-0.626465,nan,1.190902
RESpeckLeft1,20130708160312.697,0.540527,0.453613,-0.690430,nan,1.192775
RESpeckRight1,20130708160312.733,-0.649170,0.424561,-0.628662,nan,1.192775
RESpeckLeft1,20130708160312.757,0.539551,0.452393,-0.691162,nan,1.192775
RESpeckRight1,20130708160312.823,-0.650146,0.422119,-0.626221,nan,1.192775
RESpeckLeft1,20130708160312.847,0.539307,0.452393,-0.689209,nan,1.192775
RESpeckLeft1,20130708160312.907,0.539307,0.453369,-0.688965,nan,1.192775
RESpeckRight1,20130708160312.973,-0.649658,0.423828,-0.627686,nan,1.192775
RESpeckLeft1,20130708160312.997,0.539307,0.451904,-0.688477,nan,1.192775
RESpeckRight1,20130708160313.063,-0.650146,0.424072,-0.627197,nan,1.192775
RESpeckLeft1,20130708160313.087,0.539551,0.452637,-0.689941,nan,23.833862
