name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight1,20130708153123.055,-0.568115,-0.644775,-0.505371,0.000000,0.000000
RESpeckRight1,20130708153123.080,-0.567139,-0.644531,-0.503906,0.000000,0.000000
RESpeckRight1,20130708153123.230,-0.571777,-0.646240,-0.503174,0.000000,0.000000
RESpeckRight1,20130708153123.320,-0.564941,-0.643311,-0.502930,0.000000,0.000000
RESpeckRight1,20130708153123.380,-0.565918,-0.644287,-0.511475,0.000000,0.000000
RESpeckRight1,20130708153123.470,-0.573730,-0.643555,-0.500977,0.000000,0.000000
RESpeckRight1,20130708153123.530,-0.563965,-0.651123,-0.501465,0.000000,0.000000
RESpeckRight1,20130708153123.620,-0.562744,-0.643799,-0.507080,0.000000,0.000000
RESpeckRight1,20130708153123.710,-0.570068,-0.641846,-0.511719,0.000000,0.000000
RESpeckRight1,20130708153123.770,-0.569092,-0.641113,-0.505127,0.000000,0.000000
RESpeckRight1,20130708153123.860,-0.565674,-0.643799,-0.503906,0.000000,0.000000
RESpeckRight1,20130708153123.920,-0.564209,-0.644043,-0.512695,0.000000,0.000000
RESpeckRight1,20130708153124.010,-0.569580,-0.644287,-0.507568,0.000000,0.000000
RESpeckRight1,20130708153124.100,-0.565674,-0.644531,-0.506592,0.000000,0.000000
RESpeckRight1,20130708153124.160,-0.564941,-0.644775,-0.507324,0.000000,0.000000
RESpeckRight1,20130708153124.250,-0.567871,-0.641602,-0.505859,0.000000,0.000000
RESpeckRight1,20130708153124.310,-0.569580,-0.649170,-0.506592,0.000000,0.000000
RESpeckRight1,20130708153124.400,-0.564697,-0.642090,-0.500732,0.000000,0.000000
RESpeckRight1,20130708153124.490,-0.570068,-0.646484,-0.506836,0.000000,0.000000
RESpeckRight1,20130708153124.550,-0.569092,-0.641846,-0.504883,0.000000,0.000000
RESpeckRight1,20130708153124.640,-0.568604,-0.645752,-0.501953,0.000000,0.000000
RESpeckRight1,20130708153124.700,-0.563965,-0.645996,-0.500732,0.000000,0.000000
RESpeckRight1,20130708153124.790,-0.570068,-0.644775,-0.505615,0.000000,0.000000
RESpeckRight1,20130708153124.940,-0.570312,-0.641846,-0.504639,0.000000,0.000000
RESpeckRight1,20130708153125.030,-0.571533,-0.646729,-0.504883,0.000000,0.000000
RESpeckRight1,20130708153125.090,-0.572510,-0.644287,-0.499268,0.000000,0.000000
RESpeckRight1,20130708153125.180,-0.566650,-0.643311,-0.509521,0.000000,0.000000
RESpeckRight1,20130708153125.240,-0.564453,-0.641113,-0.502441,0.000000,0.000000
RESpeckRight1,20130708153125.330,-0.576904,-0.644287,-0.507568,0.000000,0.000000
RESpeckRight1,20130708153125.420,-0.571045,-0.634766,-0.500977,0.000000,0.000000
RESpeckRight1,20130708153125.480,-0.573486,-0.640869,-0.506592,0.000000,0.000000
RESpeckRight1,20130708153125.570,-0.571777,-0.638428,-0.500000,0.000000,0.000000
RESpeckRight1,20130708153125.630,-0.575439,-0.640137,-0.504639,0.000000,0.035547
RESpeckRight1,20130708153125.721,-0.578857,-0.641113,-0.510498,0.000000,0.137067
RESpeckRight1,20130708153125.811,-0.576904,-0.637695,-0.500977,0.000000,0.137067
RESpeckRight1,20130708153125.870,-0.572266,-0.633545,-0.502686,0.000000,0.137067
RESpeckLeft1,20130708153125.925,0.498535,-0.626465,-0.568848,nan,1.072866
RESpeckLeft1,20130708153125.954,0.516357,-0.618164,-0.562500,nan,1.072866
RESpeckRight1,20130708153125.960,-0.577148,-0.639160,-0.506592,nan,1.095135
RESpeckRight1,20130708153126.020,-0.584229,-0.634766,-0.503662,nan,1.095135
RESpeckLeft1,20130708153126.044,0.507568,-0.619141,-0.557129,nan,1.095135
RESpeckLeft1,20130708153126.104,0.496582,-0.617920,-0.575928,nan,1.095135
RESpeckRight1,20130708153126.110,-0.573730,-0.631104,-0.507568,nan,1.095135
RESpeckLeft1,20130708153126.194,0.518066,-0.623047,-0.569092,nan,1.095135
RESpeckRight1,20130708153126.261,-0.579834,-0.636475,-0.499023,nan,1.100216
RESpeckLeft1,20130708153126.344,0.507324,-0.618896,-0.583008,nan,1.100216
RESpeckRight1,20130708153126.350,-0.576904,-0.643066,-0.500977,nan,1.100216
RESpeckRight1,20130708153126.410,-0.574219,-0.632812,-0.495117,nan,1.100216
RESpeckLeft1,20130708153126.435,0.521973,-0.614502,-0.556641,nan,1.100216
RESpeckLeft1,20130708153126.494,0.508545,-0.618164,-0.579834,nan,1.100216
RESpeckRight1,20130708153126.500,-0.585938,-0.634766,-0.513184,nan,1.100216
RESpeckRight1,20130708153126.560,-0.583252,-0.634766,-0.501465,nan,1.100216
RESpeckLeft1,20130708153126.585,0.507324,-0.611572,-0.564941,nan,1.100216
RESpeckRight1,20130708153126.650,-0.579346,-0.635742,-0.499268,nan,1.100216
RESpeckLeft1,20130708153126.674,0.498779,-0.614990,-0.573242,nan,1.100216
RESpeckLeft1,20130708153126.734,0.510498,-0.619141,-0.564209,nan,1.100216
RESpeckRight1,20130708153126.740,-0.579102,-0.635986,-0.504150,nan,1.100216
RESpeckRight1,20130708153126.800,-0.579834,-0.636230,-0.496826,nan,1.100216
RESpeckLeft1,20130708153126.824,0.509521,-0.617432,-0.569336,nan,1.100216
RESpeckRight1,20130708153126.890,-0.580811,-0.643066,-0.503662,nan,1.100216
RESpeckRight1,20130708153126.950,-0.579834,-0.641113,-0.494385,nan,1.100216
RESpeckLeft1,20130708153126.974,0.505615,-0.613525,-0.576416,nan,1.100216
RESpeckRight1,20130708153127.040,-0.580811,-0.641113,-0.497070,nan,1.100216
RESpeckLeft1,20130708153127.064,0.504395,-0.617920,-0.577637,nan,1.100216
RESpeckLeft1,20130708153127.124,0.503662,-0.615234,-0.560059,nan,1.100216
RESpeckRight1,20130708153127.131,-0.578125,-0.639893,-0.497070,nan,21.677998
RESpeckRight1,20130708153127.190,-0.579834,-0.637939,-0.500244,nan,21.677998
RESpeckLeft1,20130708153127.214,0.511963,-0.612549,-0.569336,nan,21.677998
RESpeckRight1,20130708153127.280,-0.584229,-0.636230,-0.496094,nan,21.677998
