name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckTest2,20130708160055.259,0.797119,-0.360840,-0.376953,0.000000,0.000000
RESpeckTest2,20130708160055.287,0.920410,-0.379395,-0.224365,0.000000,0.000000
RESpeckTest2,20130708160055.346,0.822754,-0.360107,-0.245850,0.000000,0.000000
RESpeckTest2,20130708160055.436,0.887939,-0.388672,-0.154053,0.000000,0.000000
RESpeckTest2,20130708160055.496,0.894287,-0.380615,-0.273926,0.000000,0.000000
RESpeckTest2,20130708160055.586,0.870850,-0.363770,-0.185303,0.000000,0.000000
RESpeckTest2,20130708160055.676,0.868408,-0.390625,-0.242188,0.000000,0.000000
RESpeckTest2,20130708160055.736,0.865723,-0.375488,-0.233887,0.000000,0.000000
RESpeckTest2,20130708160055.826,0.864502,-0.386719,-0.234863,0.000000,0.000000
RESpeckTest2,20130708160055.916,0.863770,-0.372070,-0.217285,0.000000,0.000000
RESpeckTest2,20130708160055.976,0.882080,-0.376465,-0.208252,0.000000,0.000000
RESpeckTest2,20130708160056.066,0.884521,-0.375000,-0.212646,0.000000,0.000000
RESpeckTest2,20130708160056.216,0.882812,-0.373779,-0.221680,0.000000,0.000000
RESpeckTest2,20130708160056.306,0.886475,-0.359375,-0.206299,0.000000,0.000000
RESpeckTest2,20130708160056.366,0.884766,-0.361816,-0.207031,0.000000,0.000000
RESpeckTest2,20130708160056.456,0.874023,-0.367188,-0.219238,0.000000,0.000000
RESpeckTest2,20130708160056.546,0.876465,-0.371338,-0.176270,0.000000,0.000000
RESpeckTest2,20130708160056.606,0.887451,-0.359619,-0.168213,0.000000,0.000000
RESpeckTest2,20130708160056.696,0.911377,-0.343994,-0.166748,0.000000,0.000000
RESpeckTest2,20130708160056.786,0.910400,-0.341553,-0.152832,0.000000,0.000000
RESpeckTest2,20130708160056.846,0.896729,-0.350098,-0.150879,0.000000,0.000000
RESpeckTest2,20130708160056.936,0.895264,-0.357910,-0.142578,0.000000,0.000000
RESpeckTest2,20130708160056.996,0.897705,-0.347900,-0.144775,0.000000,0.000000
RESpeckTest2,20130708160057.086,0.912598,-0.339111,-0.139648,0.000000,0.000000
