name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight2,20130708155420.830,0.518799,0.493408,0.706299,0.000000,0.000000
RESpeckRight2,20130708155420.857,0.516846,0.492432,0.705566,0.000000,0.000000
RESpeckRight2,20130708155421.006,0.517090,0.491943,0.705322,0.000000,0.000000
RESpeckRight2,20130708155421.096,0.519043,0.492432,0.705811,0.000000,0.000000
RESpeckRight2,20130708155421.156,0.516602,0.493408,0.704102,0.000000,0.000000
RESpeckRight2,20130708155421.246,0.517334,0.491211,0.707031,0.000000,0.000000
RESpeckRight2,20130708155421.306,0.517578,0.491699,0.705322,0.000000,0.000000
RESpeckRight2,20130708155421.396,0.518555,0.490723,0.708252,0.000000,0.000000
RESpeckRight2,20130708155421.456,0.518799,0.491699,0.705322,0.000000,0.000000
RESpeckRight2,20130708155421.546,0.518311,0.491455,0.703369,0.000000,0.000000
RESpeckRight2,20130708155421.606,0.516113,0.491211,0.705078,0.000000,0.000000
RESpeckRight2,20130708155421.696,0.516846,0.492188,0.704834,0.000000,0.000000
RESpeckRight2,20130708155421.756,0.516846,0.491455,0.705566,0.000000,0.000000
RESpeckRight2,20130708155421.846,0.518311,0.492920,0.706543,0.000000,0.000000
RESpeckRight2,20130708155421.906,0.517578,0.490967,0.706543,0.000000,0.000000
RESpeckRight2,20130708155421.996,0.519043,0.491455,0.705322,0.000000,0.000000
RESpeckRight2,20130708155422.056,0.519287,0.490723,0.704102,0.000000,0.000000
RESpeckRight2,20130708155422.146,0.518311,0.490723,0.706055,0.000000,0.000000
RESpeckRight2,20130708155422.206,0.517334,0.489990,0.708008,0.000000,0.000000
RESpeckRight2,20130708155422.296,0.518311,0.490967,0.705078,0.000000,0.000000
RESpeckRight2,20130708155422.446,0.517822,0.492920,0.708740,0.000000,0.000000
RESpeckRight2,20130708155422.536,0.516357,0.491455,0.704102,0.000000,0.000000
RESpeckRight2,20130708155422.596,0.517334,0.491943,0.706055,0.000000,0.000000
RESpeckRight2,20130708155422.686,0.517822,0.492188,0.707520,0.000000,0.000000
RESpeckRight2,20130708155422.746,0.517334,0.491455,0.704346,0.000000,0.000000
RESpeckRight2,20130708155422.837,0.517090,0.493164,0.707031,0.000000,0.000000
RESpeckRight2,20130708155422.896,0.519531,0.491699,0.705811,0.000000,0.000000
RESpeckRight2,20130708155422.986,0.517090,0.492676,0.705566,0.000000,0.000000
RESpeckRight2,20130708155423.046,0.518066,0.491455,0.705566,0.000000,0.000000
RESpeckRight2,20130708155423.136,0.518555,0.491211,0.707520,0.000000,0.000000
RESpeckRight2,20130708155423.196,0.516602,0.493652,0.704346,0.000000,0.000000
RESpeckRight2,20130708155423.286,0.518066,0.492432,0.706055,0.000000,0.000000
RESpeckRight2,20130708155423.346,0.517822,0.490723,0.706299,0.000000,0.046064
RESpeckRight2,20130708155423.436,0.516846,0.492920,0.704834,0.000000,0.056311
RESpeckRight2,20130708155423.496,0.517334,0.490234,0.707764,0.000000,0.056311
RESpeckRight2,20130708155423.586,0.517822,0.492432,0.704346,0.000000,0.056311
RESpeckRight2,20130708155423.646,0.516846,0.491455,0.705566,0.000000,0.056311
RESpeckRight2,20130708155423.736,0.518311,0.490234,0.706787,0.000000,0.056311
RESpeckRight2,20130708155423.841,0.516602,0.489990,0.707031,0.000000,0.056311
RESpeckTest2,20130708155423.851,0.598633,0.612305,0.514160,0.000000,0.242671
RESpeckTest2,20130708155423.880,0.597168,0.611572,0.517822,0.000000,0.242671
RESpeckRight2,20130708155423.886,0.518066,0.491455,0.705078,0.000000,0.242671
RESpeckTest2,20130708155423.940,0.597656,0.611328,0.516602,0.000000,0.242671
RESpeckRight2,20130708155423.976,0.517578,0.492432,0.707764,0.000000,0.242671
RESpeckTest2,20130708155424.030,0.598389,0.610107,0.516113,0.000000,0.242671
RESpeckRight2,20130708155424.036,0.519287,0.491211,0.704346,0.000000,0.242671
RESpeckTest2,20130708155424.120,0.598877,0.611816,0.516846,0.000000,0.242671
RESpeckRight2,20130708155424.126,0.517822,0.491699,0.704590,0.000000,0.242671
RESpeckTest2,20130708155424.180,0.599609,0.610596,0.515869,0.000000,0.242671
RESpeckRight2,20130708155424.186,0.517578,0.490723,0.706787,0.000000,0.242671
RESpeckTest2,20130708155424.270,0.597412,0.610107,0.516357,0.000000,0.242671
RESpeckRight2,20130708155424.277,0.518311,0.491699,0.704590,0.000000,0.242671
RESpeckTest2,20130708155424.330,0.598633,0.609619,0.517090,0.000000,0.242671
RESpeckRight2,20130708155424.336,0.516846,0.491211,0.706543,0.000000,0.242671
RESpeckTest2,20130708155424.420,0.598389,0.609863,0.517822,0.000000,0.242671
RESpeckRight2,20130708155424.426,0.519531,0.495605,0.708252,0.000000,0.242671
RESpeckRight2,20130708155424.486,0.517578,0.486816,0.707031,0.000000,0.242671
RESpeckTest2,20130708155424.510,0.598389,0.609863,0.512695,0.000000,0.243798
RESpeckTest2,20130708155424.570,0.598389,0.606445,0.519531,0.000000,0.243798
