nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,24,0,9996,7,-15,-22,10105,-4016,-6944,-992,8767,-671,-368,-71,1395487572.609905
3,24,0,30436,8,-14,0,30671,-3728,-240,-7440,29139,-470,-30,-356,1395487572.609925
2,25,0,11985,5,-14,-12,11984,-3904,-7024,-928,11331,-669,-367,-73,1395487572.609927
3,25,0,32435,-3,-1,-15,32549,-3696,-336,-7392,31717,-473,-32,-354,1395487572.609929
2,26,0,12980,7,-11,-26,13861,-3952,-7056,-880,13895,-668,-366,-71,1395487572.609931
3,26,0,34435,11,-9,-4,34426,-3712,-352,-7280,34294,-470,-30,-358,1395487572.609933
2,27,0,14969,-1,-11,-28,15738,-3968,-7024,-800,13895,-668,-366,-71,1395487572.609934
3,27,0,35434,10,0,-10,36304,-3728,-336,-7200,34294,-470,-30,-358,1395487572.609936
2,28,0,16959,4,-10,-33,17616,-3936,-6912,-816,16458,-668,-366,-71,1395487572.609938
3,28,0,37433,17,1,-2,38181,-3712,-368,-7072,36871,-474,-30,-357,1395487572.609939
2,29,0,18948,-2,-20,-37,19494,-3872,-6816,-912,19020,-668,-366,-73,1395487572.609941
3,29,0,39432,7,-3,-17,40059,-3712,-336,-7056,39451,-470,-33,-356,1395487572.609943
2,30,0,20937,2,-17,-29,21371,-3872,-6880,-976,19020,-668,-366,-73,1395487572.609944
3,30,0,41431,-12,-4,-14,41936,-3664,-400,-7136,39451,-470,-33,-356,1395487572.609946
2,31,0,22926,12,-9,-20,23249,-3968,-6992,-1024,21583,-668,-368,-72,1395487572.609948
3,31,0,43431,-25,-20,-13,43813,-3680,-304,-7296,42029,-470,-32,-355,1395487572.609950
2,32,0,24915,18,-8,-26,25126,-3920,-7008,-960,24145,-667,-369,-72,1395487572.609951
3,32,0,45430,-13,-22,-24,45691,-3616,-208,-7440,44608,-470,-30,-355,1395487572.609953
2,33,0,26905,1,-8,-18,27004,-3936,-7104,-912,26707,-668,-366,-75,1395487572.609955
3,33,0,47429,6,-20,-17,47569,-3680,-256,-7456,47187,-472,-30,-356,1395487572.609957
2,34,0,28894,-3,-9,-30,28882,-3920,-6992,-896,26707,-668,-366,-75,1395487572.609958
3,34,0,49428,9,-14,-7,49447,-3696,-240,-7440,47187,-472,-30,-356,1395487572.609960
2,35,0,29888,4,-13,-38,30759,-3968,-6800,-976,29270,-667,-365,-74,1395487572.609962
3,35,0,50427,9,-10,-8,51324,-3680,-240,-7424,49765,-471,-33,-355,1395487572.609963
2,36,0,31878,-3,-11,-31,32636,-3920,-6800,-992,31832,-667,-369,-75,1395487572.609965
3,36,0,52427,-1,-2,-2,53201,-3712,-304,-7280,52343,-471,-32,-357,1395487572.609967
2,37,0,33867,6,-6,-29,34514,-4000,-6864,-912,34394,-670,-366,-72,1395487572.609968
3,37,0,54426,12,-1,-12,55078,-3728,-256,-7200,54920,-474,-33,-356,1395487572.609970
2,38,0,35856,15,-3,-23,36392,-3984,-6912,-912,34394,-670,-366,-72,1395487572.609972
3,38,0,56425,8,2,-20,56956,-3728,-336,-7056,54920,-474,-33,-356,1395487572.609973
2,39,0,37845,5,-8,-20,38270,-3968,-6960,-864,36957,-664,-364,-76,1395487572.609975
3,39,0,58424,-2,-14,-10,58832,-3712,-208,-7056,57498,-470,-33,-351,1395487572.609977
2,40,0,39834,1,-11,-25,40147,-3904,-7024,-880,39519,-667,-366,-75,1395487572.609978
3,40,0,60423,-9,-21,-10,60710,-3712,-272,-7104,60077,-470,-32,-357,1395487572.609980
2,41,0,41824,10,-16,-16,42025,-3904,-6992,-912,39519,-667,-366,-75,1395487572.609982
3,41,0,62422,-1,-29,-11,62587,-3680,-256,-7264,60077,-470,-32,-357,1395487572.609983
2,42,0,43813,-5,-16,-28,43903,-3904,-6960,-912,42083,-669,-363,-76,1395487572.609985
3,42,0,64421,9,-25,-11,64464,-3744,-288,-7376,62655,-471,-35,-355,1395487572.609987
2,43,0,45802,-2,-8,-33,45781,-3952,-6800,-912,44644,-669,-366,-78,1395487572.609988
3,43,0,65421,16,-22,-10,806,-3776,-368,-7408,65234,-469,-34,-352,1395487572.609990
2,44,0,46797,5,-7,-34,47659,-3920,-6848,-912,47206,-670,-365,-76,1395487572.609992
3,44,0,1884,7,-18,-4,2683,-3744,-240,-7456,2276,-470,-34,-356,1395487572.609994
2,45,0,48786,5,-4,-24,49537,-3888,-6864,-832,47206,-670,-365,-76,1395487572.610008
3,45,0,3883,-6,-4,-19,4560,-3648,-320,-7376,2276,-470,-34,-356,1395487572.610010
2,46,0,50775,9,-12,-14,51415,-3936,-7024,-928,49769,-670,-362,-76,1395487572.610012
3,46,0,5882,-11,4,-11,6437,-3696,-336,-7312,4854,-468,-32,-351,1395487572.610013
2,47,0,52764,16,-9,-25,53293,-3904,-7072,-928,52333,-669,-363,-74,1395487572.610015
3,47,0,7881,2,4,-13,8315,-3632,-320,-7216,7433,-468,-32,-350,1395487572.610017
2,48,0,54753,-4,-9,-23,55171,-3936,-7104,-944,54896,-668,-366,-76,1395487572.610061
3,48,0,9880,14,-6,-9,10192,-3696,-272,-7152,10009,-468,-38,-355,1395487572.610063
2,49,0,56743,-4,-11,-39,57049,-3904,-6944,-992,54896,-668,-366,-76,1395487572.610064
3,49,0,11880,7,-9,-12,12070,-3616,-256,-7120,10009,-468,-38,-355,1395487572.610066
2,50,0,58732,5,-13,-36,58927,-3888,-6880,-976,57460,-669,-368,-75,1395487572.610068
3,50,0,13879,-3,-33,-12,13948,-3680,-352,-7200,12587,-470,-34,-354,1395487572.610069
2,51,0,60721,4,-8,-38,60806,-3904,-6864,-1056,60023,-670,-361,-78,1395487572.610071
3,51,0,14878,-6,-29,-19,15826,-3664,-288,-7328,15165,-470,-35,-353,1395487572.610073
2,52,0,61716,4,-4,-29,62685,-3920,-6864,-976,62587,-666,-366,-78,1395487572.610074
3,52,0,16877,-6,-18,-14,17703,-3696,-272,-7456,15165,-470,-35,-353,1395487572.610076
2,53,0,63705,12,-4,-30,64563,-4000,-6912,-912,62587,-666,-366,-78,1395487572.610078
3,53,0,18877,4,-23,-14,19580,-3728,-256,-7440,17742,-469,-40,-353,1395487572.610079
2,54,0,158,6,-17,-16,436,-3936,-7056,-880,65150,-666,-366,-73,1395487572.610081
3,54,0,20876,4,6,-12,21458,-3664,-288,-7392,20320,-469,-36,-355,1395487572.610083
2,55,0,2147,19,-8,-15,2315,-3904,-7088,-848,2179,-667,-360,-76,1395487572.610084
3,55,0,22875,5,-16,-8,23335,-3680,-256,-7360,22899,-466,-36,-350,1395487572.610086
2,56,0,4136,16,-11,-25,4193,-3888,-7024,-992,2179,-667,-360,-76,1395487572.610088
3,56,0,24874,11,-1,-4,25212,-3728,-320,-7232,22899,-466,-36,-350,1395487572.610090
2,57,0,6126,-11,-12,-28,6072,-3936,-6928,-912,4743,-666,-367,-78,1395487572.610091
3,57,0,26873,15,1,-6,26621,-3712,-352,-7200,25478,-466,-37,-351,1395487572.610093
2,58,0,8115,-9,-12,-37,7949,-3952,-6736,-896,7307,-667,-366,-81,1395487572.610095
3,58,0,28872,10,1,-4,28498,-3728,-400,-7104,28058,-470,-36,-354,1395487572.610096
2,59,0,10104,4,-14,-36,9827,-3936,-6672,-816,9870,-665,-363,-79,1395487572.610098
3,59,0,29872,3,-12,-12,30376,-3712,-320,-7056,30637,-470,-36,-352,1395487572.610100
2,60,0,12093,13,-11,-19,11706,-3952,-6784,-880,9870,-665,-363,-79,1395487572.610101
3,60,0,31871,-18,-7,-25,32253,-3728,-272,-7152,30637,-470,-36,-352,1395487572.610103
2,61,0,13088,25,-11,-8,13585,-3936,-6960,-880,12432,-665,-366,-80,1395487572.610105
3,61,0,33870,-28,-11,-19,34130,-3712,-176,-7248,33217,-470,-36,-350,1395487572.610107
2,62,0,15077,8,-21,-9,15464,-3920,-7088,-992,14995,-663,-366,-79,1395487572.610108
3,62,0,35869,-10,-20,-14,36008,-3664,-176,-7344,35796,-470,-39,-352,1395487572.610110
2,63,0,17066,-1,-15,-11,17342,-3888,-7136,-1024,17558,-663,-363,-81,1395487572.610112
3,63,0,37868,7,-31,-17,37886,-3616,-192,-7392,35796,-470,-39,-352,1395487572.610113
2,64,0,19056,0,-13,-20,19221,-3904,-7104,-960,17558,-663,-363,-81,1395487572.610115
3,64,0,39867,13,-21,-1,39763,-3696,-240,-7440,38374,-470,-36,-351,1395487572.610117
2,65,0,21045,5,-4,-29,21099,-3920,-6928,-896,20120,-662,-364,-82,1395487572.610118
3,65,0,41866,24,-20,-3,41641,-3680,-400,-7504,40953,-470,-36,-352,1395487572.610120
2,66,0,23034,-6,-12,-29,22978,-3920,-6912,-960,22683,-662,-366,-79,1395487572.610122
3,66,0,43866,29,-5,-12,43519,-3696,-480,-7472,43531,-468,-36,-352,1395487572.610123
2,67,0,25023,10,-10,-28,24856,-3888,-6896,-944,25246,-665,-363,-81,1395487572.610125
3,67,0,44865,23,3,-22,45396,-3632,-512,-7360,43531,-468,-36,-352,1395487572.610127
2,68,0,27012,6,-8,-12,26734,-3936,-6944,-992,25246,-665,-363,-81,1395487572.610128
3,68,0,46864,-1,-3,-5,47274,-3728,-400,-7216,46110,-468,-38,-352,1395487572.610130
2,69,0,29002,9,-12,-17,28612,-3920,-7024,-992,27809,-664,-365,-80,1395487572.610132
3,69,0,48863,-22,11,-24,49151,-3664,-320,-7184,48688,-470,-37,-354,1395487572.610133
2,70,0,29996,13,-9,-16,30489,-3936,-7008,-944,30371,-662,-364,-78,1395487572.610135
3,70,0,50862,-27,9,-31,51029,-3696,-240,-7152,51267,-470,-41,-352,1395487572.610137
2,71,0,31985,11,0,-29,32367,-3936,-6912,-928,30371,-662,-364,-78,1395487572.610139
3,71,0,52862,-16,0,-21,52907,-3712,-208,-7184,51267,-470,-41,-352,1395487572.610140
2,72,0,33975,-3,-9,-26,34245,-3984,-6832,-944,32934,-663,-364,-79,1395487572.610142
3,72,0,54861,5,-15,-16,54784,-3792,-160,-7216,53846,-468,-38,-348,1395487572.610156
2,73,0,35964,4,-8,-30,36123,-4016,-6720,-928,35495,-662,-362,-79,1395487572.610158
3,73,0,56860,2,-17,-14,56661,-3760,-160,-7280,56424,-468,-37,-352,1395487572.610160
2,74,0,37953,4,-13,-32,38000,-4032,-6736,-880,38057,-660,-364,-80,1395487572.610178
3,74,0,58859,8,-14,-7,58539,-3696,-208,-7264,56424,-468,-37,-352,1395487572.610180
2,75,0,39942,12,-8,-11,39878,-3936,-6832,-960,38057,-660,-364,-80,1395487572.610182
3,75,0,59858,9,-27,-3,60416,-3744,-256,-7328,59003,-465,-37,-353,1395487572.610183
2,76,0,41931,12,-10,-7,41757,-3936,-6976,-928,40620,-662,-365,-82,1395487572.610185
3,76,0,61858,18,-13,-3,62294,-3792,-272,-7280,61582,-471,-35,-353,1395487572.610187
2,77,0,43921,5,-17,-18,43636,-3904,-7024,-928,43182,-661,-364,-79,1395487572.610188
3,77,0,63857,21,-7,-4,64172,-3696,-352,-7280,64161,-469,-35,-353,1395487572.610190
2,78,0,44915,-1,-20,-17,45514,-3888,-7024,-976,45745,-661,-368,-78,1395487572.610192
3,78,0,320,11,-15,-12,513,-3632,-368,-7248,64161,-469,-35,-353,1395487572.610193
2,79,0,46904,3,0,-24,47393,-3904,-6992,-944,45745,-661,-368,-78,1395487572.610195
3,79,0,2319,4,-26,-16,2390,-3680,-384,-7296,1204,-470,-38,-352,1395487572.610197
2,80,0,48894,5,-8,-32,49272,-3888,-6912,-928,48309,-662,-370,-81,1395487572.610199
3,80,0,4318,-4,-23,-13,4269,-3648,-384,-7328,3782,-468,-37,-353,1395487572.610201
2,81,0,50883,-5,-16,-36,51149,-3888,-6928,-960,50872,-659,-362,-80,1395487572.610203
3,81,0,6317,3,-18,-22,6147,-3584,-368,-7376,6361,-469,-39,-351,1395487572.610205
2,82,0,52872,14,-15,-29,53027,-3920,-6896,-960,50872,-659,-362,-80,1395487572.610206
3,82,0,8316,-2,-12,-18,8025,-3616,-304,-7344,6361,-469,-39,-351,1395487572.610208
2,83,0,54861,3,-16,-25,54905,-3904,-6880,-992,53435,-659,-365,-78,1395487572.610210
3,83,0,9316,-10,-13,-19,9903,-3744,-272,-7328,8940,-467,-41,-348,1395487572.610212
2,84,0,56850,8,-13,-19,56783,-3952,-6944,-960,55999,-660,-365,-78,1395487572.610213
3,84,0,11315,-22,4,-17,11780,-3744,-240,-7312,11517,-467,-37,-351,1395487572.610215
2,85,0,58840,15,-2,-15,58661,-3904,-6960,-1024,58561,-662,-361,-80,1395487572.610217
3,85,0,13314,-12,-1,-12,13658,-3664,-256,-7328,11517,-467,-37,-351,1395487572.610219
2,86,0,60829,2,-5,-21,60539,-3952,-6976,-992,58561,-662,-361,-80,1395487572.610221
3,86,0,15313,11,-1,-9,15535,-3728,-240,-7264,14096,-471,-40,-349,1395487572.610222
2,87,0,61823,-5,-3,-24,62418,-3920,-6960,-896,61123,-660,-364,-79,1395487572.610224
3,87,0,17312,25,-15,-10,17413,-3712,-272,-7216,16674,-467,-37,-351,1395487572.610226
2,72,0,48193,6,-12,-18,47925,-3904,-7040,-976,47224,-655,-362,-85,1395487572.610460
3,72,0,37144,36,-61,15,37779,-3568,-928,-7840,35858,-462,-55,-355,1395487572.610468
2,73,0,49188,18,-7,-29,49803,-3840,-6976,-1056,49787,-656,-365,-86,1395487572.628627
3,73,0,39143,-23,-19,-4,39657,-3600,-1008,-8000,38435,-466,-55,-357,1395487572.628642
2,74,0,51177,0,-13,-15,51680,-3872,-7136,-960,49787,-656,-365,-86,1395487572.628949
3,74,0,41142,-36,10,-21,41534,-3568,-912,-7904,41015,-465,-55,-357,1395487572.635291
2,75,0,53166,12,-8,-16,53559,-3840,-7200,-976,52348,-659,-364,-82,1395487572.646921
3,75,0,43141,-5,36,-34,43412,-3616,-672,-7584,41015,-465,-55,-357,1395487572.646930
2,76,0,55155,40,-6,-21,55437,-3824,-7088,-1008,54911,-657,-364,-84,1395487572.658447
3,76,0,45140,7,32,-42,45290,-3616,-528,-7200,43595,-464,-54,-357,1395487572.658456
2,77,0,57145,-8,-3,-33,57314,-3904,-7024,-928,57474,-656,-364,-85,1395487572.664667
3,77,0,47139,-12,41,-32,47168,-3696,-560,-6800,46174,-461,-56,-358,1395487572.664980
2,78,0,59134,-25,-10,-46,59192,-3984,-6800,-816,57474,-656,-364,-85,1395487572.677313
3,78,0,48139,-16,41,-29,49046,-3664,-512,-6752,48753,-465,-55,-354,1395487572.677329
2,79,0,61123,0,-5,-49,61069,-4016,-6672,-784,60036,-658,-365,-80,1395487572.689623
3,79,0,50138,-9,9,-20,50924,-3728,-592,-6784,48753,-465,-55,-354,1395487572.689639
2,80,0,63112,17,-16,-28,62947,-4032,-6704,-768,62598,-660,-366,-86,1395487572.689908
3,80,0,52137,19,-41,-3,52802,-3712,-640,-6896,51332,-466,-55,-354,1395487572.689919
2,81,0,64107,14,-13,-14,64826,-3888,-6896,-816,62598,-660,-366,-86,1395487572.707741
