nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,222,0,23831,-76,31,13,24202,-4096,-3312,-5440,23614,-698,-249,-286,1395491463.389747
3,222,0,58171,0,-12,-15,58449,-3776,-3472,-6288,56668,-475,-150,-335,1395491463.389767
2,223,0,25820,-21,20,1,26079,-4144,-3360,-5312,26178,-697,-249,-287,1395491463.389770
3,223,0,60170,8,4,-26,60327,-3776,-3376,-6160,59245,-481,-152,-334,1395491463.389772
2,224,0,27810,59,8,-9,27958,-4128,-3392,-5248,26178,-697,-249,-287,1395491463.389773
3,224,0,62169,26,0,-16,62204,-3696,-3328,-6032,61823,-478,-151,-332,1395491463.389775
2,225,0,29799,130,0,-23,29835,-4144,-3184,-5440,28741,-699,-248,-286,1395491463.389777
3,225,0,64169,34,6,-11,64082,-3696,-3248,-5856,64402,-478,-151,-330,1395491463.389779
2,226,0,31788,197,-12,-39,31714,-4192,-2880,-5840,31305,-695,-247,-284,1395491463.389780
3,226,0,632,16,-7,0,424,-3792,-3328,-5872,64402,-478,-151,-330,1395491463.389782
2,227,0,33777,221,-19,-52,33591,-4224,-2704,-6208,33868,-699,-245,-288,1395491463.389784
3,227,0,2631,11,-22,1,2302,-3824,-3520,-5952,1444,-479,-154,-335,1395491463.389786
2,228,0,35767,180,-7,-19,35469,-4128,-2304,-6544,33868,-699,-245,-288,1395491463.389787
3,228,0,3630,26,-28,14,4179,-3824,-3568,-6128,4023,-477,-151,-332,1395491463.389789
2,229,0,36761,135,0,-12,37347,-4112,-2240,-6512,36430,-699,-246,-288,1395491463.389791
3,229,0,5630,37,-26,5,6057,-3744,-3632,-6224,4023,-477,-151,-332,1395491463.389793
2,230,0,38750,36,14,8,39224,-4192,-2480,-6320,38994,-699,-244,-288,1395491463.389794
3,230,0,7629,20,-27,-11,7934,-3776,-3600,-6288,6602,-477,-152,-331,1395491463.389796
2,231,0,40740,-41,15,30,41102,-4208,-2768,-6032,38994,-699,-244,-288,1395491463.389798
3,231,0,9628,-23,-13,-24,9812,-3776,-3552,-6416,9180,-478,-154,-336,1395491463.389800
2,232,0,42729,-57,6,30,42979,-4112,-3120,-5632,41557,-695,-249,-288,1395491463.389801
3,232,0,11627,-27,-4,-24,11689,-3680,-3520,-6448,11758,-478,-152,-330,1395491463.389803
2,233,0,44718,-27,1,20,44857,-4080,-3312,-5360,44120,-699,-248,-287,1395491463.389805
3,233,0,13626,-21,10,-17,13567,-3680,-3440,-6240,11758,-478,-152,-330,1395491463.389807
