nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,68,0,53108,8,-11,-27,53763,-3488,-4896,-5184,51545,-628,-329,-270,1395486522.104305
3,68,0,4281,22,-14,-7,4160,-3232,-384,-7536,2064,-445,-39,-375,1395486522.104335
2,69,0,55098,12,-6,-23,55641,-3472,-4928,-5072,54108,-628,-324,-266,1395486522.104339
3,69,0,5281,27,-9,-15,6037,-3264,-352,-7536,4643,-450,-37,-376,1395486522.104343
2,70,0,57087,3,-8,-32,57519,-3472,-5024,-5104,56669,-630,-327,-264,1395486522.104346
3,70,0,7280,18,-10,-9,7915,-3296,-336,-7504,7221,-450,-37,-375,1395486522.104367
2,71,0,59076,3,-15,-27,59397,-3504,-4944,-5136,59232,-628,-323,-267,1395486522.104371
3,71,0,9279,9,-12,-14,9792,-3280,-288,-7536,9800,-449,-36,-373,1395486522.104374
2,72,0,61065,3,-12,-29,61275,-3472,-4944,-5104,59232,-628,-323,-267,1395486522.104377
3,72,0,11278,12,-17,-18,11670,-3232,-224,-7456,9800,-449,-36,-373,1395486522.104381
2,73,0,63054,2,-7,-30,63153,-3536,-4896,-5136,61795,-630,-327,-266,1395486522.104384
3,73,0,13277,-11,-5,-14,13547,-3296,-224,-7488,12378,-449,-39,-370,1395486522.104387
2,74,0,65044,3,-5,-29,65032,-3488,-4848,-5104,64358,-630,-325,-266,1395486522.104390
3,74,0,15276,-20,-9,-12,15424,-3216,-272,-7488,14956,-448,-36,-376,1395486522.104393
2,75,0,1497,8,-6,-29,1373,-3472,-4896,-5152,1384,-630,-326,-270,1395486522.104396
3,75,0,17275,-28,-7,-11,17302,-3200,-272,-7552,14956,-448,-36,-376,1395486522.104399
2,76,0,3486,9,-12,-26,3251,-3488,-4928,-5136,1384,-630,-326,-270,1395486522.104402
3,76,0,19274,-28,-5,-8,19179,-3216,-272,-7536,17534,-448,-39,-370,1395486522.104406
2,77,0,4480,7,-15,-29,5129,-3520,-4944,-5200,3947,-630,-325,-266,1395486522.104409
3,77,0,20274,-30,-5,-9,21057,-3248,-368,-7536,20112,-450,-39,-375,1395486522.104412
2,78,0,6470,9,-14,-24,7007,-3408,-4912,-5200,6510,-628,-327,-269,1395486522.104415
3,78,0,22273,-17,-12,-16,22935,-3200,-368,-7584,22692,-447,-39,-374,1395486522.104418
2,79,0,8459,6,-11,-25,8884,-3456,-4928,-5184,9074,-627,-326,-270,1395486522.104421
3,79,0,24272,-6,-16,-6,24813,-3184,-368,-7568,22692,-447,-39,-374,1395486522.104424
2,80,0,10448,8,-18,-16,10761,-3504,-4992,-5152,9074,-627,-326,-270,1395486522.104428
3,80,0,26271,0,-10,-9,26690,-3264,-368,-7616,25270,-450,-36,-374,1395486522.104431
2,81,0,12437,0,-3,-28,12639,-3472,-4976,-5104,11635,-627,-328,-264,1395486522.104434
3,81,0,28270,30,-12,-21,28567,-3216,-352,-7600,27849,-446,-37,-375,1395486522.104437
2,82,0,14426,6,-6,-27,14517,-3488,-4976,-5088,14198,-630,-326,-264,1395486522.104440
3,82,0,30269,30,-7,-15,30445,-3216,-432,-7616,30428,-449,-40,-375,1395486522.104443
2,83,0,16416,3,-10,-23,16394,-3520,-4912,-5088,14198,-630,-326,-264,1395486522.104446
3,83,0,32268,35,-8,-23,32323,-3312,-368,-7568,30428,-449,-40,-375,1395486522.104449
2,84,0,18405,4,-10,-31,18273,-3536,-4896,-5104,16761,-627,-328,-267,1395486522.104453
3,84,0,34267,33,-2,-16,34200,-3280,-368,-7488,33006,-449,-38,-369,1395486522.104467
2,85,0,20394,-3,-10,-27,20150,-3536,-4912,-5104,19324,-630,-327,-269,1395486522.104470
3,85,0,35267,29,-7,-19,36078,-3296,-272,-7488,35585,-443,-41,-376,1395486522.104474
2,86,0,21389,5,-6,-25,22028,-3584,-4928,-5088,21888,-628,-326,-267,1395486522.104477
3,86,0,37266,25,-2,-15,37956,-3312,-256,-7456,35585,-443,-41,-376,1395486522.104480
2,87,0,23378,1,-9,-34,23906,-3584,-4960,-5072,21888,-628,-326,-267,1395486522.104483
3,87,0,39265,9,-10,-18,39834,-3264,-224,-7504,38164,-448,-38,-372,1395486522.104486
2,88,0,25367,3,-12,-27,25784,-3552,-4864,-5056,24451,-630,-327,-265,1395486522.104489
3,88,0,41264,-19,-6,-12,41712,-3312,-224,-7440,40743,-449,-39,-374,1395486522.104492
2,89,0,27356,7,-13,-24,27661,-3552,-4912,-5120,27014,-630,-328,-268,1395486522.104495
3,89,0,43263,-26,-4,-5,43590,-3248,-256,-7488,43322,-448,-37,-373,1395486522.104498
2,90,0,29345,6,-17,-26,29539,-3536,-4928,-5120,29576,-627,-328,-268,1395486522.104511
3,90,0,45263,-26,-12,-17,45468,-3296,-272,-7536,43322,-448,-37,-373,1395486522.104513
2,91,0,31334,5,-10,-15,31418,-3456,-4912,-5152,29576,-627,-328,-268,1395486522.104515
3,91,0,47262,-31,-10,-4,47346,-3184,-304,-7616,45901,-447,-38,-378,1395486522.104516
2,92,0,33324,11,-12,-24,33295,-3440,-5008,-5152,32139,-627,-326,-264,1395486522.104561
3,92,0,49261,-24,-9,-6,49224,-3232,-304,-7632,48480,-448,-38,-374,1395486522.104562
2,93,0,35313,4,-12,-24,35173,-3472,-4944,-5200,34702,-628,-326,-270,1395486522.104564
3,93,0,50260,-27,-6,-8,51102,-3184,-368,-7616,51060,-447,-38,-373,1395486522.104566
2,94,0,36307,10,-12,-20,37050,-3408,-5056,-5136,37264,-629,-327,-268,1395486522.104567
3,94,0,52259,-10,-17,-10,52980,-3184,-352,-7648,51060,-447,-38,-373,1395486522.104569
2,95,0,38297,1,-11,-31,38928,-3456,-4976,-5136,37264,-629,-327,-268,1395486522.104571
3,95,0,54258,13,-9,-4,54858,-3248,-368,-7664,53639,-450,-37,-373,1395486522.104573
2,96,0,40286,-2,-17,-23,40805,-3488,-4928,-5152,39828,-627,-326,-269,1395486522.104574
3,96,0,56258,20,-8,-15,56736,-3200,-320,-7536,56218,-450,-38,-377,1395486522.104576
2,97,0,42275,1,-7,-27,42683,-3504,-4992,-5152,42391,-628,-326,-264,1395486522.104578
3,97,0,58257,28,-1,-23,58613,-3232,-336,-7520,56218,-450,-38,-377,1395486522.104579
2,98,0,44264,0,-7,-24,44561,-3504,-4896,-5104,42391,-628,-326,-264,1395486522.104581
3,98,0,60256,21,-9,-12,60490,-3200,-320,-7536,58797,-449,-37,-371,1395486522.104583
2,99,0,46253,9,-8,-26,46439,-3504,-4848,-5136,44953,-626,-326,-271,1395486522.104584
3,99,0,62255,21,-10,-17,62368,-3264,-304,-7504,61375,-448,-35,-376,1395486522.104586
2,100,0,48242,1,-8,-38,48316,-3488,-4944,-5136,47516,-630,-324,-267,1395486522.104588
3,100,0,64254,11,-15,-19,64246,-3280,-176,-7472,63953,-445,-39,-373,1395486522.104590
2,101,0,50232,6,-12,-34,50194,-3536,-4960,-5088,50079,-626,-324,-270,1395486522.104591
3,101,0,65253,0,-14,-19,588,-3248,-208,-7488,63953,-445,-39,-373,1395486522.104593
2,102,0,52221,18,-18,-30,52072,-3536,-4928,-5120,50079,-626,-324,-270,1395486522.104595
3,102,0,1717,-13,-13,-15,2465,-3280,-304,-7536,995,-448,-38,-374,1395486522.104596
2,103,0,53215,16,-12,-23,53950,-3504,-4816,-5136,52642,-629,-331,-267,1395486522.104598
3,103,0,3716,-25,-9,-9,4342,-3264,-336,-7536,3574,-446,-37,-374,1395486522.104600
2,104,0,55205,3,-10,-30,55828,-3504,-4928,-5152,55205,-629,-328,-267,1395486522.104602
3,104,0,5715,-22,-12,-6,6220,-3232,-288,-7552,6153,-448,-36,-371,1395486522.104603
2,105,0,57194,14,-19,-24,57706,-3520,-4928,-5088,57767,-628,-325,-268,1395486522.104605
3,105,0,7714,-17,-10,-13,8097,-3232,-288,-7616,6153,-448,-36,-371,1395486522.104607
2,106,0,59183,6,-7,-20,59584,-3504,-4928,-5040,57767,-628,-325,-268,1395486522.104609
3,106,0,9713,-10,-11,-12,9975,-3216,-288,-7584,8730,-449,-37,-376,1395486522.104610
2,107,0,61172,9,-9,-32,61462,-3536,-4976,-5136,60329,-629,-331,-268,1395486522.104612
3,107,0,11712,-4,-17,-17,11853,-3248,-336,-7568,11308,-449,-39,-377,1395486522.104614
2,108,0,63161,3,-21,-16,63340,-3424,-4912,-5152,62892,-625,-325,-266,1395486522.104615
3,108,0,13711,2,-9,-12,13731,-3232,-304,-7616,11308,-449,-39,-377,1395486522.104617
2,109,0,65150,5,-13,-26,65219,-3520,-4896,-5152,62892,-625,-325,-266,1395486522.104619
3,109,0,14711,8,-2,-7,15609,-3232,-384,-7520,13887,-448,-38,-370,1395486522.104620
2,110,0,1604,7,-12,-24,1560,-3440,-4992,-5184,65453,-625,-325,-266,1395486522.104622
3,110,0,16710,15,-16,-12,17487,-3280,-320,-7504,16466,-447,-39,-373,1395486522.104624
2,111,0,3593,1,-13,-22,3437,-3472,-4992,-5152,2479,-629,-330,-268,1395486522.104626
3,111,0,18709,13,-17,-16,19366,-3232,-320,-7520,19043,-449,-40,-373,1395486522.104627
2,112,0,4587,4,-9,-26,5315,-3424,-4976,-5168,5041,-627,-324,-267,1395486522.104629
3,112,0,20708,14,-15,-14,21244,-3248,-368,-7504,19043,-449,-40,-373,1395486522.104631
2,113,0,6577,12,-8,-26,7192,-3520,-4880,-5056,5041,-627,-324,-267,1395486522.104632
3,113,0,22707,5,-23,-11,23122,-3200,-320,-7536,21622,-452,-38,-376,1395486522.104634
2,114,0,8566,11,-9,-25,9070,-3488,-4944,-5152,7604,-630,-326,-266,1395486522.104636
3,114,0,24706,5,-22,-14,25000,-3248,-336,-7536,24201,-449,-37,-372,1395486522.104637
2,115,0,10555,7,-12,-27,10949,-3504,-4912,-5184,10167,-628,-326,-270,1395486522.104639
3,115,0,26705,-4,-7,-12,26877,-3184,-368,-7552,26779,-446,-40,-374,1395486522.104641
2,116,0,12544,1,-11,-23,12827,-3456,-4896,-5184,12729,-629,-329,-270,1395486522.104655
3,116,0,28704,-8,-16,-9,28755,-3200,-304,-7568,26779,-446,-40,-374,1395486522.104657
2,117,0,14533,6,-8,-29,14706,-3488,-4928,-5136,12729,-629,-329,-270,1395486522.104659
3,117,0,29704,-12,-15,-14,30633,-3216,-304,-7552,29357,-448,-38,-376,1395486522.104661
2,118,0,16523,3,-8,-22,16584,-3504,-4960,-5200,15292,-629,-326,-265,1395486522.104680
3,118,0,31703,-12,-22,-8,32510,-3248,-336,-7584,31936,-449,-39,-374,1395486522.104682
2,119,0,18512,-2,-7,-31,18462,-3488,-4944,-5152,17856,-627,-325,-268,1395486522.104684
3,119,0,33702,-9,-13,-15,34388,-3248,-288,-7536,31936,-449,-39,-374,1395486522.104686
2,120,0,19506,5,-13,-30,20341,-3520,-4912,-5136,20417,-631,-328,-269,1395486522.104687
3,120,0,35701,-3,-12,-17,36266,-3248,-304,-7552,34514,-448,-35,-373,1395486522.104689
2,121,0,21495,8,-9,-28,22220,-3520,-4944,-5088,20417,-631,-328,-269,1395486522.104691
