(6, 50833, 50470, 49632, array([-7920.,   128.,  1312.]), array([ -6232.,  11141., -14745.]), array([ 298.,  -13., -256.]))
(6, 52258, 51471, 49632, array([-7952.,   512.,  1280.]), array([ 11650.,  11141.,  14484.]), array([ 298.,  -13., -256.]))
(6, 53208, 53475, 49632, array([-8032.,   496.,  1232.]), array([ 4515.,  1849.,   217.]), array([ 298.,  -13., -256.]))
(6, 54631, 54477, 53693, array([-7968.,   384.,  1296.]), array([ 4488.,  2013.,   216.]), array([ 334.,    3.,  156.]))
(6, 55580, 55478, 53693, array([-7936.,   416.,  1216.]), array([ 4511.,  2004.,   204.]), array([ 334.,    3.,  156.]))
(6, 56529, 56480, 56237, array([-8048.,   432.,  1136.]), array([ 4522.,  2010.,   186.]), array([ 334.,   -6.,  156.]))
(6, 57953, 57482, 56237, array([-8000.,   528.,  1120.]), array([ 4526.,  1993.,   202.]), array([ 334.,   -6.,  156.]))
(6, 58902, 58484, 58782, array([-7968.,   576.,  1168.]), array([ 4534.,  1984.,   224.]), array([ 334.,  -12.,  158.]))
(6, 59850, 59486, 58782, array([-8000.,   432.,  1232.]), array([ 4548.,  1997.,   226.]), array([ 334.,  -12.,  158.]))
(6, 61274, 60488, 61327, array([-8016.,   240.,  1040.]), array([ 4493.,  1961.,   223.]), array([ 336.,  -20.,  147.]))
(6, 62222, 61707, 61327, array([-8016.,   352.,  1216.]), array([-18070.,   1977.,  17658.]), array([ 336.,  -20.,  147.]))
(6, 63646, 62709, 61327, array([-7968.,   448.,  1200.]), array([ 22040.,    572., -17444.]), array([ 336.,  -20.,  147.]))
(6, 64595, 64715, 63871, array([-7936.,   528.,  1248.]), array([ 4402.,  1824.,   321.]), array([ 335.,  -27.,  147.]))
(6, 8, 187, 63871, array([-7968.,   528.,  1280.]), array([ 4437.,  1980.,   625.]), array([ 335.,  -27.,  147.]))
(6, 1432, 1195, 880, array([-7984.,   288.,  1216.]), array([ 3848.,  2086.,   145.]), array([ 336.,  -38.,  140.]))
(6, 2381, 2203, 880, array([-7984.,   352.,  1296.]), array([ 3650.,  1898.,   139.]), array([ 336.,  -38.,  140.]))
(6, 3330, 3210, 3424, array([-7872.,   560.,  1280.]), array([ 3385.,  1827.,    96.]), array([ 333.,  -45.,  140.]))
(6, 4753, 4218, 3424, array([-7968.,   496.,  1280.]), array([ 3030.,  1711.,    68.]), array([ 333.,  -45.,  140.]))
(6, 5702, 5226, 5969, array([-8048.,   464.,  1248.]), array([ 2499.,  1588.,    50.]), array([ 331.,  -49.,  136.]))
(6, 7126, 6234, 5969, array([-7952.,   416.,  1296.]), array([ 1541.,  1371.,    47.]), array([ 331.,  -49.,  136.]))
(6, 8075, 8249, 5969, array([-7888.,   496.,  1216.]), array([-959.,  884.,  159.]), array([ 331.,  -49.,  136.]))
(6, 9024, 9257, 8514, array([-7888.,   384.,  1200.]), array([-2146.,   643.,   227.]), array([ 331.,  -59.,  135.]))
(6, 10447, 10265, 8514, array([-8064.,   528.,  1296.]), array([-3224.,   458.,   292.]), array([ 331.,  -59.,  135.]))
(6, 11397, 11273, 11059, array([-8000.,   416.,  1344.]), array([-4306.,   281.,   342.]), array([ 334.,  -62.,  131.]))
(6, 12345, 12281, 11059, array([-7920.,   240.,  1408.]), array([-5271.,    85.,   464.]), array([ 334.,  -62.,  131.]))
(6, 13769, 13289, 13604, array([-7936.,   416.,  1360.]), array([-6844.,  -109.,   575.]), array([ 331.,  -71.,  126.]))
(6, 14718, 14297, 13604, array([-7920.,   464.,  1264.]), array([-7818.,  -191.,   658.]), array([ 331.,  -71.,  126.]))
(6, 16142, 15305, 13604, array([-7984.,   400.,  1280.]), array([-7668.,  -154.,   646.]), array([ 331.,  -71.,  126.]))
(6, 17090, 16313, 16149, array([-8000.,   448.,  1312.]), array([-7611.,  -130.,   643.]), array([ 335.,  -75.,  120.]))
(6, 18039, 18329, 16149, array([-7936.,   368.,  1360.]), array([-7605.,  -136.,   641.]), array([ 335.,  -75.,  120.]))
(6, 19462, 19337, 18695, array([-7904.,   240.,  1392.]), array([-7584.,  -143.,   658.]), array([ 335.,  -86.,  120.]))
(6, 20412, 20345, 18695, array([-7968.,   544.,  1344.]), array([-7593.,  -108.,   599.]), array([ 335.,  -86.,  120.]))
(6, 21361, 21353, 21240, array([-7904.,   720.,  1328.]), array([-7582.,  -113.,   590.]), array([ 334.,  -89.,  111.]))
(6, 22785, 22361, 21240, array([-7936.,   416.,  1408.]), array([-7549.,  -160.,   655.]), array([ 334.,  -89.,  111.]))
(6, 23735, 23369, 23784, array([-8032.,   256.,  1440.]), array([-7549.,  -150.,   704.]), array([ 331.,  -94.,  104.]))
(6, 24684, 24377, 23784, array([-8000.,   288.,  1424.]), array([-7529.,  -150.,   707.]), array([ 331.,  -94.,  104.]))
(6, 26108, 25385, 23784, array([-8000.,   400.,  1312.]), array([-7529.,  -128.,   675.]), array([ 331.,  -94.,  104.]))
(6, 27057, 26393, 26328, array([-7904.,   544.,  1392.]), array([-7566.,  -139.,   638.]), array([ 331.,  -99.,   97.]))
(6, 28481, 28409, 26328, array([-7936.,   576.,  1424.]), array([-7529.,  -156.,   638.]), array([ 331.,  -99.,   97.]))
