(6, 7242, 6879, 4151, array([-7744.,   -80.,  2496.]), array([ 13665.,  25760., -13387.]), array([ 231.,  -91., -254.]))
(6, 8667, 7881, 4151, array([-7824.,   128.,  2256.]), array([-23516.,  25760.,  17519.]), array([ 231.,  -91., -254.]))
(6, 9617, 9885, 4151, array([-7728.,   288.,  2352.]), array([ 4505.,  1859.,   213.]), array([ 231.,  -91., -254.]))
(6, 11041, 10886, 10101, array([-7968.,   224.,  2288.]), array([ 4478.,  2005.,   215.]), array([ 329., -117.,   47.]))
(6, 11990, 11888, 10101, array([-7920.,   128.,  2464.]), array([ 4525.,  1994.,   211.]), array([ 329., -117.,   47.]))
(6, 12940, 12890, 12646, array([-7856.,    48.,  2240.]), array([ 4520.,  1991.,   199.]), array([ 329., -125.,   47.]))
(6, 14365, 13892, 12646, array([-7792.,   240.,  2368.]), array([ 4541.,  1986.,   200.]), array([ 329., -125.,   47.]))
(6, 15313, 14894, 15192, array([-7792.,   112.,  2256.]), array([ 4506.,  1985.,   207.]), array([ 325., -125.,   40.]))
(6, 16263, 15895, 15192, array([-7888.,   128.,  2384.]), array([ 4523.,  1971.,   218.]), array([ 325., -125.,   40.]))
(6, 17686, 16897, 17737, array([-7808.,   176.,  2320.]), array([ 4483.,  1956.,   238.]), array([ 322., -131.,   24.]))
(6, 18636, 18906, 17737, array([-7840.,    96.,  2304.]), array([ 4397.,  1970.,   207.]), array([ 322., -131.,   24.]))
(6, 20059, 19914, 17737, array([-7856.,    96.,  2320.]), array([ 4194.,  2094.,   214.]), array([ 322., -131.,   24.]))
(6, 21009, 20921, 20282, array([-7648.,   240.,  2336.]), array([ 4105.,  2015.,   217.]), array([ 322., -137.,   24.]))
(6, 21957, 21929, 20282, array([-7696.,   272.,  2352.]), array([ 3957.,  1939.,   230.]), array([ 322., -137.,   24.]))
(6, 23381, 22937, 22826, array([-8096.,    32.,  2320.]), array([ 3836.,  1904.,   230.]), array([ 319., -133.,   17.]))
(6, 24330, 23945, 22826, array([-7872.,    64.,  2416.]), array([ 3647.,  1857.,   250.]), array([ 319., -133.,   17.]))
(6, 25279, 24953, 25372, array([-7808.,   112.,  2256.]), array([ 3376.,  1773.,   259.]), array([ 319., -140.,    9.]))
(6, 26703, 25960, 25372, array([-7824.,   128.,  2384.]), array([ 3033.,  1671.,   321.]), array([ 319., -140.,    9.]))
(6, 27652, 26968, 27917, array([-7696.,    96.,  2368.]), array([ 2394.,  1526.,   393.]), array([ 318., -144.,    4.]))
(6, 29076, 28984, 27917, array([-7776.,   192.,  2400.]), array([  228.,  1038.,   715.]), array([ 318., -144.,    4.]))
(6, 30025, 29992, 27917, array([-7792.,    64.,  2416.]), array([-991.,  767.,  925.]), array([ 318., -144.,    4.]))
(6, 30974, 31000, 30461, array([-7808.,    32.,  2448.]), array([-2122.,   523.,  1110.]), array([ 318., -149.,   -4.]))
(6, 32398, 32007, 30461, array([-7760.,    96.,  2304.]), array([-3232.,   269.,  1241.]), array([ 318., -149.,   -4.]))
(6, 33347, 33015, 33007, array([-7712.,    64.,  2304.]), array([-4225.,    46.,  1420.]), array([ 314., -146.,   -7.]))
(6, 34297, 34023, 33007, array([-7808.,   128.,  2464.]), array([-5260.,  -127.,  1653.]), array([ 314., -146.,   -7.]))
(6, 35720, 35032, 35552, array([-7872.,   112.,  2480.]), array([-6880.,  -337.,  1835.]), array([ 312., -153.,  -17.]))
(6, 36670, 36040, 35552, array([-7792.,    80.,  2448.]), array([-7499.,  -352.,  1886.]), array([ 312., -153.,  -17.]))
(6, 37619, 38056, 35552, array([-7872.,   -32.,  2416.]), array([-7288.,  -312.,  1892.]), array([ 312., -153.,  -17.]))
(6, 39042, 39064, 38096, array([-7744.,   128.,  2480.]), array([-7311.,  -306.,  1859.]), array([ 310., -157.,  -31.]))
(6, 39992, 40072, 38096, array([-7728.,    64.,  2400.]), array([-7309.,  -326.,  1852.]), array([ 310., -157.,  -31.]))
(6, 41415, 41080, 40642, array([-7792.,     0.,  2464.]), array([-7284.,  -311.,  1866.]), array([ 310., -157.,  -31.]))
