(6, 25336, 24973, 23815, array([-7936.,  -176.,  2336.]), array([ 25998.,   8694.,  11441.]), array([ 220.,   -2., -310.]))
(6, 26761, 25975, 23815, array([-7952.,   144.,  2080.]), array([-12332.,   8694., -15643.]), array([ 220.,   -2., -310.]))
(6, 27711, 27979, 23815, array([-7888.,    96.,  2000.]), array([ 4524.,  1834.,   186.]), array([ 220.,   -2., -310.]))
(6, 29135, 28981, 28195, array([-7920.,    96.,  2016.]), array([ 4484.,  1976.,   197.]), array([ 357.,  229.,   74.]))
(6, 30085, 29983, 28195, array([-7968.,   208.,  2144.]), array([ 4503.,  1978.,   224.]), array([ 357.,  229.,   74.]))
(6, 31034, 30986, 30741, array([-7952.,   176.,  2176.]), array([ 4525.,  1987.,   210.]), array([ 357.,  221.,   74.]))
(6, 32458, 31989, 30741, array([-7952.,   144.,  2096.]), array([ 4513.,  1973.,   198.]), array([ 357.,  221.,   74.]))
(6, 33407, 32991, 33285, array([-8000.,   192.,  2064.]), array([ 4555.,  1987.,   215.]), array([ 358.,  211.,   82.]))
(6, 34356, 33993, 33285, array([-8016.,   240.,  2112.]), array([ 4476.,  2004.,   233.]), array([ 358.,  211.,   82.]))
(6, 35780, 34996, 35830, array([-7952.,   288.,  2064.]), array([ 4564.,  2030.,   210.]), array([ 358.,  203.,   87.]))
(6, 36729, 37005, 35830, array([-7920.,   -96.,  1920.]), array([ 4514.,  2000.,   224.]), array([ 358.,  203.,   87.]))
(6, 38153, 38013, 35830, array([-8064.,   128.,  1872.]), array([ 4176.,  1933.,   240.]), array([ 358.,  203.,   87.]))
(6, 39102, 39021, 38375, array([-7920.,   144.,  2032.]), array([ 4029.,  1993.,   261.]), array([ 358.,  196.,   87.]))
(6, 40051, 40028, 38375, array([-7952.,   192.,  2144.]), array([ 3942.,  1945.,   295.]), array([ 358.,  196.,   87.]))
(6, 41475, 41036, 40921, array([-8048.,   304.,  2112.]), array([ 3764.,  1915.,   346.]), array([ 358.,  189.,   91.]))
(6, 42424, 42044, 40921, array([-8016.,   256.,  2128.]), array([ 3517.,  1873.,   363.]), array([ 358.,  189.,   91.]))
(6, 43374, 43052, 43466, array([-7936.,   336.,  2144.]), array([ 3233.,  1788.,   441.]), array([ 361.,  180.,   94.]))
(6, 44798, 44060, 43466, array([-8000.,   256.,  2192.]), array([ 2832.,  1703.,   549.]), array([ 361.,  180.,   94.]))
(6, 45747, 45067, 46011, array([-7984.,   336.,  2160.]), array([ 2217.,  1533.,   722.]), array([ 360.,  170.,   98.]))
(6, 47176, 47083, 46011, array([-7968.,   448.,  2176.]), array([ -130.,  1038.,  1282.]), array([ 360.,  170.,   98.]))
(6, 48125, 48091, 46011, array([-7792.,   144.,  2000.]), array([-1420.,   767.,  1569.]), array([ 360.,  170.,   98.]))
(6, 49075, 49099, 48556, array([-7840.,   192.,  2128.]), array([-2675.,   521.,  1823.]), array([ 359.,  159.,  100.]))
(6, 50498, 50107, 48556, array([-7904.,   256.,  2208.]), array([-3805.,   309.,  2079.]), array([ 359.,  159.,  100.]))
(6, 51448, 51115, 51102, array([-7920.,   320.,  2208.]), array([-4896.,    98.,  2335.]), array([ 364.,  150.,  103.]))
(6, 52396, 52123, 51102, array([-7920.,   256.,  2224.]), array([-6020.,   -89.,  2587.]), array([ 364.,  150.,  103.]))
