(6, 64088, 63725, 61189, array([-7808.,    32.,  3008.]), array([  6397.,  -6535., -30047.]), array([ 346.,  314., -116.]))
(6, 65514, 64727, 61189, array([-8032.,    96.,  2224.]), array([-13497.,  -6535., -28502.]), array([ 346.,  314., -116.]))
(6, 927, 1195, 61189, array([-8064.,   176.,  2128.]), array([ 4502.,  1844.,   228.]), array([ 346.,  314., -116.]))
(6, 2352, 2197, 1411, array([-8080.,    96.,  2096.]), array([ 4490.,  1982.,   212.]), array([ 381.,  127.,   83.]))
(6, 3302, 3199, 1411, array([-8064.,   128.,  2208.]), array([ 4519.,  1975.,   213.]), array([ 381.,  127.,   83.]))
(6, 4251, 4201, 3957, array([-8064.,    80.,  2144.]), array([ 4513.,  1999.,   210.]), array([ 381.,  115.,   83.]))
(6, 5676, 5203, 3957, array([-8016.,    48.,  2144.]), array([ 4521.,  1998.,   216.]), array([ 381.,  115.,   83.]))
(6, 6625, 6205, 6502, array([-8048.,   160.,  2208.]), array([ 4546.,  1991.,   237.]), array([ 381.,  105.,   90.]))
(6, 7574, 7207, 6502, array([-8064.,   112.,  2192.]), array([ 4531.,  1984.,   224.]), array([ 381.,  105.,   90.]))
(6, 8999, 8209, 9049, array([-8064.,   208.,  2304.]), array([ 4528.,  1965.,   223.]), array([ 382.,   94.,   87.]))
(6, 9948, 9465, 9049, array([-8080.,   192.,  2336.]), array([-19851.,   1985., -10122.]), array([ 382.,   94.,   87.]))
(6, 11372, 10467, 9049, array([-8000.,   240.,  2352.]), array([ 23974.,  -3479.,  10347.]), array([ 382.,   94.,   87.]))
(6, 12322, 12473, 11594, array([-8096.,    80.,  2256.]), array([ 4357.,  1834.,   333.]), array([ 382.,   84.,   87.]))
(6, 13271, 13481, 11594, array([-8048.,   144.,  2224.]), array([ 4373.,  2036.,   670.]), array([ 382.,   84.,   87.]))
(6, 14695, 14489, 14139, array([-8048.,    64.,  2240.]), array([ 3740.,  2111.,   408.]), array([ 382.,   74.,   87.]))
(6, 15645, 15496, 14139, array([-8064.,   128.,  2208.]), array([ 3468.,  1861.,   501.]), array([ 382.,   74.,   87.]))
(6, 16594, 16504, 16684, array([-8048.,    96.,  2288.]), array([ 3106.,  1766.,   633.]), array([ 384.,   61.,   88.]))
(6, 18017, 17512, 16684, array([-8064.,   192.,  2288.]), array([ 2664.,  1652.,   811.]), array([ 384.,   61.,   88.]))
(6, 18967, 18520, 19230, array([-8016.,   144.,  2208.]), array([ 1962.,  1514.,  1069.]), array([ 382.,   50.,   84.]))
