(6, 21010, 20647, 20355, array([-7776.,  -160.,  3152.]), array([  6242.,  -5412.,  22175.]), array([ 196., -103., -280.]))
(6, 22435, 21649, 20355, array([-7664.,   128.,  3296.]), array([-12241.,  -5412., -17433.]), array([ 196., -103., -280.]))
(6, 23385, 23653, 20355, array([-7712.,   144.,  3280.]), array([ 4525.,  1849.,   226.]), array([ 196., -103., -280.]))
(6, 24809, 24655, 23866, array([-7824.,   112.,  3296.]), array([ 4493.,  1997.,   224.]), array([ 336., -153.,  -79.]))
(6, 25763, 25657, 23866, array([-7664.,   128.,  3280.]), array([ 4510.,  1988.,   216.]), array([ 336., -153.,  -79.]))
(6, 26716, 26659, 26410, array([-7792.,   192.,  3264.]), array([ 4500.,  1993.,   211.]), array([ 336., -156.,  -85.]))
(6, 28140, 27661, 26410, array([-7728.,    48.,  3264.]), array([ 4501.,  1983.,   221.]), array([ 336., -156.,  -85.]))
(6, 29094, 28663, 28956, array([-7856.,    16.,  3344.]), array([ 4529.,  1974.,   234.]), array([ 330., -160.,  -85.]))
(6, 30043, 29665, 28956, array([-7808.,    32.,  3200.]), array([ 4498.,  1976.,   220.]), array([ 330., -160.,  -85.]))
(6, 31471, 30667, 31501, array([-7776.,   -48.,  3344.]), array([ 4515.,  1997.,   223.]), array([ 320., -166., -104.]))
(6, 32420, 31971, 31501, array([-7760.,   -96.,  3200.]), array([-7973.,  1975., -7401.]), array([ 320., -166., -104.]))
(6, 33844, 32973, 31501, array([-7760.,   -48.,  3296.]), array([ 12409., -22532.,   7644.]), array([ 320., -166., -104.]))
(6, 34793, 34978, 34045, array([-7664.,    48.,  3264.]), array([ 4376.,  1824.,   306.]), array([ 320., -166., -104.]))
(6, 35742, 35986, 34045, array([-7568.,   -32.,  3216.]), array([ 4437.,  2022.,   714.]), array([ 320., -166., -104.]))
(6, 37165, 36993, 36591, array([-7584.,   -64.,  3344.]), array([ 3792.,  2025.,   488.]), array([ 312., -171., -124.]))
(6, 38113, 38001, 36591, array([-7616.,   -32.,  3328.]), array([ 3552.,  1847.,   611.]), array([ 312., -171., -124.]))
(6, 39062, 39009, 39137, array([-7600.,   -48.,  3168.]), array([ 3210.,  1785.,   788.]), array([ 309., -174., -124.]))
(6, 40486, 40017, 39137, array([-7616.,     0.,  3296.]), array([ 2817.,  1668.,  1028.]), array([ 309., -174., -124.]))
(6, 41435, 41024, 41681, array([-7552.,   -32.,  3200.]), array([ 2141.,  1506.,  1392.]), array([ 302., -175., -132.]))
(6, 42384, 42032, 41681, array([-7552.,    16.,  3296.]), array([ 1071.,  1261.,  1868.]), array([ 302., -175., -132.]))
(6, 43808, 43040, 41681, array([-7744.,   -16.,  3264.]), array([ -261.,  1017.,  2382.]), array([ 302., -175., -132.]))
(6, 44757, 45056, 44224, array([-7760.,   -48.,  3248.]), array([-2879.,   476.,  3411.]), array([ 294., -175., -138.]))
(6, 46180, 46064, 44224, array([-7744.,  -160.,  3200.]), array([-4019.,   231.,  3891.]), array([ 294., -175., -138.]))
(6, 47129, 47072, 46770, array([-7744.,  -144.,  3328.]), array([-5136.,    10.,  4331.]), array([ 288., -177., -148.]))
(6, 48078, 48080, 46770, array([-7840.,  -128.,  3280.]), array([-6260.,  -211.,  4739.]), array([ 288., -177., -148.]))
(6, 49506, 49088, 49314, array([-7776.,   -96.,  3248.]), array([-7905.,  -408.,  5102.]), array([ 281., -175., -158.]))
(6, 50455, 50096, 49314, array([-7744.,  -128.,  3344.]), array([-8705.,  -511.,  5244.]), array([ 281., -175., -158.]))
(6, 51404, 51104, 49314, array([-7712.,  -160.,  3312.]), array([-8501.,  -482.,  5202.]), array([ 281., -175., -158.]))
(6, 52827, 52112, 51860, array([-7712.,  -144.,  3376.]), array([-8433.,  -449.,  5174.]), array([ 276., -175., -165.]))
(6, 53776, 53120, 51860, array([-7664.,   -48.,  3344.]), array([-8435.,  -477.,  5164.]), array([ 276., -175., -165.]))
(6, 55200, 55136, 54405, array([-7488.,   -96.,  3456.]), array([-8484.,  -506.,  5168.]), array([ 271., -172., -177.]))
(6, 56149, 56144, 54405, array([-7696.,   -96.,  3408.]), array([-8443.,  -516.,  5188.]), array([ 271., -172., -177.]))
(6, 57098, 57152, 56950, array([-7488.,  -160.,  3392.]), array([-8477.,  -505.,  5149.]), array([ 262., -170., -183.]))
(6, 58521, 58160, 56950, array([-7568.,  -144.,  3360.]), array([-8437.,  -515.,  5123.]), array([ 262., -170., -183.]))
(6, 59470, 59168, 59496, array([-7616.,  -144.,  3360.]), array([-8445.,  -540.,  5154.]), array([ 250., -168., -203.]))
(6, 60419, 60176, 59496, array([-7568.,   -96.,  3360.]), array([-8453.,  -524.,  5184.]), array([ 250., -168., -203.]))
