(6, 7749, 7386, 7000, array([-6928.,  -224.,  4560.]), array([ 12953.,  -8310., -28751.]), array([ 342., -145., -110.]))
(6, 9175, 8387, 7000, array([-7200.,  -592.,  4304.]), array([ -3239.,  -8310.,  22559.]), array([ 342., -145., -110.]))
(6, 10124, 10391, 7000, array([-7248.,  -672.,  4320.]), array([ 4500.,  1852.,   204.]), array([ 342., -145., -110.]))
(6, 11548, 11393, 10607, array([-7248.,  -640.,  4304.]), array([ 4497.,  1981.,   210.]), array([ 129.,  164., -370.]))
(6, 12498, 12395, 10607, array([-7136.,  -560.,  4304.]), array([ 4508.,  1972.,   215.]), array([ 129.,  164., -370.]))
(6, 13447, 13397, 13153, array([-7216.,  -544.,  4304.]), array([ 4529.,  1980.,   233.]), array([ 129.,  170., -370.]))
(6, 14874, 14399, 13153, array([-7248.,  -608.,  4272.]), array([ 4548.,  1987.,   230.]), array([ 129.,  170., -370.]))
(6, 15823, 15401, 15698, array([-7216.,  -672.,  4416.]), array([ 4533.,  2013.,   229.]), array([ 130.,  178., -363.]))
(6, 16772, 16403, 15698, array([-7248.,  -640.,  4256.]), array([ 4526.,  1991.,   215.]), array([ 130.,  178., -363.]))
(6, 18196, 17406, 18244, array([-7232.,  -592.,  4176.]), array([ 4523.,  2014.,   228.]), array([ 131.,  187., -362.]))
(6, 19145, 19415, 18244, array([-7280.,  -480.,  4224.]), array([ 4392.,  2010.,   260.]), array([ 131.,  187., -362.]))
(6, 20570, 20423, 18244, array([-7296.,  -672.,  4176.]), array([ 4166.,  1953.,   307.]), array([ 131.,  187., -362.]))
(6, 21519, 21431, 20789, array([-7200.,  -640.,  4192.]), array([ 4130.,  1968.,   359.]), array([ 131.,  191., -362.]))
(6, 22468, 22439, 20789, array([-7296.,  -624.,  4208.]), array([ 4061.,  1943.,   407.]), array([ 131.,  191., -362.]))
(6, 23892, 23447, 23335, array([-7296.,  -624.,  4192.]), array([ 3882.,  1902.,   489.]), array([ 132.,  198., -364.]))
(6, 24841, 24454, 23335, array([-7312.,  -544.,  4128.]), array([ 3750.,  1847.,   610.]), array([ 132.,  198., -364.]))
(6, 25790, 25462, 25879, array([-7264.,  -560.,  4128.]), array([ 3510.,  1759.,   791.]), array([ 137.,  206., -363.]))
(6, 27214, 26470, 25879, array([-7232.,  -640.,  4208.]), array([ 3259.,  1662.,  1012.]), array([ 137.,  206., -363.]))
(6, 28163, 27478, 28423, array([-7248.,  -720.,  4160.]), array([ 2730.,  1483.,  1379.]), array([ 135.,  207., -361.]))
(6, 29587, 29493, 28423, array([-7264.,  -592.,  4176.]), array([  667.,  1010.,  2267.]), array([ 135.,  207., -361.]))
(6, 30536, 30501, 28423, array([-7216.,  -592.,  4128.]), array([ -464.,   721.,  2744.]), array([ 135.,  207., -361.]))
(6, 31485, 31509, 30967, array([-7264.,  -544.,  4096.]), array([-1430.,   465.,  3267.]), array([ 137.,  218., -359.]))
(6, 32909, 32517, 30967, array([-7344.,  -656.,  4128.]), array([-2390.,   250.,  3770.]), array([ 137.,  218., -359.]))
