(6, 48618, 48255, 47833, array([-7968.,   352.,   784.]), array([ 3062., -9838.,  4171.]), array([ 297., -147., -194.]))
(6, 50043, 49257, 47833, array([-8032.,   -64.,   624.]), array([ 6068., -9838., -3729.]), array([ 297., -147., -194.]))
(6, 50992, 51261, 47833, array([-8032.,   -64.,   640.]), array([ 4511.,  1853.,   194.]), array([ 297., -147., -194.]))
(6, 52416, 52263, 51473, array([-8032.,    32.,   608.]), array([ 4500.,  1990.,   209.]), array([ 308.,   56.,  175.]))
(6, 53365, 53265, 51473, array([-8000.,    64.,   656.]), array([ 4514.,  1981.,   238.]), array([ 308.,   56.,  175.]))
(6, 54314, 54267, 54018, array([-8000.,    48.,   592.]), array([ 4518.,  1996.,   216.]), array([ 308.,   47.,  175.]))
(6, 55738, 55268, 54018, array([-8016.,   -96.,   592.]), array([ 4528.,  1996.,   206.]), array([ 308.,   47.,  175.]))
(6, 56688, 56270, 56562, array([-8048.,  -128.,   608.]), array([ 4533.,  1979.,   210.]), array([ 313.,   37.,  183.]))
(6, 57637, 57272, 56562, array([-8032.,  -160.,   576.]), array([ 4528.,  1991.,   203.]), array([ 313.,   37.,  183.]))
(6, 59061, 58274, 59106, array([-8016.,  -144.,   608.]), array([ 4488.,  2010.,   234.]), array([ 311.,   31.,  169.]))
(6, 60010, 59626, 59106, array([-8016.,   -48.,   656.]), array([ 15953.,   1962., -16164.]), array([ 311.,   31.,  169.]))
(6, 61433, 60628, 59106, array([-8048.,   -48.,   608.]), array([-11412., -13707.,  16915.]), array([ 311.,   31.,  169.]))
(6, 62382, 61630, 61650, array([-8016.,     0.,   720.]), array([  4278.,  15916.,    217.]), array([ 311.,   22.,  169.]))
(6, 63331, 63642, 61650, array([-8000.,   -16.,   656.]), array([ 4409.,  2020.,   619.]), array([ 311.,   22.,  169.]))
(6, 64754, 64649, 64195, array([-8032.,   -48.,   752.]), array([ 3750.,  2019.,    63.]), array([ 312.,   12.,  165.]))
(6, 167, 121, 64195, array([-8016.,  -128.,   736.]), array([ 3470.,  1853.,    -4.]), array([ 312.,   12.,  165.]))
(6, 1116, 1129, 1204, array([-7968.,  -144.,   752.]), array([ 3096.,  1746.,   -36.]), array([ 314.,    3.,  165.]))
(6, 2540, 2137, 1204, array([-8016.,   -16.,   752.]), array([ 2650.,  1621.,  -147.]), array([ 314.,    3.,  165.]))
(6, 3489, 3144, 3750, array([-8000.,    80.,   784.]), array([ 1938.,  1451.,  -237.]), array([ 315.,   -4.,  160.]))
(6, 4913, 4152, 3750, array([-8000.,   -48.,   768.]), array([  768.,  1179.,  -274.]), array([ 315.,   -4.,  160.]))
(6, 5861, 5160, 3750, array([-8000.,   -64.,   768.]), array([-589.,  864., -283.]), array([ 315.,   -4.,  160.]))
(6, 6811, 7176, 6294, array([-8048.,   -64.,   848.]), array([-3354.,   243.,  -323.]), array([ 318.,  -13.,  155.]))
(6, 8234, 8184, 6294, array([-8016.,  -160.,   768.]), array([-4683.,   -45.,  -324.]), array([ 318.,  -13.,  155.]))
(6, 9183, 9192, 8839, array([-8016.,  -192.,   672.]), array([-5932.,  -323.,  -321.]), array([ 320.,  -22.,  156.]))
(6, 10132, 10200, 8839, array([-8032.,  -144.,   688.]), array([-7073.,  -554.,  -312.]), array([ 320.,  -22.,  156.]))
(6, 11556, 11208, 11384, array([-8016.,   -32.,   752.]), array([-8707.,  -834.,  -264.]), array([ 318.,  -29.,  150.]))
(6, 12505, 12216, 11384, array([-8016.,   -32.,   736.]), array([-9532.,  -916.,  -208.]), array([ 318.,  -29.,  150.]))
(6, 13929, 13224, 11384, array([-8032.,     0.,   800.]), array([-9379.,  -855.,  -194.]), array([ 318.,  -29.,  150.]))
(6, 14878, 14232, 13929, array([-8032.,  -112.,   656.]), array([-9298.,  -840.,  -139.]), array([ 324.,  -38.,  141.]))
(6, 15827, 15240, 13929, array([-8048.,  -272.,   784.]), array([-9343.,  -835.,  -109.]), array([ 324.,  -38.,  141.]))
(6, 17251, 17256, 16473, array([-7984.,  -160.,   848.]), array([-9393.,  -806.,  -167.]), array([ 324.,  -46.,  141.]))
(6, 18200, 18264, 16473, array([-8000.,  -112.,   864.]), array([-9363.,  -799.,  -188.]), array([ 324.,  -46.,  141.]))
(6, 19149, 19272, 19018, array([-8016.,   -64.,   832.]), array([-9334.,  -804.,  -167.]), array([ 324.,  -56.,  134.]))
(6, 20573, 20280, 19018, array([-8016.,   -48.,   832.]), array([-9338.,  -794.,  -164.]), array([ 324.,  -56.,  134.]))
(6, 21522, 21288, 21565, array([-7984.,     0.,   912.]), array([-9378.,  -811.,  -185.]), array([ 327.,  -60.,  120.]))
