(6, 39264, 38901, 36645, array([-7920.,  -368.,  1472.]), array([ -9608., -21443., -10682.]), array([ 257.,  -73., -250.]))
(6, 40691, 39903, 36645, array([-8032.,  -368.,  1136.]), array([ 18087., -21443.,   8894.]), array([ 257.,  -73., -250.]))
(6, 41640, 41907, 36645, array([-7952.,  -432.,  1136.]), array([ 4517.,  1858.,   230.]), array([ 257.,  -73., -250.]))
(6, 43064, 42909, 42122, array([-7968.,  -416.,  1120.]), array([ 4479.,  1985.,   219.]), array([ 298.,  169., -263.]))
(6, 44013, 43911, 42122, array([-7952.,  -368.,  1072.]), array([ 4534.,  1992.,   208.]), array([ 298.,  169., -263.]))
(6, 44963, 44913, 44668, array([-7984.,  -448.,  1056.]), array([ 4525.,  1974.,   219.]), array([ 298.,  157., -263.]))
(6, 46387, 45915, 44668, array([-7968.,  -384.,  1072.]), array([ 4517.,  1989.,   229.]), array([ 298.,  157., -263.]))
(6, 47337, 46917, 47214, array([-7952.,  -400.,  1088.]), array([ 4548.,  1982.,   225.]), array([ 298.,  150., -262.]))
(6, 48286, 47919, 47214, array([-7904.,  -400.,  1136.]), array([ 4533.,  1994.,   225.]), array([ 298.,  150., -262.]))
(6, 49710, 48921, 49762, array([-8000.,  -496.,  1120.]), array([ 4572.,  2010.,   196.]), array([ 299.,  144., -271.]))
(6, 50659, 50301, 49762, array([-8016.,  -432.,  1152.]), array([-14040.,   1991.,  31775.]), array([ 299.,  144., -271.]))
(6, 52083, 51303, 49762, array([-8000.,  -480.,  1104.]), array([ 18835.,  30023., -31541.]), array([ 299.,  144., -271.]))
(6, 53033, 52305, 52308, array([-8000.,  -368.,  1104.]), array([  4201., -27865.,    212.]), array([ 298.,  134., -271.]))
(6, 53982, 54317, 52308, array([-8000.,  -368.,  1200.]), array([ 4579.,  2028.,   632.]), array([ 298.,  134., -271.]))
(6, 55405, 55325, 54854, array([-8016.,  -384.,  1136.]), array([ 4967.,  2080.,    63.]), array([ 297.,  129., -273.]))
(6, 56354, 56332, 54854, array([-7968.,  -464.,  1168.]), array([ 5307.,  1907.,   -11.]), array([ 297.,  129., -273.]))
(6, 57304, 57340, 57400, array([-7968.,  -416.,  1232.]), array([ 5684.,  1798.,   -89.]), array([ 299.,  121., -274.]))
(6, 58728, 58348, 57400, array([-8016.,  -432.,  1232.]), array([ 6290.,  1749.,  -224.]), array([ 299.,  121., -274.]))
(6, 59677, 59356, 59947, array([-7968.,  -384.,  1104.]), array([ 6959.,  1670.,  -366.]), array([ 296.,  112., -273.]))
(6, 61102, 60364, 59947, array([-7872.,  -496.,  1248.]), array([ 7400.,  1481.,  -464.]), array([ 296.,  112., -273.]))
(6, 62051, 61371, 59947, array([-7872.,  -448.,  1296.]), array([ 7779.,  1286.,  -524.]), array([ 296.,  112., -273.]))
(6, 63001, 62379, 62493, array([-8000.,  -432.,  1248.]), array([ 7997.,  1088.,  -583.]), array([ 301.,  106., -276.]))
(6, 64424, 64395, 62493, array([-8016.,  -384.,  1184.]), array([ 8453.,   712.,  -688.]), array([ 301.,  106., -276.]))
(6, 65374, 65403, 65041, array([-7904.,  -352.,  1232.]), array([ 8661.,   558.,  -712.]), array([ 298.,   98., -274.]))
(6, 787, 875, 65041, array([-7952.,  -416.,  1216.]), array([ 8869.,   440.,  -720.]), array([ 298.,   98., -274.]))
(6, 2211, 1883, 2050, array([-7920.,  -464.,  1184.]), array([ 8097.,   290.,  -639.]), array([ 298.,   89., -275.]))
(6, 3160, 2891, 2050, array([-8016.,  -352.,  1216.]), array([ 7376.,   262.,  -559.]), array([ 298.,   89., -275.]))
(6, 4110, 3899, 2050, array([-7936.,  -288.,  1264.]), array([ 7434.,   306.,  -598.]), array([ 298.,   89., -275.]))
(6, 5534, 4907, 4597, array([-8000.,  -336.,  1184.]), array([ 7451.,   272.,  -632.]), array([ 300.,   83., -276.]))
(6, 6483, 5915, 4597, array([-7952.,  -384.,  1184.]), array([ 7436.,   270.,  -606.]), array([ 300.,   83., -276.]))
(6, 7907, 7931, 7144, array([-7968.,  -496.,  1312.]), array([ 7408.,   288.,  -593.]), array([ 300.,   73., -276.]))
(6, 9805, 9947, 9689, array([-8000.,  -368.,  1296.]), array([ 7305.,   275.,  -577.]), array([ 299.,   65., -276.]))
(6, 12179, 11963, 12236, array([-7984.,  -416.,  1344.]), array([ 7291.,   283.,  -538.]), array([ 296.,   58., -273.]))
(6, 13129, 12971, 12236, array([-7936.,  -400.,  1328.]), array([ 7268.,   303.,  -540.]), array([ 296.,   58., -273.]))
(6, 14552, 13979, 12236, array([-7968.,  -416.,  1344.]), array([ 7205.,   303.,  -572.]), array([ 296.,   58., -273.]))
(6, 15502, 14987, 14782, array([-8016.,  -352.,  1344.]), array([ 7151.,   314.,  -597.]), array([ 298.,   51., -273.]))
(6, 16926, 15995, 14782, array([-7984.,  -208.,  1296.]), array([ 7199.,   304.,  -603.]), array([ 298.,   51., -273.]))
(6, 17875, 18011, 17327, array([-7984.,  -272.,  1312.]), array([ 7160.,   271.,  -593.]), array([ 299.,   43., -277.]))
(6, 18824, 19019, 17327, array([-7920.,  -432.,  1312.]), array([ 7167.,   264.,  -593.]), array([ 299.,   43., -277.]))
(6, 20248, 20027, 19874, array([-8032.,  -384.,  1328.]), array([ 7135.,   272.,  -584.]), array([ 299.,   38., -273.]))
(6, 21198, 21035, 19874, array([-7920.,  -352.,  1264.]), array([ 7088.,   280.,  -588.]), array([ 299.,   38., -273.]))
(6, 22147, 22043, 22420, array([-7920.,  -352.,  1296.]), array([ 7032.,   271.,  -575.]), array([ 299.,   33., -273.]))
(6, 23571, 23051, 22420, array([-7936.,  -288.,  1360.]), array([ 7026.,   306.,  -594.]), array([ 299.,   33., -273.]))
(6, 24521, 24059, 22420, array([-8016.,  -288.,  1312.]), array([ 7016.,   305.,  -586.]), array([ 299.,   33., -273.]))
(6, 25945, 25067, 24965, array([-7984.,  -432.,  1440.]), array([ 6999.,   284.,  -588.]), array([ 299.,   23., -269.]))
(6, 26894, 26075, 24965, array([-7952.,  -368.,  1440.]), array([ 7010.,   266.,  -561.]), array([ 299.,   23., -269.]))
(6, 27844, 28091, 27511, array([-8064.,  -416.,  1360.]), array([ 6913.,   264.,  -576.]), array([ 298.,   15., -270.]))
(6, 29268, 29099, 27511, array([-7920.,  -208.,  1408.]), array([ 6914.,   278.,  -575.]), array([ 298.,   15., -270.]))
(6, 30217, 30107, 30058, array([-7936.,  -304.,  1440.]), array([ 6859.,   251.,  -550.]), array([ 301.,   10., -263.]))
(6, 31167, 31115, 30058, array([-7872.,  -304.,  1440.]), array([ 6891.,   247.,  -529.]), array([ 301.,   10., -263.]))
(6, 32592, 32123, 32604, array([-8096.,  -448.,  1424.]), array([ 6876.,   264.,  -530.]), array([ 303.,    1., -265.]))
(6, 33542, 33131, 32604, array([-8000.,  -400.,  1408.]), array([ 6822.,   257.,  -544.]), array([ 303.,    1., -265.]))
(6, 34491, 34139, 32604, array([-8048.,  -240.,  1360.]), array([ 6797.,   272.,  -573.]), array([ 303.,    1., -265.]))
(6, 35915, 35147, 35150, array([-8016.,  -144.,  1360.]), array([ 6731.,   260.,  -578.]), array([ 303.,   -3., -265.]))
(6, 36864, 37163, 35150, array([-7952.,  -160.,  1456.]), array([ 6768.,   266.,  -535.]), array([ 303.,   -3., -265.]))
(6, 38288, 38171, 37698, array([-7952.,  -256.,  1424.]), array([ 6749.,   277.,  -516.]), array([ 301.,   -9., -262.]))
(6, 39237, 39179, 37698, array([-7920.,  -464.,  1344.]), array([ 6761.,   273.,  -511.]), array([ 301.,   -9., -262.]))
(6, 40187, 40187, 40244, array([-8016.,  -464.,  1424.]), array([ 6695.,   249.,  -533.]), array([ 297.,  -16., -260.]))
(6, 41612, 41195, 40244, array([-7936.,  -208.,  1440.]), array([ 6691.,   252.,  -537.]), array([ 297.,  -16., -260.]))
(6, 42561, 42203, 42790, array([-7920.,  -208.,  1344.]), array([ 6640.,   286.,  -566.]), array([ 303.,  -22., -260.]))
(6, 43510, 43211, 42790, array([-7904.,  -128.,  1440.]), array([ 6584.,   256.,  -559.]), array([ 303.,  -22., -260.]))
(6, 44933, 44219, 42790, array([-7952.,  -384.,  1584.]), array([ 6633.,   272.,  -533.]), array([ 303.,  -22., -260.]))
(6, 45883, 45227, 45337, array([-7936.,  -528.,  1440.]), array([ 6610.,   253.,  -488.]), array([ 302.,  -28., -251.]))
(6, 47306, 47244, 45337, array([-7984.,  -416.,  1456.]), array([ 6573.,   252.,  -530.]), array([ 302.,  -28., -251.]))
(6, 48255, 48252, 47882, array([-7968.,  -272.,  1392.]), array([ 6513.,   272.,  -587.]), array([ 304.,  -37., -251.]))
(6, 49204, 49260, 47882, array([-7888.,  -112.,  1504.]), array([ 6509.,   263.,  -569.]), array([ 304.,  -37., -251.]))
(6, 50628, 50268, 50429, array([-7856.,  -176.,  1472.]), array([ 6500.,   292.,  -548.]), array([ 300.,  -41., -250.]))
(6, 51577, 51276, 50429, array([-7952.,  -208.,  1440.]), array([ 6499.,   291.,  -503.]), array([ 300.,  -41., -250.]))
(6, 52526, 52284, 50429, array([-7968.,  -384.,  1424.]), array([ 6485.,   280.,  -482.]), array([ 300.,  -41., -250.]))
(6, 53950, 53292, 52975, array([-7984.,  -464.,  1584.]), array([ 6462.,   269.,  -452.]), array([ 301.,  -47., -245.]))
(6, 54899, 54300, 52975, array([-8000.,  -288.,  1488.]), array([ 6445.,   265.,  -517.]), array([ 301.,  -47., -245.]))
(6, 55849, 56316, 55520, array([-7968.,   -80.,  1456.]), array([ 6392.,   244.,  -586.]), array([ 301.,  -55., -244.]))
(6, 57273, 57324, 55520, array([-7856.,   -80.,  1600.]), array([ 6378.,   232.,  -524.]), array([ 301.,  -55., -244.]))
(6, 58222, 58332, 58065, array([-7920.,  -176.,  1504.]), array([ 6349.,   241.,  -461.]), array([ 304.,  -58., -239.]))
(6, 59646, 59340, 58065, array([-8048.,  -416.,  1488.]), array([ 6347.,   249.,  -437.]), array([ 304.,  -58., -239.]))
(6, 60596, 60348, 60610, array([-8000.,  -464.,  1520.]), array([ 6338.,   243.,  -435.]), array([ 304.,  -65., -234.]))
(6, 61545, 61356, 60610, array([-8000.,  -288.,  1552.]), array([ 6355.,   256.,  -489.]), array([ 304.,  -65., -234.]))
(6, 62969, 62364, 60610, array([-7840.,   -48.,  1584.]), array([ 6278.,   266.,  -566.]), array([ 304.,  -65., -234.]))
(6, 63919, 63372, 63157, array([-7888.,   -64.,  1584.]), array([ 6239.,   290.,  -565.]), array([ 304.,  -67., -234.]))
(6, 64868, 64380, 63157, array([-7888.,   -96.,  1552.]), array([ 6271.,   246.,  -498.]), array([ 304.,  -67., -234.]))
(6, 756, 860, 167, array([-8080.,  -352.,  1568.]), array([ 6289.,   240.,  -384.]), array([ 304.,  -71., -231.]))
(6, 1706, 1868, 167, array([-8000.,  -576.,  1504.]), array([ 6229.,   250.,  -426.]), array([ 304.,  -71., -231.]))
(6, 3130, 2876, 2715, array([-8048.,  -400.,  1424.]), array([ 6193.,   240.,  -518.]), array([ 305.,  -79., -222.]))
(6, 4079, 3884, 2715, array([-7888.,   -32.,  1520.]), array([ 6189.,   229.,  -610.]), array([ 305.,  -79., -222.]))
