(6, 32837, 31955, 30888, array([-7952.,   192.,  2240.]), array([-6764.,  -258.,  1759.]), array([ 346.,   13.,  129.]))
(6, 33787, 33971, 33433, array([-8000.,   128.,  2192.]), array([-6724.,  -279.,  1724.]), array([ 347.,    6.,  128.]))
(6, 63144, 62781, 62070, array([-7952.,    96.,  2128.]), array([ -2521., -26299., -25639.]), array([ 297., -159.,  -61.]))
(6, 64570, 63782, 62070, array([-8016.,     0.,  1616.]), array([ -2448., -26299.,  27348.]), array([ 297., -159.,  -61.]))
(6, 65519, 250, 62070, array([-8000.,    96.,  1552.]), array([ 4500.,  1841.,   221.]), array([ 297., -159.,  -61.]))
(6, 1407, 1252, 467, array([-7984.,    32.,  1504.]), array([ 4481.,  1986.,   213.]), array([ 338.,  279.,   62.]))
(6, 2356, 2254, 467, array([-7968.,   -16.,  1472.]), array([ 4496.,  1997.,   199.]), array([ 338.,  279.,   62.]))
(6, 3305, 3255, 3014, array([-7984.,   -48.,  1472.]), array([ 4499.,  1995.,   214.]), array([ 338.,  291.,   62.]))
(6, 4729, 4257, 3014, array([-8000.,   -16.,  1440.]), array([ 4511.,  1986.,   220.]), array([ 338.,  291.,   62.]))
(6, 5677, 5259, 5561, array([-7984.,    32.,  1472.]), array([ 4536.,  1972.,   234.]), array([ 337.,  294.,   59.]))
(6, 6627, 6260, 5561, array([-7920.,     0.,  1600.]), array([ 4503.,  1977.,   220.]), array([ 337.,  294.,   59.]))
(6, 8051, 7262, 8108, array([-8032.,   -96.,  1424.]), array([ 4479.,  1967.,   214.]), array([ 336.,  298.,   43.]))
(6, 9000, 9272, 8108, array([-8096.,   -96.,  1504.]), array([ 4436.,  1990.,   221.]), array([ 336.,  298.,   43.]))
(6, 10423, 10279, 8108, array([-8064.,   -48.,  1504.]), array([ 4556.,  2102.,   118.]), array([ 336.,  298.,   43.]))
(6, 11373, 11287, 10655, array([-7968.,  -112.,  1568.]), array([ 4697.,  2086.,    71.]), array([ 335.,  304.,   43.]))
(6, 12322, 12295, 10655, array([-8080.,   -80.,  1504.]), array([ 4833.,  1974.,    14.]), array([ 335.,  304.,   43.]))
(6, 13746, 13303, 13202, array([-7984.,   -96.,  1504.]), array([ 5087.,  1923.,   -85.]), array([ 336.,  306.,   37.]))
(6, 14695, 14311, 13202, array([-7968.,   -80.,  1520.]), array([ 5376.,  1913.,  -185.]), array([ 336.,  306.,   37.]))
(6, 15645, 15318, 15748, array([-8016.,   -16.,  1616.]), array([ 5800.,  1899.,  -344.]), array([ 336.,  314.,   31.]))
(6, 17069, 16326, 15748, array([-8032.,   -80.,  1488.]), array([ 6436.,  1833.,  -566.]), array([ 336.,  314.,   31.]))
(6, 18018, 17334, 18296, array([-7952.,   -64.,  1424.]), array([ 7110.,  1708.,  -803.]), array([ 332.,  316.,   24.]))
(6, 19442, 19350, 18296, array([-7968.,  -128.,  1408.]), array([ 8064.,  1329., -1259.]), array([ 332.,  316.,   24.]))
