(6, 51011, 50307, 49164, array([-7888.,  -416.,  2656.]), array([ 9446.,   643., -4288.]), array([ 201.,  -46., -299.]))
(6, 51960, 51315, 51710, array([-7904.,  -496.,  2672.]), array([ 9475.,   652., -4298.]), array([ 201.,  -55., -299.]))
(6, 15973, 15610, 14820, array([-7952.,   144.,  2544.]), array([ -4023., -21858.,  15116.]), array([ 347., -103.,    4.]))
(6, 17399, 16611, 14820, array([-7936.,   352.,  2544.]), array([ 13784., -21858., -18917.]), array([ 347., -103.,    4.]))
(6, 18348, 18615, 14820, array([-7776.,   240.,  2528.]), array([ 4513.,  1860.,   234.]), array([ 347., -103.,    4.]))
(6, 19772, 19618, 18829, array([-7824.,   384.,  2608.]), array([ 4478.,  1997.,   213.]), array([ 352.,  -42.,   85.]))
(6, 20722, 20619, 18829, array([-7872.,   304.,  2544.]), array([ 4537.,  1994.,   219.]), array([ 352.,  -42.,   85.]))
(6, 21671, 21621, 21375, array([-7856.,   416.,  2560.]), array([ 4518.,  1981.,   216.]), array([ 352.,  -32.,   93.]))
(6, 23095, 22623, 21375, array([-7808.,   384.,  2544.]), array([ 4546.,  1983.,   221.]), array([ 352.,  -32.,   93.]))
(6, 24044, 23625, 23920, array([-7888.,   432.,  2512.]), array([ 4569.,  1986.,   204.]), array([ 352.,  -24.,   93.]))
(6, 24994, 24627, 23920, array([-7808.,   464.,  2544.]), array([ 4511.,  1990.,   228.]), array([ 352.,  -24.,   93.]))
(6, 26418, 25629, 26465, array([-7872.,   416.,  2512.]), array([ 4561.,  1997.,   208.]), array([ 356.,  -19.,   94.]))
(6, 27367, 26990, 26465, array([-7776.,   384.,  2512.]), array([ -8804.,   1962.,  22592.]), array([ 356.,  -19.,   94.]))
(6, 28790, 27992, 26465, array([-7824.,   368.,  2368.]), array([ 13541.,  31776., -22374.]), array([ 356.,  -19.,   94.]))
(6, 29739, 28994, 29010, array([-7792.,   464.,  2512.]), array([  4217., -29650.,    215.]), array([ 356.,   -8.,   96.]))
(6, 30689, 31006, 29010, array([-7744.,   448.,  2480.]), array([ 4726.,  2027.,   568.]), array([ 356.,   -8.,   96.]))
(6, 32113, 32013, 31556, array([-7760.,   528.,  2544.]), array([ 4996.,  2027.,  -111.]), array([ 356.,   -1.,  100.]))
(6, 33062, 33021, 31556, array([-7824.,   416.,  2480.]), array([ 5294.,  1930.,  -237.]), array([ 356.,   -1.,  100.]))
(6, 34011, 34029, 34102, array([-7760.,   400.,  2512.]), array([ 5653.,  1857.,  -420.]), array([ 359.,    7.,  100.]))
(6, 35435, 35037, 34102, array([-7808.,   368.,  2448.]), array([ 6273.,  1809.,  -662.]), array([ 359.,    7.,  100.]))
(6, 36384, 36044, 36647, array([-7904.,   384.,  2528.]), array([ 6986.,  1689.,  -978.]), array([ 357.,   12.,  104.]))
(6, 37808, 37052, 36647, array([-7920.,   368.,  2544.]), array([ 7447.,  1556., -1289.]), array([ 357.,   12.,  104.]))
(6, 38757, 38060, 36647, array([-7872.,   464.,  2560.]), array([ 7840.,  1348., -1596.]), array([ 357.,   12.,  104.]))
(6, 39707, 39068, 39192, array([-7936.,   432.,  2464.]), array([ 8088.,  1159., -1876.]), array([ 359.,   26.,  104.]))
