(6, 56619, 56256, 54332, array([-7872.,  -128.,  2816.]), array([ 27277.,  10055.,  16752.]), array([ 221., -103., -252.]))
(6, 58044, 57258, 54332, array([-7888.,    64.,  2752.]), array([ 32168.,  10055., -13187.]), array([ 221., -103., -252.]))
(6, 58994, 59262, 54332, array([-7904.,    96.,  2624.]), array([ 4498.,  1855.,   214.]), array([ 221., -103., -252.]))
(6, 60418, 60264, 59478, array([-7840.,   112.,  2592.]), array([ 4483.,  2001.,   215.]), array([ 376.,   -8.,   69.]))
(6, 61367, 61266, 59478, array([-7792.,   112.,  2656.]), array([ 4522.,  1974.,   198.]), array([ 376.,   -8.,   69.]))
(6, 62316, 62268, 62022, array([-7872.,    96.,  2608.]), array([ 4498.,  1981.,   215.]), array([ 376.,    5.,   69.]))
(6, 63741, 63270, 62022, array([-7792.,    96.,  2528.]), array([ 4497.,  1954.,   206.]), array([ 376.,    5.,   69.]))
(6, 64690, 64272, 64567, array([-7792.,   128.,  2672.]), array([ 4551.,  1979.,   205.]), array([ 376.,   13.,   78.]))
(6, 103, 65274, 64567, array([-7840.,   128.,  2576.]), array([ 4517.,  1991.,   218.]), array([ 376.,   13.,   78.]))
(6, 1527, 740, 1574, array([-7904.,   144.,  2688.]), array([ 4569.,  1994.,   204.]), array([ 382.,   22.,   79.]))
(6, 2476, 1910, 1574, array([-7872.,   160.,  2560.]), array([-18172.,   1994., -22331.]), array([ 382.,   22.,   79.]))
(6, 3901, 3914, 1574, array([-7936.,   144.,  2656.]), array([  4215., -21377.,    255.]), array([ 382.,   22.,   79.]))
(6, 4850, 4918, 4120, array([-7952.,   176.,  2640.]), array([ 4400.,  1805.,   320.]), array([ 382.,   35.,   79.]))
(6, 5799, 5925, 4120, array([-7920.,   240.,  2592.]), array([ 4705.,  2023.,   582.]), array([ 382.,   35.,   79.]))
(6, 7223, 6933, 6665, array([-7936.,   160.,  2608.]), array([ 5031.,  2021.,  -164.]), array([ 379.,   44.,   83.]))
(6, 8176, 7941, 6665, array([-7920.,   160.,  2640.]), array([ 5392.,  1951.,  -352.]), array([ 379.,   44.,   83.]))
(6, 9125, 8949, 9210, array([-7936.,   160.,  2656.]), array([ 5753.,  1901.,  -583.]), array([ 382.,   49.,   83.]))
(6, 10549, 9956, 9210, array([-7936.,   176.,  2576.]), array([ 6336.,  1850.,  -895.]), array([ 382.,   49.,   83.]))
(6, 11498, 10964, 11755, array([-7936.,   192.,  2576.]), array([ 7071.,  1755., -1270.]), array([ 378.,   61.,   87.]))
(6, 12921, 11972, 11755, array([-7904.,   112.,  2592.]), array([ 7641.,  1627., -1664.]), array([ 378.,   61.,   87.]))
(6, 13870, 13988, 11755, array([-7872.,   192.,  2608.]), array([ 8445.,  1292., -2485.]), array([ 378.,   61.,   87.]))
(6, 14820, 14996, 14300, array([-7968.,   176.,  2592.]), array([ 8852.,  1106., -2829.]), array([ 379.,   71.,   87.]))
(6, 16243, 16004, 14300, array([-7936.,   176.,  2544.]), array([ 9156.,   964., -3176.]), array([ 379.,   71.,   87.]))
(6, 17192, 17012, 16846, array([-7856.,   176.,  2496.]), array([ 9408.,   835., -3483.]), array([ 383.,   81.,   87.]))
(6, 18141, 18020, 16846, array([-7904.,   144.,  2480.]), array([ 9734.,   719., -3742.]), array([ 383.,   81.,   87.]))
(6, 19565, 19028, 19390, array([-7856.,   144.,  2576.]), array([ 9201.,   581., -3880.]), array([ 379.,   92.,   88.]))
(6, 20513, 20036, 19390, array([-7904.,   112.,  2480.]), array([ 8398.,   552., -3809.]), array([ 379.,   92.,   88.]))
(6, 21462, 21044, 19390, array([-7888.,   176.,  2528.]), array([ 8403.,   630., -3799.]), array([ 379.,   92.,   88.]))
(6, 22886, 22052, 21935, array([-7904.,   144.,  2608.]), array([ 8488.,   622., -3855.]), array([ 381.,  103.,   85.]))
(6, 23836, 24068, 21935, array([-7984.,   112.,  2512.]), array([ 8479.,   639., -3800.]), array([ 381.,  103.,   85.]))
(6, 25259, 25076, 24480, array([-7936.,   160.,  2480.]), array([ 8482.,   632., -3847.]), array([ 384.,  111.,   85.]))
(6, 26208, 26084, 24480, array([-7984.,   176.,  2480.]), array([ 8472.,   621., -3898.]), array([ 384.,  111.,   85.]))
(6, 27157, 27092, 27025, array([-7872.,   208.,  2624.]), array([ 8435.,   631., -3842.]), array([ 379.,  122.,   88.]))
