(6, 23849, 23486, 22720, array([-8080.,    16.,  2592.]), array([-18055., -29331.,  14764.]), array([ 359.,  283.,  -44.]))
(6, 25274, 24487, 22720, array([-8064.,   144.,  2752.]), array([  9662., -29331.,  -8700.]), array([ 359.,  283.,  -44.]))
(6, 26223, 26491, 22720, array([-8112.,   144.,  2576.]), array([ 4524.,  1837.,   213.]), array([ 359.,  283.,  -44.]))
(6, 27647, 27493, 26706, array([-8080.,   -64.,  2768.]), array([ 4485.,  2003.,   224.]), array([ 396.,  194.,   23.]))
(6, 28596, 28495, 26706, array([-8080.,     0.,  2736.]), array([ 4527.,  1965.,   211.]), array([ 396.,  194.,   23.]))
(6, 29544, 29497, 29250, array([-7936.,    32.,  2752.]), array([ 4515.,  1978.,   211.]), array([ 396.,  204.,   25.]))
(6, 30968, 30499, 29250, array([-8112.,   -16.,  2768.]), array([ 4516.,  1977.,   196.]), array([ 396.,  204.,   25.]))
(6, 31917, 31501, 31795, array([-8048.,   -64.,  2784.]), array([ 4548.,  1967.,   215.]), array([ 396.,  212.,   25.]))
(6, 32867, 32503, 31795, array([-8112.,    32.,  2688.]), array([ 4490.,  1987.,   232.]), array([ 396.,  212.,   25.]))
(6, 34291, 33505, 34340, array([-8096.,     0.,  2736.]), array([ 4567.,  2008.,   221.]), array([ 391.,  224.,    9.]))
(6, 35240, 34904, 34340, array([-8032.,    64.,  2704.]), array([ 28286.,   1980.,  19224.]), array([ 391.,  224.,    9.]))
(6, 36664, 35906, 34340, array([-8112.,    80.,  2576.]), array([-23430., -21056., -18996.]), array([ 391.,  224.,    9.]))
(6, 37614, 36908, 36885, array([-8096.,     0.,  2752.]), array([  4247.,  23284.,    247.]), array([ 391.,  237.,    9.]))
(6, 38563, 38919, 36885, array([-8096.,    80.,  2672.]), array([ 4725.,  1994.,   553.]), array([ 391.,  237.,    9.]))
(6, 39986, 39927, 39429, array([-8048.,   -16.,  2656.]), array([ 5085.,  2012.,  -284.]), array([ 387.,  245.,  255.]))
(6, 40935, 40935, 39429, array([-8128.,   -16.,  2592.]), array([ 5475.,  1936.,  -524.]), array([ 387.,  245.,  255.]))
(6, 41885, 41943, 41975, array([-8112.,     0.,  2576.]), array([ 5914.,  1879.,  -828.]), array([ 385.,  253.,   -1.]))
(6, 43309, 42950, 41975, array([-8064.,    32.,  2608.]), array([ 6547.,  1837., -1236.]), array([ 385.,  253.,   -1.]))
(6, 44257, 43958, 44521, array([-8048.,    16.,  2608.]), array([ 7273.,  1763., -1753.]), array([ 379.,  264.,   -9.]))
(6, 46630, 45974, 44521, array([-8096.,   -16.,  2576.]), array([ 8343.,  1394., -2794.]), array([ 379.,  264.,   -9.]))
(6, 47579, 46981, 47066, array([-8048.,     0.,  2608.]), array([ 8695.,  1237., -3339.]), array([ 381.,  272.,  -15.]))
(6, 49003, 48997, 47066, array([-8080.,   -96.,  2592.]), array([ 9376.,   937., -4239.]), array([ 381.,  272.,  -15.]))
